open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;ABEV3.SA;14.74;14.77;14.68;14.69;14.69;1893300;14.87;-1.18;40.61;ESTAVEL;2022-02-22 14:00:00;stocks;14.8;-0.77;14.8;-0.77
1645542000000;ABEV3.SA;14.7;14.82;14.68;14.76;14.76;1228000;14.86;-0.7;46.2;ESTAVEL;2022-02-22 15:00:00;stocks;14.8;-0.3;14.8;-0.3
1645545600000;ABEV3.SA;14.76;14.82;14.74;14.79;14.79;1028500;14.86;-0.49;48.43;ESTAVEL;2022-02-22 16:00:00;stocks;14.8;-0.09;14.8;-0.09
1645549200000;ABEV3.SA;14.78;14.79;14.72;14.72;14.72;1311000;14.86;-0.95;43.85;ESTAVEL;2022-02-22 17:00:00;stocks;14.8;-0.56;14.8;-0.56
1645552800000;ABEV3.SA;14.72;14.77;14.68;14.73;14.73;3034900;14.86;-0.88;44.66;ESTAVEL;2022-02-22 18:00:00;stocks;14.8;-0.49;14.8;-0.49
1645556400000;ABEV3.SA;14.74;14.79;14.69;14.7;14.7;3188800;14.86;-1.07;42.68;ESTAVEL;2022-02-22 19:00:00;stocks;14.8;-0.68;14.8;-0.68
1645621200000;ABEV3.SA;14.62;15.17;14.59;15.04;15.04;0;14.86;1.21;62.8;ESTAVEL;2022-02-23 13:00:00;stocks;14.8;1.6;14.8;1.6
1645624800000;ABEV3.SA;15.04;15.26;15.03;15.12;15.12;8735800;14.86;1.73;65.83;ESTAVEL;2022-02-23 14:00:00;stocks;14.81;2.11;14.81;2.11
1645628400000;ABEV3.SA;15.11;15.13;14.98;15.0;15.0;2302100;14.86;0.91;58.16;ESTAVEL;2022-02-23 15:00:00;stocks;14.81;1.29;14.81;1.29
1645632000000;ABEV3.SA;14.99;15.0;14.9;14.9;14.9;1244900;14.87;0.24;52.65;ESTAVEL;2022-02-23 16:00:00;stocks;14.81;0.61;14.81;0.61
1645635600000;ABEV3.SA;14.9;14.96;14.83;14.9;14.9;2552900;14.87;0.23;52.65;ESTAVEL;2022-02-23 17:00:00;stocks;14.81;0.6;14.81;0.6
1645639200000;ABEV3.SA;14.89;14.92;14.86;14.9;14.9;1350900;14.87;0.23;52.65;ESTAVEL;2022-02-23 18:00:00;stocks;14.81;0.59;14.81;0.59
1645642800000;ABEV3.SA;14.89;14.91;14.82;14.85;14.85;1322500;14.87;-0.1;49.71;ESTAVEL;2022-02-23 19:00:00;stocks;14.81;0.25;14.81;0.25
1645707600000;ABEV3.SA;14.24;14.74;13.8;14.43;14.43;0;14.86;-2.9;33.03;ESTAVEL;2022-02-24 13:00:00;stocks;14.81;-2.56;14.81;-2.56
1645711200000;ABEV3.SA;14.43;14.55;14.2;14.24;14.24;7541300;14.85;-4.14;28.39;SUBIR;2022-02-24 14:00:00;stocks;14.8;-3.8;14.8;-3.8
1645714800000;ABEV3.SA;14.24;14.5;14.17;14.5;14.5;6982400;14.85;-2.37;40.67;ESTAVEL;2022-02-24 15:00:00;stocks;14.8;-2.02;14.8;-2.02
1645718400000;ABEV3.SA;14.5;14.55;14.46;14.5;14.5;3748300;14.85;-2.34;40.67;ESTAVEL;2022-02-24 16:00:00;stocks;14.8;-2.0;14.8;-2.0
1645722000000;ABEV3.SA;14.5;14.56;14.46;14.54;14.54;1987600;14.84;-2.05;42.44;ESTAVEL;2022-02-24 17:00:00;stocks;14.79;-1.71;14.79;-1.71
1645725600000;ABEV3.SA;14.53;14.65;14.46;14.61;14.61;4686800;14.84;-1.56;45.49;ESTAVEL;2022-02-24 18:00:00;stocks;14.79;-1.22;14.79;-1.22
1645729200000;ABEV3.SA;14.6;14.8;14.52;14.71;14.71;5201100;14.84;-0.88;49.6;ESTAVEL;2022-02-24 19:00:00;stocks;14.79;-0.54;14.79;-0.54
1645794000000;ABEV3.SA;14.68;14.99;14.68;14.94;14.94;0;14.84;0.66;57.53;ESTAVEL;2022-02-25 13:00:00;stocks;14.79;1.01;14.79;1.01
1645797600000;ABEV3.SA;14.94;15.08;14.85;15.02;15.02;3977500;14.84;1.19;59.89;ESTAVEL;2022-02-25 14:00:00;stocks;14.79;1.53;14.79;1.53
1645801200000;ABEV3.SA;15.03;15.33;14.98;15.27;15.27;4613300;14.85;2.84;66.22;ESTAVEL;2022-02-25 15:00:00;stocks;14.8;3.18;14.8;3.18
1645804800000;ABEV3.SA;15.27;15.28;15.13;15.2;15.2;6516400;14.85;2.35;63.21;ESTAVEL;2022-02-25 16:00:00;stocks;14.8;2.68;14.8;2.68
1645808400000;ABEV3.SA;15.2;15.22;15.09;15.1;15.1;2953700;14.85;1.66;59.09;ESTAVEL;2022-02-25 17:00:00;stocks;14.81;1.98;14.81;1.98
1645812000000;ABEV3.SA;15.1;15.2;15.09;15.14;15.14;5373900;14.86;1.9;60.21;ESTAVEL;2022-02-25 18:00:00;stocks;14.81;2.23;14.81;2.23
1645815600000;ABEV3.SA;15.14;15.17;15.03;15.08;15.08;3953900;14.86;1.49;57.66;ESTAVEL;2022-02-25 19:00:00;stocks;14.81;1.8;14.81;1.8
1646236800000;ABEV3.SA;14.69;14.98;14.69;14.92;14.92;5720700;14.86;0.4;51.41;ESTAVEL;2022-03-02 16:00:00;stocks;14.81;0.71;14.81;0.71
1646240400000;ABEV3.SA;14.92;14.92;14.64;14.66;14.66;5576600;14.86;-1.33;43.21;ESTAVEL;2022-03-02 17:00:00;stocks;14.81;-1.03;14.81;-1.03
1646244000000;ABEV3.SA;14.66;14.74;14.6;14.61;14.61;5736200;14.86;-1.65;41.83;ESTAVEL;2022-03-02 18:00:00;stocks;14.81;-1.35;14.81;-1.35
1646312400000;ABEV3.SA;14.51;14.51;14.19;14.26;14.26;0;14.85;-3.97;33.71;ESTAVEL;2022-03-03 13:00:00;stocks;14.8;-3.68;14.8;-3.68
1646316000000;ABEV3.SA;14.27;14.28;14.1;14.17;14.17;6793400;14.84;-4.53;31.99;ESTAVEL;2022-03-03 14:00:00;stocks;14.8;-4.24;14.8;-4.24
1646319600000;ABEV3.SA;14.16;14.19;14.07;14.1;14.1;5547700;14.83;-4.95;30.68;ESTAVEL;2022-03-03 15:00:00;stocks;14.79;-4.66;14.79;-4.66
1646323200000;ABEV3.SA;14.1;14.31;14.05;14.25;14.25;5456000;14.83;-3.91;36.67;ESTAVEL;2022-03-03 16:00:00;stocks;14.78;-3.61;14.78;-3.61
1646326800000;ABEV3.SA;14.24;14.31;14.22;14.25;14.25;2119400;14.82;-3.87;36.67;ESTAVEL;2022-03-03 17:00:00;stocks;14.78;-3.57;14.78;-3.57
1646330400000;ABEV3.SA;14.24;14.3;14.23;14.27;14.27;1766200;14.82;-3.7;37.5;ESTAVEL;2022-03-03 18:00:00;stocks;14.77;-3.4;14.77;-3.4
1646334000000;ABEV3.SA;14.27;14.31;14.24;14.26;14.26;2863800;14.81;-3.73;37.24;ESTAVEL;2022-03-03 19:00:00;stocks;14.77;-3.43;14.77;-3.43
1646398800000;ABEV3.SA;14.21;14.24;14.01;14.03;14.03;0;14.8;-5.23;31.7;ESTAVEL;2022-03-04 13:00:00;stocks;14.76;-4.94;14.76;-4.94
1646402400000;ABEV3.SA;14.02;14.04;13.92;13.97;13.97;5328200;14.8;-5.58;30.43;ESTAVEL;2022-03-04 14:00:00;stocks;14.75;-5.29;14.75;-5.29
1646406000000;ABEV3.SA;13.96;13.98;13.82;13.86;13.86;4607800;14.79;-6.26;28.2;SUBIR;2022-03-04 15:00:00;stocks;14.74;-5.97;14.74;-5.97
1646409600000;ABEV3.SA;13.87;14.01;13.86;13.95;13.95;2868800;14.78;-5.6;32.56;ESTAVEL;2022-03-04 16:00:00;stocks;14.73;-5.31;14.73;-5.31
1646413200000;ABEV3.SA;13.95;14.02;13.94;13.99;13.99;2771200;14.77;-5.28;34.46;ESTAVEL;2022-03-04 17:00:00;stocks;14.72;-4.98;14.72;-4.98
1646416800000;ABEV3.SA;13.99;14.05;13.94;13.94;13.94;1766700;14.76;-5.57;33.2;ESTAVEL;2022-03-04 18:00:00;stocks;14.72;-5.27;14.72;-5.27
1646420400000;ABEV3.SA;13.94;13.95;13.84;13.84;13.84;2029300;14.75;-6.18;30.77;ESTAVEL;2022-03-04 19:00:00;stocks;14.71;-5.89;14.71;-5.89
1646658000000;ABEV3.SA;13.79;13.79;13.59;13.67;13.67;0;14.74;-7.27;27.14;SUBIR;2022-03-07 13:00:00;stocks;14.69;-6.97;14.69;-6.97
1646661600000;ABEV3.SA;13.67;13.7;13.55;13.58;13.58;5487200;14.73;-7.81;25.43;SUBIR;2022-03-07 14:00:00;stocks;14.68;-7.51;14.68;-7.51
1646665200000;ABEV3.SA;13.58;13.62;13.37;13.51;13.51;7195800;14.72;-8.2;24.15;SUBIR;2022-03-07 15:00:00;stocks;14.67;-7.9;14.67;-7.9
1646668800000;ABEV3.SA;13.51;13.62;13.5;13.6;13.6;4304200;14.71;-7.52;29.08;SUBIR;2022-03-07 16:00:00;stocks;14.66;-7.22;14.66;-7.22
1646672400000;ABEV3.SA;13.6;13.61;13.48;13.49;13.49;3666600;14.69;-8.19;26.79;SUBIR;2022-03-07 17:00:00;stocks;14.64;-7.89;14.64;-7.89
1646676000000;ABEV3.SA;13.49;13.5;13.39;13.47;13.47;8933300;14.68;-8.25;26.38;SUBIR;2022-03-07 18:00:00;stocks;14.63;-7.94;14.63;-7.94
1646679600000;ABEV3.SA;13.46;13.48;13.39;13.44;13.44;4110600;14.67;-8.38;25.75;SUBIR;2022-03-07 19:00:00;stocks;14.62;-8.07;14.62;-8.07
1646744400000;ABEV3.SA;13.4;13.42;13.28;13.34;13.34;2324800;14.66;-8.98;23.71;SUBIR;2022-03-08 13:00:00;stocks;14.61;-8.66;14.61;-8.66
1646748000000;ABEV3.SA;13.34;13.53;13.34;13.53;13.53;5566600;14.64;-7.61;34.35;ESTAVEL;2022-03-08 14:00:00;stocks;14.59;-7.29;14.59;-7.29
