open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;AGRO3.SA;30.34;30.63;30.27;30.51;30.51;110200;28.81;5.9;56.91;ESTAVEL;2022-02-22 14:00:00;stocks;29.02;5.15;29.02;5.15
1645542000000;AGRO3.SA;30.49;30.52;30.3;30.45;30.45;58800;28.83;5.63;55.7;ESTAVEL;2022-02-22 15:00:00;stocks;29.03;4.88;29.03;4.88
1645545600000;AGRO3.SA;30.42;30.62;30.36;30.5;30.5;92600;28.84;5.74;56.53;ESTAVEL;2022-02-22 16:00:00;stocks;29.05;4.99;29.05;4.99
1645549200000;AGRO3.SA;30.53;30.62;30.34;30.47;30.47;122500;28.86;5.58;55.85;ESTAVEL;2022-02-22 17:00:00;stocks;29.07;4.83;29.07;4.83
1645552800000;AGRO3.SA;30.46;30.56;30.29;30.43;30.43;67400;28.88;5.38;54.91;ESTAVEL;2022-02-22 18:00:00;stocks;29.08;4.64;29.08;4.64
1645556400000;AGRO3.SA;30.44;30.72;30.4;30.61;30.61;80100;28.89;5.94;58.32;ESTAVEL;2022-02-22 19:00:00;stocks;29.1;5.19;29.1;5.19
1645621200000;AGRO3.SA;30.68;31.0;30.57;30.58;30.58;0;28.91;5.77;57.54;ESTAVEL;2022-02-23 13:00:00;stocks;29.12;5.03;29.12;5.03
1645624800000;AGRO3.SA;30.58;31.19;30.5;31.13;31.13;180100;28.93;7.59;66.43;ESTAVEL;2022-02-23 14:00:00;stocks;29.14;6.84;29.14;6.84
1645628400000;AGRO3.SA;31.15;31.4;31.1;31.32;31.32;142500;28.96;8.16;68.85;ESTAVEL;2022-02-23 15:00:00;stocks;29.16;7.4;29.16;7.4
1645632000000;AGRO3.SA;31.32;31.42;31.2;31.24;31.24;96300;28.98;7.8;66.67;ESTAVEL;2022-02-23 16:00:00;stocks;29.19;7.03;29.19;7.03
1645635600000;AGRO3.SA;31.26;31.31;31.09;31.19;31.19;150000;29.0;7.54;65.28;ESTAVEL;2022-02-23 17:00:00;stocks;29.21;6.78;29.21;6.78
1645639200000;AGRO3.SA;31.19;31.3;31.16;31.27;31.27;78600;29.03;7.73;66.48;ESTAVEL;2022-02-23 18:00:00;stocks;29.23;6.97;29.23;6.97
1645642800000;AGRO3.SA;31.28;31.3;31.15;31.25;31.25;55600;29.05;7.58;65.87;ESTAVEL;2022-02-23 19:00:00;stocks;29.26;6.82;29.26;6.82
1645707600000;AGRO3.SA;30.76;31.49;30.2;30.83;30.83;0;29.07;6.07;54.45;ESTAVEL;2022-02-24 13:00:00;stocks;29.27;5.32;29.27;5.32
1645711200000;AGRO3.SA;30.82;32.02;30.75;31.9;31.9;312100;29.1;9.64;69.13;ESTAVEL;2022-02-24 14:00:00;stocks;29.3;8.86;29.3;8.86
1645714800000;AGRO3.SA;31.86;32.06;31.69;31.99;31.99;109700;29.12;9.84;70.01;CAIR;2022-02-24 15:00:00;stocks;29.33;9.06;29.33;9.06
1645718400000;AGRO3.SA;31.99;32.0;31.52;31.64;31.64;110600;29.15;8.54;62.57;ESTAVEL;2022-02-24 16:00:00;stocks;29.36;7.77;29.36;7.77
