open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1670439600000;ALZM11.SA;87.77;88.27;87.75;88.26;88.26;49;90.27;-2.23;54.16;ESTAVEL;2022-12-07 19:00:00;fii;89.71;-1.61;89.71;-1.61
1670504400000;ALZM11.SA;88.14;88.14;87.69;88.14;88.14;53;90.25;-2.34;53.25;ESTAVEL;2022-12-08 13:00:00;fii;89.69;-1.73;89.69;-1.73
1670508000000;ALZM11.SA;88.13;88.13;87.71;88.09;88.09;77;90.23;-2.37;52.84;ESTAVEL;2022-12-08 14:00:00;fii;89.67;-1.76;89.67;-1.76
1670511600000;ALZM11.SA;88.09;88.1;88.09;88.1;88.1;34;90.21;-2.34;52.92;ESTAVEL;2022-12-08 15:00:00;fii;89.65;-1.73;89.65;-1.73
1670515200000;ALZM11.SA;87.71;88.1;87.71;88.1;88.1;17;90.19;-2.31;52.92;ESTAVEL;2022-12-08 16:00:00;fii;89.63;-1.71;89.63;-1.71
1670518800000;ALZM11.SA;87.75;87.86;86.95;86.95;86.95;668;90.15;-3.55;43.51;ESTAVEL;2022-12-08 17:00:00;fii;89.6;-2.96;89.6;-2.96
1670522400000;ALZM11.SA;87.71;87.71;87.69;87.69;87.69;15;90.13;-2.71;49.71;ESTAVEL;2022-12-08 18:00:00;fii;89.58;-2.11;89.58;-2.11
1670526000000;ALZM11.SA;87.69;87.69;86.97;86.97;86.97;40;90.1;-3.47;44.58;ESTAVEL;2022-12-08 19:00:00;fii;89.55;-2.88;89.55;-2.88
1670590800000;ALZM11.SA;86.97;87.92;86.8;87.92;87.92;13;90.07;-2.39;51.66;ESTAVEL;2022-12-09 13:00:00;fii;89.53;-1.8;89.53;-1.8
1670594400000;ALZM11.SA;87.2;87.2;86.81;86.96;86.96;88;90.04;-3.42;45.36;ESTAVEL;2022-12-09 14:00:00;fii;89.5;-2.84;89.5;-2.84
1670598000000;ALZM11.SA;86.96;86.97;86.91;86.91;86.91;15;90.01;-3.45;45.05;ESTAVEL;2022-12-09 15:00:00;fii;89.47;-2.87;89.47;-2.87
1670601600000;ALZM11.SA;86.97;86.97;86.97;86.97;86.97;11;89.98;-3.35;45.53;ESTAVEL;2022-12-09 16:00:00;fii;89.45;-2.77;89.45;-2.77
