open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645545600000;ARML3.SA;15.96;15.99;15.66;15.75;15.75;117600;20.45;-22.99;28.38;SUBIR;2022-02-22 16:00:00;stocks;20.09;-21.59;20.09;-21.59
1645549200000;ARML3.SA;15.77;15.88;15.67;15.71;15.71;73100;20.4;-23.0;28.07;SUBIR;2022-02-22 17:00:00;stocks;20.04;-21.59;20.04;-21.59
1645552800000;ARML3.SA;15.71;15.78;15.55;15.64;15.64;127600;20.36;-23.17;27.52;SUBIR;2022-02-22 18:00:00;stocks;19.99;-21.75;19.99;-21.75
1645556400000;ARML3.SA;15.64;15.65;15.5;15.54;15.54;92100;20.31;-23.47;26.7;SUBIR;2022-02-22 19:00:00;stocks;19.94;-22.05;19.94;-22.05
1645621200000;ARML3.SA;15.87;16.1;15.58;16.09;16.09;0;20.26;-20.6;37.63;ESTAVEL;2022-02-23 13:00:00;stocks;19.89;-19.11;19.89;-19.11
1645624800000;ARML3.SA;16.04;16.54;16.04;16.26;16.26;95300;20.22;-19.6;40.58;ESTAVEL;2022-02-23 14:00:00;stocks;19.85;-18.08;19.85;-18.08
1645628400000;ARML3.SA;16.24;16.24;15.62;15.67;15.67;54800;20.18;-22.34;34.48;ESTAVEL;2022-02-23 15:00:00;stocks;19.8;-20.87;19.8;-20.87
1645632000000;ARML3.SA;15.64;15.64;15.33;15.4;15.4;34200;20.13;-23.49;32.11;ESTAVEL;2022-02-23 16:00:00;stocks;19.75;-22.03;19.75;-22.03
1645635600000;ARML3.SA;15.37;15.62;15.32;15.55;15.55;36500;20.08;-22.57;34.8;ESTAVEL;2022-02-23 17:00:00;stocks;19.7;-21.08;19.7;-21.08
1645639200000;ARML3.SA;15.55;15.58;15.32;15.35;15.35;52900;20.03;-23.38;32.92;ESTAVEL;2022-02-23 18:00:00;stocks;19.65;-21.9;19.65;-21.9
1645642800000;ARML3.SA;15.39;15.48;15.06;15.1;15.1;112600;19.98;-24.44;30.7;ESTAVEL;2022-02-23 19:00:00;stocks;19.6;-22.97;19.6;-22.97
1645707600000;ARML3.SA;14.45;14.62;14.07;14.5;14.5;0;19.93;-27.24;26.14;SUBIR;2022-02-24 13:00:00;stocks;19.55;-25.81;19.55;-25.81
1645711200000;ARML3.SA;14.52;14.6;14.17;14.37;14.37;46400;19.87;-27.69;25.26;SUBIR;2022-02-24 14:00:00;stocks;19.49;-26.26;19.49;-26.26
1645714800000;ARML3.SA;14.32;14.85;14.32;14.79;14.79;47000;19.82;-25.38;33.07;ESTAVEL;2022-02-24 15:00:00;stocks;19.43;-23.9;19.43;-23.9
1645718400000;ARML3.SA;14.8;14.91;14.6;14.75;14.75;27100;19.77;-25.39;32.72;ESTAVEL;2022-02-24 16:00:00;stocks;19.38;-23.89;19.38;-23.89
1645722000000;ARML3.SA;14.73;14.79;14.42;14.42;14.42;87300;19.72;-26.86;29.9;SUBIR;2022-02-24 17:00:00;stocks;19.33;-25.38;19.33;-25.38
1645725600000;ARML3.SA;14.42;14.58;14.38;14.53;14.53;31700;19.66;-26.11;32.0;ESTAVEL;2022-02-24 18:00:00;stocks;19.27;-24.6;19.27;-24.6
1645729200000;ARML3.SA;14.49;15.0;14.47;14.87;14.87;68000;19.62;-24.19;38.17;ESTAVEL;2022-02-24 19:00:00;stocks;19.22;-22.64;19.22;-22.64
