open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1685631600000;ARXD11.SA;100.0;100.0;100.0;100.0;100.0;90;;;;ESTAVEL;;fii;;;;
1685635200000;ARXD11.SA;100.0;100.0;100.0;100.0;100.0;933;;;;ESTAVEL;;fii;;;;
1685642400000;ARXD11.SA;100.0;100.0;100.0;100.0;100.0;1;;;;ESTAVEL;;fii;;;;
1688389200000;ARXD11.SA;100.0;100.0;100.0;100.0;100.0;0;;;;ESTAVEL;;fii;;;;
1689966000000;ARXD11.SA;100.0;100.0;100.0;100.0;100.0;1;;;;ESTAVEL;;fii;;;;
1690912800000;ARXD11.SA;101.0;101.0;100.0;101.0;101.0;19;;;;ESTAVEL;;fii;;;;
1691082000000;ARXD11.SA;101.0;101.0;101.0;101.0;101.0;0;;;;ESTAVEL;;fii;;;;
1691424000000;ARXD11.SA;101.0;101.0;101.0;101.0;101.0;0;;;;ESTAVEL;;fii;;;;
1691593200000;ARXD11.SA;101.0;101.0;101.0;101.0;101.0;0;;;;ESTAVEL;;fii;;;;
1691604000000;ARXD11.SA;101.0;101.0;101.0;101.0;101.0;65;;;;ESTAVEL;;fii;;;;
1691762400000;ARXD11.SA;101.01;101.01;101.01;101.01;101.01;0;;;;ESTAVEL;;fii;;;;
1691773200000;ARXD11.SA;101.0;101.0;101.0;101.0;101.0;10;;;;ESTAVEL;;fii;;;;
1692028800000;ARXD11.SA;101.0;101.0;101.0;101.0;101.0;0;;;;ESTAVEL;;fii;;;;
1692032400000;ARXD11.SA;101.0;101.0;101.0;101.0;101.0;0;;;;ESTAVEL;;fii;;;;
1692122400000;ARXD11.SA;101.0;101.0;100.55;100.55;100.55;1;;;68.71;ESTAVEL;;fii;;;;
1692205200000;ARXD11.SA;100.55;100.55;100.55;100.55;100.55;94;;;68.71;ESTAVEL;;fii;;;;
1692712800000;ARXD11.SA;100.55;100.55;100.55;100.55;100.55;0;;;68.71;ESTAVEL;;fii;;;;
1692795600000;ARXD11.SA;100.55;100.55;100.55;100.55;100.55;12;;;68.71;ESTAVEL;;fii;;;;
1693580400000;ARXD11.SA;102.0;102.0;100.55;102.0;102.0;2;;;86.55;ESTAVEL;;fii;;;;
1696255200000;ARXD11.SA;102.0;102.0;102.0;102.0;102.0;0;;;86.55;ESTAVEL;;fii;;;;
1696597200000;ARXD11.SA;98.0;98.0;98.0;98.0;98.0;0;;;30.64;ESTAVEL;;fii;;;;
1696604400000;ARXD11.SA;102.0;102.0;102.0;102.0;102.0;20;;;59.1;ESTAVEL;;fii;;;;
1696611600000;ARXD11.SA;102.0;102.0;102.0;102.0;102.0;10;;;59.1;ESTAVEL;;fii;;;;
1696957200000;ARXD11.SA;102.0;102.0;102.0;102.0;102.0;0;;;59.1;ESTAVEL;;fii;;;;
1697482800000;ARXD11.SA;102.0;102.0;102.0;102.0;102.0;1;;;59.1;ESTAVEL;;fii;;;;
1697569200000;ARXD11.SA;102.0;102.0;102.0;102.0;102.0;0;;;59.1;ESTAVEL;;fii;;;;
1697634000000;ARXD11.SA;102.1;102.1;102.1;102.1;102.1;0;;;59.7;ESTAVEL;;fii;;;;
1697641200000;ARXD11.SA;102.0;102.0;102.0;102.0;102.0;9;;;58.77;ESTAVEL;;fii;;;;
1697731200000;ARXD11.SA;102.0;102.0;102.0;102.0;102.0;4;;;58.77;ESTAVEL;;fii;;;;
1697806800000;ARXD11.SA;102.51;102.51;102.51;102.51;102.51;0;;;62.24;ESTAVEL;;fii;;;;
