open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;ASAI3.SA;12.82;13.15;12.74;13.1;13.1;1711200;12.59;4.04;59.81;ESTAVEL;2022-02-22 14:00:00;stocks;12.55;4.35;12.55;4.35
1645542000000;ASAI3.SA;13.1;13.16;12.97;13.07;13.07;752500;12.6;3.76;58.75;ESTAVEL;2022-02-22 15:00:00;stocks;12.56;4.06;12.56;4.06
1645545600000;ASAI3.SA;13.07;13.16;13.04;13.09;13.09;546300;12.6;3.88;59.27;ESTAVEL;2022-02-22 16:00:00;stocks;12.57;4.17;12.57;4.17
1645549200000;ASAI3.SA;13.09;13.22;13.04;13.06;13.06;906700;12.61;3.61;58.09;ESTAVEL;2022-02-22 17:00:00;stocks;12.57;3.88;12.57;3.88
1645552800000;ASAI3.SA;13.06;13.07;12.9;12.96;12.96;1515200;12.61;2.78;54.22;ESTAVEL;2022-02-22 18:00:00;stocks;12.58;3.05;12.58;3.05
1645556400000;ASAI3.SA;12.96;13.07;12.94;13.05;13.05;1369200;12.61;3.46;56.99;ESTAVEL;2022-02-22 19:00:00;stocks;12.58;3.72;12.58;3.72
1645621200000;ASAI3.SA;13.1;13.34;13.1;13.25;13.25;0;12.62;4.99;62.45;ESTAVEL;2022-02-23 13:00:00;stocks;12.59;5.25;12.59;5.25
1645624800000;ASAI3.SA;13.25;13.47;13.19;13.21;13.21;1110600;12.63;4.63;60.79;ESTAVEL;2022-02-23 14:00:00;stocks;12.6;4.87;12.6;4.87
1645628400000;ASAI3.SA;13.21;13.22;13.15;13.22;13.22;433800;12.63;4.65;61.07;ESTAVEL;2022-02-23 15:00:00;stocks;12.6;4.89;12.6;4.89
1645632000000;ASAI3.SA;13.21;13.27;13.19;13.21;13.21;180000;12.64;4.53;60.6;ESTAVEL;2022-02-23 16:00:00;stocks;12.61;4.75;12.61;4.75
1645635600000;ASAI3.SA;13.21;13.23;13.17;13.2;13.2;762600;12.64;4.4;60.11;ESTAVEL;2022-02-23 17:00:00;stocks;12.62;4.62;12.62;4.62
1645639200000;ASAI3.SA;13.2;13.24;13.15;13.2;13.2;296300;12.65;4.35;60.11;ESTAVEL;2022-02-23 18:00:00;stocks;12.62;4.56;12.62;4.56
1645642800000;ASAI3.SA;13.2;13.25;13.17;13.23;13.23;368700;12.66;4.54;61.2;ESTAVEL;2022-02-23 19:00:00;stocks;12.63;4.74;12.63;4.74
