open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1646755200000;ATMP3.SA;2.29;2.3;2.29;2.3;2.3;2200;2.63;-12.45;37.37;ESTAVEL;2022-03-08 16:00:00;stocks;2.6;-11.38;2.6;-11.38
1646758800000;ATMP3.SA;2.3;2.3;2.28;2.28;2.28;6400;2.62;-13.09;35.06;ESTAVEL;2022-03-08 17:00:00;stocks;2.59;-12.02;2.59;-12.02
1646830800000;ATMP3.SA;2.32;2.38;2.32;2.35;2.35;0;2.62;-10.33;47.34;ESTAVEL;2022-03-09 13:00:00;stocks;2.59;-9.22;2.59;-9.22
1646834400000;ATMP3.SA;2.35;2.37;2.28;2.28;2.28;3000;2.62;-12.88;39.33;ESTAVEL;2022-03-09 14:00:00;stocks;2.59;-11.81;2.59;-11.81
1646838000000;ATMP3.SA;2.31;2.31;2.3;2.3;2.3;400;2.61;-12.01;42.33;ESTAVEL;2022-03-09 15:00:00;stocks;2.58;-10.92;2.58;-10.92
1646841600000;ATMP3.SA;2.28;2.3;2.28;2.3;2.3;2800;2.61;-11.9;42.33;ESTAVEL;2022-03-09 16:00:00;stocks;2.58;-10.81;2.58;-10.81
1646848800000;ATMP3.SA;2.26;2.26;2.21;2.21;2.21;2300;2.61;-15.22;33.64;ESTAVEL;2022-03-09 18:00:00;stocks;2.57;-14.16;2.57;-14.16
1646852400000;ATMP3.SA;2.26;2.32;2.26;2.32;2.32;11300;2.6;-10.9;47.76;ESTAVEL;2022-03-09 19:00:00;stocks;2.57;-9.79;2.57;-9.79
1646920800000;ATMP3.SA;2.28;2.28;2.26;2.26;2.26;0;2.6;-13.09;42.45;ESTAVEL;2022-03-10 14:00:00;stocks;2.57;-12.0;2.57;-12.0
1646924400000;ATMP3.SA;2.26;2.27;2.25;2.25;2.25;4300;2.6;-13.35;41.62;ESTAVEL;2022-03-10 15:00:00;stocks;2.56;-12.26;2.56;-12.26
1646928000000;ATMP3.SA;2.28;2.28;2.28;2.28;2.28;300;2.59;-12.09;45.09;ESTAVEL;2022-03-10 16:00:00;stocks;2.56;-10.98;2.56;-10.98
1646931600000;ATMP3.SA;2.28;2.29;2.28;2.28;2.28;3200;2.59;-11.98;45.09;ESTAVEL;2022-03-10 17:00:00;stocks;2.56;-10.87;2.56;-10.87
1646935200000;ATMP3.SA;2.28;2.28;2.27;2.27;2.27;700;2.59;-12.26;44.08;ESTAVEL;2022-03-10 18:00:00;stocks;2.55;-11.15;2.55;-11.15
1646938800000;ATMP3.SA;2.27;2.27;2.27;2.27;2.27;400;2.58;-12.15;44.08;ESTAVEL;2022-03-10 19:00:00;stocks;2.55;-11.04;2.55;-11.04
1647003600000;ATMP3.SA;2.26;2.26;2.26;2.26;2.26;0;2.58;-12.43;42.96;ESTAVEL;2022-03-11 13:00:00;stocks;2.55;-11.32;2.55;-11.32
1647007200000;ATMP3.SA;2.25;2.25;2.21;2.21;2.21;3000;2.58;-14.24;37.8;ESTAVEL;2022-03-11 14:00:00;stocks;2.54;-13.15;2.54;-13.15
1647262800000;ATMP3.SA;2.21;2.21;2.21;2.21;2.21;0;2.57;-14.12;37.8;ESTAVEL;2022-03-14 13:00:00;stocks;2.54;-13.02;2.54;-13.02
1647266400000;ATMP3.SA;2.16;2.18;2.14;2.14;2.14;4100;2.57;-16.69;31.63;ESTAVEL;2022-03-14 14:00:00;stocks;2.54;-15.62;2.54;-15.62
1647270000000;ATMP3.SA;2.15;2.16;2.13;2.16;2.16;5300;2.56;-15.78;34.9;ESTAVEL;2022-03-14 15:00:00;stocks;2.53;-14.69;2.53;-14.69
