open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1686596400000;ATSA11.SA;68.12;68.12;67.67;67.67;67.67;47;76.2;-11.19;40.39;ESTAVEL;2023-06-12 19:00:00;fii;74.46;-9.11;74.46;-9.11
1686664800000;ATSA11.SA;65.11;65.11;65.11;65.11;65.11;0;76.08;-14.42;28.7;SUBIR;2023-06-13 14:00:00;fii;74.35;-12.42;74.35;-12.42
1686747600000;ATSA11.SA;65.21;65.21;65.21;65.21;65.21;0;75.97;-14.17;29.56;SUBIR;2023-06-14 13:00:00;fii;74.24;-12.17;74.24;-12.17
1686855600000;ATSA11.SA;68.42;68.5;68.42;68.5;68.5;14;75.9;-9.75;50.61;ESTAVEL;2023-06-15 19:00:00;fii;74.18;-7.65;74.18;-7.65
1686920400000;ATSA11.SA;68.5;68.5;68.5;68.5;68.5;0;75.82;-9.66;50.61;ESTAVEL;2023-06-16 13:00:00;fii;74.11;-7.57;74.11;-7.57
1686931200000;ATSA11.SA;66.0;66.0;66.0;66.0;66.0;1;75.72;-12.84;40.06;ESTAVEL;2023-06-16 16:00:00;fii;74.02;-10.83;74.02;-10.83
1687179600000;ATSA11.SA;66.0;66.0;66.0;66.0;66.0;1;75.62;-12.73;40.06;ESTAVEL;2023-06-19 13:00:00;fii;73.93;-10.72;73.93;-10.72
1687287600000;ATSA11.SA;66.02;66.02;66.02;66.02;66.02;2;75.53;-12.59;40.17;ESTAVEL;2023-06-20 19:00:00;fii;73.84;-10.59;73.84;-10.59
1687356000000;ATSA11.SA;66.99;70.0;66.99;70.0;70.0;13;75.47;-7.25;57.68;ESTAVEL;2023-06-21 14:00:00;fii;73.79;-5.14;73.79;-5.14
1687359600000;ATSA11.SA;69.99;69.99;69.99;69.99;69.99;1;75.42;-7.19;57.64;ESTAVEL;2023-06-21 15:00:00;fii;73.75;-5.1;73.75;-5.1
1687363200000;ATSA11.SA;69.98;69.98;69.97;69.97;69.97;11;75.36;-7.15;57.54;ESTAVEL;2023-06-21 16:00:00;fii;73.71;-5.07;73.71;-5.07
1687438800000;ATSA11.SA;69.95;69.95;66.11;66.11;66.11;0;75.27;-12.17;42.51;ESTAVEL;2023-06-22 13:00:00;fii;73.62;-10.2;73.62;-10.2
1687968000000;ATSA11.SA;66.11;66.11;66.11;66.11;66.11;0;75.17;-12.06;42.51;ESTAVEL;2023-06-28 16:00:00;fii;73.54;-10.1;73.54;-10.1
1687978800000;ATSA11.SA;66.11;66.11;66.11;66.11;66.11;3;75.08;-11.95;42.51;ESTAVEL;2023-06-28 19:00:00;fii;73.45;-10.0;73.45;-10.0
1688137200000;ATSA11.SA;69.95;69.95;69.95;69.95;69.95;0;75.03;-6.77;56.6;ESTAVEL;2023-06-30 15:00:00;fii;73.41;-4.72;73.41;-4.72
1688151600000;ATSA11.SA;69.11;69.11;66.02;66.02;66.02;7;74.94;-11.9;44.56;ESTAVEL;2023-06-30 19:00:00;fii;73.33;-9.97;73.33;-9.97
1688389200000;ATSA11.SA;66.1;66.1;66.1;66.1;66.1;0;74.85;-11.69;44.82;ESTAVEL;2023-07-03 13:00:00;fii;73.25;-9.76;73.25;-9.76
1688396400000;ATSA11.SA;67.6;68.0;67.6;68.0;68.0;13;74.78;-9.07;50.67;ESTAVEL;2023-07-03 15:00:00;fii;73.19;-7.09;73.19;-7.09
1688475600000;ATSA11.SA;66.1;66.1;66.1;66.1;66.1;0;74.69;-11.51;45.48;ESTAVEL;2023-07-04 13:00:00;fii;73.11;-9.59;73.11;-9.59
1688569200000;ATSA11.SA;66.02;66.03;66.02;66.02;66.02;14;74.61;-11.51;45.27;ESTAVEL;2023-07-05 15:00:00;fii;73.03;-9.6;73.03;-9.6
1688756400000;ATSA11.SA;66.03;66.03;66.03;66.03;66.03;0;74.52;-11.39;45.3;ESTAVEL;2023-07-07 19:00:00;fii;72.95;-9.49;72.95;-9.49
1689001200000;ATSA11.SA;66.04;66.04;66.03;66.03;66.03;4;74.43;-11.29;45.3;ESTAVEL;2023-07-10 15:00:00;fii;72.88;-9.39;72.88;-9.39
1689080400000;ATSA11.SA;66.02;66.02;66.02;66.02;66.02;0;74.35;-11.2;45.27;ESTAVEL;2023-07-11 13:00:00;fii;72.8;-9.31;72.8;-9.31
1689253200000;ATSA11.SA;65.9;65.9;65.9;65.9;65.9;1;74.26;-11.26;44.85;ESTAVEL;2023-07-13 13:00:00;fii;72.72;-9.38;72.72;-9.38
1689264000000;ATSA11.SA;65.01;65.01;63.83;63.83;63.83;16;74.16;-13.93;38.28;ESTAVEL;2023-07-13 16:00:00;fii;72.62;-12.11;72.62;-12.11
1689274800000;ATSA11.SA;64.01;64.01;64.01;64.01;64.01;1;74.06;-13.56;39.12;ESTAVEL;2023-07-13 19:00:00;fii;72.53;-11.74;72.53;-11.74
1689343200000;ATSA11.SA;66.99;66.99;66.99;66.99;66.99;1;73.98;-9.45;50.95;ESTAVEL;2023-07-14 14:00:00;fii;72.47;-7.56;72.47;-7.56
1689948000000;ATSA11.SA;66.0;66.0;66.0;66.0;66.0;4;73.9;-10.69;47.64;ESTAVEL;2023-07-21 14:00:00;fii;72.39;-8.83;72.39;-8.83
1690552800000;ATSA11.SA;66.0;66.0;66.0;66.0;66.0;0;73.82;-10.6;47.64;ESTAVEL;2023-07-28 14:00:00;fii;72.32;-8.74;72.32;-8.74
1690808400000;ATSA11.SA;66.12;66.12;66.12;66.12;66.12;10;73.75;-10.34;48.11;ESTAVEL;2023-07-31 13:00:00;fii;72.25;-8.49;72.25;-8.49
1690815600000;ATSA11.SA;66.12;66.12;66.12;66.12;66.12;1;73.67;-10.25;48.11;ESTAVEL;2023-07-31 15:00:00;fii;72.19;-8.4;72.19;-8.4
1690830000000;ATSA11.SA;66.12;66.12;66.0;66.0;66.0;5;73.59;-10.32;47.61;ESTAVEL;2023-07-31 19:00:00;fii;72.12;-8.48;72.12;-8.48
1690995600000;ATSA11.SA;67.0;67.0;67.0;67.0;67.0;0;73.53;-8.88;52.08;ESTAVEL;2023-08-02 17:00:00;fii;72.06;-7.02;72.06;-7.02
1690999200000;ATSA11.SA;66.25;66.25;66.25;66.25;66.25;7;73.45;-9.81;48.72;ESTAVEL;2023-08-02 18:00:00;fii;72.0;-7.98;72.0;-7.98
1691002800000;ATSA11.SA;66.0;66.01;66.0;66.0;66.0;4;73.38;-10.05;47.62;ESTAVEL;2023-08-02 19:00:00;fii;71.93;-8.25;71.93;-8.25
1691074800000;ATSA11.SA;65.02;65.02;65.02;65.02;65.02;0;73.29;-11.29;43.47;ESTAVEL;2023-08-03 15:00:00;fii;71.86;-9.51;71.86;-9.51
1691154000000;ATSA11.SA;65.02;65.02;65.02;65.02;65.02;29;73.21;-11.19;43.47;ESTAVEL;2023-08-04 13:00:00;fii;71.78;-9.42;71.78;-9.42
1691416800000;ATSA11.SA;66.0;66.0;66.0;66.0;66.0;27;73.14;-9.76;48.66;ESTAVEL;2023-08-07 14:00:00;fii;71.72;-7.97;71.72;-7.97
1691690400000;ATSA11.SA;66.0;66.0;66.0;66.0;66.0;0;73.06;-9.67;48.66;ESTAVEL;2023-08-10 18:00:00;fii;71.65;-7.89;71.65;-7.89
1691694000000;ATSA11.SA;66.0;66.0;66.0;66.0;66.0;1;72.99;-9.58;48.66;ESTAVEL;2023-08-10 19:00:00;fii;71.59;-7.81;71.59;-7.81
1691758800000;ATSA11.SA;65.82;66.0;65.82;66.0;66.0;15;72.92;-9.49;48.66;ESTAVEL;2023-08-11 13:00:00;fii;71.53;-7.73;71.53;-7.73
1691762400000;ATSA11.SA;66.0;66.0;66.0;66.0;66.0;1;72.85;-9.41;48.66;ESTAVEL;2023-08-11 14:00:00;fii;71.47;-7.65;71.47;-7.65
1691766000000;ATSA11.SA;66.0;66.0;65.04;65.04;65.04;19;72.77;-10.63;43.05;ESTAVEL;2023-08-11 15:00:00;fii;71.4;-8.91;71.4;-8.91
1691769600000;ATSA11.SA;65.82;65.82;65.82;65.82;65.82;1;72.7;-9.47;48.27;ESTAVEL;2023-08-11 16:00:00;fii;71.34;-7.74;71.34;-7.74
1692018000000;ATSA11.SA;64.0;64.11;61.9;61.9;61.9;69;72.6;-14.73;32.27;ESTAVEL;2023-08-14 13:00:00;fii;71.24;-13.11;71.24;-13.11
1692021600000;ATSA11.SA;63.67;64.04;63.67;64.04;64.04;50;72.51;-11.68;43.32;ESTAVEL;2023-08-14 14:00:00;fii;71.16;-10.0;71.16;-10.0
1692028800000;ATSA11.SA;64.04;64.04;62.05;62.05;62.05;13;72.4;-14.3;37.23;ESTAVEL;2023-08-14 16:00:00;fii;71.06;-12.68;71.06;-12.68
1692039600000;ATSA11.SA;65.9;65.9;65.9;65.9;65.9;0;72.34;-8.9;51.44;ESTAVEL;2023-08-14 19:00:00;fii;71.0;-7.19;71.0;-7.19
1692111600000;ATSA11.SA;64.21;64.21;64.21;64.21;64.21;1;72.26;-11.14;46.47;ESTAVEL;2023-08-15 15:00:00;fii;70.93;-9.47;70.93;-9.47
1692122400000;ATSA11.SA;65.01;65.01;60.0;60.61;60.61;122;72.14;-15.98;38.03;ESTAVEL;2023-08-15 18:00:00;fii;70.82;-14.41;70.82;-14.41
1692190800000;ATSA11.SA;60.39;60.39;60.39;60.39;60.39;1;72.02;-16.15;37.59;ESTAVEL;2023-08-16 13:00:00;fii;70.7;-14.59;70.7;-14.59
1692194400000;ATSA11.SA;60.01;60.01;54.82;54.82;54.82;80;71.85;-23.7;28.44;SUBIR;2023-08-16 14:00:00;fii;70.53;-22.28;70.53;-22.28
1692198000000;ATSA11.SA;61.7;61.7;61.7;61.7;61.7;1;71.75;-14.0;45.94;ESTAVEL;2023-08-16 15:00:00;fii;70.44;-12.4;70.44;-12.4
1692201600000;ATSA11.SA;61.55;61.55;61.55;61.55;61.55;3;71.64;-14.09;45.68;ESTAVEL;2023-08-16 16:00:00;fii;70.34;-12.5;70.34;-12.5
1692212400000;ATSA11.SA;60.0;60.0;60.0;60.0;60.0;3;71.53;-16.12;42.95;ESTAVEL;2023-08-16 19:00:00;fii;70.23;-14.57;70.23;-14.57
