open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1680202800000;AVLL3.SA;2.37;2.47;2.37;2.4;2.4;33000;10.17;-76.41;32.66;ESTAVEL;2023-03-30 19:00:00;stocks;7.92;-69.69;7.92;-69.69
1680267600000;AVLL3.SA;2.45;2.68;2.45;2.68;2.68;0;10.1;-73.46;39.52;ESTAVEL;2023-03-31 13:00:00;stocks;7.86;-65.89;7.86;-65.89
1680271200000;AVLL3.SA;2.67;2.69;2.67;2.69;2.69;1100;10.02;-73.16;39.76;ESTAVEL;2023-03-31 14:00:00;stocks;7.8;-65.5;7.8;-65.5
1680274800000;AVLL3.SA;2.68;2.85;2.68;2.7;2.7;9500;9.95;-72.86;40.01;ESTAVEL;2023-03-31 15:00:00;stocks;7.74;-65.12;7.74;-65.12
1680278400000;AVLL3.SA;2.7;2.7;2.7;2.7;2.7;300;9.87;-72.66;40.01;ESTAVEL;2023-03-31 16:00:00;stocks;7.68;-64.85;7.68;-64.85
1680282000000;AVLL3.SA;2.8;2.8;2.55;2.55;2.55;1800;9.8;-73.98;37.29;ESTAVEL;2023-03-31 17:00:00;stocks;7.62;-66.55;7.62;-66.55
1680285600000;AVLL3.SA;2.56;2.56;2.56;2.56;2.56;200;9.73;-73.68;37.6;ESTAVEL;2023-03-31 18:00:00;stocks;7.57;-66.16;7.57;-66.16
1680526800000;AVLL3.SA;3.14;3.14;3.1;3.1;3.1;0;9.66;-67.91;51.33;ESTAVEL;2023-04-03 13:00:00;stocks;7.51;-58.75;7.51;-58.75
1680530400000;AVLL3.SA;3.1;3.35;3.1;3.35;3.35;5700;9.6;-65.09;56.15;ESTAVEL;2023-04-03 14:00:00;stocks;7.47;-55.14;7.47;-55.14
1680534000000;AVLL3.SA;3.45;3.45;3.12;3.12;3.12;28400;9.53;-67.26;51.14;ESTAVEL;2023-04-03 15:00:00;stocks;7.42;-57.94;7.42;-57.94
1680537600000;AVLL3.SA;3.12;3.12;3.12;3.12;3.12;0;9.47;-67.04;51.14;ESTAVEL;2023-04-03 16:00:00;stocks;7.37;-57.66;7.37;-57.66
1680541200000;AVLL3.SA;2.99;2.99;2.99;2.99;2.99;1100;9.4;-68.19;48.31;ESTAVEL;2023-04-03 17:00:00;stocks;7.32;-59.15;7.32;-59.15
1680548400000;AVLL3.SA;2.95;2.95;2.95;2.95;2.95;1500;9.33;-68.4;47.44;ESTAVEL;2023-04-03 19:00:00;stocks;7.27;-59.42;7.27;-59.42
