open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;BARI11.SA;103.24;103.24;102.5;102.8;102.8;1916;103.26;-0.44;41.8;ESTAVEL;2022-02-22 14:00:00;fii;103.37;-0.55;103.37;-0.55
1645542000000;BARI11.SA;102.8;103.06;102.56;102.57;102.57;2056;103.25;-0.66;36.95;ESTAVEL;2022-02-22 15:00:00;fii;103.36;-0.76;103.36;-0.76
1645545600000;BARI11.SA;102.58;102.85;102.56;102.79;102.79;578;103.25;-0.44;43.68;ESTAVEL;2022-02-22 16:00:00;fii;103.35;-0.54;103.35;-0.54
1645549200000;BARI11.SA;102.8;103.13;102.8;103.13;103.13;727;103.24;-0.11;52.16;ESTAVEL;2022-02-22 17:00:00;fii;103.35;-0.21;103.35;-0.21
1645552800000;BARI11.SA;103.13;103.14;103.05;103.14;103.14;360;103.24;-0.1;52.39;ESTAVEL;2022-02-22 18:00:00;fii;103.35;-0.2;103.35;-0.2
1645556400000;BARI11.SA;103.14;103.14;102.99;102.99;102.99;1803;103.24;-0.24;48.66;ESTAVEL;2022-02-22 19:00:00;fii;103.34;-0.34;103.34;-0.34
1645621200000;BARI11.SA;102.85;103.07;102.81;102.81;102.81;0;103.24;-0.41;44.55;ESTAVEL;2022-02-23 13:00:00;fii;103.34;-0.51;103.34;-0.51
1645624800000;BARI11.SA;102.85;103.03;102.83;102.85;102.85;400;103.23;-0.37;45.65;ESTAVEL;2022-02-23 14:00:00;fii;103.33;-0.46;103.33;-0.46
1645628400000;BARI11.SA;102.85;103.03;102.79;102.88;102.88;2709;103.23;-0.34;46.51;ESTAVEL;2022-02-23 15:00:00;fii;103.33;-0.43;103.33;-0.43
1645632000000;BARI11.SA;102.88;102.99;102.85;102.85;102.85;430;103.22;-0.36;45.73;ESTAVEL;2022-02-23 16:00:00;fii;103.32;-0.45;103.32;-0.45
1645635600000;BARI11.SA;102.85;102.89;102.8;102.88;102.88;653;103.22;-0.33;46.69;ESTAVEL;2022-02-23 17:00:00;fii;103.31;-0.42;103.31;-0.42
1645639200000;BARI11.SA;102.89;103.0;102.88;102.99;102.99;354;103.22;-0.22;50.16;ESTAVEL;2022-02-23 18:00:00;fii;103.31;-0.31;103.31;-0.31
1645642800000;BARI11.SA;102.93;103.04;102.89;103.0;103.0;681;103.22;-0.21;50.47;ESTAVEL;2022-02-23 19:00:00;fii;103.31;-0.3;103.31;-0.3
1645707600000;BARI11.SA;102.81;102.81;101.75;102.18;102.18;0;103.21;-0.99;32.38;ESTAVEL;2022-02-24 13:00:00;fii;103.29;-1.08;103.29;-1.08
1645711200000;BARI11.SA;102.46;102.67;102.3;102.6;102.6;783;103.2;-0.58;43.54;ESTAVEL;2022-02-24 14:00:00;fii;103.29;-0.67;103.29;-0.67
1645714800000;BARI11.SA;102.56;102.81;102.46;102.81;102.81;480;103.2;-0.37;48.15;ESTAVEL;2022-02-24 15:00:00;fii;103.28;-0.46;103.28;-0.46
1645718400000;BARI11.SA;102.8;102.9;102.67;102.9;102.9;712;103.19;-0.28;50.03;ESTAVEL;2022-02-24 16:00:00;fii;103.28;-0.37;103.28;-0.37
1645722000000;BARI11.SA;102.88;102.98;102.21;102.21;102.21;1525;103.18;-0.94;38.49;ESTAVEL;2022-02-24 17:00:00;fii;103.27;-1.02;103.27;-1.02
1645725600000;BARI11.SA;102.25;102.53;102.02;102.03;102.03;2526;103.17;-1.11;36.15;ESTAVEL;2022-02-24 18:00:00;fii;103.25;-1.18;103.25;-1.18
1645729200000;BARI11.SA;102.03;102.47;102.02;102.04;102.04;856;103.16;-1.09;36.38;ESTAVEL;2022-02-24 19:00:00;fii;103.24;-1.16;103.24;-1.16
1645794000000;BARI11.SA;101.09;102.1;100.9;102.09;102.09;0;103.15;-1.03;37.6;ESTAVEL;2022-02-25 13:00:00;fii;103.22;-1.1;103.22;-1.1
1645797600000;BARI11.SA;102.09;102.77;102.0;102.68;102.68;2093;103.14;-0.45;49.82;ESTAVEL;2022-02-25 14:00:00;fii;103.22;-0.52;103.22;-0.52
1645801200000;BARI11.SA;102.69;103.1;102.69;102.9;102.9;1378;103.14;-0.23;53.48;ESTAVEL;2022-02-25 15:00:00;fii;103.22;-0.31;103.22;-0.31
1645804800000;BARI11.SA;102.99;103.09;102.91;103.08;103.08;597;103.14;-0.06;56.28;ESTAVEL;2022-02-25 16:00:00;fii;103.21;-0.13;103.21;-0.13
1645808400000;BARI11.SA;103.08;103.75;103.0;103.28;103.28;3090;103.14;0.13;59.23;ESTAVEL;2022-02-25 17:00:00;fii;103.21;0.06;103.21;0.06
1645812000000;BARI11.SA;103.3;103.54;102.9;103.18;103.18;1490;103.14;0.04;57.16;ESTAVEL;2022-02-25 18:00:00;fii;103.21;-0.03;103.21;-0.03
1645815600000;BARI11.SA;103.18;103.62;103.01;103.61;103.61;1532;103.15;0.45;63.13;ESTAVEL;2022-02-25 19:00:00;fii;103.22;0.38;103.22;0.38
1646236800000;BARI11.SA;103.29;103.29;101.65;101.65;101.65;3934;103.13;-1.44;37.48;ESTAVEL;2022-03-02 16:00:00;fii;103.2;-1.5;103.2;-1.5
1646240400000;BARI11.SA;101.71;101.86;101.22;101.51;101.51;2649;103.12;-1.56;36.34;ESTAVEL;2022-03-02 17:00:00;fii;103.18;-1.62;103.18;-1.62
1646244000000;BARI11.SA;101.51;101.83;101.5;101.52;101.52;2679;103.1;-1.53;36.49;ESTAVEL;2022-03-02 18:00:00;fii;103.16;-1.59;103.16;-1.59
1646247600000;BARI11.SA;101.52;103.16;101.5;103.16;103.16;885;103.1;0.06;54.98;ESTAVEL;2022-03-02 19:00:00;fii;103.16;-0.0;103.16;-0.0
1646312400000;BARI11.SA;101.54;102.3;101.54;102.22;102.22;0;103.09;-0.85;46.61;ESTAVEL;2022-03-03 13:00:00;fii;103.15;-0.91;103.15;-0.91
1646316000000;BARI11.SA;102.26;102.29;101.69;101.95;101.95;1029;103.08;-1.1;44.51;ESTAVEL;2022-03-03 14:00:00;fii;103.14;-1.15;103.14;-1.15
1646319600000;BARI11.SA;101.95;102.19;101.82;102.18;102.18;653;103.07;-0.86;46.71;ESTAVEL;2022-03-03 15:00:00;fii;103.13;-0.92;103.13;-0.92
1646323200000;BARI11.SA;102.18;102.41;102.02;102.38;102.38;36207;103.06;-0.66;48.62;ESTAVEL;2022-03-03 16:00:00;fii;103.12;-0.72;103.12;-0.72
1646326800000;BARI11.SA;102.38;102.6;102.15;102.57;102.57;4060;103.06;-0.48;50.43;ESTAVEL;2022-03-03 17:00:00;fii;103.12;-0.53;103.12;-0.53
1646330400000;BARI11.SA;102.57;102.65;102.5;102.65;102.65;2171;103.06;-0.39;51.21;ESTAVEL;2022-03-03 18:00:00;fii;103.11;-0.45;103.11;-0.45
1646334000000;BARI11.SA;102.65;103.54;102.46;103.54;103.54;2905;103.06;0.47;58.97;ESTAVEL;2022-03-03 19:00:00;fii;103.11;0.41;103.11;0.41
1646398800000;BARI11.SA;104.77;104.77;103.01;103.48;103.48;0;103.06;0.4;58.29;ESTAVEL;2022-03-04 13:00:00;fii;103.12;0.35;103.12;0.35
1646402400000;BARI11.SA;103.1;103.54;103.1;103.44;103.44;1194;103.07;0.36;57.82;ESTAVEL;2022-03-04 14:00:00;fii;103.12;0.31;103.12;0.31
1646406000000;BARI11.SA;103.44;103.5;103.14;103.45;103.45;816;103.07;0.37;57.91;ESTAVEL;2022-03-04 15:00:00;fii;103.13;0.31;103.13;0.31
1646409600000;BARI11.SA;103.44;103.48;103.26;103.31;103.31;692;103.07;0.23;56.07;ESTAVEL;2022-03-04 16:00:00;fii;103.13;0.18;103.13;0.18
1646413200000;BARI11.SA;103.31;103.47;103.3;103.44;103.44;719;103.08;0.35;57.42;ESTAVEL;2022-03-04 17:00:00;fii;103.13;0.3;103.13;0.3
1646416800000;BARI11.SA;103.44;103.7;103.38;103.7;103.7;888;103.08;0.6;60.08;ESTAVEL;2022-03-04 18:00:00;fii;103.14;0.55;103.14;0.55
1646420400000;BARI11.SA;103.69;103.7;103.38;103.45;103.45;1444;103.09;0.35;56.44;ESTAVEL;2022-03-04 19:00:00;fii;103.14;0.3;103.14;0.3
1646658000000;BARI11.SA;103.4;103.5;102.35;103.19;103.19;0;103.09;0.1;52.85;ESTAVEL;2022-03-07 13:00:00;fii;103.14;0.05;103.14;0.05
