open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645624800000;BBFI11B.SA;2145.03;2145.03;2139.04;2139.04;2139.04;5;2205.48;-3.01;46.35;ESTAVEL;2022-02-23 14:00:00;fii;2205.12;-3.0;2205.12;-3.0
1645628400000;BBFI11B.SA;2140.0;2149.24;2139.03;2149.24;2149.24;8;2204.91;-2.52;50.32;ESTAVEL;2022-02-23 15:00:00;fii;2204.48;-2.51;2204.48;-2.51
1645632000000;BBFI11B.SA;2149.16;2149.24;2148.99;2148.99;2148.99;8;2204.34;-2.51;50.22;ESTAVEL;2022-02-23 16:00:00;fii;2203.84;-2.49;2203.84;-2.49
1645635600000;BBFI11B.SA;2148.97;2148.97;2148.97;2148.97;2148.97;3;2203.78;-2.49;50.21;ESTAVEL;2022-02-23 17:00:00;fii;2203.21;-2.46;2203.21;-2.46
1645639200000;BBFI11B.SA;2148.96;2148.96;2132.01;2134.0;2134.0;11;2203.07;-3.14;44.23;ESTAVEL;2022-02-23 18:00:00;fii;2202.42;-3.11;2202.42;-3.11
1645642800000;BBFI11B.SA;2134.01;2148.39;2134.01;2148.16;2148.16;7;2202.52;-2.47;50.27;ESTAVEL;2022-02-23 19:00:00;fii;2201.8;-2.44;2201.8;-2.44
1645707600000;BBFI11B.SA;2148.98;2149.02;2111.11;2111.11;2111.11;27;2201.59;-4.11;38.52;ESTAVEL;2022-02-24 13:00:00;fii;2200.76;-4.07;2200.76;-4.07
1645711200000;BBFI11B.SA;2111.11;2123.97;2103.01;2103.16;2103.16;14;2200.59;-4.43;36.54;ESTAVEL;2022-02-24 14:00:00;fii;2199.65;-4.39;2199.65;-4.39
1645714800000;BBFI11B.SA;2104.05;2139.02;2102.5;2102.5;2102.5;50;2199.6;-4.41;36.38;ESTAVEL;2022-02-24 15:00:00;fii;2198.55;-4.37;2198.55;-4.37
1645718400000;BBFI11B.SA;2103.0;2127.0;2102.15;2110.01;2110.01;17;2198.69;-4.03;39.74;ESTAVEL;2022-02-24 16:00:00;fii;2197.54;-3.98;2197.54;-3.98
1645722000000;BBFI11B.SA;2111.02;2111.02;2080.0;2080.0;2080.0;54;2197.49;-5.35;32.37;ESTAVEL;2022-02-24 17:00:00;fii;2196.21;-5.29;2196.21;-5.29
1645725600000;BBFI11B.SA;2100.0;2100.0;2050.0;2089.0;2089.0;32;2196.4;-4.89;36.19;ESTAVEL;2022-02-24 18:00:00;fii;2195.0;-4.83;2195.0;-4.83
1645729200000;BBFI11B.SA;2089.0;2089.0;2089.0;2089.0;2089.0;12;2195.31;-4.84;36.19;ESTAVEL;2022-02-24 19:00:00;fii;2193.8;-4.78;2193.8;-4.78
1645794000000;BBFI11B.SA;2089.0;2129.0;2089.0;2129.0;2129.0;0;2194.64;-2.99;50.59;ESTAVEL;2022-02-25 13:00:00;fii;2193.07;-2.92;2193.07;-2.92
1645797600000;BBFI11B.SA;2139.0;2142.48;2100.0;2100.0;2100.0;11;2193.68;-4.27;43.01;ESTAVEL;2022-02-25 14:00:00;fii;2192.02;-4.2;2192.02;-4.2
1645801200000;BBFI11B.SA;2129.97;2143.0;2129.97;2142.99;2142.99;8;2193.17;-2.29;54.01;ESTAVEL;2022-02-25 15:00:00;fii;2191.46;-2.21;2191.46;-2.21
1645804800000;BBFI11B.SA;2142.99;2142.99;2139.99;2139.99;2139.99;9;2192.63;-2.4;53.24;ESTAVEL;2022-02-25 16:00:00;fii;2190.89;-2.32;2190.89;-2.32
1645808400000;BBFI11B.SA;2142.99;2142.99;2141.0;2141.0;2141.0;40;2192.11;-2.33;53.48;ESTAVEL;2022-02-25 17:00:00;fii;2190.33;-2.25;2190.33;-2.25
1645812000000;BBFI11B.SA;2142.98;2142.98;2115.13;2115.13;2115.13;5;2191.33;-3.48;46.82;ESTAVEL;2022-02-25 18:00:00;fii;2189.48;-3.4;2189.48;-3.4
1645815600000;BBFI11B.SA;2142.0;2142.0;2115.13;2115.13;2115.13;26;2190.56;-3.44;46.82;ESTAVEL;2022-02-25 19:00:00;fii;2188.65;-3.36;2188.65;-3.36
1646236800000;BBFI11B.SA;2120.0;2120.0;1999.41;2031.01;2031.01;23;2188.95;-7.22;31.86;ESTAVEL;2022-03-02 16:00:00;fii;2186.88;-7.13;2186.88;-7.13
1646240400000;BBFI11B.SA;2066.99;2092.99;2050.7;2088.74;2088.74;25;2187.94;-4.53;44.88;ESTAVEL;2022-03-02 17:00:00;fii;2185.79;-4.44;2185.79;-4.44
1646244000000;BBFI11B.SA;2090.74;2090.74;2056.26;2085.96;2085.96;37;2186.91;-4.62;44.44;ESTAVEL;2022-03-02 18:00:00;fii;2184.67;-4.52;2184.67;-4.52
1646312400000;BBFI11B.SA;2112.0;2168.59;2060.0;2110.0;2110.0;0;2186.13;-3.48;49.09;ESTAVEL;2022-03-03 13:00:00;fii;2183.84;-3.38;2183.84;-3.38
1646316000000;BBFI11B.SA;2110.0;2110.0;2110.0;2110.0;2110.0;1;2185.36;-3.45;49.09;ESTAVEL;2022-03-03 14:00:00;fii;2183.02;-3.34;2183.02;-3.34
1646319600000;BBFI11B.SA;2110.0;2110.0;2099.99;2099.99;2099.99;20;2184.5;-3.87;47.18;ESTAVEL;2022-03-03 15:00:00;fii;2182.1;-3.76;2182.1;-3.76
1646323200000;BBFI11B.SA;2095.0;2099.99;2093.0;2099.99;2099.99;24;2183.65;-3.83;47.18;ESTAVEL;2022-03-03 16:00:00;fii;2181.18;-3.72;2181.18;-3.72
1646326800000;BBFI11B.SA;2100.0;2104.99;2093.0;2100.0;2100.0;12;2182.8;-3.79;47.18;ESTAVEL;2022-03-03 17:00:00;fii;2180.28;-3.68;2180.28;-3.68
