open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1646762400000;BBFO11.SA;71.0;71.0;71.0;71.0;71.0;1;74.36;-4.52;32.21;ESTAVEL;2022-03-08 18:00:00;fii;74.44;-4.62;74.44;-4.62
1646766000000;BBFO11.SA;71.0;71.0;70.6;70.6;70.6;412;74.32;-5.01;28.88;SUBIR;2022-03-08 19:00:00;fii;74.4;-5.1;74.4;-5.1
1646830800000;BBFO11.SA;70.76;70.8;70.75;70.76;70.76;0;74.28;-4.74;31.92;ESTAVEL;2022-03-09 13:00:00;fii;74.36;-4.84;74.36;-4.84
1646834400000;BBFO11.SA;73.97;73.97;73.86;73.86;73.86;23;74.28;-0.57;63.98;ESTAVEL;2022-03-09 14:00:00;fii;74.35;-0.66;74.35;-0.66
1646838000000;BBFO11.SA;72.92;72.92;72.92;72.92;72.92;10;74.27;-1.81;55.45;ESTAVEL;2022-03-09 15:00:00;fii;74.33;-1.9;74.33;-1.9
1646841600000;BBFO11.SA;72.49;72.49;72.49;72.49;72.49;1;74.25;-2.37;52.04;ESTAVEL;2022-03-09 16:00:00;fii;74.31;-2.45;74.31;-2.45
1646845200000;BBFO11.SA;72.19;72.19;70.37;71.32;71.32;1003;74.22;-3.91;44.08;ESTAVEL;2022-03-09 17:00:00;fii;74.28;-3.98;74.28;-3.98
1646848800000;BBFO11.SA;71.21;71.21;71.21;71.21;71.21;0;74.19;-4.01;43.41;ESTAVEL;2022-03-09 18:00:00;fii;74.24;-4.09;74.24;-4.09
1646852400000;BBFO11.SA;71.87;71.87;71.24;71.24;71.24;57;74.16;-3.94;43.66;ESTAVEL;2022-03-09 19:00:00;fii;74.21;-4.0;74.21;-4.0
1646917200000;BBFO11.SA;70.0;71.5;67.12;71.44;71.44;2256;74.13;-3.63;45.41;ESTAVEL;2022-03-10 13:00:00;fii;74.18;-3.69;74.18;-3.69
1646920800000;BBFO11.SA;71.42;71.42;71.39;71.39;71.39;46;74.1;-3.66;45.03;ESTAVEL;2022-03-10 14:00:00;fii;74.15;-3.72;74.15;-3.72
1646924400000;BBFO11.SA;71.25;71.44;71.01;71.01;71.01;104;74.07;-4.13;42.17;ESTAVEL;2022-03-10 15:00:00;fii;74.11;-4.18;74.11;-4.18
