open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;BBPO11.SA;91.33;91.39;90.74;91.19;91.19;1565;91.51;-0.35;55.16;ESTAVEL;2022-02-22 14:00:00;fii;91.51;-0.34;91.51;-0.34
1645542000000;BBPO11.SA;91.18;91.2;90.94;90.95;90.95;411;91.51;-0.61;49.75;ESTAVEL;2022-02-22 15:00:00;fii;91.5;-0.6;91.5;-0.6
1645545600000;BBPO11.SA;90.95;90.97;90.85;90.97;90.97;1923;91.5;-0.58;50.18;ESTAVEL;2022-02-22 16:00:00;fii;91.49;-0.57;91.49;-0.57
1645549200000;BBPO11.SA;90.97;91.19;90.75;90.75;90.75;2172;91.49;-0.81;45.48;ESTAVEL;2022-02-22 17:00:00;fii;91.48;-0.8;91.48;-0.8
1645552800000;BBPO11.SA;90.74;91.0;90.71;90.72;90.72;3776;91.48;-0.84;44.87;ESTAVEL;2022-02-22 18:00:00;fii;91.48;-0.83;91.48;-0.83
1645556400000;BBPO11.SA;90.72;91.09;90.7;90.89;90.89;1487;91.48;-0.64;49.08;ESTAVEL;2022-02-22 19:00:00;fii;91.47;-0.63;91.47;-0.63
1645621200000;BBPO11.SA;90.7;91.04;90.7;91.0;91.0;0;91.47;-0.52;51.66;ESTAVEL;2022-02-23 13:00:00;fii;91.46;-0.51;91.46;-0.51
1645624800000;BBPO11.SA;91.0;91.0;90.78;90.94;90.94;2215;91.47;-0.58;50.17;ESTAVEL;2022-02-23 14:00:00;fii;91.46;-0.57;91.46;-0.57
1645628400000;BBPO11.SA;90.94;91.0;90.79;90.89;90.89;1784;91.46;-0.63;48.9;ESTAVEL;2022-02-23 15:00:00;fii;91.45;-0.61;91.45;-0.61
1645632000000;BBPO11.SA;90.89;90.99;90.8;90.98;90.98;697;91.46;-0.52;51.29;ESTAVEL;2022-02-23 16:00:00;fii;91.45;-0.51;91.45;-0.51
1645635600000;BBPO11.SA;90.98;90.99;90.35;90.75;90.75;8262;91.45;-0.77;45.45;ESTAVEL;2022-02-23 17:00:00;fii;91.44;-0.75;91.44;-0.75
1645639200000;BBPO11.SA;90.75;90.75;90.1;90.34;90.34;2927;91.44;-1.2;37.3;ESTAVEL;2022-02-23 18:00:00;fii;91.43;-1.19;91.43;-1.19
1645642800000;BBPO11.SA;90.34;90.75;90.25;90.49;90.49;3108;91.43;-1.03;41.44;ESTAVEL;2022-02-23 19:00:00;fii;91.42;-1.01;91.42;-1.01
1645707600000;BBPO11.SA;90.19;90.19;89.7;89.94;89.94;0;91.41;-1.61;32.87;ESTAVEL;2022-02-24 13:00:00;fii;91.4;-1.6;91.4;-1.6
1645711200000;BBPO11.SA;89.94;89.94;89.4;89.7;89.7;2666;91.4;-1.86;29.96;SUBIR;2022-02-24 14:00:00;fii;91.38;-1.84;91.38;-1.84
1645714800000;BBPO11.SA;89.7;89.79;89.15;89.62;89.62;2668;91.38;-1.93;29.04;SUBIR;2022-02-24 15:00:00;fii;91.36;-1.9;91.36;-1.9
1645718400000;BBPO11.SA;89.7;89.93;89.61;89.92;89.92;1484;91.36;-1.58;36.89;ESTAVEL;2022-02-24 16:00:00;fii;91.34;-1.56;91.34;-1.56
1645722000000;BBPO11.SA;89.92;89.93;89.72;89.77;89.77;819;91.35;-1.73;34.82;ESTAVEL;2022-02-24 17:00:00;fii;91.33;-1.7;91.33;-1.7
1645725600000;BBPO11.SA;89.9;89.93;89.6;89.9;89.9;1954;91.33;-1.57;38.07;ESTAVEL;2022-02-24 18:00:00;fii;91.31;-1.54;91.31;-1.54
1645729200000;BBPO11.SA;89.72;89.9;89.62;89.67;89.67;1970;91.32;-1.8;34.76;ESTAVEL;2022-02-24 19:00:00;fii;91.29;-1.78;91.29;-1.78
1645794000000;BBPO11.SA;90.0;90.49;89.9;90.38;90.38;0;91.31;-1.02;49.37;ESTAVEL;2022-02-25 13:00:00;fii;91.28;-0.99;91.28;-0.99
1645797600000;BBPO11.SA;90.38;90.6;90.11;90.47;90.47;2436;91.3;-0.91;50.87;ESTAVEL;2022-02-25 14:00:00;fii;91.27;-0.88;91.27;-0.88
1645801200000;BBPO11.SA;90.48;90.6;90.24;90.59;90.59;535;91.29;-0.77;52.87;ESTAVEL;2022-02-25 15:00:00;fii;91.26;-0.74;91.26;-0.74
1645804800000;BBPO11.SA;90.59;90.6;90.48;90.6;90.6;765;91.28;-0.75;53.05;ESTAVEL;2022-02-25 16:00:00;fii;91.26;-0.72;91.26;-0.72
1645808400000;BBPO11.SA;90.6;90.96;90.5;90.77;90.77;1001;91.28;-0.56;55.99;ESTAVEL;2022-02-25 17:00:00;fii;91.25;-0.53;91.25;-0.53
1645812000000;BBPO11.SA;90.76;90.77;90.29;90.34;90.34;1203;91.27;-1.02;47.82;ESTAVEL;2022-02-25 18:00:00;fii;91.24;-0.99;91.24;-0.99
1645815600000;BBPO11.SA;90.34;90.66;90.09;90.66;90.66;2058;91.26;-0.66;53.28;ESTAVEL;2022-02-25 19:00:00;fii;91.23;-0.63;91.23;-0.63
1646236800000;BBPO11.SA;90.0;90.6;89.9;90.0;90.0;1423;91.25;-1.37;43.24;ESTAVEL;2022-03-02 16:00:00;fii;91.22;-1.34;91.22;-1.34
1646240400000;BBPO11.SA;89.98;90.0;89.25;89.71;89.71;2094;91.24;-1.67;39.69;ESTAVEL;2022-03-02 17:00:00;fii;91.2;-1.64;91.2;-1.64
1646244000000;BBPO11.SA;89.79;89.79;89.6;89.7;89.7;882;91.22;-1.67;39.57;ESTAVEL;2022-03-02 18:00:00;fii;91.19;-1.63;91.19;-1.63
1646247600000;BBPO11.SA;89.7;90.69;89.69;90.69;90.69;960;91.21;-0.58;54.34;ESTAVEL;2022-03-02 19:00:00;fii;91.18;-0.54;91.18;-0.54
1646312400000;BBPO11.SA;89.7;90.0;89.62;89.9;89.9;0;91.2;-1.43;44.91;ESTAVEL;2022-03-03 13:00:00;fii;91.17;-1.39;91.17;-1.39
1646316000000;BBPO11.SA;89.9;90.2;89.76;90.18;90.18;2058;91.19;-1.11;48.33;ESTAVEL;2022-03-03 14:00:00;fii;91.16;-1.07;91.16;-1.07
1646319600000;BBPO11.SA;90.15;90.27;89.9;90.12;90.12;859;91.18;-1.16;47.65;ESTAVEL;2022-03-03 15:00:00;fii;91.15;-1.13;91.15;-1.13
1646323200000;BBPO11.SA;90.12;90.12;89.48;89.5;89.5;5707;91.16;-1.82;41.17;ESTAVEL;2022-03-03 16:00:00;fii;91.13;-1.79;91.13;-1.79
1646326800000;BBPO11.SA;89.5;89.5;89.48;89.5;89.5;2894;91.15;-1.81;41.17;ESTAVEL;2022-03-03 17:00:00;fii;91.11;-1.77;91.11;-1.77
1646330400000;BBPO11.SA;89.5;89.5;89.3;89.48;89.48;3340;91.13;-1.81;40.96;ESTAVEL;2022-03-03 18:00:00;fii;91.09;-1.77;91.09;-1.77
1646334000000;BBPO11.SA;89.48;89.49;89.02;89.02;89.02;1757;91.11;-2.29;36.4;ESTAVEL;2022-03-03 19:00:00;fii;91.07;-2.25;91.07;-2.25
1646398800000;BBPO11.SA;89.13;89.94;89.13;89.6;89.6;0;91.09;-1.64;44.76;ESTAVEL;2022-03-04 13:00:00;fii;91.05;-1.6;91.05;-1.6
1646402400000;BBPO11.SA;89.6;89.6;89.42;89.5;89.5;331;91.08;-1.73;43.69;ESTAVEL;2022-03-04 14:00:00;fii;91.04;-1.69;91.04;-1.69
1646406000000;BBPO11.SA;89.55;89.55;89.21;89.5;89.5;1029;91.06;-1.71;43.69;ESTAVEL;2022-03-04 15:00:00;fii;91.02;-1.67;91.02;-1.67
1646409600000;BBPO11.SA;89.37;89.57;89.2;89.3;89.3;1189;91.04;-1.92;41.4;ESTAVEL;2022-03-04 16:00:00;fii;91.0;-1.87;91.0;-1.87
1646413200000;BBPO11.SA;89.3;89.5;89.15;89.41;89.41;557;91.03;-1.78;43.17;ESTAVEL;2022-03-04 17:00:00;fii;90.98;-1.73;90.98;-1.73
1646416800000;BBPO11.SA;89.5;89.5;89.13;89.39;89.39;1259;91.01;-1.78;42.91;ESTAVEL;2022-03-04 18:00:00;fii;90.97;-1.73;90.97;-1.73
1646420400000;BBPO11.SA;89.39;89.49;89.13;89.14;89.14;890;90.99;-2.04;39.78;ESTAVEL;2022-03-04 19:00:00;fii;90.95;-1.99;90.95;-1.99
1646658000000;BBPO11.SA;89.0;89.5;88.92;88.94;88.94;0;90.97;-2.23;37.42;ESTAVEL;2022-03-07 13:00:00;fii;90.92;-2.18;90.92;-2.18
1646661600000;BBPO11.SA;88.97;89.1;88.9;89.0;89.0;1135;90.95;-2.15;38.6;ESTAVEL;2022-03-07 14:00:00;fii;90.9;-2.09;90.9;-2.09
1646665200000;BBPO11.SA;89.0;89.43;89.0;89.4;89.4;2013;90.94;-1.69;45.89;ESTAVEL;2022-03-07 15:00:00;fii;90.89;-1.64;90.89;-1.64
1646668800000;BBPO11.SA;89.29;89.43;89.2;89.25;89.25;1239;90.92;-1.84;43.79;ESTAVEL;2022-03-07 16:00:00;fii;90.87;-1.78;90.87;-1.78
1646672400000;BBPO11.SA;89.25;89.25;88.9;88.9;88.9;1764;90.9;-2.2;39.27;ESTAVEL;2022-03-07 17:00:00;fii;90.85;-2.14;90.85;-2.14
1646676000000;BBPO11.SA;89.0;89.0;88.9;88.94;88.94;1309;90.88;-2.13;40.03;ESTAVEL;2022-03-07 18:00:00;fii;90.83;-2.08;90.83;-2.08
1646679600000;BBPO11.SA;88.94;89.0;88.7;88.89;88.89;2213;90.86;-2.17;39.37;ESTAVEL;2022-03-07 19:00:00;fii;90.81;-2.11;90.81;-2.11
1646744400000;BBPO11.SA;88.8;89.0;88.8;88.9;88.9;722;90.84;-2.13;39.59;ESTAVEL;2022-03-08 13:00:00;fii;90.79;-2.08;90.79;-2.08
1646748000000;BBPO11.SA;88.9;88.9;88.8;88.9;88.9;876;90.82;-2.11;39.59;ESTAVEL;2022-03-08 14:00:00;fii;90.76;-2.05;90.76;-2.05
1646751600000;BBPO11.SA;88.9;88.9;88.85;88.89;88.89;376;90.8;-2.1;39.42;ESTAVEL;2022-03-08 15:00:00;fii;90.74;-2.04;90.74;-2.04
1646755200000;BBPO11.SA;88.9;88.9;88.52;88.73;88.73;2208;90.78;-2.26;36.82;ESTAVEL;2022-03-08 16:00:00;fii;90.72;-2.2;90.72;-2.2
1646758800000;BBPO11.SA;88.75;88.8;88.52;88.8;88.8;913;90.76;-2.16;38.73;ESTAVEL;2022-03-08 17:00:00;fii;90.7;-2.1;90.7;-2.1
1646762400000;BBPO11.SA;88.8;88.8;88.57;88.79;88.79;1303;90.74;-2.15;38.55;ESTAVEL;2022-03-08 18:00:00;fii;90.68;-2.09;90.68;-2.09
1646766000000;BBPO11.SA;88.8;88.8;88.58;88.69;88.69;789;90.72;-2.24;36.72;ESTAVEL;2022-03-08 19:00:00;fii;90.66;-2.17;90.66;-2.17
1646830800000;BBPO11.SA;88.6;88.78;88.05;88.6;88.6;0;90.7;-2.31;35.1;ESTAVEL;2022-03-09 13:00:00;fii;90.64;-2.25;90.64;-2.25
1646834400000;BBPO11.SA;88.6;88.7;88.12;88.7;88.7;720;90.68;-2.18;38.35;ESTAVEL;2022-03-09 14:00:00;fii;90.62;-2.12;90.62;-2.12
1646838000000;BBPO11.SA;88.7;88.78;88.53;88.7;88.7;628;90.66;-2.16;38.35;ESTAVEL;2022-03-09 15:00:00;fii;90.6;-2.09;90.6;-2.09
1646841600000;BBPO11.SA;88.62;88.75;88.5;88.59;88.59;3170;90.64;-2.26;36.05;ESTAVEL;2022-03-09 16:00:00;fii;90.57;-2.19;90.57;-2.19
1646845200000;BBPO11.SA;88.6;88.6;88.15;88.2;88.2;830;90.61;-2.66;29.33;SUBIR;2022-03-09 17:00:00;fii;90.55;-2.59;90.55;-2.59
1646848800000;BBPO11.SA;88.38;88.4;88.2;88.38;88.38;520;90.59;-2.44;35.32;ESTAVEL;2022-03-09 18:00:00;fii;90.53;-2.37;90.53;-2.37
1646852400000;BBPO11.SA;88.39;88.6;88.27;88.6;88.6;4026;90.57;-2.18;41.81;ESTAVEL;2022-03-09 19:00:00;fii;90.51;-2.11;90.51;-2.11
1646917200000;BBPO11.SA;88.6;88.6;88.0;88.5;88.5;0;90.55;-2.26;39.85;ESTAVEL;2022-03-10 13:00:00;fii;90.48;-2.19;90.48;-2.19
1646920800000;BBPO11.SA;88.5;88.5;88.0;88.13;88.13;2582;90.53;-2.65;33.59;ESTAVEL;2022-03-10 14:00:00;fii;90.46;-2.57;90.46;-2.57
