open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;BEEF3.SA;9.88;9.98;9.87;9.91;9.91;1189700;9.75;1.65;55.83;ESTAVEL;2022-02-22 14:00:00;stocks;9.73;1.87;9.73;1.87
1645542000000;BEEF3.SA;9.9;10.02;9.83;10.02;10.02;1339600;9.75;2.75;61.79;ESTAVEL;2022-02-22 15:00:00;stocks;9.73;2.96;9.73;2.96
1645545600000;BEEF3.SA;10.01;10.02;9.95;9.99;9.99;851600;9.75;2.42;59.43;ESTAVEL;2022-02-22 16:00:00;stocks;9.73;2.63;9.73;2.63
1645549200000;BEEF3.SA;9.99;10.01;9.89;9.9;9.9;1049200;9.76;1.48;52.91;ESTAVEL;2022-02-22 17:00:00;stocks;9.74;1.68;9.74;1.68
1645552800000;BEEF3.SA;9.89;10.01;9.89;10.01;10.01;767600;9.76;2.58;58.86;ESTAVEL;2022-02-22 18:00:00;stocks;9.74;2.78;9.74;2.78
1645556400000;BEEF3.SA;10.01;10.15;10.01;10.14;10.14;1470100;9.76;3.87;64.55;ESTAVEL;2022-02-22 19:00:00;stocks;9.74;4.06;9.74;4.06
1645621200000;BEEF3.SA;10.18;10.25;10.08;10.16;10.16;0;9.77;4.03;65.34;ESTAVEL;2022-02-23 13:00:00;stocks;9.75;4.22;9.75;4.22
1645624800000;BEEF3.SA;10.16;10.21;10.02;10.08;10.08;889200;9.77;3.18;59.59;ESTAVEL;2022-02-23 14:00:00;stocks;9.75;3.36;9.75;3.36
1645628400000;BEEF3.SA;10.09;10.14;10.04;10.11;10.11;559100;9.77;3.45;60.98;ESTAVEL;2022-02-23 15:00:00;stocks;9.76;3.62;9.76;3.62
1645632000000;BEEF3.SA;10.11;10.11;10.02;10.06;10.06;780000;9.78;2.91;57.44;ESTAVEL;2022-02-23 16:00:00;stocks;9.76;3.07;9.76;3.07
1645635600000;BEEF3.SA;10.06;10.11;10.03;10.1;10.1;808300;9.78;3.28;59.47;ESTAVEL;2022-02-23 17:00:00;stocks;9.76;3.44;9.76;3.44
1645639200000;BEEF3.SA;10.09;10.1;10.03;10.06;10.06;870200;9.78;2.84;56.56;ESTAVEL;2022-02-23 18:00:00;stocks;9.77;3.0;9.77;3.0
1645642800000;BEEF3.SA;10.07;10.1;10.05;10.1;10.1;965400;9.79;3.22;58.73;ESTAVEL;2022-02-23 19:00:00;stocks;9.77;3.37;9.77;3.37
1645707600000;BEEF3.SA;9.81;10.44;9.78;10.19;10.19;0;9.79;4.09;63.19;ESTAVEL;2022-02-24 13:00:00;stocks;9.78;4.24;9.78;4.24
1645711200000;BEEF3.SA;10.19;10.2;9.95;10.15;10.15;2380300;9.79;3.65;60.08;ESTAVEL;2022-02-24 14:00:00;stocks;9.78;3.78;9.78;3.78
1645714800000;BEEF3.SA;10.14;10.4;10.12;10.4;10.4;1356500;9.8;6.13;70.0;ESTAVEL;2022-02-24 15:00:00;stocks;9.79;6.26;9.79;6.26
1645718400000;BEEF3.SA;10.4;10.48;10.35;10.47;10.47;1581400;9.81;6.77;72.09;CAIR;2022-02-24 16:00:00;stocks;9.79;6.89;9.79;6.89
1645722000000;BEEF3.SA;10.47;10.54;10.43;10.48;10.48;2628100;9.81;6.8;72.39;CAIR;2022-02-24 17:00:00;stocks;9.8;6.91;9.8;6.91
1645725600000;BEEF3.SA;10.48;10.54;10.41;10.52;10.52;1834500;9.82;7.13;73.59;CAIR;2022-02-24 18:00:00;stocks;9.81;7.23;9.81;7.23
1645729200000;BEEF3.SA;10.53;10.72;10.51;10.7;10.7;2252900;9.83;8.87;78.21;CAIR;2022-02-24 19:00:00;stocks;9.82;8.96;9.82;8.96
1645794000000;BEEF3.SA;10.74;10.99;10.72;10.9;10.9;0;9.84;10.78;81.98;CAIR;2022-02-25 13:00:00;stocks;9.83;10.86;9.83;10.86
1645797600000;BEEF3.SA;10.89;10.9;10.69;10.72;10.72;1243000;9.85;8.85;70.21;CAIR;2022-02-25 14:00:00;stocks;9.84;8.92;9.84;8.92
1645801200000;BEEF3.SA;10.73;10.9;10.7;10.83;10.83;1478200;9.86;9.86;72.78;CAIR;2022-02-25 15:00:00;stocks;9.85;9.91;9.85;9.91
1645804800000;BEEF3.SA;10.83;10.85;10.76;10.83;10.83;1229500;9.87;9.75;72.78;CAIR;2022-02-25 16:00:00;stocks;9.86;9.79;9.86;9.79
1645808400000;BEEF3.SA;10.84;10.87;10.81;10.82;10.82;819100;9.88;9.54;72.12;CAIR;2022-02-25 17:00:00;stocks;9.87;9.57;9.87;9.57
1645812000000;BEEF3.SA;10.83;10.89;10.81;10.89;10.89;791000;9.89;10.13;73.9;CAIR;2022-02-25 18:00:00;stocks;9.89;10.15;9.89;10.15
1645815600000;BEEF3.SA;10.89;10.9;10.82;10.85;10.85;722700;9.9;9.62;71.11;CAIR;2022-02-25 19:00:00;stocks;9.9;9.63;9.9;9.63
1646236800000;BEEF3.SA;10.8;11.24;10.8;11.23;11.23;3580600;9.91;13.31;79.15;CAIR;2022-03-02 16:00:00;stocks;9.91;13.3;9.91;13.3
1646240400000;BEEF3.SA;11.23;11.27;11.1;11.18;11.18;1433700;9.92;12.66;76.15;CAIR;2022-03-02 17:00:00;stocks;9.93;12.64;9.93;12.64
1646244000000;BEEF3.SA;11.19;11.2;11.14;11.17;11.17;1037400;9.94;12.41;75.53;CAIR;2022-03-02 18:00:00;stocks;9.94;12.38;9.94;12.38
1646312400000;BEEF3.SA;11.11;11.19;10.81;10.87;10.87;0;9.95;9.29;59.86;ESTAVEL;2022-03-03 13:00:00;stocks;9.95;9.25;9.95;9.25
1646316000000;BEEF3.SA;10.87;10.87;10.77;10.81;10.81;940900;9.95;8.59;57.29;ESTAVEL;2022-03-03 14:00:00;stocks;9.96;8.54;9.96;8.54
1646319600000;BEEF3.SA;10.81;10.82;10.62;10.64;10.64;2061900;9.96;6.81;50.68;ESTAVEL;2022-03-03 15:00:00;stocks;9.97;6.75;9.97;6.75
1646323200000;BEEF3.SA;10.63;10.84;10.63;10.79;10.79;1220200;9.97;8.23;55.55;ESTAVEL;2022-03-03 16:00:00;stocks;9.98;8.16;9.98;8.16
1646326800000;BEEF3.SA;10.79;10.85;10.76;10.77;10.77;813800;9.98;7.94;54.78;ESTAVEL;2022-03-03 17:00:00;stocks;9.98;7.87;9.98;7.87
1646330400000;BEEF3.SA;10.77;10.86;10.71;10.82;10.82;787600;9.99;8.35;56.42;ESTAVEL;2022-03-03 18:00:00;stocks;9.99;8.27;9.99;8.27
1646334000000;BEEF3.SA;10.83;10.93;10.82;10.87;10.87;2103700;10.0;8.75;58.06;ESTAVEL;2022-03-03 19:00:00;stocks;10.0;8.66;10.0;8.66
1646398800000;BEEF3.SA;10.85;11.08;10.64;10.65;10.65;0;10.0;6.48;49.27;ESTAVEL;2022-03-04 13:00:00;stocks;10.01;6.39;10.01;6.39
1646402400000;BEEF3.SA;10.65;10.85;10.64;10.85;10.85;956000;10.01;8.39;55.82;ESTAVEL;2022-03-04 14:00:00;stocks;10.02;8.29;10.02;8.29
1646406000000;BEEF3.SA;10.84;11.0;10.84;10.97;10.97;1053300;10.02;9.48;59.22;ESTAVEL;2022-03-04 15:00:00;stocks;10.03;9.37;10.03;9.37
1646409600000;BEEF3.SA;10.98;11.0;10.94;10.95;10.95;580300;10.03;9.18;58.41;ESTAVEL;2022-03-04 16:00:00;stocks;10.04;9.06;10.04;9.06
1646413200000;BEEF3.SA;10.95;10.98;10.88;10.88;10.88;763300;10.04;8.39;55.56;ESTAVEL;2022-03-04 17:00:00;stocks;10.05;8.26;10.05;8.26
1646416800000;BEEF3.SA;10.89;10.91;10.74;10.74;10.74;670600;10.05;6.92;50.27;ESTAVEL;2022-03-04 18:00:00;stocks;10.06;6.79;10.06;6.79
1646420400000;BEEF3.SA;10.74;10.88;10.71;10.86;10.86;1009600;10.05;8.02;54.29;ESTAVEL;2022-03-04 19:00:00;stocks;10.07;7.89;10.07;7.89
1646658000000;BEEF3.SA;10.92;11.0;10.77;10.98;10.98;0;10.06;9.12;57.95;ESTAVEL;2022-03-07 13:00:00;stocks;10.08;8.97;10.08;8.97
1646661600000;BEEF3.SA;10.97;11.17;10.95;11.11;11.11;1121400;10.07;10.29;61.54;ESTAVEL;2022-03-07 14:00:00;stocks;10.09;10.14;10.09;10.14
1646665200000;BEEF3.SA;11.11;11.2;11.02;11.04;11.04;830100;10.08;9.49;58.63;ESTAVEL;2022-03-07 15:00:00;stocks;10.1;9.34;10.1;9.34
1646668800000;BEEF3.SA;11.05;11.05;10.93;11.01;11.01;573500;10.09;9.09;57.38;ESTAVEL;2022-03-07 16:00:00;stocks;10.11;8.93;10.11;8.93
1646672400000;BEEF3.SA;11.0;11.01;10.87;10.89;10.89;507800;10.1;7.82;52.56;ESTAVEL;2022-03-07 17:00:00;stocks;10.12;7.65;10.12;7.65
1646676000000;BEEF3.SA;10.89;11.04;10.83;10.97;10.97;662400;10.11;8.52;55.26;ESTAVEL;2022-03-07 18:00:00;stocks;10.13;8.35;10.13;8.35
1646679600000;BEEF3.SA;10.98;10.99;10.89;10.91;10.91;601200;10.12;7.84;52.83;ESTAVEL;2022-03-07 19:00:00;stocks;10.13;7.66;10.13;7.66
1646744400000;BEEF3.SA;11.0;11.11;10.69;10.75;10.75;0;10.12;6.19;46.91;ESTAVEL;2022-03-08 13:00:00;stocks;10.14;6.01;10.14;6.01
1646748000000;BEEF3.SA;10.75;10.89;10.7;10.77;10.77;507000;10.13;6.32;47.7;ESTAVEL;2022-03-08 14:00:00;stocks;10.15;6.14;10.15;6.14
1646751600000;BEEF3.SA;10.76;10.79;10.71;10.78;10.78;375400;10.14;6.35;48.11;ESTAVEL;2022-03-08 15:00:00;stocks;10.15;6.17;10.15;6.17
1646755200000;BEEF3.SA;10.78;10.79;10.71;10.73;10.73;413000;10.14;5.79;46.14;ESTAVEL;2022-03-08 16:00:00;stocks;10.16;5.61;10.16;5.61
1646758800000;BEEF3.SA;10.72;10.98;10.72;10.95;10.95;814300;10.15;7.87;54.9;ESTAVEL;2022-03-08 17:00:00;stocks;10.17;7.68;10.17;7.68
1646762400000;BEEF3.SA;10.95;10.97;10.81;10.83;10.83;541200;10.16;6.62;50.11;ESTAVEL;2022-03-08 18:00:00;stocks;10.18;6.43;10.18;6.43
1646766000000;BEEF3.SA;10.84;10.94;10.81;10.94;10.94;529300;10.17;7.62;54.07;ESTAVEL;2022-03-08 19:00:00;stocks;10.18;7.42;10.18;7.42
1646830800000;BEEF3.SA;11.0;11.23;10.88;11.19;11.19;0;10.18;9.97;61.53;ESTAVEL;2022-03-09 13:00:00;stocks;10.19;9.76;10.19;9.76
1646834400000;BEEF3.SA;11.19;11.31;11.02;11.04;11.04;1456300;10.18;8.4;55.69;ESTAVEL;2022-03-09 14:00:00;stocks;10.2;8.19;10.2;8.19
