open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1672754400000;BGIP4.SA;16.95;16.95;16.95;16.95;16.95;1300;18.78;-9.77;40.92;ESTAVEL;2023-01-03 14:00:00;stocks;18.37;-7.73;18.37;-7.73
1673377200000;BGIP4.SA;17.43;17.43;17.43;17.43;17.43;0;18.77;-7.14;47.24;ESTAVEL;2023-01-10 19:00:00;stocks;18.36;-5.06;18.36;-5.06
1673449200000;BGIP4.SA;17.15;17.19;17.15;17.19;17.19;100;18.76;-8.35;44.67;ESTAVEL;2023-01-11 15:00:00;stocks;18.35;-6.3;18.35;-6.3
1673460000000;BGIP4.SA;17.19;17.19;17.19;17.19;17.19;300;18.74;-8.27;44.67;ESTAVEL;2023-01-11 18:00:00;stocks;18.33;-6.23;18.33;-6.23
1673546400000;BGIP4.SA;17.41;17.41;17.35;17.35;17.35;500;18.73;-7.34;46.9;ESTAVEL;2023-01-12 18:00:00;stocks;18.32;-5.3;18.32;-5.3
1673614800000;BGIP4.SA;17.5;17.5;17.5;17.5;17.5;0;18.71;-6.48;48.98;ESTAVEL;2023-01-13 13:00:00;stocks;18.31;-4.43;18.31;-4.43
1673618400000;BGIP4.SA;17.51;17.51;17.51;17.51;17.51;200;18.7;-6.37;49.12;ESTAVEL;2023-01-13 14:00:00;stocks;18.3;-4.33;18.3;-4.33
1674046800000;BGIP4.SA;17.31;17.31;17.31;17.31;17.31;0;18.69;-7.37;46.33;ESTAVEL;2023-01-18 13:00:00;stocks;18.29;-5.37;18.29;-5.37
1674054000000;BGIP4.SA;17.38;17.38;17.38;17.38;17.38;100;18.67;-6.93;47.45;ESTAVEL;2023-01-18 15:00:00;stocks;18.28;-4.93;18.28;-4.93
1674223200000;BGIP4.SA;17.45;17.45;17.45;17.45;17.45;100;18.66;-6.49;48.62;ESTAVEL;2023-01-20 14:00:00;stocks;18.27;-4.5;18.27;-4.5
1674824400000;BGIP4.SA;17.71;17.71;17.71;17.71;17.71;0;18.65;-5.05;52.8;ESTAVEL;2023-01-27 13:00:00;stocks;18.27;-3.04;18.27;-3.04
1674846000000;BGIP4.SA;17.65;17.65;17.49;17.49;17.49;300;18.64;-6.17;49.15;ESTAVEL;2023-01-27 19:00:00;stocks;18.26;-4.2;18.26;-4.2
1675083600000;BGIP4.SA;17.84;17.84;17.84;17.84;17.84;0;18.63;-4.25;54.53;ESTAVEL;2023-01-30 13:00:00;stocks;18.25;-2.26;18.25;-2.26
1675087200000;BGIP4.SA;17.83;17.83;17.83;17.83;17.83;100;18.62;-4.26;54.35;ESTAVEL;2023-01-30 14:00:00;stocks;18.25;-2.28;18.25;-2.28
1675188000000;BGIP4.SA;17.57;17.57;17.57;17.57;17.57;0;18.61;-5.6;49.83;ESTAVEL;2023-01-31 18:00:00;stocks;18.24;-3.67;18.24;-3.67
1675450800000;BGIP4.SA;17.35;17.35;17.25;17.25;17.25;0;18.6;-7.25;44.88;ESTAVEL;2023-02-03 19:00:00;stocks;18.23;-5.37;18.23;-5.37
1675699200000;BGIP4.SA;17.24;17.24;17.24;17.24;17.24;0;18.59;-7.24;44.73;ESTAVEL;2023-02-06 16:00:00;stocks;18.22;-5.36;18.22;-5.36
