open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1648562400000;BIOM3.SA;12.75;12.75;12.65;12.65;12.65;100;13.36;-5.32;50.26;ESTAVEL;2022-03-29 14:00:00;stocks;13.34;-5.18;13.34;-5.18
1648566000000;BIOM3.SA;12.65;12.65;12.65;12.65;12.65;100;13.35;-5.27;50.26;ESTAVEL;2022-03-29 15:00:00;stocks;13.33;-5.13;13.33;-5.13
1648569600000;BIOM3.SA;12.61;12.61;12.5;12.5;12.5;1000;13.35;-6.33;47.5;ESTAVEL;2022-03-29 16:00:00;stocks;13.32;-6.18;13.32;-6.18
1648573200000;BIOM3.SA;12.5;12.5;12.38;12.38;12.38;200;13.34;-7.16;45.35;ESTAVEL;2022-03-29 17:00:00;stocks;13.31;-7.01;13.31;-7.01
1648580400000;BIOM3.SA;12.44;12.98;12.4;12.98;12.98;4100;13.33;-2.64;56.05;ESTAVEL;2022-03-29 19:00:00;stocks;13.31;-2.47;13.31;-2.47
1648645200000;BIOM3.SA;12.81;12.9;12.36;12.36;12.36;0;13.32;-7.22;46.02;ESTAVEL;2022-03-30 13:00:00;stocks;13.3;-7.06;13.3;-7.06
1648648800000;BIOM3.SA;12.4;12.57;12.4;12.57;12.57;700;13.31;-5.59;49.33;ESTAVEL;2022-03-30 14:00:00;stocks;13.29;-5.42;13.29;-5.42
1648652400000;BIOM3.SA;12.5;12.5;12.5;12.5;12.5;1100;13.31;-6.06;48.27;ESTAVEL;2022-03-30 15:00:00;stocks;13.28;-5.88;13.28;-5.88
1648656000000;BIOM3.SA;12.56;12.7;12.38;12.38;12.38;2600;13.3;-6.89;46.42;ESTAVEL;2022-03-30 16:00:00;stocks;13.27;-6.71;13.27;-6.71
1648659600000;BIOM3.SA;12.38;12.47;12.36;12.4;12.4;900;13.29;-6.68;46.79;ESTAVEL;2022-03-30 17:00:00;stocks;13.26;-6.49;13.26;-6.49
1648663200000;BIOM3.SA;12.46;12.46;12.32;12.32;12.32;1200;13.28;-7.21;45.45;ESTAVEL;2022-03-30 18:00:00;stocks;13.25;-7.02;13.25;-7.02
1648666800000;BIOM3.SA;12.33;12.33;12.26;12.27;12.27;2000;13.27;-7.52;44.6;ESTAVEL;2022-03-30 19:00:00;stocks;13.24;-7.32;13.24;-7.32
1648731600000;BIOM3.SA;12.35;12.35;12.22;12.22;12.22;0;13.26;-7.82;43.71;ESTAVEL;2022-03-31 13:00:00;stocks;13.23;-7.62;13.23;-7.62
1648735200000;BIOM3.SA;12.2;12.35;12.2;12.35;12.35;900;13.25;-6.78;46.68;ESTAVEL;2022-03-31 14:00:00;stocks;13.22;-6.57;13.22;-6.57
1648738800000;BIOM3.SA;12.21;12.21;12.05;12.05;12.05;4700;13.24;-8.96;41.27;ESTAVEL;2022-03-31 15:00:00;stocks;13.2;-8.74;13.2;-8.74
