open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;BLMR11.SA;7.71;7.72;7.6;7.62;7.62;11267;7.72;-1.35;44.98;ESTAVEL;2022-02-22 14:00:00;fii;7.75;-1.73;7.75;-1.73
1645542000000;BLMR11.SA;7.62;7.69;7.52;7.61;7.61;21890;7.72;-1.47;44.38;ESTAVEL;2022-02-22 15:00:00;fii;7.75;-1.83;7.75;-1.83
1645545600000;BLMR11.SA;7.61;7.62;7.54;7.58;7.58;14476;7.72;-1.84;42.55;ESTAVEL;2022-02-22 16:00:00;fii;7.75;-2.2;7.75;-2.2
1645549200000;BLMR11.SA;7.59;7.66;7.59;7.64;7.64;9971;7.72;-1.05;47.24;ESTAVEL;2022-02-22 17:00:00;fii;7.75;-1.4;7.75;-1.4
1645552800000;BLMR11.SA;7.64;7.64;7.59;7.61;7.61;4969;7.72;-1.42;45.25;ESTAVEL;2022-02-22 18:00:00;fii;7.75;-1.77;7.75;-1.77
1645556400000;BLMR11.SA;7.61;7.68;7.55;7.6;7.6;14903;7.72;-1.54;44.57;ESTAVEL;2022-02-22 19:00:00;fii;7.75;-1.88;7.75;-1.88
1645621200000;BLMR11.SA;7.58;7.63;7.51;7.58;7.58;0;7.72;-1.78;43.19;ESTAVEL;2022-02-23 13:00:00;fii;7.74;-2.11;7.74;-2.11
1645624800000;BLMR11.SA;7.58;7.58;7.51;7.54;7.54;7722;7.72;-2.27;40.48;ESTAVEL;2022-02-23 14:00:00;fii;7.74;-2.6;7.74;-2.6
1645628400000;BLMR11.SA;7.54;7.62;7.52;7.55;7.55;11624;7.71;-2.12;41.47;ESTAVEL;2022-02-23 15:00:00;fii;7.74;-2.44;7.74;-2.44
1645632000000;BLMR11.SA;7.55;7.56;7.51;7.51;7.51;13473;7.71;-2.61;38.7;ESTAVEL;2022-02-23 16:00:00;fii;7.74;-2.93;7.74;-2.93
1645635600000;BLMR11.SA;7.51;7.55;7.5;7.54;7.54;3855;7.71;-2.2;41.84;ESTAVEL;2022-02-23 17:00:00;fii;7.73;-2.51;7.73;-2.51
1645639200000;BLMR11.SA;7.55;7.61;7.53;7.6;7.6;8698;7.71;-1.41;47.61;ESTAVEL;2022-02-23 18:00:00;fii;7.73;-1.72;7.73;-1.72
1645642800000;BLMR11.SA;7.6;7.72;7.57;7.71;7.71;31945;7.71;0.02;56.2;ESTAVEL;2022-02-23 19:00:00;fii;7.73;-0.29;7.73;-0.29
1645707600000;BLMR11.SA;7.7;7.7;7.56;7.6;7.6;0;7.71;-1.4;47.77;ESTAVEL;2022-02-24 13:00:00;fii;7.73;-1.7;7.73;-1.7
1645711200000;BLMR11.SA;7.6;7.62;7.43;7.49;7.49;26387;7.71;-2.8;41.12;ESTAVEL;2022-02-24 14:00:00;fii;7.73;-3.08;7.73;-3.08
1645714800000;BLMR11.SA;7.49;7.61;7.49;7.61;7.61;11501;7.7;-1.23;49.39;ESTAVEL;2022-02-24 15:00:00;fii;7.73;-1.51;7.73;-1.51
1645718400000;BLMR11.SA;7.61;7.61;7.51;7.52;7.52;9720;7.7;-2.37;44.36;ESTAVEL;2022-02-24 16:00:00;fii;7.72;-2.65;7.72;-2.65
1645722000000;BLMR11.SA;7.51;7.56;7.48;7.56;7.56;19821;7.7;-1.83;46.95;ESTAVEL;2022-02-24 17:00:00;fii;7.72;-2.11;7.72;-2.11
1645725600000;BLMR11.SA;7.56;7.56;7.5;7.51;7.51;4625;7.7;-2.46;44.18;ESTAVEL;2022-02-24 18:00:00;fii;7.72;-2.73;7.72;-2.73
1645729200000;BLMR11.SA;7.52;7.54;7.43;7.52;7.52;15457;7.7;-2.31;44.88;ESTAVEL;2022-02-24 19:00:00;fii;7.72;-2.57;7.72;-2.57
1645794000000;BLMR11.SA;7.56;7.56;7.4;7.47;7.47;0;7.7;-2.93;42.04;ESTAVEL;2022-02-25 13:00:00;fii;7.72;-3.18;7.72;-3.18
