open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1678989600000;BLUR11.SA;100.24;100.24;100.23;100.23;100.23;53;101.67;-1.41;;ESTAVEL;2023-03-16 18:00:00;fii;;;;
1679407200000;BLUR11.SA;100.23;100.23;100.23;100.23;100.23;1;101.65;-1.4;;ESTAVEL;2023-03-21 14:00:00;fii;;;;
1679493600000;BLUR11.SA;101.0;101.0;101.0;101.0;101.0;189;101.64;-0.63;;ESTAVEL;2023-03-22 14:00:00;fii;;;;
1679500800000;BLUR11.SA;101.0;101.0;101.0;101.0;101.0;0;101.64;-0.63;;ESTAVEL;2023-03-22 16:00:00;fii;;;;
1680544800000;BLUR11.SA;101.0;101.0;101.0;101.0;101.0;2;101.63;-0.62;;ESTAVEL;2023-04-03 18:00:00;fii;;;;
1681830000000;BLUR11.SA;101.05;101.05;101.05;101.05;101.05;0;101.62;-0.56;;ESTAVEL;2023-04-18 15:00:00;fii;;;;
1681916400000;BLUR11.SA;101.5;101.5;101.5;101.5;101.5;48;101.62;-0.12;;ESTAVEL;2023-04-19 15:00:00;fii;;;;
1682341200000;BLUR11.SA;101.0;101.0;101.0;101.0;101.0;0;101.61;-0.6;;ESTAVEL;2023-04-24 13:00:00;fii;;;;
1682344800000;BLUR11.SA;101.0;101.0;101.0;101.0;101.0;4;101.61;-0.6;;ESTAVEL;2023-04-24 14:00:00;fii;;;;
1682348400000;BLUR11.SA;101.0;101.0;101.0;101.0;101.0;2;101.6;-0.59;;ESTAVEL;2023-04-24 15:00:00;fii;;;;
1682694000000;BLUR11.SA;101.0;101.0;101.0;101.0;101.0;3;101.59;-0.58;;ESTAVEL;2023-04-28 15:00:00;fii;;;;
1683036000000;BLUR11.SA;101.0;101.0;101.0;101.0;101.0;0;101.59;-0.58;;ESTAVEL;2023-05-02 14:00:00;fii;;;;
1683039600000;BLUR11.SA;101.0;101.0;101.0;101.0;101.0;3;101.58;-0.57;;ESTAVEL;2023-05-02 15:00:00;fii;;;;
