open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;BRIT3.SA;3.91;3.97;3.84;3.93;3.93;57000;4.19;-6.32;46.65;ESTAVEL;2022-02-22 14:00:00;stocks;4.13;-4.82;4.13;-4.82
1645542000000;BRIT3.SA;3.93;3.95;3.9;3.91;3.91;39000;4.19;-6.73;44.93;ESTAVEL;2022-02-22 15:00:00;stocks;4.13;-5.25;4.13;-5.25
1645545600000;BRIT3.SA;3.91;3.91;3.87;3.87;3.87;29800;4.19;-7.61;41.64;ESTAVEL;2022-02-22 16:00:00;stocks;4.12;-6.15;4.12;-6.15
1645549200000;BRIT3.SA;3.87;3.92;3.86;3.91;3.91;90700;4.19;-6.59;45.91;ESTAVEL;2022-02-22 17:00:00;stocks;4.12;-5.12;4.12;-5.12
1645552800000;BRIT3.SA;3.91;3.91;3.84;3.86;3.86;55100;4.18;-7.71;41.79;ESTAVEL;2022-02-22 18:00:00;stocks;4.12;-6.27;4.12;-6.27
1645556400000;BRIT3.SA;3.84;3.92;3.82;3.91;3.91;78800;4.18;-6.46;46.92;ESTAVEL;2022-02-22 19:00:00;stocks;4.12;-5.0;4.12;-5.0
1645621200000;BRIT3.SA;3.92;4.03;3.88;3.98;3.98;0;4.18;-4.74;53.14;ESTAVEL;2022-02-23 13:00:00;stocks;4.11;-3.26;4.11;-3.26
1645624800000;BRIT3.SA;3.97;4.01;3.93;3.93;3.93;27000;4.18;-5.88;48.75;ESTAVEL;2022-02-23 14:00:00;stocks;4.11;-4.43;4.11;-4.43
1645628400000;BRIT3.SA;3.91;3.92;3.85;3.9;3.9;41800;4.17;-6.53;46.27;ESTAVEL;2022-02-23 15:00:00;stocks;4.11;-5.1;4.11;-5.1
1645632000000;BRIT3.SA;3.89;3.92;3.88;3.9;3.9;6600;4.17;-6.47;46.27;ESTAVEL;2022-02-23 16:00:00;stocks;4.11;-5.05;4.11;-5.05
1645635600000;BRIT3.SA;3.9;4.0;3.9;3.97;3.97;48900;4.17;-4.75;52.76;ESTAVEL;2022-02-23 17:00:00;stocks;4.11;-3.31;4.11;-3.31
1645639200000;BRIT3.SA;3.97;3.97;3.89;3.92;3.92;38400;4.17;-5.89;48.28;ESTAVEL;2022-02-23 18:00:00;stocks;4.1;-4.48;4.1;-4.48
1645642800000;BRIT3.SA;3.92;3.92;3.85;3.88;3.88;29000;4.16;-6.78;44.98;ESTAVEL;2022-02-23 19:00:00;stocks;4.1;-5.39;4.1;-5.39
1645707600000;BRIT3.SA;3.79;3.82;3.65;3.75;3.75;0;4.16;-9.82;36.31;ESTAVEL;2022-02-24 13:00:00;stocks;4.1;-8.47;4.1;-8.47
1645711200000;BRIT3.SA;3.76;3.82;3.75;3.77;3.77;38800;4.15;-9.25;38.29;ESTAVEL;2022-02-24 14:00:00;stocks;4.09;-7.9;4.09;-7.9
1645714800000;BRIT3.SA;3.76;3.88;3.75;3.79;3.79;80900;4.15;-8.69;40.28;ESTAVEL;2022-02-24 15:00:00;stocks;4.09;-7.34;4.09;-7.34
1645718400000;BRIT3.SA;3.79;3.81;3.75;3.76;3.76;14100;4.15;-9.32;38.28;ESTAVEL;2022-02-24 16:00:00;stocks;4.09;-7.99;4.09;-7.99
1645722000000;BRIT3.SA;3.76;3.77;3.71;3.71;3.71;17100;4.14;-10.44;35.16;ESTAVEL;2022-02-24 17:00:00;stocks;4.08;-9.12;4.08;-9.12
1645725600000;BRIT3.SA;3.71;3.75;3.7;3.71;3.71;24500;4.14;-10.34;35.16;ESTAVEL;2022-02-24 18:00:00;stocks;4.08;-9.02;4.08;-9.02
1645729200000;BRIT3.SA;3.7;3.9;3.7;3.78;3.78;206800;4.13;-8.57;42.74;ESTAVEL;2022-02-24 19:00:00;stocks;4.07;-7.23;4.07;-7.23
1645794000000;BRIT3.SA;3.9;3.9;3.75;3.82;3.82;0;4.13;-7.53;46.59;ESTAVEL;2022-02-25 13:00:00;stocks;4.07;-6.18;4.07;-6.18
1645797600000;BRIT3.SA;3.81;3.82;3.73;3.76;3.76;79400;4.13;-8.9;42.03;ESTAVEL;2022-02-25 14:00:00;stocks;4.07;-7.58;4.07;-7.58
1645801200000;BRIT3.SA;3.75;3.78;3.71;3.78;3.78;16900;4.12;-8.34;44.0;ESTAVEL;2022-02-25 15:00:00;stocks;4.07;-7.01;4.07;-7.01
