open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1664888400000;BRIV3.SA;12.0;12.0;12.0;12.0;12.0;0;9.74;23.15;45.95;ESTAVEL;2022-10-04 13:00:00;stocks;10.17;18.05;10.17;18.05
1664892000000;BRIV3.SA;11.58;11.58;11.58;11.58;11.58;100;9.76;18.61;40.18;ESTAVEL;2022-10-04 14:00:00;stocks;10.18;13.73;10.18;13.73
1664899200000;BRIV3.SA;11.87;12.0;11.7;11.72;11.72;2100;9.78;19.8;42.76;ESTAVEL;2022-10-04 16:00:00;stocks;10.2;14.91;10.2;14.91
1664902800000;BRIV3.SA;11.72;11.72;11.52;11.52;11.52;1500;9.8;17.55;40.1;ESTAVEL;2022-10-04 17:00:00;stocks;10.21;12.78;10.21;12.78
1664910000000;BRIV3.SA;11.55;11.99;11.55;11.99;11.99;1100;9.82;22.07;48.25;ESTAVEL;2022-10-04 19:00:00;stocks;10.23;17.15;10.23;17.15
1664989200000;BRIV3.SA;11.62;11.62;11.62;11.62;11.62;0;9.84;18.08;43.26;ESTAVEL;2022-10-05 17:00:00;stocks;10.25;13.36;10.25;13.36
1664992800000;BRIV3.SA;11.62;11.62;11.62;11.62;11.62;100;9.86;17.86;43.26;ESTAVEL;2022-10-05 18:00:00;stocks;10.27;13.19;10.27;13.19
1664996400000;BRIV3.SA;11.64;11.64;11.64;11.64;11.64;200;9.88;17.85;43.62;ESTAVEL;2022-10-05 19:00:00;stocks;10.28;13.21;10.28;13.21
1665064800000;BRIV3.SA;11.39;11.39;11.15;11.15;11.15;600;9.89;12.74;37.29;ESTAVEL;2022-10-06 14:00:00;stocks;10.29;8.34;10.29;8.34
1665068400000;BRIV3.SA;11.19;11.22;11.19;11.22;11.22;200;9.9;13.3;38.66;ESTAVEL;2022-10-06 15:00:00;stocks;10.3;8.91;10.3;8.91
1665072000000;BRIV3.SA;11.5;11.5;11.5;11.5;11.5;100;9.92;15.94;43.94;ESTAVEL;2022-10-06 16:00:00;stocks;10.32;11.48;10.32;11.48
1665075600000;BRIV3.SA;11.26;11.26;11.26;11.26;11.26;100;9.93;13.36;40.7;ESTAVEL;2022-10-06 17:00:00;stocks;10.33;9.04;10.33;9.04
1665082800000;BRIV3.SA;11.53;11.59;11.53;11.59;11.59;500;9.95;16.49;46.53;ESTAVEL;2022-10-06 19:00:00;stocks;10.34;12.08;10.34;12.08
1665158400000;BRIV3.SA;11.92;12.0;11.92;12.0;12.0;100;9.97;20.36;52.74;ESTAVEL;2022-10-07 16:00:00;stocks;10.36;15.83;10.36;15.83
1665165600000;BRIV3.SA;12.0;12.1;12.0;12.1;12.1;800;9.99;21.1;54.14;ESTAVEL;2022-10-07 18:00:00;stocks;10.38;16.58;10.38;16.58
1665169200000;BRIV3.SA;12.1;12.1;12.1;12.1;12.1;400;10.01;20.84;54.14;ESTAVEL;2022-10-07 19:00:00;stocks;10.4;16.36;10.4;16.36
