open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1687978800000;BROF11.SA;69.19;69.47;69.0;69.46;69.46;1907;67.8;2.45;51.1;ESTAVEL;2023-06-28 19:00:00;fii;68.96;0.72;68.96;0.72
1688043600000;BROF11.SA;69.45;69.48;68.9;68.94;68.94;0;67.81;1.66;41.06;ESTAVEL;2023-06-29 13:00:00;fii;68.96;-0.03;68.96;-0.03
1688047200000;BROF11.SA;68.94;69.2;68.9;69.2;69.2;809;67.83;2.03;46.7;ESTAVEL;2023-06-29 14:00:00;fii;68.96;0.34;68.96;0.34
1688050800000;BROF11.SA;69.2;69.2;68.91;68.99;68.99;794;67.84;1.7;43.11;ESTAVEL;2023-06-29 15:00:00;fii;68.96;0.04;68.96;0.04
1688054400000;BROF11.SA;68.99;69.2;68.92;69.19;69.19;585;67.85;1.97;47.26;ESTAVEL;2023-06-29 16:00:00;fii;68.97;0.32;68.97;0.32
1688058000000;BROF11.SA;69.19;69.2;68.97;69.15;69.15;302;67.86;1.89;46.53;ESTAVEL;2023-06-29 17:00:00;fii;68.97;0.26;68.97;0.26
1688061600000;BROF11.SA;69.2;69.2;68.98;69.12;69.12;775;67.88;1.83;45.96;ESTAVEL;2023-06-29 18:00:00;fii;68.97;0.22;68.97;0.22
1688065200000;BROF11.SA;69.17;69.2;68.98;69.0;69.0;819;67.89;1.64;43.64;ESTAVEL;2023-06-29 19:00:00;fii;68.97;0.04;68.97;0.04
1688130000000;BROF11.SA;68.84;69.41;68.84;69.15;69.15;0;67.9;1.84;47.23;ESTAVEL;2023-06-30 13:00:00;fii;68.97;0.26;68.97;0.26
1688133600000;BROF11.SA;69.15;69.3;68.91;69.28;69.28;1017;67.92;2.01;50.19;ESTAVEL;2023-06-30 14:00:00;fii;68.98;0.44;68.98;0.44
1688137200000;BROF11.SA;69.28;69.29;69.11;69.28;69.28;586;67.93;1.99;50.19;ESTAVEL;2023-06-30 15:00:00;fii;68.98;0.43;68.98;0.43
1688140800000;BROF11.SA;69.28;69.29;69.05;69.1;69.1;1501;67.94;1.71;46.04;ESTAVEL;2023-06-30 16:00:00;fii;68.98;0.17;68.98;0.17
1688144400000;BROF11.SA;69.1;69.11;69.07;69.1;69.1;1370;67.95;1.69;46.04;ESTAVEL;2023-06-30 17:00:00;fii;68.98;0.17;68.98;0.17
1688148000000;BROF11.SA;69.1;69.1;68.95;69.1;69.1;1447;67.96;1.67;46.04;ESTAVEL;2023-06-30 18:00:00;fii;68.98;0.17;68.98;0.17
1688151600000;BROF11.SA;69.1;69.1;68.95;68.98;68.98;1337;67.97;1.48;43.07;ESTAVEL;2023-06-30 19:00:00;fii;68.98;-0.01;68.98;-0.01
1688389200000;BROF11.SA;70.0;70.0;69.0;69.12;69.12;0;67.99;1.67;47.33;ESTAVEL;2023-07-03 13:00:00;fii;68.99;0.19;68.99;0.19
1688392800000;BROF11.SA;69.2;69.71;69.13;69.31;69.31;768;68.0;1.93;52.53;ESTAVEL;2023-07-03 14:00:00;fii;68.99;0.46;68.99;0.46
1688396400000;BROF11.SA;69.31;69.82;69.25;69.33;69.33;3015;68.01;1.94;53.05;ESTAVEL;2023-07-03 15:00:00;fii;68.99;0.49;68.99;0.49
1688400000000;BROF11.SA;69.34;69.62;69.34;69.46;69.46;982;68.03;2.11;56.42;ESTAVEL;2023-07-03 16:00:00;fii;69.0;0.67;69.0;0.67
1688403600000;BROF11.SA;69.46;69.48;69.45;69.47;69.47;359;68.04;2.1;56.68;ESTAVEL;2023-07-03 17:00:00;fii;69.0;0.68;69.0;0.68
1688407200000;BROF11.SA;69.48;69.92;69.48;69.49;69.49;1615;68.06;2.11;57.23;ESTAVEL;2023-07-03 18:00:00;fii;69.01;0.7;69.01;0.7
1688410800000;BROF11.SA;69.49;69.49;69.32;69.35;69.35;858;68.07;1.88;52.27;ESTAVEL;2023-07-03 19:00:00;fii;69.01;0.49;69.01;0.49
1688475600000;BROF11.SA;69.32;69.32;69.18;69.25;69.25;0;68.08;1.72;49.01;ESTAVEL;2023-07-04 13:00:00;fii;69.02;0.34;69.02;0.34
1688479200000;BROF11.SA;69.26;69.27;69.1;69.15;69.15;170;68.09;1.55;45.92;ESTAVEL;2023-07-04 14:00:00;fii;69.02;0.19;69.02;0.19
1688482800000;BROF11.SA;69.25;69.32;69.1;69.11;69.11;1573;68.1;1.48;44.7;ESTAVEL;2023-07-04 15:00:00;fii;69.02;0.13;69.02;0.13
1688486400000;BROF11.SA;69.12;69.32;69.12;69.16;69.16;222;68.11;1.54;46.6;ESTAVEL;2023-07-04 16:00:00;fii;69.02;0.2;69.02;0.2
1688490000000;BROF11.SA;69.14;69.19;69.13;69.16;69.16;169;68.12;1.52;46.6;ESTAVEL;2023-07-04 17:00:00;fii;69.02;0.2;69.02;0.2
1688493600000;BROF11.SA;69.16;69.19;69.13;69.13;69.13;1424;68.13;1.46;45.51;ESTAVEL;2023-07-04 18:00:00;fii;69.02;0.16;69.02;0.16
1688497200000;BROF11.SA;69.13;69.5;69.1;69.15;69.15;2023;68.14;1.48;46.41;ESTAVEL;2023-07-04 19:00:00;fii;69.02;0.18;69.02;0.18
1688562000000;BROF11.SA;69.48;69.48;68.9;68.92;68.92;0;68.15;1.13;38.54;ESTAVEL;2023-07-05 13:00:00;fii;69.02;-0.15;69.02;-0.15
1688565600000;BROF11.SA;68.92;69.0;68.9;68.97;68.97;1047;68.16;1.19;40.89;ESTAVEL;2023-07-05 14:00:00;fii;69.02;-0.08;69.02;-0.08
1688569200000;BROF11.SA;68.96;69.0;68.9;68.98;68.98;870;68.17;1.19;41.37;ESTAVEL;2023-07-05 15:00:00;fii;69.02;-0.06;69.02;-0.06
1688572800000;BROF11.SA;68.99;69.39;68.91;69.29;69.29;456;68.18;1.63;53.92;ESTAVEL;2023-07-05 16:00:00;fii;69.02;0.38;69.02;0.38
1688576400000;BROF11.SA;69.03;69.39;69.01;69.37;69.37;538;68.19;1.73;56.51;ESTAVEL;2023-07-05 17:00:00;fii;69.03;0.49;69.03;0.49
1688580000000;BROF11.SA;69.37;69.95;69.04;69.9;69.9;16960;68.21;2.48;68.95;ESTAVEL;2023-07-05 18:00:00;fii;69.04;1.25;69.04;1.25
1688583600000;BROF11.SA;69.9;69.91;69.34;69.61;69.61;1611;68.22;2.03;59.0;ESTAVEL;2023-07-05 19:00:00;fii;69.04;0.82;69.04;0.82
1688648400000;BROF11.SA;69.51;69.8;69.05;69.12;69.12;0;68.23;1.3;46.74;ESTAVEL;2023-07-06 13:00:00;fii;69.05;0.11;69.05;0.11
1688652000000;BROF11.SA;69.11;69.54;69.1;69.2;69.2;6580;68.24;1.4;48.62;ESTAVEL;2023-07-06 14:00:00;fii;69.05;0.22;69.05;0.22
1688655600000;BROF11.SA;69.2;69.2;69.15;69.2;69.2;2324;68.25;1.39;48.62;ESTAVEL;2023-07-06 15:00:00;fii;69.05;0.22;69.05;0.22
1688659200000;BROF11.SA;69.2;69.2;69.2;69.2;69.2;1466;68.26;1.37;48.62;ESTAVEL;2023-07-06 16:00:00;fii;69.05;0.22;69.05;0.22
1688662800000;BROF11.SA;69.2;69.2;69.17;69.2;69.2;723;68.27;1.36;48.62;ESTAVEL;2023-07-06 17:00:00;fii;69.05;0.21;69.05;0.21
1688666400000;BROF11.SA;69.2;69.21;69.16;69.19;69.19;2071;68.28;1.33;48.33;ESTAVEL;2023-07-06 18:00:00;fii;69.05;0.2;69.05;0.2
1688670000000;BROF11.SA;69.2;69.48;69.17;69.17;69.17;1827;68.29;1.29;47.72;ESTAVEL;2023-07-06 19:00:00;fii;69.05;0.17;69.05;0.17
1688734800000;BROF11.SA;69.39;70.6;69.1;69.56;69.56;0;68.3;1.84;58.62;ESTAVEL;2023-07-07 13:00:00;fii;69.06;0.72;69.06;0.72
1688738400000;BROF11.SA;69.55;69.97;69.25;69.63;69.63;5867;68.32;1.92;60.22;ESTAVEL;2023-07-07 14:00:00;fii;69.07;0.82;69.07;0.82
1688742000000;BROF11.SA;69.64;69.93;69.62;69.74;69.74;385;68.33;2.06;62.66;ESTAVEL;2023-07-07 15:00:00;fii;69.07;0.96;69.07;0.96
1688745600000;BROF11.SA;69.74;69.94;69.63;69.73;69.73;946;68.34;2.03;62.29;ESTAVEL;2023-07-07 16:00:00;fii;69.08;0.94;69.08;0.94
1688749200000;BROF11.SA;69.72;70.58;69.61;69.91;69.91;6429;68.36;2.27;66.21;ESTAVEL;2023-07-07 17:00:00;fii;69.09;1.19;69.09;1.19
1688752800000;BROF11.SA;69.96;70.5;69.66;69.79;69.79;4052;68.37;2.07;61.61;ESTAVEL;2023-07-07 18:00:00;fii;69.1;1.0;69.1;1.0
