open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645729200000;BRZP11.SA;68.41;68.89;68.36;68.88;68.88;1229;68.41;0.68;59.14;ESTAVEL;2022-02-24 19:00:00;fii;68.28;0.88;68.28;0.88
1645794000000;BRZP11.SA;68.21;69.74;68.21;68.21;68.21;0;68.41;-0.3;49.83;ESTAVEL;2022-02-25 13:00:00;fii;68.28;-0.1;68.28;-0.1
1645797600000;BRZP11.SA;68.21;69.0;68.02;69.0;69.0;284;68.42;0.85;58.19;ESTAVEL;2022-02-25 14:00:00;fii;68.29;1.04;68.29;1.04
1645801200000;BRZP11.SA;69.0;69.0;68.0;68.39;68.39;2129;68.42;-0.04;51.11;ESTAVEL;2022-02-25 15:00:00;fii;68.29;0.15;68.29;0.15
1645804800000;BRZP11.SA;68.39;68.71;68.03;68.07;68.07;2036;68.41;-0.5;47.82;ESTAVEL;2022-02-25 16:00:00;fii;68.29;-0.32;68.29;-0.32
1645808400000;BRZP11.SA;68.03;68.36;68.02;68.04;68.04;327;68.41;-0.54;47.51;ESTAVEL;2022-02-25 17:00:00;fii;68.28;-0.36;68.28;-0.36
1645812000000;BRZP11.SA;68.03;68.46;68.03;68.11;68.11;99;68.41;-0.43;48.35;ESTAVEL;2022-02-25 18:00:00;fii;68.28;-0.25;68.28;-0.25
1645815600000;BRZP11.SA;68.29;68.94;68.1;68.2;68.2;61;68.41;-0.3;49.47;ESTAVEL;2022-02-25 19:00:00;fii;68.28;-0.12;68.28;-0.12
1646236800000;BRZP11.SA;68.01;68.96;68.01;68.95;68.95;444;68.41;0.79;57.67;ESTAVEL;2022-03-02 16:00:00;fii;68.29;0.97;68.29;0.97
1646240400000;BRZP11.SA;69.99;69.99;68.09;69.79;69.79;71;68.42;2.0;64.61;ESTAVEL;2022-03-02 17:00:00;fii;68.31;2.17;68.31;2.17
1646244000000;BRZP11.SA;69.79;69.8;69.33;69.34;69.34;220;68.43;1.32;59.03;ESTAVEL;2022-03-02 18:00:00;fii;68.32;1.5;68.32;1.5
1646247600000;BRZP11.SA;69.34;69.74;68.05;68.05;68.05;550;68.43;-0.56;46.61;ESTAVEL;2022-03-02 19:00:00;fii;68.32;-0.39;68.32;-0.39
1646312400000;BRZP11.SA;69.5;69.96;69.5;69.96;69.96;0;68.45;2.21;60.02;ESTAVEL;2022-03-03 13:00:00;fii;68.33;2.38;68.33;2.38
1646316000000;BRZP11.SA;69.82;69.82;68.25;68.25;68.25;20;68.44;-0.28;48.32;ESTAVEL;2022-03-03 14:00:00;fii;68.33;-0.12;68.33;-0.12
1646319600000;BRZP11.SA;68.26;69.17;68.26;69.0;69.0;98;68.45;0.8;52.68;ESTAVEL;2022-03-03 15:00:00;fii;68.34;0.97;68.34;0.97
1646323200000;BRZP11.SA;69.0;69.0;69.0;69.0;69.0;9;68.45;0.8;52.68;ESTAVEL;2022-03-03 16:00:00;fii;68.35;0.95;68.35;0.95
1646326800000;BRZP11.SA;69.16;69.74;68.99;69.74;69.74;525;68.47;1.86;56.84;ESTAVEL;2022-03-03 17:00:00;fii;68.36;2.01;68.36;2.01
1646330400000;BRZP11.SA;68.5;68.87;68.49;68.49;68.49;566;68.47;0.03;49.0;ESTAVEL;2022-03-03 18:00:00;fii;68.36;0.18;68.36;0.18
1646334000000;BRZP11.SA;68.31;68.32;67.75;67.75;67.75;2860;68.46;-1.04;45.03;ESTAVEL;2022-03-03 19:00:00;fii;68.36;-0.89;68.36;-0.89
1646398800000;BRZP11.SA;68.39;68.39;67.97;67.97;67.97;0;68.46;-0.71;46.42;ESTAVEL;2022-03-04 13:00:00;fii;68.35;-0.56;68.35;-0.56
1646402400000;BRZP11.SA;68.14;68.14;67.97;67.97;67.97;22;68.45;-0.7;46.42;ESTAVEL;2022-03-04 14:00:00;fii;68.35;-0.55;68.35;-0.55
1646406000000;BRZP11.SA;68.09;68.28;68.09;68.27;68.27;380;68.45;-0.26;48.48;ESTAVEL;2022-03-04 15:00:00;fii;68.35;-0.11;68.35;-0.11
1646409600000;BRZP11.SA;68.27;68.28;68.27;68.28;68.28;1586;68.45;-0.24;48.55;ESTAVEL;2022-03-04 16:00:00;fii;68.35;-0.1;68.35;-0.1
1646413200000;BRZP11.SA;68.3;68.3;68.1;68.1;68.1;4;68.44;-0.5;47.29;ESTAVEL;2022-03-04 17:00:00;fii;68.34;-0.36;68.34;-0.36
1646416800000;BRZP11.SA;68.26;68.87;68.25;68.45;68.45;965;68.44;0.01;50.01;ESTAVEL;2022-03-04 18:00:00;fii;68.35;0.15;68.35;0.15
1646420400000;BRZP11.SA;68.43;68.43;68.15;68.15;68.15;124;68.44;-0.43;47.73;ESTAVEL;2022-03-04 19:00:00;fii;68.34;-0.28;68.34;-0.28
1646658000000;BRZP11.SA;68.78;68.78;67.76;67.76;67.76;0;68.43;-0.99;44.88;ESTAVEL;2022-03-07 13:00:00;fii;68.34;-0.84;68.34;-0.84
1646661600000;BRZP11.SA;67.85;68.48;67.75;68.48;68.48;555;68.43;0.07;50.74;ESTAVEL;2022-03-07 14:00:00;fii;68.34;0.21;68.34;0.21
1646668800000;BRZP11.SA;68.06;68.06;67.8;67.8;67.8;405;68.43;-0.92;45.79;ESTAVEL;2022-03-07 16:00:00;fii;68.33;-0.78;68.33;-0.78
1646672400000;BRZP11.SA;67.83;67.83;67.5;67.5;67.5;797;68.42;-1.34;43.76;ESTAVEL;2022-03-07 17:00:00;fii;68.32;-1.21;68.32;-1.21
1646676000000;BRZP11.SA;67.47;67.47;66.02;66.63;66.63;693;68.4;-2.59;38.44;ESTAVEL;2022-03-07 18:00:00;fii;68.3;-2.45;68.3;-2.45
1646679600000;BRZP11.SA;66.71;66.71;66.71;66.71;66.71;411;68.38;-2.45;39.17;ESTAVEL;2022-03-07 19:00:00;fii;68.29;-2.31;68.29;-2.31
1646744400000;BRZP11.SA;68.59;68.67;68.59;68.67;68.67;0;68.39;0.41;53.7;ESTAVEL;2022-03-08 13:00:00;fii;68.29;0.55;68.29;0.55
1646748000000;BRZP11.SA;68.52;68.52;67.0;67.1;67.1;231;68.37;-1.86;44.53;ESTAVEL;2022-03-08 14:00:00;fii;68.28;-1.73;68.28;-1.73
1646751600000;BRZP11.SA;67.14;67.15;67.14;67.15;67.15;12;68.36;-1.77;44.85;ESTAVEL;2022-03-08 15:00:00;fii;68.27;-1.63;68.27;-1.63
1646755200000;BRZP11.SA;67.15;68.4;67.15;67.2;67.2;2252;68.35;-1.68;45.19;ESTAVEL;2022-03-08 16:00:00;fii;68.25;-1.54;68.25;-1.54
1646758800000;BRZP11.SA;68.28;68.28;67.6;67.77;67.77;82;68.34;-0.84;49.09;ESTAVEL;2022-03-08 17:00:00;fii;68.25;-0.7;68.25;-0.7
1646762400000;BRZP11.SA;67.77;68.0;67.26;67.5;67.5;1902;68.34;-1.22;47.37;ESTAVEL;2022-03-08 18:00:00;fii;68.24;-1.09;68.24;-1.09
1646766000000;BRZP11.SA;67.5;68.39;67.5;68.39;68.39;886;68.34;0.08;53.19;ESTAVEL;2022-03-08 19:00:00;fii;68.24;0.22;68.24;0.22
1646830800000;BRZP11.SA;67.61;68.07;67.5;68.07;68.07;0;68.33;-0.39;51.01;ESTAVEL;2022-03-09 13:00:00;fii;68.24;-0.25;68.24;-0.25
1646834400000;BRZP11.SA;67.71;67.71;67.05;67.05;67.05;1698;68.32;-1.86;44.71;ESTAVEL;2022-03-09 14:00:00;fii;68.23;-1.73;68.23;-1.73
1646838000000;BRZP11.SA;67.7;67.7;67.7;67.7;67.7;1;68.31;-0.9;49.03;ESTAVEL;2022-03-09 15:00:00;fii;68.22;-0.76;68.22;-0.76
1646841600000;BRZP11.SA;67.7;67.97;67.68;67.97;67.97;821;68.31;-0.5;50.75;ESTAVEL;2022-03-09 16:00:00;fii;68.22;-0.36;68.22;-0.36
1646845200000;BRZP11.SA;67.74;67.88;67.28;67.5;67.5;1555;68.3;-1.17;47.73;ESTAVEL;2022-03-09 17:00:00;fii;68.21;-1.04;68.21;-1.04
1646848800000;BRZP11.SA;67.42;68.05;67.42;67.9;67.9;1422;68.3;-0.58;50.43;ESTAVEL;2022-03-09 18:00:00;fii;68.21;-0.45;68.21;-0.45
1646852400000;BRZP11.SA;67.65;67.65;67.42;67.42;67.42;581;68.29;-1.27;47.27;ESTAVEL;2022-03-09 19:00:00;fii;68.2;-1.14;68.2;-1.14
1646917200000;BRZP11.SA;67.84;67.9;67.59;67.59;67.59;0;68.28;-1.01;48.5;ESTAVEL;2022-03-10 13:00:00;fii;68.19;-0.88;68.19;-0.88
1646920800000;BRZP11.SA;67.86;68.0;67.61;68.0;68.0;950;68.28;-0.41;51.45;ESTAVEL;2022-03-10 14:00:00;fii;68.19;-0.28;68.19;-0.28
1646924400000;BRZP11.SA;67.9;67.99;67.9;67.95;67.95;300;68.28;-0.48;51.06;ESTAVEL;2022-03-10 15:00:00;fii;68.19;-0.35;68.19;-0.35
1646928000000;BRZP11.SA;67.78;67.78;67.78;67.78;67.78;565;68.27;-0.72;49.71;ESTAVEL;2022-03-10 16:00:00;fii;68.18;-0.59;68.18;-0.59
1646931600000;BRZP11.SA;67.78;67.78;67.57;67.66;67.66;275;68.27;-0.89;48.72;ESTAVEL;2022-03-10 17:00:00;fii;68.18;-0.76;68.18;-0.76
1646935200000;BRZP11.SA;67.66;68.0;67.45;67.46;67.46;1577;68.26;-1.17;47.05;ESTAVEL;2022-03-10 18:00:00;fii;68.17;-1.04;68.17;-1.04
1646938800000;BRZP11.SA;67.46;67.6;67.46;67.46;67.46;304;68.25;-1.16;47.05;ESTAVEL;2022-03-10 19:00:00;fii;68.16;-1.03;68.16;-1.03
1647003600000;BRZP11.SA;67.53;67.99;67.25;67.37;67.37;0;68.24;-1.28;46.22;ESTAVEL;2022-03-11 13:00:00;fii;68.15;-1.15;68.15;-1.15
1647007200000;BRZP11.SA;67.37;67.88;67.28;67.39;67.39;889;68.23;-1.23;46.45;ESTAVEL;2022-03-11 14:00:00;fii;68.15;-1.11;68.15;-1.11
1647010800000;BRZP11.SA;67.39;67.83;67.38;67.39;67.39;938;68.22;-1.22;46.45;ESTAVEL;2022-03-11 15:00:00;fii;68.14;-1.1;68.14;-1.1
1647014400000;BRZP11.SA;67.39;67.7;67.38;67.41;67.41;294;68.21;-1.18;46.71;ESTAVEL;2022-03-11 16:00:00;fii;68.13;-1.06;68.13;-1.06
1647018000000;BRZP11.SA;67.41;67.55;67.39;67.41;67.41;114;68.21;-1.17;46.71;ESTAVEL;2022-03-11 17:00:00;fii;68.12;-1.04;68.12;-1.04
1647021600000;BRZP11.SA;67.4;67.6;67.4;67.42;67.42;1306;68.2;-1.14;46.86;ESTAVEL;2022-03-11 18:00:00;fii;68.11;-1.02;68.11;-1.02
1647025200000;BRZP11.SA;67.42;67.67;67.35;67.4;67.4;284;68.19;-1.16;46.58;ESTAVEL;2022-03-11 19:00:00;fii;68.11;-1.04;68.11;-1.04
1647262800000;BRZP11.SA;67.37;68.43;67.37;67.66;67.66;0;68.19;-0.77;50.71;ESTAVEL;2022-03-14 13:00:00;fii;68.1;-0.65;68.1;-0.65
1647266400000;BRZP11.SA;68.01;68.01;67.71;68.0;68.0;1783;68.18;-0.27;55.55;ESTAVEL;2022-03-14 14:00:00;fii;68.1;-0.15;68.1;-0.15
1647270000000;BRZP11.SA;67.99;68.13;67.8;68.0;68.0;1059;68.18;-0.27;55.55;ESTAVEL;2022-03-14 15:00:00;fii;68.1;-0.15;68.1;-0.15
1647273600000;BRZP11.SA;68.0;68.0;67.68;67.85;67.85;742;68.18;-0.48;52.89;ESTAVEL;2022-03-14 16:00:00;fii;68.1;-0.36;68.1;-0.36
1647277200000;BRZP11.SA;67.89;68.01;67.89;68.0;68.0;2201;68.18;-0.26;55.2;ESTAVEL;2022-03-14 17:00:00;fii;68.1;-0.14;68.1;-0.14
1647280800000;BRZP11.SA;68.0;68.0;67.72;67.72;67.72;325;68.17;-0.66;50.25;ESTAVEL;2022-03-14 18:00:00;fii;68.09;-0.55;68.09;-0.55
1647284400000;BRZP11.SA;68.0;68.15;67.66;68.14;68.14;933;68.17;-0.05;56.55;ESTAVEL;2022-03-14 19:00:00;fii;68.09;0.07;68.09;0.07
1647349200000;BRZP11.SA;67.47;67.47;67.47;67.47;67.47;0;68.16;-1.02;46.45;ESTAVEL;2022-03-15 13:00:00;fii;68.09;-0.9;68.09;-0.9
1647352800000;BRZP11.SA;67.8;67.99;67.52;67.84;67.84;756;68.16;-0.47;51.59;ESTAVEL;2022-03-15 14:00:00;fii;68.08;-0.36;68.08;-0.36
1647356400000;BRZP11.SA;67.83;68.29;66.85;67.49;67.49;21029;68.15;-0.98;46.99;ESTAVEL;2022-03-15 15:00:00;fii;68.08;-0.86;68.08;-0.86
1647360000000;BRZP11.SA;67.48;68.22;67.29;67.93;67.93;2592;68.15;-0.33;52.7;ESTAVEL;2022-03-15 16:00:00;fii;68.08;-0.21;68.08;-0.21
1647363600000;BRZP11.SA;67.73;68.29;67.53;68.18;68.18;2428;68.15;0.04;55.62;ESTAVEL;2022-03-15 17:00:00;fii;68.08;0.15;68.08;0.15
1647367200000;BRZP11.SA;68.0;68.17;67.46;67.46;67.46;871;68.15;-1.01;46.68;ESTAVEL;2022-03-15 18:00:00;fii;68.07;-0.9;68.07;-0.9
1647370800000;BRZP11.SA;67.79;67.79;67.04;67.04;67.04;1480;68.13;-1.61;42.39;ESTAVEL;2022-03-15 19:00:00;fii;68.06;-1.5;68.06;-1.5
1647435600000;BRZP11.SA;67.2;67.2;66.61;67.0;67.0;0;68.12;-1.65;42.0;ESTAVEL;2022-03-16 13:00:00;fii;68.05;-1.54;68.05;-1.54
1647439200000;BRZP11.SA;67.1;67.11;66.68;66.81;66.81;3241;68.11;-1.91;40.09;ESTAVEL;2022-03-16 14:00:00;fii;68.03;-1.8;68.03;-1.8
1647442800000;BRZP11.SA;66.81;67.5;66.71;66.71;66.71;2611;68.1;-2.04;39.08;ESTAVEL;2022-03-16 15:00:00;fii;68.02;-1.93;68.02;-1.93
1647446400000;BRZP11.SA;66.71;67.16;66.52;67.01;67.01;3927;68.09;-1.58;43.66;ESTAVEL;2022-03-16 16:00:00;fii;68.01;-1.47;68.01;-1.47
1647450000000;BRZP11.SA;67.01;67.01;66.62;66.65;66.65;3352;68.07;-2.09;39.79;ESTAVEL;2022-03-16 17:00:00;fii;68.0;-1.98;68.0;-1.98
1647453600000;BRZP11.SA;66.66;67.0;65.53;67.0;67.0;4865;68.06;-1.56;44.9;ESTAVEL;2022-03-16 18:00:00;fii;67.98;-1.45;67.98;-1.45
1647457200000;BRZP11.SA;67.0;67.37;65.62;65.98;65.98;5500;68.04;-3.03;35.46;ESTAVEL;2022-03-16 19:00:00;fii;67.96;-2.92;67.96;-2.92
