open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1648148400000;CEBR6.SA;13.99;13.99;13.99;13.99;13.99;400;14.3;-2.16;51.18;ESTAVEL;2022-03-24 19:00:00;stocks;14.13;-0.99;14.13;-0.99
1648213200000;CEBR6.SA;14.09;14.09;14.09;14.09;14.09;0;14.3;-1.45;55.74;ESTAVEL;2022-03-25 13:00:00;stocks;14.13;-0.28;14.13;-0.28
1648216800000;CEBR6.SA;14.0;14.1;14.0;14.1;14.1;2000;14.29;-1.36;56.18;ESTAVEL;2022-03-25 14:00:00;stocks;14.13;-0.21;14.13;-0.21
1648220400000;CEBR6.SA;14.0;14.0;14.0;14.0;14.0;700;14.29;-2.04;50.74;ESTAVEL;2022-03-25 15:00:00;stocks;14.13;-0.91;14.13;-0.91
1648224000000;CEBR6.SA;14.0;14.0;13.98;13.98;13.98;300;14.29;-2.16;49.71;ESTAVEL;2022-03-25 16:00:00;stocks;14.13;-1.03;14.13;-1.03
1648227600000;CEBR6.SA;13.91;13.91;13.9;13.9;13.9;2200;14.28;-2.69;45.69;ESTAVEL;2022-03-25 17:00:00;stocks;14.12;-1.58;14.12;-1.58
1648231200000;CEBR6.SA;13.9;13.9;13.9;13.9;13.9;1300;14.28;-2.67;45.69;ESTAVEL;2022-03-25 18:00:00;stocks;14.12;-1.57;14.12;-1.57
1648234800000;CEBR6.SA;14.0;14.0;13.78;13.8;13.8;3600;14.28;-3.33;40.9;ESTAVEL;2022-03-25 19:00:00;stocks;14.12;-2.25;14.12;-2.25
1648472400000;CEBR6.SA;15.0;16.0;15.0;15.9;15.9;10200;14.29;11.25;82.47;CAIR;2022-03-28 13:00:00;stocks;14.14;12.47;14.14;12.47
1648476000000;CEBR6.SA;15.95;16.95;15.72;16.5;16.5;9800;14.31;15.27;85.59;CAIR;2022-03-28 14:00:00;stocks;14.16;16.49;14.16;16.49
1648479600000;CEBR6.SA;16.79;16.9;15.9;16.0;16.0;11200;14.33;11.64;73.81;CAIR;2022-03-28 15:00:00;stocks;14.19;12.79;14.19;12.79
1648483200000;CEBR6.SA;16.0;16.23;15.9;16.02;16.02;5000;14.35;11.65;73.96;CAIR;2022-03-28 16:00:00;stocks;14.21;12.77;14.21;12.77
1648486800000;CEBR6.SA;16.02;16.02;15.8;15.9;15.9;2100;14.36;10.69;71.25;CAIR;2022-03-28 17:00:00;stocks;14.23;11.77;14.23;11.77
1648490400000;CEBR6.SA;15.9;15.99;15.5;15.99;15.99;8600;14.38;11.19;72.07;CAIR;2022-03-28 18:00:00;stocks;14.25;12.25;14.25;12.25
1648494000000;CEBR6.SA;15.9;15.9;15.6;15.6;15.6;12000;14.39;8.38;63.54;ESTAVEL;2022-03-28 19:00:00;stocks;14.26;9.39;14.26;9.39
1648558800000;CEBR6.SA;16.2;17.64;16.2;16.91;16.91;0;14.42;17.28;74.47;CAIR;2022-03-29 13:00:00;stocks;14.29;18.33;14.29;18.33
1648562400000;CEBR6.SA;17.0;17.2;16.51;16.51;16.51;5300;14.44;14.34;67.79;ESTAVEL;2022-03-29 14:00:00;stocks;14.32;15.33;14.32;15.33
1648566000000;CEBR6.SA;16.51;17.19;16.1;16.9;16.9;8000;14.46;16.84;70.56;CAIR;2022-03-29 15:00:00;stocks;14.34;17.82;14.34;17.82
1648569600000;CEBR6.SA;16.65;17.08;16.61;16.64;16.64;7700;14.49;14.86;66.45;ESTAVEL;2022-03-29 16:00:00;stocks;14.37;15.8;14.37;15.8
1648573200000;CEBR6.SA;16.65;16.9;16.65;16.67;16.67;1900;14.51;14.9;66.69;ESTAVEL;2022-03-29 17:00:00;stocks;14.4;15.8;14.4;15.8
1648576800000;CEBR6.SA;16.67;16.99;16.65;16.65;16.65;2200;14.53;14.59;66.35;ESTAVEL;2022-03-29 18:00:00;stocks;14.42;15.46;14.42;15.46
1648580400000;CEBR6.SA;16.65;17.19;16.61;16.99;16.99;4700;14.56;16.73;69.24;ESTAVEL;2022-03-29 19:00:00;stocks;14.45;17.58;14.45;17.58
1648645200000;CEBR6.SA;17.0;17.75;17.0;17.31;17.31;0;14.58;18.7;71.71;CAIR;2022-03-30 13:00:00;stocks;14.48;19.53;14.48;19.53
1648648800000;CEBR6.SA;17.3;18.0;17.3;17.51;17.51;18900;14.61;19.83;73.15;CAIR;2022-03-30 14:00:00;stocks;14.52;20.63;14.52;20.63
1648652400000;CEBR6.SA;17.5;17.6;17.41;17.43;17.43;5200;14.64;19.05;71.58;CAIR;2022-03-30 15:00:00;stocks;14.55;19.81;14.55;19.81
1648656000000;CEBR6.SA;17.43;17.68;17.42;17.42;17.42;5000;14.67;18.75;71.37;CAIR;2022-03-30 16:00:00;stocks;14.58;19.48;14.58;19.48
1648659600000;CEBR6.SA;17.42;17.91;17.42;17.5;17.5;5700;14.7;19.07;72.06;CAIR;2022-03-30 17:00:00;stocks;14.61;19.76;14.61;19.76
1648663200000;CEBR6.SA;17.48;17.55;17.44;17.44;17.44;3900;14.73;18.43;70.68;CAIR;2022-03-30 18:00:00;stocks;14.64;19.1;14.64;19.1
1648666800000;CEBR6.SA;17.41;17.55;17.4;17.5;17.5;2000;14.75;18.62;71.27;CAIR;2022-03-30 19:00:00;stocks;14.68;19.25;14.68;19.25
1648731600000;CEBR6.SA;17.93;17.94;17.85;17.93;17.93;0;14.79;21.27;75.17;CAIR;2022-03-31 13:00:00;stocks;14.71;21.88;14.71;21.88
1648735200000;CEBR6.SA;17.93;18.5;17.93;18.13;18.13;5300;14.82;22.34;76.75;CAIR;2022-03-31 14:00:00;stocks;14.75;22.92;14.75;22.92
1648738800000;CEBR6.SA;18.13;18.25;18.12;18.25;18.25;4300;14.85;22.86;77.67;CAIR;2022-03-31 15:00:00;stocks;14.79;23.41;14.79;23.41
1648742400000;CEBR6.SA;18.25;18.4;18.15;18.15;18.15;14300;14.89;21.92;75.01;CAIR;2022-03-31 16:00:00;stocks;14.82;22.43;14.82;22.43
1648746000000;CEBR6.SA;18.13;18.13;17.96;17.96;17.96;3700;14.92;20.39;70.1;CAIR;2022-03-31 17:00:00;stocks;14.86;20.87;14.86;20.87
1648749600000;CEBR6.SA;17.96;18.0;17.95;17.96;17.96;2300;14.95;20.14;70.1;CAIR;2022-03-31 18:00:00;stocks;14.89;20.59;14.89;20.59
1648753200000;CEBR6.SA;17.96;18.21;17.95;18.21;18.21;6000;14.98;21.55;72.81;CAIR;2022-03-31 19:00:00;stocks;14.93;21.97;14.93;21.97
1648818000000;CEBR6.SA;18.2;18.21;17.61;18.13;18.13;0;15.01;20.76;70.61;CAIR;2022-04-01 13:00:00;stocks;14.97;21.15;14.97;21.15
1648821600000;CEBR6.SA;17.92;18.0;17.77;17.97;17.97;4900;15.04;19.46;66.28;ESTAVEL;2022-04-01 14:00:00;stocks;15.0;19.81;15.0;19.81
1648825200000;CEBR6.SA;18.0;18.11;17.81;17.91;17.91;6200;15.07;18.83;64.67;ESTAVEL;2022-04-01 15:00:00;stocks;15.03;19.16;15.03;19.16
1648828800000;CEBR6.SA;18.13;18.13;17.96;17.96;17.96;1800;15.1;18.93;65.42;ESTAVEL;2022-04-01 16:00:00;stocks;15.06;19.24;15.06;19.24
1648832400000;CEBR6.SA;17.96;17.96;17.73;17.73;17.73;6500;15.13;17.2;59.2;ESTAVEL;2022-04-01 17:00:00;stocks;15.09;17.48;15.09;17.48
1648836000000;CEBR6.SA;17.73;17.97;17.71;17.74;17.74;1600;15.15;17.07;59.38;ESTAVEL;2022-04-01 18:00:00;stocks;15.12;17.32;15.12;17.32
1648839600000;CEBR6.SA;17.74;17.94;17.74;17.94;17.94;1700;15.18;18.17;62.92;ESTAVEL;2022-04-01 19:00:00;stocks;15.15;18.41;15.15;18.41
1649077200000;CEBR6.SA;18.19;18.21;18.0;18.02;18.02;0;15.21;18.47;64.26;ESTAVEL;2022-04-04 13:00:00;stocks;15.18;18.69;15.18;18.69
1649080800000;CEBR6.SA;18.03;18.13;17.85;18.13;18.13;4700;15.24;18.96;66.08;ESTAVEL;2022-04-04 14:00:00;stocks;15.21;19.16;15.21;19.16
1649084400000;CEBR6.SA;18.01;18.18;18.0;18.15;18.15;9800;15.27;18.87;66.42;ESTAVEL;2022-04-04 15:00:00;stocks;15.25;19.04;15.25;19.04
1649088000000;CEBR6.SA;18.01;18.12;18.0;18.01;18.01;4700;15.3;17.74;61.82;ESTAVEL;2022-04-04 16:00:00;stocks;15.28;17.89;15.28;17.89
1649091600000;CEBR6.SA;18.0;18.0;17.8;17.8;17.8;1600;15.32;16.17;55.6;ESTAVEL;2022-04-04 17:00:00;stocks;15.3;16.31;15.3;16.31
1649095200000;CEBR6.SA;17.9;17.9;17.9;17.9;17.9;800;15.35;16.63;57.78;ESTAVEL;2022-04-04 18:00:00;stocks;15.33;16.75;15.33;16.75
1649098800000;CEBR6.SA;17.9;18.03;17.9;18.0;18.0;1700;15.37;17.08;59.9;ESTAVEL;2022-04-04 19:00:00;stocks;15.36;17.18;15.36;17.18
1649163600000;CEBR6.SA;18.16;18.16;18.0;18.0;18.0;0;15.4;16.87;59.9;ESTAVEL;2022-04-05 13:00:00;stocks;15.39;16.96;15.39;16.96
1649167200000;CEBR6.SA;17.9;18.0;17.85;17.85;17.85;2200;15.43;15.72;55.09;ESTAVEL;2022-04-05 14:00:00;stocks;15.42;15.79;15.42;15.79
1649170800000;CEBR6.SA;17.85;17.98;17.85;17.98;17.98;1100;15.45;16.36;58.22;ESTAVEL;2022-04-05 15:00:00;stocks;15.44;16.42;15.44;16.42
1649174400000;CEBR6.SA;17.98;17.98;17.98;17.98;17.98;100;15.48;16.17;58.22;ESTAVEL;2022-04-05 16:00:00;stocks;15.47;16.21;15.47;16.21
1649178000000;CEBR6.SA;17.98;18.21;17.98;18.2;18.2;40300;15.5;17.39;63.25;ESTAVEL;2022-04-05 17:00:00;stocks;15.5;17.41;15.5;17.41
1649181600000;CEBR6.SA;18.03;18.08;17.99;17.99;17.99;1800;15.53;15.85;56.28;ESTAVEL;2022-04-05 18:00:00;stocks;15.53;15.86;15.53;15.86
1649185200000;CEBR6.SA;17.99;18.16;17.99;18.16;18.16;1200;15.56;16.74;60.11;ESTAVEL;2022-04-05 19:00:00;stocks;15.56;16.74;15.56;16.74
1649250000000;CEBR6.SA;18.19;18.19;18.0;18.0;18.0;0;15.58;15.53;55.21;ESTAVEL;2022-04-06 13:00:00;stocks;15.58;15.51;15.58;15.51
1649253600000;CEBR6.SA;18.0;18.1;18.0;18.0;18.0;900;15.6;15.35;55.21;ESTAVEL;2022-04-06 14:00:00;stocks;15.61;15.32;15.61;15.32
1649260800000;CEBR6.SA;18.0;18.0;18.0;18.0;18.0;600;15.63;15.17;55.21;ESTAVEL;2022-04-06 16:00:00;stocks;15.63;15.13;15.63;15.13
1649264400000;CEBR6.SA;18.01;18.13;18.01;18.13;18.13;600;15.65;15.82;58.63;ESTAVEL;2022-04-06 17:00:00;stocks;15.66;15.76;15.66;15.76
1649268000000;CEBR6.SA;18.13;18.13;17.85;18.0;18.0;50000;15.68;14.81;54.18;ESTAVEL;2022-04-06 18:00:00;stocks;15.69;14.75;15.69;14.75
1649271600000;CEBR6.SA;17.86;18.2;17.86;18.11;18.11;400;15.7;15.34;57.15;ESTAVEL;2022-04-06 19:00:00;stocks;15.71;15.26;15.71;15.26
