open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1655305200000;CGRA3.SA;29.27;29.27;29.27;29.27;29.27;200;31.96;-8.43;45.43;ESTAVEL;2022-06-15 15:00:00;stocks;31.09;-5.86;31.09;-5.86
1655319600000;CGRA3.SA;28.46;28.77;28.4;28.77;28.77;2100;31.93;-9.9;40.17;ESTAVEL;2022-06-15 19:00:00;stocks;31.07;-7.39;31.07;-7.39
1655474400000;CGRA3.SA;28.01;28.01;28.01;28.01;28.01;0;31.89;-12.17;33.76;ESTAVEL;2022-06-17 14:00:00;stocks;31.03;-9.74;31.03;-9.74
1655478000000;CGRA3.SA;27.61;28.0;27.6;28.0;28.0;300;31.85;-12.09;33.68;ESTAVEL;2022-06-17 15:00:00;stocks;31.0;-9.67;31.0;-9.67
1655481600000;CGRA3.SA;27.61;27.61;27.6;27.6;27.6;200;31.81;-13.23;30.7;ESTAVEL;2022-06-17 16:00:00;stocks;30.96;-10.85;30.96;-10.85
1655485200000;CGRA3.SA;27.69;27.69;27.69;27.69;27.69;100;31.77;-12.84;32.16;ESTAVEL;2022-06-17 17:00:00;stocks;30.92;-10.45;30.92;-10.45
1655488800000;CGRA3.SA;27.51;27.51;27.5;27.5;27.5;700;31.72;-13.32;30.69;ESTAVEL;2022-06-17 18:00:00;stocks;30.88;-10.95;30.88;-10.95
1655492400000;CGRA3.SA;27.51;27.51;27.5;27.5;27.5;300;31.68;-13.2;30.69;ESTAVEL;2022-06-17 19:00:00;stocks;30.84;-10.84;30.84;-10.84
1655740800000;CGRA3.SA;27.23;27.23;27.23;27.23;27.23;0;31.64;-13.93;28.55;SUBIR;2022-06-20 16:00:00;stocks;30.8;-11.6;30.8;-11.6
1655744400000;CGRA3.SA;27.5;27.5;27.5;27.5;27.5;500;31.59;-12.96;33.55;ESTAVEL;2022-06-20 17:00:00;stocks;30.76;-10.61;30.76;-10.61
1655748000000;CGRA3.SA;27.95;28.0;27.95;28.0;28.0;300;31.56;-11.28;41.68;ESTAVEL;2022-06-20 18:00:00;stocks;30.73;-8.89;30.73;-8.89
1655751600000;CGRA3.SA;27.99;27.99;27.99;27.99;27.99;200;31.52;-11.21;41.57;ESTAVEL;2022-06-20 19:00:00;stocks;30.7;-8.83;30.7;-8.83
1655823600000;CGRA3.SA;28.39;28.4;28.39;28.4;28.4;0;31.49;-9.81;47.65;ESTAVEL;2022-06-21 15:00:00;stocks;30.68;-7.42;30.68;-7.42
1655830800000;CGRA3.SA;28.39;28.39;28.39;28.39;28.39;100;31.46;-9.76;47.52;ESTAVEL;2022-06-21 17:00:00;stocks;30.65;-7.37;30.65;-7.37
1655838000000;CGRA3.SA;28.39;28.39;28.39;28.39;28.39;200;31.43;-9.67;47.52;ESTAVEL;2022-06-21 19:00:00;stocks;30.62;-7.3;30.62;-7.3
1656003600000;CGRA3.SA;27.99;27.99;27.99;27.99;27.99;100;31.39;-10.84;42.19;ESTAVEL;2022-06-23 17:00:00;stocks;30.59;-8.51;30.59;-8.51
1656010800000;CGRA3.SA;28.28;28.28;28.28;28.28;28.28;100;31.36;-9.83;46.85;ESTAVEL;2022-06-23 19:00:00;stocks;30.57;-7.49;30.57;-7.49
1656082800000;CGRA3.SA;28.25;28.25;28.25;28.25;28.25;0;31.33;-9.83;46.43;ESTAVEL;2022-06-24 15:00:00;stocks;30.54;-7.51;30.54;-7.51
1656086400000;CGRA3.SA;28.25;28.25;28.25;28.25;28.25;100;31.3;-9.74;46.43;ESTAVEL;2022-06-24 16:00:00;stocks;30.52;-7.43;30.52;-7.43
1656090000000;CGRA3.SA;28.25;28.68;28.25;28.68;28.68;2000;31.27;-8.29;53.33;ESTAVEL;2022-06-24 17:00:00;stocks;30.5;-5.96;30.5;-5.96
1656093600000;CGRA3.SA;28.49;28.49;28.49;28.49;28.49;100;31.24;-8.82;50.25;ESTAVEL;2022-06-24 18:00:00;stocks;30.47;-6.51;30.47;-6.51
1656334800000;CGRA3.SA;28.6;29.0;28.6;28.97;28.97;1800;31.22;-7.21;57.01;ESTAVEL;2022-06-27 13:00:00;stocks;30.46;-4.88;30.46;-4.88
1656338400000;CGRA3.SA;28.9;29.0;28.9;29.0;29.0;300;31.2;-7.05;57.4;ESTAVEL;2022-06-27 14:00:00;stocks;30.44;-4.73;30.44;-4.73
1656342000000;CGRA3.SA;29.0;29.0;29.0;29.0;29.0;100;31.18;-6.98;57.4;ESTAVEL;2022-06-27 15:00:00;stocks;30.42;-4.68;30.42;-4.68
1656345600000;CGRA3.SA;29.0;29.0;29.0;29.0;29.0;100;31.16;-6.92;57.4;ESTAVEL;2022-06-27 16:00:00;stocks;30.41;-4.63;30.41;-4.63
1656349200000;CGRA3.SA;29.0;29.0;29.0;29.0;29.0;100;31.13;-6.85;57.4;ESTAVEL;2022-06-27 17:00:00;stocks;30.39;-4.58;30.39;-4.58
1656356400000;CGRA3.SA;29.0;29.01;29.0;29.01;29.01;200;31.11;-6.76;57.57;ESTAVEL;2022-06-27 19:00:00;stocks;30.38;-4.5;30.38;-4.5
1656421200000;CGRA3.SA;28.99;29.02;28.99;29.0;29.0;600;31.09;-6.72;57.32;ESTAVEL;2022-06-28 13:00:00;stocks;30.36;-4.49;30.36;-4.49
1656428400000;CGRA3.SA;28.9;28.9;28.9;28.9;28.9;100;31.07;-6.98;54.76;ESTAVEL;2022-06-28 15:00:00;stocks;30.35;-4.77;30.35;-4.77
1656432000000;CGRA3.SA;28.85;29.0;28.85;29.0;29.0;700;31.05;-6.6;56.84;ESTAVEL;2022-06-28 16:00:00;stocks;30.33;-4.39;30.33;-4.39
