open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1669741200000;CJCT11.SA;65.0;65.0;65.0;65.0;65.0;50;79.36;-18.09;38.26;ESTAVEL;2022-11-29 17:00:00;fii;80.17;-18.93;80.17;-18.93
1669744800000;CJCT11.SA;70.0;70.0;70.0;70.0;70.0;1;79.26;-11.68;46.34;ESTAVEL;2022-11-29 18:00:00;fii;80.06;-12.56;80.06;-12.56
1669816800000;CJCT11.SA;70.0;70.0;70.0;70.0;70.0;0;79.17;-11.58;46.34;ESTAVEL;2022-11-30 14:00:00;fii;79.94;-12.44;79.94;-12.44
1669903200000;CJCT11.SA;64.07;64.07;64.07;64.07;64.07;0;79.01;-18.91;39.27;ESTAVEL;2022-12-01 14:00:00;fii;79.76;-19.67;79.76;-19.67
1669906800000;CJCT11.SA;70.0;70.0;70.0;70.0;70.0;1;78.92;-11.31;47.84;ESTAVEL;2022-12-01 15:00:00;fii;79.65;-12.11;79.65;-12.11
1670245200000;CJCT11.SA;70.0;70.0;70.0;70.0;70.0;0;78.83;-11.2;47.84;ESTAVEL;2022-12-05 13:00:00;fii;79.54;-11.99;79.54;-11.99
1670263200000;CJCT11.SA;67.0;67.0;67.0;67.0;67.0;27;78.71;-14.88;44.18;ESTAVEL;2022-12-05 18:00:00;fii;79.39;-15.61;79.39;-15.61
1670266800000;CJCT11.SA;70.0;70.0;70.0;70.0;70.0;1;78.62;-10.97;48.43;ESTAVEL;2022-12-05 19:00:00;fii;79.29;-11.71;79.29;-11.71
1670353200000;CJCT11.SA;70.0;70.0;70.0;70.0;70.0;0;78.54;-10.87;48.43;ESTAVEL;2022-12-06 19:00:00;fii;79.18;-11.6;79.18;-11.6
1670421600000;CJCT11.SA;66.0;66.99;66.0;66.99;66.99;429;78.42;-14.58;44.49;ESTAVEL;2022-12-07 14:00:00;fii;79.04;-15.25;79.04;-15.25
1670425200000;CJCT11.SA;65.0;65.0;64.05;64.05;64.05;977;78.28;-18.17;40.98;ESTAVEL;2022-12-07 15:00:00;fii;78.87;-18.79;78.87;-18.79
1670428800000;CJCT11.SA;66.98;66.99;66.98;66.99;66.99;110;78.16;-14.29;45.6;ESTAVEL;2022-12-07 16:00:00;fii;78.74;-14.92;78.74;-14.92
1670860800000;CJCT11.SA;64.05;65.0;64.05;65.0;65.0;147;78.03;-16.7;43.14;ESTAVEL;2022-12-12 16:00:00;fii;78.58;-17.29;78.58;-17.29
1670864400000;CJCT11.SA;64.92;64.92;64.92;64.92;64.92;52;77.9;-16.66;43.04;ESTAVEL;2022-12-12 17:00:00;fii;78.43;-17.23;78.43;-17.23
1670871600000;CJCT11.SA;69.79;69.79;69.79;69.79;69.79;1;77.81;-10.31;50.59;ESTAVEL;2022-12-12 19:00:00;fii;78.33;-10.91;78.33;-10.91
1671127200000;CJCT11.SA;65.72;65.72;65.72;65.72;65.72;0;77.69;-15.41;45.2;ESTAVEL;2022-12-15 18:00:00;fii;78.19;-15.95;78.19;-15.95
1671130800000;CJCT11.SA;69.78;69.78;69.78;69.78;69.78;2;77.61;-10.09;50.82;ESTAVEL;2022-12-15 19:00:00;fii;78.1;-10.65;78.1;-10.65
1671458400000;CJCT11.SA;64.01;64.01;64.01;64.01;64.01;0;77.47;-17.38;43.92;ESTAVEL;2022-12-19 14:00:00;fii;77.94;-17.87;77.94;-17.87
1671462000000;CJCT11.SA;66.01;66.01;66.01;66.01;66.01;1;77.36;-14.67;46.63;ESTAVEL;2022-12-19 15:00:00;fii;77.8;-15.16;77.8;-15.16
