open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645725600000;CRPG5.SA;50.3;50.64;50.0;50.6;50.6;700;57.86;-12.54;25.14;SUBIR;2022-02-24 18:00:00;stocks;57.26;-11.64;57.26;-11.64
1645729200000;CRPG5.SA;50.2;53.15;50.2;53.15;53.15;4300;57.81;-8.06;49.05;ESTAVEL;2022-02-24 19:00:00;stocks;57.22;-7.11;57.22;-7.11
1645794000000;CRPG5.SA;54.05;54.3;54.05;54.3;54.3;0;57.77;-6.01;55.9;ESTAVEL;2022-02-25 13:00:00;stocks;57.18;-5.04;57.18;-5.04
1645797600000;CRPG5.SA;52.59;53.99;52.58;53.99;53.99;500;57.74;-6.49;53.8;ESTAVEL;2022-02-25 14:00:00;stocks;57.15;-5.52;57.15;-5.52
1645808400000;CRPG5.SA;53.39;53.49;53.37;53.48;53.48;800;57.69;-7.3;50.44;ESTAVEL;2022-02-25 17:00:00;stocks;57.1;-6.35;57.1;-6.35
1645815600000;CRPG5.SA;53.61;53.61;53.56;53.56;53.56;600;57.65;-7.1;50.96;ESTAVEL;2022-02-25 19:00:00;stocks;57.06;-6.14;57.06;-6.14
1646236800000;CRPG5.SA;54.98;54.98;54.95;54.95;54.95;100;57.62;-4.64;58.96;ESTAVEL;2022-03-02 16:00:00;stocks;57.04;-3.66;57.04;-3.66
1646240400000;CRPG5.SA;53.95;53.95;53.04;53.5;53.5;1200;57.58;-7.09;49.83;ESTAVEL;2022-03-02 17:00:00;stocks;57.0;-6.14;57.0;-6.14
1646244000000;CRPG5.SA;53.53;53.53;53.06;53.49;53.49;1500;57.54;-7.04;49.77;ESTAVEL;2022-03-02 18:00:00;stocks;56.96;-6.09;56.96;-6.09
1646247600000;CRPG5.SA;53.95;54.31;53.95;54.31;54.31;400;57.51;-5.56;54.4;ESTAVEL;2022-03-02 19:00:00;stocks;56.93;-4.6;56.93;-4.6
1646312400000;CRPG5.SA;55.39;55.39;54.2;54.69;54.69;0;57.48;-4.85;56.4;ESTAVEL;2022-03-03 13:00:00;stocks;56.9;-3.89;56.9;-3.89
1646316000000;CRPG5.SA;54.79;54.79;54.01;54.01;54.01;1800;57.44;-5.98;52.0;ESTAVEL;2022-03-03 14:00:00;stocks;56.87;-5.03;56.87;-5.03
1646319600000;CRPG5.SA;53.84;54.13;53.84;54.05;54.05;800;57.41;-5.85;52.23;ESTAVEL;2022-03-03 15:00:00;stocks;56.84;-4.91;56.84;-4.91
1646323200000;CRPG5.SA;54.0;54.3;54.0;54.3;54.3;300;57.38;-5.37;53.77;ESTAVEL;2022-03-03 16:00:00;stocks;56.81;-4.42;56.81;-4.42
1646326800000;CRPG5.SA;54.0;54.05;53.93;53.98;53.98;500;57.34;-5.87;51.49;ESTAVEL;2022-03-03 17:00:00;stocks;56.78;-4.93;56.78;-4.93
1646330400000;CRPG5.SA;53.92;53.96;53.7;53.7;53.7;1300;57.31;-6.29;49.51;ESTAVEL;2022-03-03 18:00:00;stocks;56.74;-5.36;56.74;-5.36
1646334000000;CRPG5.SA;53.54;53.99;53.51;53.99;53.99;3800;57.27;-5.73;51.59;ESTAVEL;2022-03-03 19:00:00;stocks;56.71;-4.8;56.71;-4.8
1646398800000;CRPG5.SA;53.01;53.01;52.15;52.15;52.15;0;57.22;-8.86;40.29;ESTAVEL;2022-03-04 13:00:00;stocks;56.66;-7.96;56.66;-7.96
1646402400000;CRPG5.SA;52.15;52.48;52.15;52.48;52.48;500;57.17;-8.21;42.71;ESTAVEL;2022-03-04 14:00:00;stocks;56.62;-7.3;56.62;-7.3
1646406000000;CRPG5.SA;52.5;52.5;52.15;52.15;52.15;600;57.12;-8.71;40.92;ESTAVEL;2022-03-04 15:00:00;stocks;56.57;-7.81;56.57;-7.81
1646409600000;CRPG5.SA;52.11;52.11;52.0;52.0;52.0;1800;57.07;-8.89;40.1;ESTAVEL;2022-03-04 16:00:00;stocks;56.51;-7.99;56.51;-7.99
1646413200000;CRPG5.SA;51.75;51.75;51.15;51.15;51.15;1100;57.01;-10.28;35.72;ESTAVEL;2022-03-04 17:00:00;stocks;56.45;-9.4;56.45;-9.4
1646416800000;CRPG5.SA;51.65;52.65;51.65;52.65;52.65;1200;56.97;-7.58;46.77;ESTAVEL;2022-03-04 18:00:00;stocks;56.41;-6.67;56.41;-6.67
1646420400000;CRPG5.SA;52.6;52.6;52.1;52.1;52.1;700;56.92;-8.47;43.8;ESTAVEL;2022-03-04 19:00:00;stocks;56.36;-7.56;56.36;-7.56
1646658000000;CRPG5.SA;51.0;51.25;51.0;51.25;51.25;0;56.86;-9.87;39.61;ESTAVEL;2022-03-07 13:00:00;stocks;56.31;-8.98;56.31;-8.98
1646661600000;CRPG5.SA;50.85;51.19;50.85;51.19;51.19;500;56.8;-9.88;39.32;ESTAVEL;2022-03-07 14:00:00;stocks;56.25;-8.99;56.25;-8.99
1646665200000;CRPG5.SA;51.0;51.0;50.71;50.71;50.71;400;56.74;-10.63;37.02;ESTAVEL;2022-03-07 15:00:00;stocks;56.19;-9.75;56.19;-9.75
1646668800000;CRPG5.SA;50.71;50.71;50.51;50.6;50.6;700;56.68;-10.73;36.49;ESTAVEL;2022-03-07 16:00:00;stocks;56.13;-9.85;56.13;-9.85
1646672400000;CRPG5.SA;50.3;50.4;50.16;50.4;50.4;900;56.62;-10.98;35.5;ESTAVEL;2022-03-07 17:00:00;stocks;56.06;-10.1;56.06;-10.1
1646676000000;CRPG5.SA;50.72;50.72;50.72;50.72;50.72;300;56.56;-10.32;38.38;ESTAVEL;2022-03-07 18:00:00;stocks;56.0;-9.43;56.0;-9.43
1646679600000;CRPG5.SA;50.2;50.2;50.0;50.0;50.0;1200;56.49;-11.49;34.63;ESTAVEL;2022-03-07 19:00:00;stocks;55.94;-10.61;55.94;-10.61
1646744400000;CRPG5.SA;49.07;51.0;47.68;49.61;49.61;0;56.42;-12.07;32.77;ESTAVEL;2022-03-08 13:00:00;stocks;55.87;-11.2;55.87;-11.2
1646748000000;CRPG5.SA;49.44;49.44;49.1;49.2;49.2;800;56.35;-12.69;30.88;ESTAVEL;2022-03-08 14:00:00;stocks;55.79;-11.82;55.79;-11.82
1646751600000;CRPG5.SA;49.5;49.5;49.0;49.0;49.0;500;56.28;-12.93;29.98;SUBIR;2022-03-08 15:00:00;stocks;55.72;-12.06;55.72;-12.06
1646755200000;CRPG5.SA;49.0;49.0;49.0;49.0;49.0;200;56.2;-12.81;29.98;SUBIR;2022-03-08 16:00:00;stocks;55.64;-11.94;55.64;-11.94
1646758800000;CRPG5.SA;49.38;49.5;49.38;49.5;49.5;1200;56.13;-11.82;35.47;ESTAVEL;2022-03-08 17:00:00;stocks;55.58;-10.93;55.58;-10.93
1646766000000;CRPG5.SA;50.09;50.09;50.09;50.09;50.09;100;56.07;-10.67;41.31;ESTAVEL;2022-03-08 19:00:00;stocks;55.52;-9.78;55.52;-9.78
1646830800000;CRPG5.SA;50.6;51.9;50.6;51.45;51.45;0;56.03;-8.17;52.08;ESTAVEL;2022-03-09 13:00:00;stocks;55.47;-7.25;55.47;-7.25
