open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;CSED3.SA;5.27;5.33;5.17;5.25;5.25;87000;5.91;-11.24;36.88;ESTAVEL;2022-02-22 14:00:00;stocks;5.78;-9.23;5.78;-9.23
1645542000000;CSED3.SA;5.25;5.29;5.19;5.21;5.21;58400;5.91;-11.81;34.65;ESTAVEL;2022-02-22 15:00:00;stocks;5.78;-9.82;5.78;-9.82
1645545600000;CSED3.SA;5.21;5.25;5.09;5.1;5.1;121500;5.9;-13.55;29.41;SUBIR;2022-02-22 16:00:00;stocks;5.77;-11.61;5.77;-11.61
1645549200000;CSED3.SA;5.1;5.17;5.09;5.11;5.11;247700;5.89;-13.26;30.44;ESTAVEL;2022-02-22 17:00:00;stocks;5.76;-11.32;5.76;-11.32
1645552800000;CSED3.SA;5.11;5.21;5.09;5.12;5.12;173100;5.88;-12.98;31.51;ESTAVEL;2022-02-22 18:00:00;stocks;5.75;-11.03;5.75;-11.03
1645556400000;CSED3.SA;5.12;5.24;5.12;5.2;5.2;95400;5.88;-11.51;39.58;ESTAVEL;2022-02-22 19:00:00;stocks;5.75;-9.54;5.75;-9.54
1645621200000;CSED3.SA;5.32;5.35;5.21;5.26;5.26;0;5.87;-10.4;44.83;ESTAVEL;2022-02-23 13:00:00;stocks;5.74;-8.41;5.74;-8.41
1645624800000;CSED3.SA;5.26;5.26;5.17;5.17;5.17;24500;5.86;-11.83;39.31;ESTAVEL;2022-02-23 14:00:00;stocks;5.74;-9.87;5.74;-9.87
1645628400000;CSED3.SA;5.16;5.16;4.97;5.04;5.04;541900;5.86;-13.92;33.0;ESTAVEL;2022-02-23 15:00:00;stocks;5.73;-12.02;5.73;-12.02
1645632000000;CSED3.SA;5.04;5.11;5.01;5.06;5.06;70300;5.85;-13.46;34.73;ESTAVEL;2022-02-23 16:00:00;stocks;5.72;-11.55;5.72;-11.55
1645635600000;CSED3.SA;5.06;5.22;5.05;5.17;5.17;183200;5.84;-11.47;43.42;ESTAVEL;2022-02-23 17:00:00;stocks;5.71;-9.53;5.71;-9.53
1645639200000;CSED3.SA;5.18;5.18;5.11;5.11;5.11;50300;5.83;-12.39;40.27;ESTAVEL;2022-02-23 18:00:00;stocks;5.71;-10.47;5.71;-10.47
1645642800000;CSED3.SA;5.12;5.12;5.03;5.07;5.07;74500;5.83;-12.96;38.28;ESTAVEL;2022-02-23 19:00:00;stocks;5.7;-11.06;5.7;-11.06
1645707600000;CSED3.SA;4.85;5.02;4.82;5.0;5.0;0;5.82;-14.04;35.01;ESTAVEL;2022-02-24 13:00:00;stocks;5.69;-12.17;5.69;-12.17
1645711200000;CSED3.SA;5.0;5.03;4.83;4.99;4.99;92600;5.81;-14.09;34.56;ESTAVEL;2022-02-24 14:00:00;stocks;5.68;-12.22;5.68;-12.22
1645714800000;CSED3.SA;4.99;5.22;4.98;5.19;5.19;100800;5.8;-10.55;48.84;ESTAVEL;2022-02-24 15:00:00;stocks;5.68;-8.61;5.68;-8.61
1645718400000;CSED3.SA;5.19;5.22;5.13;5.15;5.15;60000;5.8;-11.14;46.64;ESTAVEL;2022-02-24 16:00:00;stocks;5.67;-9.22;5.67;-9.22
1645722000000;CSED3.SA;5.15;5.17;4.95;5.02;5.02;114700;5.79;-13.26;40.31;ESTAVEL;2022-02-24 17:00:00;stocks;5.67;-11.4;5.67;-11.4
1645725600000;CSED3.SA;5.02;5.2;4.98;5.16;5.16;110300;5.78;-10.75;48.43;ESTAVEL;2022-02-24 18:00:00;stocks;5.66;-8.84;5.66;-8.84
1645729200000;CSED3.SA;5.16;5.32;5.16;5.24;5.24;94700;5.78;-9.28;52.41;ESTAVEL;2022-02-24 19:00:00;stocks;5.66;-7.35;5.66;-7.35
1645794000000;CSED3.SA;5.25;5.29;5.13;5.2;5.2;0;5.77;-9.88;50.32;ESTAVEL;2022-02-25 13:00:00;stocks;5.65;-7.97;5.65;-7.97
1645797600000;CSED3.SA;5.2;5.24;5.15;5.15;5.15;57800;5.76;-10.65;47.75;ESTAVEL;2022-02-25 14:00:00;stocks;5.64;-8.77;5.64;-8.77
1645801200000;CSED3.SA;5.15;5.15;5.01;5.08;5.08;65900;5.76;-11.76;44.34;ESTAVEL;2022-02-25 15:00:00;stocks;5.64;-9.91;5.64;-9.91
1645804800000;CSED3.SA;5.08;5.2;5.02;5.03;5.03;98700;5.75;-12.51;42.03;ESTAVEL;2022-02-25 16:00:00;stocks;5.63;-10.69;5.63;-10.69
1645808400000;CSED3.SA;5.03;5.17;5.03;5.08;5.08;78100;5.74;-11.54;45.11;ESTAVEL;2022-02-25 17:00:00;stocks;5.63;-9.7;5.63;-9.7
1645812000000;CSED3.SA;5.09;5.11;5.05;5.1;5.1;26700;5.74;-11.09;46.34;ESTAVEL;2022-02-25 18:00:00;stocks;5.62;-9.25;5.62;-9.25
1645815600000;CSED3.SA;5.1;5.13;5.08;5.09;5.09;27000;5.73;-11.16;45.79;ESTAVEL;2022-02-25 19:00:00;stocks;5.61;-9.33;5.61;-9.33
1646236800000;CSED3.SA;5.1;5.3;5.1;5.11;5.11;69000;5.72;-10.72;47.14;ESTAVEL;2022-03-02 16:00:00;stocks;5.61;-8.89;5.61;-8.89
1646240400000;CSED3.SA;5.11;5.12;5.04;5.05;5.05;24600;5.72;-11.66;43.62;ESTAVEL;2022-03-02 17:00:00;stocks;5.6;-9.86;5.6;-9.86
1646244000000;CSED3.SA;5.06;5.13;5.02;5.1;5.1;42400;5.71;-10.69;47.16;ESTAVEL;2022-03-02 18:00:00;stocks;5.6;-8.87;5.6;-8.87
