open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;CVBI11.SA;100.25;100.5;99.25;99.68;99.68;10540;101.68;-1.96;25.4;SUBIR;2022-02-22 14:00:00;fii;101.68;-1.97;101.68;-1.97
1645542000000;CVBI11.SA;99.83;100.0;99.62;99.92;99.92;1551;101.66;-1.71;32.76;ESTAVEL;2022-02-22 15:00:00;fii;101.66;-1.71;101.66;-1.71
1645545600000;CVBI11.SA;99.98;99.99;99.85;99.99;99.99;3107;101.64;-1.62;34.79;ESTAVEL;2022-02-22 16:00:00;fii;101.64;-1.62;101.64;-1.62
1645549200000;CVBI11.SA;99.99;100.0;99.85;100.0;100.0;4841;101.62;-1.6;35.09;ESTAVEL;2022-02-22 17:00:00;fii;101.62;-1.59;101.62;-1.59
1645552800000;CVBI11.SA;99.99;100.0;99.85;99.86;99.86;2397;101.61;-1.72;32.81;ESTAVEL;2022-02-22 18:00:00;fii;101.6;-1.71;101.6;-1.71
1645556400000;CVBI11.SA;99.86;99.99;99.76;99.91;99.91;5271;101.59;-1.65;34.45;ESTAVEL;2022-02-22 19:00:00;fii;101.58;-1.64;101.58;-1.64
1645621200000;CVBI11.SA;99.89;100.2;99.31;99.93;99.93;0;101.57;-1.62;35.13;ESTAVEL;2022-02-23 13:00:00;fii;101.56;-1.61;101.56;-1.61
1645624800000;CVBI11.SA;100.0;100.49;99.6;100.0;100.0;6683;101.56;-1.53;37.57;ESTAVEL;2022-02-23 14:00:00;fii;101.54;-1.52;101.54;-1.52
1645628400000;CVBI11.SA;100.0;100.81;99.92;100.62;100.62;7450;101.55;-0.91;54.08;ESTAVEL;2022-02-23 15:00:00;fii;101.53;-0.9;101.53;-0.9
1645632000000;CVBI11.SA;100.62;100.75;100.4;100.41;100.41;3067;101.54;-1.11;49.32;ESTAVEL;2022-02-23 16:00:00;fii;101.52;-1.09;101.52;-1.09
1645635600000;CVBI11.SA;100.57;100.57;100.4;100.52;100.52;3470;101.53;-0.99;51.72;ESTAVEL;2022-02-23 17:00:00;fii;101.51;-0.97;101.51;-0.97
1645639200000;CVBI11.SA;100.51;100.8;100.43;100.57;100.57;3412;101.52;-0.93;52.81;ESTAVEL;2022-02-23 18:00:00;fii;101.5;-0.92;101.5;-0.92
1645642800000;CVBI11.SA;100.57;100.64;100.31;100.33;100.33;2809;101.5;-1.16;47.28;ESTAVEL;2022-02-23 19:00:00;fii;101.49;-1.14;101.49;-1.14
1645707600000;CVBI11.SA;99.9;99.9;99.01;99.4;99.4;0;101.48;-2.05;32.91;ESTAVEL;2022-02-24 13:00:00;fii;101.46;-2.03;101.46;-2.03
1645711200000;CVBI11.SA;99.4;99.98;99.32;99.9;99.9;4274;101.47;-1.54;42.95;ESTAVEL;2022-02-24 14:00:00;fii;101.44;-1.52;101.44;-1.52
1645714800000;CVBI11.SA;99.9;99.93;99.18;99.59;99.59;3331;101.45;-1.83;39.05;ESTAVEL;2022-02-24 15:00:00;fii;101.42;-1.81;101.42;-1.81
1645718400000;CVBI11.SA;99.59;99.99;99.58;99.93;99.93;2999;101.43;-1.48;44.95;ESTAVEL;2022-02-24 16:00:00;fii;101.41;-1.46;101.41;-1.46
1645722000000;CVBI11.SA;99.91;99.93;99.4;99.47;99.47;4069;101.41;-1.92;39.39;ESTAVEL;2022-02-24 17:00:00;fii;101.39;-1.89;101.39;-1.89
1645725600000;CVBI11.SA;99.62;99.62;99.2;99.26;99.26;3225;101.39;-2.1;37.13;ESTAVEL;2022-02-24 18:00:00;fii;101.36;-2.07;101.36;-2.07
1645729200000;CVBI11.SA;99.26;99.38;99.1;99.38;99.38;4284;101.37;-1.96;39.28;ESTAVEL;2022-02-24 19:00:00;fii;101.34;-1.93;101.34;-1.93
1645794000000;CVBI11.SA;99.18;100.29;99.01;99.7;99.7;0;101.35;-1.63;44.69;ESTAVEL;2022-02-25 13:00:00;fii;101.32;-1.6;101.32;-1.6
1645797600000;CVBI11.SA;99.68;99.76;99.54;99.67;99.67;2661;101.34;-1.64;44.29;ESTAVEL;2022-02-25 14:00:00;fii;101.3;-1.61;101.3;-1.61
1645801200000;CVBI11.SA;99.69;99.99;99.67;99.76;99.76;1508;101.32;-1.54;45.85;ESTAVEL;2022-02-25 15:00:00;fii;101.29;-1.51;101.29;-1.51
1645804800000;CVBI11.SA;99.75;99.99;99.64;99.99;99.99;2092;101.31;-1.3;49.73;ESTAVEL;2022-02-25 16:00:00;fii;101.27;-1.26;101.27;-1.26
1645808400000;CVBI11.SA;99.99;100.05;99.88;100.0;100.0;2255;101.29;-1.28;49.9;ESTAVEL;2022-02-25 17:00:00;fii;101.26;-1.24;101.26;-1.24
1645812000000;CVBI11.SA;99.99;100.74;99.95;100.43;100.43;3216;101.29;-0.84;56.61;ESTAVEL;2022-02-25 18:00:00;fii;101.25;-0.81;101.25;-0.81
1645815600000;CVBI11.SA;100.42;100.69;100.2;100.56;100.56;4210;101.28;-0.71;58.42;ESTAVEL;2022-02-25 19:00:00;fii;101.24;-0.67;101.24;-0.67
1646236800000;CVBI11.SA;100.24;100.6;99.7;100.28;100.28;4705;101.27;-0.98;53.26;ESTAVEL;2022-03-02 16:00:00;fii;101.23;-0.94;101.23;-0.94
1646240400000;CVBI11.SA;100.28;100.5;100.05;100.29;100.29;4773;101.26;-0.96;53.42;ESTAVEL;2022-03-02 17:00:00;fii;101.22;-0.92;101.22;-0.92
1646244000000;CVBI11.SA;100.13;100.49;100.0;100.02;100.02;5264;101.25;-1.21;48.63;ESTAVEL;2022-03-02 18:00:00;fii;101.21;-1.17;101.21;-1.17
1646312400000;CVBI11.SA;100.12;100.74;100.02;100.55;100.55;0;101.24;-0.68;56.81;ESTAVEL;2022-03-03 13:00:00;fii;101.2;-0.64;101.2;-0.64
1646316000000;CVBI11.SA;100.55;100.79;100.31;100.79;100.79;2586;101.23;-0.44;59.93;ESTAVEL;2022-03-03 14:00:00;fii;101.19;-0.4;101.19;-0.4
1646319600000;CVBI11.SA;100.7;100.78;100.57;100.62;100.62;1590;101.23;-0.6;56.8;ESTAVEL;2022-03-03 15:00:00;fii;101.19;-0.56;101.19;-0.56
