open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645549200000;CXCE11B.SA;42.01;42.01;41.2;41.2;41.2;331;43.46;-5.19;33.43;ESTAVEL;2022-02-22 17:00:00;fii;43.42;-5.12;43.42;-5.12
1645552800000;CXCE11B.SA;42.0;42.0;41.98;41.98;41.98;8;43.44;-3.37;44.57;ESTAVEL;2022-02-22 18:00:00;fii;43.41;-3.29;43.41;-3.29
1645556400000;CXCE11B.SA;41.98;41.98;41.65;41.65;41.65;28;43.42;-4.09;41.41;ESTAVEL;2022-02-22 19:00:00;fii;43.39;-4.0;43.39;-4.0
1645621200000;CXCE11B.SA;41.77;41.77;41.1;41.12;41.12;0;43.4;-5.26;36.89;ESTAVEL;2022-02-23 13:00:00;fii;43.36;-5.17;43.36;-5.17
1645624800000;CXCE11B.SA;41.68;41.68;40.99;41.0;41.0;296;43.38;-5.48;35.94;ESTAVEL;2022-02-23 14:00:00;fii;43.33;-5.39;43.33;-5.39
1645628400000;CXCE11B.SA;40.99;41.5;40.75;41.49;41.49;585;43.36;-4.31;42.49;ESTAVEL;2022-02-23 15:00:00;fii;43.31;-4.21;43.31;-4.21
1645632000000;CXCE11B.SA;41.47;41.47;41.44;41.44;41.44;7;43.34;-4.38;42.02;ESTAVEL;2022-02-23 16:00:00;fii;43.29;-4.28;43.29;-4.28
1645635600000;CXCE11B.SA;41.44;41.78;40.99;41.0;41.0;365;43.31;-5.34;38.01;ESTAVEL;2022-02-23 17:00:00;fii;43.27;-5.24;43.27;-5.24
1645639200000;CXCE11B.SA;40.99;40.99;40.5;40.5;40.5;1012;43.29;-6.44;34.04;ESTAVEL;2022-02-23 18:00:00;fii;43.23;-6.32;43.23;-6.32
1645642800000;CXCE11B.SA;40.91;40.99;40.56;40.97;40.97;74;43.26;-5.3;40.35;ESTAVEL;2022-02-23 19:00:00;fii;43.21;-5.18;43.21;-5.18
