open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1658343600000;CXCI11.SA;77.99;78.0;77.99;78.0;78.0;54;77.87;0.17;51.81;ESTAVEL;2022-07-20 19:00:00;fii;77.43;0.73;77.43;0.73
1658408400000;CXCI11.SA;78.0;78.0;78.0;78.0;78.0;0;77.87;0.16;51.81;ESTAVEL;2022-07-21 13:00:00;fii;77.44;0.72;77.44;0.72
1658415600000;CXCI11.SA;77.99;77.99;77.9;77.9;77.9;6;77.87;0.04;50.59;ESTAVEL;2022-07-21 15:00:00;fii;77.44;0.59;77.44;0.59
1658419200000;CXCI11.SA;77.99;78.0;77.99;78.0;78.0;16;77.87;0.16;51.81;ESTAVEL;2022-07-21 16:00:00;fii;77.45;0.71;77.45;0.71
1658422800000;CXCI11.SA;78.0;78.0;78.0;78.0;78.0;183;77.88;0.16;51.81;ESTAVEL;2022-07-21 17:00:00;fii;77.46;0.7;77.46;0.7
1658426400000;CXCI11.SA;78.01;78.01;78.01;78.01;78.01;70;77.88;0.17;51.94;ESTAVEL;2022-07-21 18:00:00;fii;77.46;0.71;77.46;0.71
1658430000000;CXCI11.SA;78.01;78.01;78.0;78.0;78.0;102;77.88;0.16;51.79;ESTAVEL;2022-07-21 19:00:00;fii;77.47;0.68;77.47;0.68
1658494800000;CXCI11.SA;78.0;78.0;78.0;78.0;78.0;0;77.88;0.16;51.79;ESTAVEL;2022-07-22 13:00:00;fii;77.48;0.68;77.48;0.68
1658505600000;CXCI11.SA;78.0;78.0;78.0;78.0;78.0;3;77.88;0.15;51.79;ESTAVEL;2022-07-22 16:00:00;fii;77.48;0.67;77.48;0.67
1658509200000;CXCI11.SA;77.82;77.82;77.82;77.82;77.82;20;77.88;-0.08;48.47;ESTAVEL;2022-07-22 17:00:00;fii;77.49;0.43;77.49;0.43
1658512800000;CXCI11.SA;77.81;77.81;75.0;75.0;75.0;3765;77.85;-3.66;23.28;SUBIR;2022-07-22 18:00:00;fii;77.46;-3.17;77.46;-3.17
1658516400000;CXCI11.SA;72.01;76.99;72.01;73.99;73.99;7489;77.81;-4.91;19.39;SUBIR;2022-07-22 19:00:00;fii;77.42;-4.43;77.42;-4.43
1658754000000;CXCI11.SA;74.03;76.63;74.03;75.55;75.55;0;77.79;-2.88;36.91;ESTAVEL;2022-07-25 13:00:00;fii;77.4;-2.39;77.4;-2.39
1658757600000;CXCI11.SA;75.61;76.62;75.55;75.55;75.55;350;77.77;-2.85;36.91;ESTAVEL;2022-07-25 14:00:00;fii;77.38;-2.36;77.38;-2.36
1658761200000;CXCI11.SA;75.0;76.61;74.03;74.03;74.03;342;77.73;-4.76;29.63;SUBIR;2022-07-25 15:00:00;fii;77.34;-4.28;77.34;-4.28
1658768400000;CXCI11.SA;75.8;76.79;75.7;76.79;76.79;335;77.72;-1.19;49.22;ESTAVEL;2022-07-25 17:00:00;fii;77.33;-0.7;77.33;-0.7
1658775600000;CXCI11.SA;76.5;76.5;76.0;76.0;76.0;44;77.7;-2.19;45.33;ESTAVEL;2022-07-25 19:00:00;fii;77.32;-1.7;77.32;-1.7
1658840400000;CXCI11.SA;75.09;75.09;75.09;75.09;75.09;0;77.67;-3.33;41.28;ESTAVEL;2022-07-26 13:00:00;fii;77.29;-2.85;77.29;-2.85
1658844000000;CXCI11.SA;77.96;77.96;77.96;77.96;77.96;129;77.68;0.36;54.94;ESTAVEL;2022-07-26 14:00:00;fii;77.3;0.85;77.3;0.85
1658847600000;CXCI11.SA;75.31;75.31;75.31;75.31;75.31;200;77.65;-3.02;44.62;ESTAVEL;2022-07-26 15:00:00;fii;77.28;-2.55;77.28;-2.55
1658851200000;CXCI11.SA;75.49;76.48;75.49;76.3;76.3;8;77.64;-1.73;48.51;ESTAVEL;2022-07-26 16:00:00;fii;77.27;-1.25;77.27;-1.25
1658854800000;CXCI11.SA;75.89;75.89;75.32;75.32;75.32;20;77.62;-2.96;45.13;ESTAVEL;2022-07-26 17:00:00;fii;77.24;-2.49;77.24;-2.49
1658858400000;CXCI11.SA;76.0;76.3;76.0;76.0;76.0;68;77.6;-2.06;47.85;ESTAVEL;2022-07-26 18:00:00;fii;77.23;-1.59;77.23;-1.59
1658862000000;CXCI11.SA;76.0;76.3;76.0;76.3;76.3;39;77.59;-1.66;49.05;ESTAVEL;2022-07-26 19:00:00;fii;77.22;-1.19;77.22;-1.19
1658926800000;CXCI11.SA;76.35;76.35;76.35;76.35;76.35;0;77.57;-1.58;49.25;ESTAVEL;2022-07-27 13:00:00;fii;77.21;-1.11;77.21;-1.11
1658930400000;CXCI11.SA;76.0;77.88;76.0;77.88;77.88;1238;77.58;0.39;55.3;ESTAVEL;2022-07-27 14:00:00;fii;77.22;0.86;77.22;0.86
1658934000000;CXCI11.SA;77.84;77.84;76.35;76.35;76.35;24;77.57;-1.57;49.01;ESTAVEL;2022-07-27 15:00:00;fii;77.21;-1.11;77.21;-1.11
1658941200000;CXCI11.SA;76.4;76.4;76.4;76.4;76.4;21;77.55;-1.49;49.22;ESTAVEL;2022-07-27 17:00:00;fii;77.2;-1.04;77.2;-1.04
1658944800000;CXCI11.SA;76.38;76.4;76.35;76.35;76.35;823;77.54;-1.54;49.0;ESTAVEL;2022-07-27 18:00:00;fii;77.19;-1.09;77.19;-1.09
1658948400000;CXCI11.SA;76.35;76.4;75.8;75.8;75.8;168;77.52;-2.22;46.64;ESTAVEL;2022-07-27 19:00:00;fii;77.17;-1.78;77.17;-1.78
1659013200000;CXCI11.SA;77.49;77.49;75.81;75.81;75.81;0;77.51;-2.19;46.69;ESTAVEL;2022-07-28 13:00:00;fii;77.16;-1.75;77.16;-1.75
1659016800000;CXCI11.SA;76.02;76.02;76.01;76.01;76.01;25;77.49;-1.91;47.75;ESTAVEL;2022-07-28 14:00:00;fii;77.15;-1.47;77.15;-1.47
1659020400000;CXCI11.SA;77.32;77.32;76.01;77.26;77.26;311;77.49;-0.3;53.93;ESTAVEL;2022-07-28 15:00:00;fii;77.15;0.15;77.15;0.15
1659024000000;CXCI11.SA;77.2;77.21;77.2;77.21;77.21;100;77.49;-0.36;53.66;ESTAVEL;2022-07-28 16:00:00;fii;77.15;0.08;77.15;0.08
1659027600000;CXCI11.SA;76.5;76.5;76.5;76.5;76.5;34;77.48;-1.26;49.8;ESTAVEL;2022-07-28 17:00:00;fii;77.14;-0.83;77.14;-0.83
1659031200000;CXCI11.SA;76.5;77.0;76.5;76.99;76.99;130;77.47;-0.62;52.34;ESTAVEL;2022-07-28 18:00:00;fii;77.14;-0.19;77.14;-0.19
1659034800000;CXCI11.SA;76.79;76.79;76.5;76.5;76.5;78;77.46;-1.24;49.63;ESTAVEL;2022-07-28 19:00:00;fii;77.13;-0.82;77.13;-0.82
1659103200000;CXCI11.SA;76.05;76.98;76.05;76.05;76.05;246;77.45;-1.8;47.21;ESTAVEL;2022-07-29 14:00:00;fii;77.12;-1.39;77.12;-1.39
1659106800000;CXCI11.SA;76.05;76.29;76.05;76.29;76.29;99;77.44;-1.48;48.65;ESTAVEL;2022-07-29 15:00:00;fii;77.11;-1.07;77.11;-1.07
1659110400000;CXCI11.SA;76.98;76.98;76.98;76.98;76.98;2;77.43;-0.58;52.64;ESTAVEL;2022-07-29 16:00:00;fii;77.11;-0.17;77.11;-0.17
1659114000000;CXCI11.SA;76.5;78.98;76.5;78.98;78.98;413;77.45;1.98;61.89;ESTAVEL;2022-07-29 17:00:00;fii;77.13;2.4;77.13;2.4
1659117600000;CXCI11.SA;78.89;78.9;78.89;78.9;78.9;10;77.46;1.86;61.38;ESTAVEL;2022-07-29 18:00:00;fii;77.15;2.27;77.15;2.27
1659358800000;CXCI11.SA;77.99;77.99;77.88;77.88;77.88;0;77.47;0.53;55.07;ESTAVEL;2022-08-01 13:00:00;fii;77.16;0.94;77.16;0.94
1659362400000;CXCI11.SA;77.88;77.88;77.0;77.0;77.0;22;77.46;-0.6;50.27;ESTAVEL;2022-08-01 14:00:00;fii;77.16;-0.2;77.16;-0.2
1659366000000;CXCI11.SA;77.11;77.5;77.1;77.5;77.5;121;77.46;0.05;52.79;ESTAVEL;2022-08-01 15:00:00;fii;77.16;0.44;77.16;0.44
1659369600000;CXCI11.SA;77.1;77.11;77.1;77.1;77.1;105;77.46;-0.46;50.58;ESTAVEL;2022-08-01 16:00:00;fii;77.16;-0.08;77.16;-0.08
1659373200000;CXCI11.SA;77.0;77.0;77.0;77.0;77.0;42;77.45;-0.59;50.02;ESTAVEL;2022-08-01 17:00:00;fii;77.16;-0.2;77.16;-0.2
1659376800000;CXCI11.SA;77.08;77.1;77.0;77.0;77.0;246;77.45;-0.58;50.02;ESTAVEL;2022-08-01 18:00:00;fii;77.16;-0.2;77.16;-0.2
1659380400000;CXCI11.SA;76.37;78.9;76.37;76.37;76.37;1;77.44;-1.38;46.26;ESTAVEL;2022-08-01 19:00:00;fii;77.15;-1.01;77.15;-1.01
1659445200000;CXCI11.SA;76.38;76.5;76.38;76.38;76.38;0;77.43;-1.35;46.32;ESTAVEL;2022-08-02 13:00:00;fii;77.14;-0.98;77.14;-0.98
1659448800000;CXCI11.SA;76.4;76.4;76.38;76.38;76.38;140;77.42;-1.34;46.32;ESTAVEL;2022-08-02 14:00:00;fii;77.13;-0.97;77.13;-0.97
1659452400000;CXCI11.SA;76.4;76.4;76.37;76.4;76.4;190;77.41;-1.3;46.48;ESTAVEL;2022-08-02 15:00:00;fii;77.12;-0.94;77.12;-0.94
1659456000000;CXCI11.SA;76.4;76.4;76.34;76.34;76.34;252;77.4;-1.36;46.04;ESTAVEL;2022-08-02 16:00:00;fii;77.11;-1.0;77.11;-1.0
1659459600000;CXCI11.SA;76.01;76.01;76.01;76.01;76.01;0;77.38;-1.77;43.59;ESTAVEL;2022-08-02 17:00:00;fii;77.1;-1.42;77.1;-1.42
1659463200000;CXCI11.SA;76.08;76.4;76.01;76.1;76.1;153;77.37;-1.64;44.46;ESTAVEL;2022-08-02 18:00:00;fii;77.09;-1.29;77.09;-1.29
1659466800000;CXCI11.SA;76.0;76.1;75.2;76.1;76.1;16;77.36;-1.62;44.46;ESTAVEL;2022-08-02 19:00:00;fii;77.08;-1.27;77.08;-1.27
1659531600000;CXCI11.SA;76.09;76.1;76.09;76.1;76.1;0;77.34;-1.61;44.46;ESTAVEL;2022-08-03 13:00:00;fii;77.07;-1.26;77.07;-1.26
1659535200000;CXCI11.SA;76.09;76.1;76.09;76.09;76.09;46;77.33;-1.6;44.36;ESTAVEL;2022-08-03 14:00:00;fii;77.06;-1.26;77.06;-1.26
1659538800000;CXCI11.SA;76.09;76.09;76.09;76.09;76.09;50;77.32;-1.59;44.36;ESTAVEL;2022-08-03 15:00:00;fii;77.05;-1.25;77.05;-1.25
1659542400000;CXCI11.SA;76.08;76.09;76.08;76.09;76.09;22;77.31;-1.57;44.36;ESTAVEL;2022-08-03 16:00:00;fii;77.04;-1.23;77.04;-1.23
