open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645542000000;DMVF3.SA;3.96;4.0;3.96;4.0;4.0;24700;4.08;-1.88;54.35;ESTAVEL;2022-02-22 15:00:00;stocks;4.04;-0.96;4.04;-0.96
1645545600000;DMVF3.SA;3.98;4.0;3.98;4.0;4.0;5100;4.08;-1.86;54.35;ESTAVEL;2022-02-22 16:00:00;stocks;4.04;-0.95;4.04;-0.95
1645549200000;DMVF3.SA;3.98;3.99;3.93;3.94;3.94;9700;4.07;-3.3;47.77;ESTAVEL;2022-02-22 17:00:00;stocks;4.04;-2.41;4.04;-2.41
1645552800000;DMVF3.SA;3.94;3.94;3.93;3.94;3.94;1500;4.07;-3.27;47.77;ESTAVEL;2022-02-22 18:00:00;stocks;4.04;-2.38;4.04;-2.38
1645556400000;DMVF3.SA;3.99;4.01;3.99;4.0;4.0;1800;4.07;-1.78;54.2;ESTAVEL;2022-02-22 19:00:00;stocks;4.04;-0.88;4.04;-0.88
1645621200000;DMVF3.SA;4.04;4.05;3.93;4.0;4.0;0;4.07;-1.76;54.2;ESTAVEL;2022-02-23 13:00:00;stocks;4.04;-0.87;4.04;-0.87
1645624800000;DMVF3.SA;4.04;4.1;4.0;4.09;4.09;16500;4.07;0.45;62.29;ESTAVEL;2022-02-23 14:00:00;stocks;4.04;1.34;4.04;1.34
1645628400000;DMVF3.SA;4.02;4.1;3.97;4.03;4.03;31800;4.07;-1.02;55.28;ESTAVEL;2022-02-23 15:00:00;stocks;4.04;-0.14;4.04;-0.14
1645632000000;DMVF3.SA;4.02;4.1;3.99;3.99;3.99;66400;4.07;-1.98;51.15;ESTAVEL;2022-02-23 16:00:00;stocks;4.04;-1.12;4.04;-1.12
1645635600000;DMVF3.SA;3.98;4.06;3.98;4.0;4.0;8900;4.07;-1.72;52.11;ESTAVEL;2022-02-23 17:00:00;stocks;4.03;-0.86;4.03;-0.86
1645639200000;DMVF3.SA;3.99;4.03;3.95;3.98;3.98;39200;4.07;-2.18;49.99;ESTAVEL;2022-02-23 18:00:00;stocks;4.03;-1.34;4.03;-1.34
1645642800000;DMVF3.SA;3.96;4.0;3.94;3.98;3.98;18700;4.07;-2.16;49.99;ESTAVEL;2022-02-23 19:00:00;stocks;4.03;-1.33;4.03;-1.33
1645707600000;DMVF3.SA;3.72;3.81;3.71;3.78;3.78;0;4.07;-7.01;33.95;ESTAVEL;2022-02-24 13:00:00;stocks;4.03;-6.22;4.03;-6.22
1645711200000;DMVF3.SA;3.78;3.84;3.77;3.79;3.79;15000;4.06;-6.7;35.07;ESTAVEL;2022-02-24 14:00:00;stocks;4.03;-5.91;4.03;-5.91
1645714800000;DMVF3.SA;3.79;3.84;3.78;3.83;3.83;19700;4.06;-5.66;39.5;ESTAVEL;2022-02-24 15:00:00;stocks;4.03;-4.86;4.03;-4.86
1645718400000;DMVF3.SA;3.84;3.86;3.81;3.82;3.82;6300;4.06;-5.85;38.78;ESTAVEL;2022-02-24 16:00:00;stocks;4.02;-5.06;4.02;-5.06
1645722000000;DMVF3.SA;3.82;3.86;3.8;3.8;3.8;3100;4.05;-6.29;37.34;ESTAVEL;2022-02-24 17:00:00;stocks;4.02;-5.49;4.02;-5.49
1645725600000;DMVF3.SA;3.81;3.83;3.8;3.83;3.83;2100;4.05;-5.49;40.9;ESTAVEL;2022-02-24 18:00:00;stocks;4.02;-4.7;4.02;-4.7
1645729200000;DMVF3.SA;3.81;3.83;3.81;3.83;3.83;31600;4.05;-5.44;40.9;ESTAVEL;2022-02-24 19:00:00;stocks;4.02;-4.65;4.02;-4.65
1645794000000;DMVF3.SA;3.83;3.85;3.81;3.85;3.85;0;4.05;-4.9;43.4;ESTAVEL;2022-02-25 13:00:00;stocks;4.01;-4.1;4.01;-4.1
1645797600000;DMVF3.SA;3.84;3.85;3.82;3.82;3.82;4200;4.05;-5.59;40.63;ESTAVEL;2022-02-25 14:00:00;stocks;4.01;-4.8;4.01;-4.8
1645801200000;DMVF3.SA;3.83;3.83;3.77;3.77;3.77;1600;4.04;-6.76;36.46;ESTAVEL;2022-02-25 15:00:00;stocks;4.01;-5.98;4.01;-5.98
1645804800000;DMVF3.SA;3.79;3.81;3.75;3.76;3.76;7000;4.04;-6.94;35.67;ESTAVEL;2022-02-25 16:00:00;stocks;4.01;-6.17;4.01;-6.17
1645808400000;DMVF3.SA;3.81;3.9;3.81;3.87;3.87;15700;4.04;-4.18;48.79;ESTAVEL;2022-02-25 17:00:00;stocks;4.01;-3.39;4.01;-3.39
1645812000000;DMVF3.SA;3.87;3.88;3.84;3.84;3.84;2400;4.04;-4.87;46.04;ESTAVEL;2022-02-25 18:00:00;stocks;4.0;-4.09;4.0;-4.09
1645815600000;DMVF3.SA;3.86;3.88;3.84;3.87;3.87;8400;4.04;-4.09;49.13;ESTAVEL;2022-02-25 19:00:00;stocks;4.0;-3.3;4.0;-3.3
1646236800000;DMVF3.SA;3.83;3.9;3.83;3.85;3.85;800;4.03;-4.54;47.19;ESTAVEL;2022-03-02 16:00:00;stocks;4.0;-3.76;4.0;-3.76
1646240400000;DMVF3.SA;3.85;3.9;3.78;3.85;3.85;62300;4.03;-4.5;47.19;ESTAVEL;2022-03-02 17:00:00;stocks;4.0;-3.72;4.0;-3.72
1646244000000;DMVF3.SA;3.8;3.85;3.8;3.82;3.82;30400;4.03;-5.19;44.15;ESTAVEL;2022-03-02 18:00:00;stocks;4.0;-4.43;4.0;-4.43
1646312400000;DMVF3.SA;3.78;3.85;3.78;3.84;3.84;0;4.03;-4.65;46.62;ESTAVEL;2022-03-03 13:00:00;stocks;4.0;-3.88;4.0;-3.88
1646316000000;DMVF3.SA;3.84;3.91;3.84;3.91;3.91;19200;4.03;-2.88;54.24;ESTAVEL;2022-03-03 14:00:00;stocks;3.99;-2.11;3.99;-2.11
1646319600000;DMVF3.SA;3.89;3.93;3.87;3.9;3.9;7400;4.02;-3.1;53.08;ESTAVEL;2022-03-03 15:00:00;stocks;3.99;-2.33;3.99;-2.33
1646323200000;DMVF3.SA;3.88;3.91;3.87;3.91;3.91;4000;4.02;-2.82;54.14;ESTAVEL;2022-03-03 16:00:00;stocks;3.99;-2.06;3.99;-2.06
1646326800000;DMVF3.SA;3.91;3.93;3.91;3.93;3.93;800;4.02;-2.3;56.27;ESTAVEL;2022-03-03 17:00:00;stocks;3.99;-1.54;3.99;-1.54
1646330400000;DMVF3.SA;3.88;3.91;3.88;3.91;3.91;2800;4.02;-2.77;53.59;ESTAVEL;2022-03-03 18:00:00;stocks;3.99;-2.02;3.99;-2.02
1646334000000;DMVF3.SA;3.9;3.93;3.89;3.93;3.93;21900;4.02;-2.25;55.85;ESTAVEL;2022-03-03 19:00:00;stocks;3.99;-1.5;3.99;-1.5
1646398800000;DMVF3.SA;3.9;3.9;3.83;3.85;3.85;0;4.02;-4.2;46.15;ESTAVEL;2022-03-04 13:00:00;stocks;3.99;-3.47;3.99;-3.47
1646402400000;DMVF3.SA;3.85;3.85;3.85;3.85;3.85;900;4.02;-4.16;46.15;ESTAVEL;2022-03-04 14:00:00;stocks;3.99;-3.44;3.99;-3.44
1646406000000;DMVF3.SA;3.88;3.88;3.83;3.87;3.87;7100;4.02;-3.63;48.73;ESTAVEL;2022-03-04 15:00:00;stocks;3.99;-2.9;3.99;-2.9
1646409600000;DMVF3.SA;3.87;3.87;3.72;3.72;3.72;61300;4.01;-7.3;35.12;ESTAVEL;2022-03-04 16:00:00;stocks;3.98;-6.6;3.98;-6.6
1646413200000;DMVF3.SA;3.7;3.82;3.7;3.82;3.82;60700;4.01;-4.76;45.96;ESTAVEL;2022-03-04 17:00:00;stocks;3.98;-4.04;3.98;-4.04
1646416800000;DMVF3.SA;3.82;3.84;3.75;3.84;3.84;14100;4.01;-4.22;47.83;ESTAVEL;2022-03-04 18:00:00;stocks;3.98;-3.5;3.98;-3.5
1646420400000;DMVF3.SA;3.85;3.85;3.77;3.79;3.79;11500;4.01;-5.41;43.74;ESTAVEL;2022-03-04 19:00:00;stocks;3.98;-4.71;3.98;-4.71
1646658000000;DMVF3.SA;3.85;3.85;3.79;3.79;3.79;0;4.0;-5.36;43.74;ESTAVEL;2022-03-07 13:00:00;stocks;3.98;-4.66;3.98;-4.66
1646661600000;DMVF3.SA;3.78;3.79;3.77;3.79;3.79;5400;4.0;-5.31;43.74;ESTAVEL;2022-03-07 14:00:00;stocks;3.97;-4.61;3.97;-4.61
1646665200000;DMVF3.SA;3.8;3.8;3.77;3.79;3.79;4000;4.0;-5.26;43.74;ESTAVEL;2022-03-07 15:00:00;stocks;3.97;-4.57;3.97;-4.57
1646668800000;DMVF3.SA;3.77;3.78;3.77;3.77;3.77;3000;4.0;-5.7;41.82;ESTAVEL;2022-03-07 16:00:00;stocks;3.97;-5.02;3.97;-5.02
1646672400000;DMVF3.SA;3.77;3.78;3.75;3.76;3.76;4500;4.0;-5.9;40.85;ESTAVEL;2022-03-07 17:00:00;stocks;3.97;-5.21;3.97;-5.21
1646676000000;DMVF3.SA;3.75;3.75;3.73;3.75;3.75;6500;3.99;-6.09;39.86;ESTAVEL;2022-03-07 18:00:00;stocks;3.96;-5.41;3.96;-5.41
1646679600000;DMVF3.SA;3.76;3.8;3.72;3.72;3.72;20300;3.99;-6.78;36.96;ESTAVEL;2022-03-07 19:00:00;stocks;3.96;-6.1;3.96;-6.1
1646744400000;DMVF3.SA;3.7;3.71;3.63;3.63;3.63;0;3.99;-8.95;29.92;SUBIR;2022-03-08 13:00:00;stocks;3.96;-8.29;3.96;-8.29
1646748000000;DMVF3.SA;3.67;3.68;3.63;3.68;3.68;3500;3.98;-7.62;37.09;ESTAVEL;2022-03-08 14:00:00;stocks;3.96;-6.96;3.96;-6.96
1646751600000;DMVF3.SA;3.69;3.7;3.67;3.67;3.67;1900;3.98;-7.8;36.29;ESTAVEL;2022-03-08 15:00:00;stocks;3.95;-7.14;3.95;-7.14
1646755200000;DMVF3.SA;3.69;3.71;3.68;3.68;3.68;1600;3.98;-7.48;37.73;ESTAVEL;2022-03-08 16:00:00;stocks;3.95;-6.82;3.95;-6.82
1646758800000;DMVF3.SA;3.67;3.71;3.66;3.68;3.68;18800;3.97;-7.41;37.73;ESTAVEL;2022-03-08 17:00:00;stocks;3.95;-6.75;3.95;-6.75
1646762400000;DMVF3.SA;3.68;3.71;3.67;3.68;3.68;7600;3.97;-7.34;37.73;ESTAVEL;2022-03-08 18:00:00;stocks;3.94;-6.68;3.94;-6.68
1646766000000;DMVF3.SA;3.68;3.69;3.67;3.69;3.69;9100;3.97;-7.02;39.45;ESTAVEL;2022-03-08 19:00:00;stocks;3.94;-6.36;3.94;-6.36
1646830800000;DMVF3.SA;3.72;3.72;3.69;3.69;3.69;0;3.97;-6.96;39.45;ESTAVEL;2022-03-09 13:00:00;stocks;3.94;-6.3;3.94;-6.3
1646834400000;DMVF3.SA;3.72;3.79;3.72;3.79;3.79;34500;3.96;-4.39;54.11;ESTAVEL;2022-03-09 14:00:00;stocks;3.94;-3.72;3.94;-3.72
1646838000000;DMVF3.SA;3.78;3.79;3.75;3.79;3.79;1900;3.96;-4.35;54.11;ESTAVEL;2022-03-09 15:00:00;stocks;3.93;-3.68;3.93;-3.68
1646841600000;DMVF3.SA;3.78;3.78;3.76;3.76;3.76;1300;3.96;-5.06;49.91;ESTAVEL;2022-03-09 16:00:00;stocks;3.93;-4.4;3.93;-4.4
1646845200000;DMVF3.SA;3.78;3.79;3.78;3.79;3.79;7700;3.96;-4.26;53.78;ESTAVEL;2022-03-09 17:00:00;stocks;3.93;-3.6;3.93;-3.6
1646848800000;DMVF3.SA;3.79;3.79;3.75;3.77;3.77;11000;3.96;-4.72;50.95;ESTAVEL;2022-03-09 18:00:00;stocks;3.93;-4.06;3.93;-4.06
1646852400000;DMVF3.SA;3.8;3.83;3.8;3.82;3.82;17900;3.96;-3.42;57.03;ESTAVEL;2022-03-09 19:00:00;stocks;3.93;-2.76;3.93;-2.76
1646917200000;DMVF3.SA;3.8;3.82;3.8;3.82;3.82;0;3.95;-3.39;57.03;ESTAVEL;2022-03-10 13:00:00;stocks;3.93;-2.73;3.93;-2.73
1646920800000;DMVF3.SA;3.81;3.81;3.8;3.8;3.8;700;3.95;-3.86;53.93;ESTAVEL;2022-03-10 14:00:00;stocks;3.93;-3.21;3.93;-3.21
1646924400000;DMVF3.SA;3.8;3.8;3.8;3.8;3.8;24700;3.95;-3.82;53.93;ESTAVEL;2022-03-10 15:00:00;stocks;3.92;-3.18;3.92;-3.18
1646928000000;DMVF3.SA;3.8;3.8;3.8;3.8;3.8;2000;3.95;-3.78;53.93;ESTAVEL;2022-03-10 16:00:00;stocks;3.92;-3.14;3.92;-3.14
1646931600000;DMVF3.SA;3.8;3.8;3.8;3.8;3.8;8000;3.95;-3.75;53.93;ESTAVEL;2022-03-10 17:00:00;stocks;3.92;-3.11;3.92;-3.11
1646935200000;DMVF3.SA;3.8;3.81;3.8;3.81;3.81;10400;3.95;-3.46;55.55;ESTAVEL;2022-03-10 18:00:00;stocks;3.92;-2.83;3.92;-2.83
1646938800000;DMVF3.SA;3.81;3.82;3.8;3.8;3.8;2100;3.95;-3.68;53.52;ESTAVEL;2022-03-10 19:00:00;stocks;3.92;-3.05;3.92;-3.05
1647003600000;DMVF3.SA;3.83;3.83;3.82;3.82;3.82;0;3.94;-3.14;56.92;ESTAVEL;2022-03-11 13:00:00;stocks;3.92;-2.51;3.92;-2.51
1647007200000;DMVF3.SA;3.85;3.88;3.85;3.85;3.85;5200;3.94;-2.36;61.46;ESTAVEL;2022-03-11 14:00:00;stocks;3.92;-1.73;3.92;-1.73
1647010800000;DMVF3.SA;3.85;3.88;3.85;3.85;3.85;2600;3.94;-2.33;61.46;ESTAVEL;2022-03-11 15:00:00;stocks;3.92;-1.71;3.92;-1.71
1647014400000;DMVF3.SA;3.83;3.85;3.8;3.85;3.85;15000;3.94;-2.31;61.46;ESTAVEL;2022-03-11 16:00:00;stocks;3.92;-1.69;3.92;-1.69
1647018000000;DMVF3.SA;3.87;3.87;3.83;3.85;3.85;3000;3.94;-2.29;61.46;ESTAVEL;2022-03-11 17:00:00;stocks;3.92;-1.67;3.92;-1.67
1647021600000;DMVF3.SA;3.84;3.84;3.81;3.82;3.82;12600;3.94;-3.02;53.82;ESTAVEL;2022-03-11 18:00:00;stocks;3.91;-2.42;3.91;-2.42
1647025200000;DMVF3.SA;3.84;3.84;3.81;3.81;3.81;6600;3.94;-3.24;51.52;ESTAVEL;2022-03-11 19:00:00;stocks;3.91;-2.64;3.91;-2.64
1647262800000;DMVF3.SA;3.82;3.82;3.78;3.78;3.78;0;3.94;-3.96;45.27;ESTAVEL;2022-03-14 13:00:00;stocks;3.91;-3.37;3.91;-3.37
1647266400000;DMVF3.SA;3.83;3.83;3.78;3.79;3.79;1800;3.93;-3.68;47.56;ESTAVEL;2022-03-14 14:00:00;stocks;3.91;-3.09;3.91;-3.09
1647270000000;DMVF3.SA;3.79;3.82;3.79;3.82;3.82;1200;3.93;-2.88;53.79;ESTAVEL;2022-03-14 15:00:00;stocks;3.91;-2.3;3.91;-2.3
1647273600000;DMVF3.SA;3.8;3.8;3.78;3.78;3.78;400;3.93;-3.86;45.95;ESTAVEL;2022-03-14 16:00:00;stocks;3.91;-3.29;3.91;-3.29
1647277200000;DMVF3.SA;3.78;3.8;3.78;3.78;3.78;1900;3.93;-3.83;45.95;ESTAVEL;2022-03-14 17:00:00;stocks;3.91;-3.25;3.91;-3.25
1647280800000;DMVF3.SA;3.78;3.8;3.77;3.78;3.78;3700;3.93;-3.79;45.95;ESTAVEL;2022-03-14 18:00:00;stocks;3.91;-3.22;3.91;-3.22
1647284400000;DMVF3.SA;3.78;3.79;3.75;3.75;3.75;9100;3.93;-4.51;40.43;ESTAVEL;2022-03-14 19:00:00;stocks;3.9;-3.95;3.9;-3.95
1647349200000;DMVF3.SA;3.75;3.75;3.66;3.67;3.67;0;3.92;-6.49;30.06;ESTAVEL;2022-03-15 13:00:00;stocks;3.9;-5.94;3.9;-5.94
1647352800000;DMVF3.SA;3.67;3.84;3.67;3.84;3.84;15400;3.92;-2.13;55.93;ESTAVEL;2022-03-15 14:00:00;stocks;3.9;-1.56;3.9;-1.56
1647356400000;DMVF3.SA;3.74;3.83;3.7;3.72;3.72;5900;3.92;-5.14;43.65;ESTAVEL;2022-03-15 15:00:00;stocks;3.9;-4.59;3.9;-4.59
1647360000000;DMVF3.SA;3.72;3.81;3.72;3.77;3.77;4800;3.92;-3.83;48.71;ESTAVEL;2022-03-15 16:00:00;stocks;3.9;-3.28;3.9;-3.28
1647363600000;DMVF3.SA;3.77;3.78;3.74;3.74;3.74;11000;3.92;-4.55;46.04;ESTAVEL;2022-03-15 17:00:00;stocks;3.9;-4.0;3.9;-4.0
