open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1683302400000;ESTR3.SA;7.0;7.0;7.0;7.0;7.0;0;;;;;stocks;;;;
1685624400000;ESTR3.SA;12.01;14.0;12.01;14.0;14.0;100;;;;;stocks;;;;
1685631600000;ESTR3.SA;14.03;14.03;14.03;14.03;14.03;100;;;;;stocks;;;;
1685638800000;ESTR3.SA;16.0;16.0;16.0;16.0;16.0;200;;;;;stocks;;;;
1685642400000;ESTR3.SA;17.0;70.0;17.0;70.0;70.0;300;;;;;stocks;;;;
1685710800000;ESTR3.SA;20.0;22.11;20.0;22.11;22.11;0;;;;;stocks;;;;
1685714400000;ESTR3.SA;29.0;29.0;27.0;28.99;28.99;1600;;;;;stocks;;;;
1685718000000;ESTR3.SA;23.0;23.28;22.11;22.11;22.11;800;;;;;stocks;;;;
1685721600000;ESTR3.SA;22.1;22.1;20.0;20.0;20.0;200;;;;;stocks;;;;
1685732400000;ESTR3.SA;20.24;20.24;20.24;20.24;20.24;100;;;;;stocks;;;;
1686146400000;ESTR3.SA;20.22;20.22;20.22;20.22;20.22;0;;;;;stocks;;;;
1686754800000;ESTR3.SA;19.95;19.95;19.95;19.95;19.95;200;;;;;stocks;;;;
1694786400000;ESTR3.SA;12.51;12.51;12.51;12.51;12.51;0;;;;;stocks;;;;
1695049200000;ESTR3.SA;12.58;12.58;12.58;12.58;12.58;0;;;;;stocks;;;;
1695229200000;ESTR3.SA;12.59;12.59;12.59;12.59;12.59;0;;;52.07;;stocks;;;;
1695232800000;ESTR3.SA;12.59;12.59;12.59;12.59;12.59;100;;;52.07;;stocks;;;;
1698778800000;ESTR3.SA;12.0;12.0;12.0;12.0;12.0;0;;;51.81;2023-10-31 16:00:00-03:00;stocks;;;;
