open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1683820800000;FGAA11.SA;9.53;9.54;9.51;9.51;9.51;8183;9.68;-1.71;37.12;ESTAVEL;2023-05-11 16:00:00;fii;9.66;-1.57;9.66;-1.57
1683824400000;FGAA11.SA;9.52;9.53;9.48;9.48;9.48;31536;9.67;-2.0;34.25;ESTAVEL;2023-05-11 17:00:00;fii;9.66;-1.86;9.66;-1.86
1683828000000;FGAA11.SA;9.48;9.51;9.48;9.48;9.48;25789;9.67;-1.98;34.25;ESTAVEL;2023-05-11 18:00:00;fii;9.66;-1.84;9.66;-1.84
1683831600000;FGAA11.SA;9.48;9.54;9.47;9.54;9.54;18339;9.67;-1.34;44.23;ESTAVEL;2023-05-11 19:00:00;fii;9.66;-1.2;9.66;-1.2
1683896400000;FGAA11.SA;9.5;9.5;9.44;9.5;9.5;0;9.67;-1.74;39.89;ESTAVEL;2023-05-12 13:00:00;fii;9.65;-1.6;9.65;-1.6
1683900000000;FGAA11.SA;9.5;9.53;9.48;9.53;9.53;14673;9.67;-1.42;44.31;ESTAVEL;2023-05-12 14:00:00;fii;9.65;-1.28;9.65;-1.28
1683903600000;FGAA11.SA;9.53;9.54;9.51;9.53;9.53;6027;9.67;-1.4;44.31;ESTAVEL;2023-05-12 15:00:00;fii;9.65;-1.26;9.65;-1.26
1683907200000;FGAA11.SA;9.52;9.54;9.52;9.53;9.53;6983;9.66;-1.39;44.31;ESTAVEL;2023-05-12 16:00:00;fii;9.65;-1.25;9.65;-1.25
1683910800000;FGAA11.SA;9.53;9.54;9.52;9.54;9.54;4044;9.66;-1.27;45.96;ESTAVEL;2023-05-12 17:00:00;fii;9.65;-1.13;9.65;-1.13
1683914400000;FGAA11.SA;9.54;9.54;9.53;9.53;9.53;9567;9.66;-1.36;44.54;ESTAVEL;2023-05-12 18:00:00;fii;9.65;-1.22;9.65;-1.22
1683918000000;FGAA11.SA;9.53;9.55;9.48;9.48;9.48;21699;9.66;-1.86;38.17;ESTAVEL;2023-05-12 19:00:00;fii;9.65;-1.72;9.65;-1.72
1684155600000;FGAA11.SA;9.48;9.57;9.48;9.55;9.55;0;9.66;-1.12;49.14;ESTAVEL;2023-05-15 13:00:00;fii;9.64;-0.98;9.64;-0.98
1684159200000;FGAA11.SA;9.55;9.56;9.53;9.56;9.56;15836;9.66;-1.01;50.49;ESTAVEL;2023-05-15 14:00:00;fii;9.64;-0.87;9.64;-0.87
1684162800000;FGAA11.SA;9.56;9.58;9.56;9.58;9.58;10509;9.66;-0.8;53.17;ESTAVEL;2023-05-15 15:00:00;fii;9.64;-0.65;9.64;-0.65
1684166400000;FGAA11.SA;9.58;9.58;9.56;9.57;9.57;5942;9.66;-0.89;51.66;ESTAVEL;2023-05-15 16:00:00;fii;9.64;-0.75;9.64;-0.75
1684170000000;FGAA11.SA;9.57;9.58;9.56;9.57;9.57;6406;9.66;-0.88;51.66;ESTAVEL;2023-05-15 17:00:00;fii;9.64;-0.74;9.64;-0.74
1684173600000;FGAA11.SA;9.57;9.63;9.57;9.63;9.63;23453;9.65;-0.26;59.62;ESTAVEL;2023-05-15 18:00:00;fii;9.64;-0.12;9.64;-0.12
1684177200000;FGAA11.SA;9.63;9.65;9.62;9.64;9.64;34136;9.65;-0.15;60.78;ESTAVEL;2023-05-15 19:00:00;fii;9.64;-0.01;9.64;-0.01
1684242000000;FGAA11.SA;9.6;9.65;9.6;9.65;9.65;0;9.65;-0.05;61.95;ESTAVEL;2023-05-16 13:00:00;fii;9.64;0.09;9.64;0.09
1684245600000;FGAA11.SA;9.64;9.66;9.62;9.65;9.65;10692;9.65;-0.05;61.95;ESTAVEL;2023-05-16 14:00:00;fii;9.64;0.09;9.64;0.09
1684249200000;FGAA11.SA;9.65;9.66;9.64;9.66;9.66;13074;9.65;0.06;63.23;ESTAVEL;2023-05-16 15:00:00;fii;9.64;0.19;9.64;0.19
