open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;FIIB11.SA;450.0;452.42;449.32;452.42;452.42;59;455.51;-0.68;47.75;ESTAVEL;2022-02-22 14:00:00;fii;455.97;-0.78;455.97;-0.78
1645542000000;FIIB11.SA;451.0;452.46;449.84;449.84;449.84;129;455.46;-1.23;41.66;ESTAVEL;2022-02-22 15:00:00;fii;455.9;-1.33;455.9;-1.33
1645545600000;FIIB11.SA;452.0;452.44;450.0;450.02;450.02;113;455.4;-1.18;42.21;ESTAVEL;2022-02-22 16:00:00;fii;455.84;-1.28;455.84;-1.28
1645549200000;FIIB11.SA;450.03;451.15;450.02;451.0;451.0;42;455.36;-0.96;45.26;ESTAVEL;2022-02-22 17:00:00;fii;455.78;-1.05;455.78;-1.05
1645552800000;FIIB11.SA;450.16;450.23;449.21;449.24;449.24;105;455.3;-1.33;41.07;ESTAVEL;2022-02-22 18:00:00;fii;455.71;-1.42;455.71;-1.42
1645556400000;FIIB11.SA;449.24;450.0;449.21;449.22;449.22;59;455.23;-1.32;41.02;ESTAVEL;2022-02-22 19:00:00;fii;455.63;-1.41;455.63;-1.41
1645621200000;FIIB11.SA;449.27;451.22;449.27;450.0;450.0;0;455.18;-1.14;43.7;ESTAVEL;2022-02-23 13:00:00;fii;455.57;-1.22;455.57;-1.22
1645624800000;FIIB11.SA;450.46;450.53;450.0;450.53;450.53;34;455.13;-1.01;45.51;ESTAVEL;2022-02-23 14:00:00;fii;455.51;-1.09;455.51;-1.09
1645628400000;FIIB11.SA;450.11;452.49;449.28;452.0;452.0;71;455.1;-0.68;50.28;ESTAVEL;2022-02-23 15:00:00;fii;455.47;-0.76;455.47;-0.76
1645632000000;FIIB11.SA;450.11;452.0;449.54;449.57;449.57;86;455.05;-1.2;43.5;ESTAVEL;2022-02-23 16:00:00;fii;455.4;-1.28;455.4;-1.28
1645635600000;FIIB11.SA;450.0;451.93;449.57;450.0;450.0;76;454.99;-1.1;44.92;ESTAVEL;2022-02-23 17:00:00;fii;455.34;-1.17;455.34;-1.17
1645639200000;FIIB11.SA;450.01;451.48;449.69;449.71;449.71;196;454.94;-1.15;44.11;ESTAVEL;2022-02-23 18:00:00;fii;455.28;-1.22;455.28;-1.22
1645642800000;FIIB11.SA;449.68;451.4;449.65;449.66;449.66;63;454.89;-1.15;43.97;ESTAVEL;2022-02-23 19:00:00;fii;455.21;-1.22;455.21;-1.22
1645707600000;FIIB11.SA;449.31;450.89;448.2;448.98;448.98;0;454.83;-1.29;41.93;ESTAVEL;2022-02-24 13:00:00;fii;455.14;-1.35;455.14;-1.35
1645711200000;FIIB11.SA;448.98;449.77;448.48;449.77;449.77;62;454.78;-1.1;45.11;ESTAVEL;2022-02-24 14:00:00;fii;455.08;-1.17;455.08;-1.17
1645714800000;FIIB11.SA;449.77;450.8;448.3;448.31;448.31;95;454.71;-1.41;40.68;ESTAVEL;2022-02-24 15:00:00;fii;455.01;-1.47;455.01;-1.47
1645718400000;FIIB11.SA;448.32;449.93;447.02;449.84;449.84;147;454.66;-1.06;46.6;ESTAVEL;2022-02-24 16:00:00;fii;454.95;-1.12;454.95;-1.12
1645722000000;FIIB11.SA;447.06;449.99;447.05;449.99;449.99;80;454.62;-1.02;47.15;ESTAVEL;2022-02-24 17:00:00;fii;454.89;-1.08;454.89;-1.08
1645725600000;FIIB11.SA;448.0;450.85;447.0;448.0;448.0;166;454.55;-1.44;41.04;ESTAVEL;2022-02-24 18:00:00;fii;454.82;-1.5;454.82;-1.5
1645729200000;FIIB11.SA;448.0;450.88;448.0;448.95;448.95;111;454.49;-1.22;44.73;ESTAVEL;2022-02-24 19:00:00;fii;454.75;-1.28;454.75;-1.28
1645794000000;FIIB11.SA;446.91;450.0;442.21;449.96;449.96;0;454.45;-0.99;48.41;ESTAVEL;2022-02-25 13:00:00;fii;454.7;-1.04;454.7;-1.04
1645797600000;FIIB11.SA;442.09;449.9;442.09;449.89;449.89;164;454.4;-0.99;48.17;ESTAVEL;2022-02-25 14:00:00;fii;454.64;-1.05;454.64;-1.05
1645801200000;FIIB11.SA;449.89;453.23;449.89;453.23;453.23;50;454.39;-0.25;58.69;ESTAVEL;2022-02-25 15:00:00;fii;454.63;-0.31;454.63;-0.31
1645804800000;FIIB11.SA;453.23;455.0;453.23;455.0;455.0;22;454.39;0.13;62.98;ESTAVEL;2022-02-25 16:00:00;fii;454.63;0.08;454.63;0.08
