open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1661364000000;FPAB11.SA;216.35;216.37;216.35;216.37;216.37;0;203.49;6.33;61.42;ESTAVEL;2022-08-24 18:00:00;fii;201.69;7.28;201.69;7.28
1661432400000;FPAB11.SA;216.34;216.34;216.34;216.34;216.34;15;203.62;6.25;61.36;ESTAVEL;2022-08-25 13:00:00;fii;201.86;7.17;201.86;7.17
1661446800000;FPAB11.SA;216.34;216.34;216.34;216.34;216.34;40;203.75;6.18;61.36;ESTAVEL;2022-08-25 17:00:00;fii;202.03;7.08;202.03;7.08
1661450400000;FPAB11.SA;216.39;216.39;216.39;216.39;216.39;19;203.88;6.14;61.43;ESTAVEL;2022-08-25 18:00:00;fii;202.19;7.02;202.19;7.02
1661950800000;FPAB11.SA;217.97;217.97;217.0;217.0;217.0;0;204.01;6.37;62.31;ESTAVEL;2022-08-31 13:00:00;fii;202.36;7.23;202.36;7.23
1661954400000;FPAB11.SA;217.0;217.0;217.0;217.0;217.0;3;204.14;6.3;62.31;ESTAVEL;2022-08-31 14:00:00;fii;202.53;7.15;202.53;7.15
1661958000000;FPAB11.SA;217.95;217.95;217.95;217.95;217.95;0;204.28;6.69;63.81;ESTAVEL;2022-08-31 15:00:00;fii;202.7;7.52;202.7;7.52
1662040800000;FPAB11.SA;218.0;218.0;218.0;218.0;218.0;1;204.42;6.64;63.89;ESTAVEL;2022-09-01 14:00:00;fii;202.88;7.45;202.88;7.45
1662051600000;FPAB11.SA;217.99;217.99;215.75;216.0;216.0;0;204.54;5.6;58.25;ESTAVEL;2022-09-01 17:00:00;fii;203.03;6.39;203.03;6.39
1662127200000;FPAB11.SA;212.01;212.01;208.0;208.0;208.0;63;204.57;1.67;42.2;ESTAVEL;2022-09-02 14:00:00;fii;203.08;2.42;203.08;2.42
