open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;GGBR4.SA;24.5;24.5;24.2;24.3;24.3;1367400;26.43;-8.05;33.11;ESTAVEL;2022-02-22 14:00:00;stocks;26.41;-7.99;26.41;-7.99
1645542000000;GGBR4.SA;24.29;24.46;24.15;24.26;24.26;1042100;26.41;-8.12;32.4;ESTAVEL;2022-02-22 15:00:00;stocks;26.39;-8.05;26.39;-8.05
1645545600000;GGBR4.SA;24.26;24.36;24.17;24.23;24.23;741800;26.38;-8.16;31.85;ESTAVEL;2022-02-22 16:00:00;stocks;26.36;-8.08;26.36;-8.08
1645549200000;GGBR4.SA;24.21;24.23;24.08;24.19;24.19;871400;26.36;-8.23;31.08;ESTAVEL;2022-02-22 17:00:00;stocks;26.34;-8.15;26.34;-8.15
1645552800000;GGBR4.SA;24.19;24.25;23.95;24.01;24.01;1353500;26.34;-8.84;27.85;SUBIR;2022-02-22 18:00:00;stocks;26.31;-8.74;26.31;-8.74
1645556400000;GGBR4.SA;24.01;24.24;23.92;24.22;24.22;1256600;26.32;-7.96;36.18;ESTAVEL;2022-02-22 19:00:00;stocks;26.29;-7.86;26.29;-7.86
1645621200000;GGBR4.SA;24.29;24.48;23.67;23.93;23.93;0;26.29;-8.98;30.88;ESTAVEL;2022-02-23 13:00:00;stocks;26.26;-8.87;26.26;-8.87
1645624800000;GGBR4.SA;23.92;23.95;23.3;23.49;23.49;4299100;26.26;-10.56;24.92;SUBIR;2022-02-23 14:00:00;stocks;26.23;-10.44;26.23;-10.44
1645628400000;GGBR4.SA;23.49;23.51;23.18;23.3;23.3;1685600;26.23;-11.18;22.86;SUBIR;2022-02-23 15:00:00;stocks;26.19;-11.05;26.19;-11.05
1645632000000;GGBR4.SA;23.3;23.48;23.23;23.31;23.31;2069900;26.2;-11.04;23.22;SUBIR;2022-02-23 16:00:00;stocks;26.16;-10.9;26.16;-10.9
1645635600000;GGBR4.SA;23.3;23.35;23.26;23.32;23.32;1292400;26.17;-10.9;23.6;SUBIR;2022-02-23 17:00:00;stocks;26.13;-10.75;26.13;-10.75
1645639200000;GGBR4.SA;23.31;23.69;23.31;23.51;23.51;5102400;26.15;-10.09;30.67;ESTAVEL;2022-02-23 18:00:00;stocks;26.1;-9.92;26.1;-9.92
1645642800000;GGBR4.SA;23.51;23.51;23.36;23.41;23.41;1339500;26.12;-10.37;29.14;SUBIR;2022-02-23 19:00:00;stocks;26.07;-10.2;26.07;-10.2
1645707600000;GGBR4.SA;22.56;23.44;21.98;23.32;23.32;0;26.09;-10.62;27.8;SUBIR;2022-02-24 13:00:00;stocks;26.04;-10.44;26.04;-10.44
1645711200000;GGBR4.SA;23.31;23.33;22.9;22.98;22.98;3844300;26.06;-11.82;23.41;SUBIR;2022-02-24 14:00:00;stocks;26.0;-11.63;26.0;-11.63
1645714800000;GGBR4.SA;22.98;22.99;22.56;22.56;22.56;3140400;26.02;-13.31;19.35;SUBIR;2022-02-24 15:00:00;stocks;25.96;-13.11;25.96;-13.11
1645718400000;GGBR4.SA;22.57;22.8;22.57;22.74;22.74;1566500;25.99;-12.51;25.33;SUBIR;2022-02-24 16:00:00;stocks;25.93;-12.3;25.93;-12.3
1645722000000;GGBR4.SA;22.74;22.76;22.44;22.49;22.49;1345200;25.96;-13.35;22.8;SUBIR;2022-02-24 17:00:00;stocks;25.89;-13.13;25.89;-13.13
1645725600000;GGBR4.SA;22.5;22.72;22.43;22.65;22.65;1850700;25.92;-12.62;27.77;SUBIR;2022-02-24 18:00:00;stocks;25.85;-12.39;25.85;-12.39
1645729200000;GGBR4.SA;22.64;22.95;22.63;22.9;22.9;1828900;25.89;-11.56;34.83;ESTAVEL;2022-02-24 19:00:00;stocks;25.82;-11.31;25.82;-11.31
1645794000000;GGBR4.SA;23.05;23.06;22.59;22.62;22.62;0;25.86;-12.53;31.16;ESTAVEL;2022-02-25 13:00:00;stocks;25.78;-12.27;25.78;-12.27
1645797600000;GGBR4.SA;22.62;23.21;22.49;23.01;23.01;3043100;25.83;-10.92;40.56;ESTAVEL;2022-02-25 14:00:00;stocks;25.75;-10.65;25.75;-10.65
1645801200000;GGBR4.SA;23.01;23.2;22.94;23.03;23.03;1717400;25.8;-10.74;41.01;ESTAVEL;2022-02-25 15:00:00;stocks;25.72;-10.47;25.72;-10.47
1645804800000;GGBR4.SA;23.05;23.31;22.96;23.24;23.24;1756900;25.78;-9.84;45.61;ESTAVEL;2022-02-25 16:00:00;stocks;25.7;-9.55;25.7;-9.55
1645808400000;GGBR4.SA;23.24;23.44;23.24;23.39;23.39;2192400;25.75;-9.17;48.69;ESTAVEL;2022-02-25 17:00:00;stocks;25.67;-8.88;25.67;-8.88
1645812000000;GGBR4.SA;23.4;23.42;23.26;23.36;23.36;2049100;25.73;-9.2;48.11;ESTAVEL;2022-02-25 18:00:00;stocks;25.64;-8.91;25.64;-8.91
1645815600000;GGBR4.SA;23.36;23.84;23.35;23.81;23.81;4858800;25.71;-7.38;56.56;ESTAVEL;2022-02-25 19:00:00;stocks;25.62;-7.08;25.62;-7.08
1646236800000;GGBR4.SA;25.47;25.7;25.14;25.49;25.49;3799700;25.71;-0.84;73.76;ESTAVEL;2022-03-02 16:00:00;stocks;25.62;-0.51;25.62;-0.51
1646240400000;GGBR4.SA;25.49;25.9;25.42;25.89;25.89;3273700;25.71;0.71;76.18;CAIR;2022-03-02 17:00:00;stocks;25.62;1.03;25.62;1.03
1646244000000;GGBR4.SA;25.89;26.0;25.79;25.83;25.83;2537000;25.71;0.47;75.06;CAIR;2022-03-02 18:00:00;stocks;25.63;0.79;25.63;0.79
1646312400000;GGBR4.SA;26.14;26.73;25.96;26.61;26.61;0;25.72;3.47;79.31;CAIR;2022-03-03 13:00:00;stocks;25.64;3.79;25.64;3.79
1646316000000;GGBR4.SA;26.6;27.22;26.57;27.1;27.1;8774400;25.73;5.32;81.45;CAIR;2022-03-03 14:00:00;stocks;25.65;5.64;25.65;5.64
1646319600000;GGBR4.SA;27.1;27.16;26.83;26.9;26.9;3613000;25.74;4.49;77.91;CAIR;2022-03-03 15:00:00;stocks;25.67;4.8;25.67;4.8
1646323200000;GGBR4.SA;26.9;27.04;26.76;26.98;26.98;2430700;25.76;4.75;78.31;CAIR;2022-03-03 16:00:00;stocks;25.68;5.05;25.68;5.05
1646326800000;GGBR4.SA;26.97;27.02;26.83;26.9;26.9;2649200;25.77;4.39;76.79;CAIR;2022-03-03 17:00:00;stocks;25.7;4.69;25.7;4.69
1646330400000;GGBR4.SA;26.9;26.91;26.78;26.8;26.8;1690900;25.78;3.96;74.84;CAIR;2022-03-03 18:00:00;stocks;25.71;4.25;25.71;4.25
