open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;GGRC11.SA;109.84;109.85;109.43;109.52;109.52;1318;112.81;-2.92;27.67;SUBIR;2022-02-22 14:00:00;fii;113.1;-3.16;113.1;-3.16
1645542000000;GGRC11.SA;109.52;109.54;109.2;109.39;109.39;579;112.78;-3.01;26.54;SUBIR;2022-02-22 15:00:00;fii;113.05;-3.24;113.05;-3.24
1645545600000;GGRC11.SA;109.29;109.72;109.2;109.63;109.63;1800;112.75;-2.77;32.07;ESTAVEL;2022-02-22 16:00:00;fii;113.01;-2.99;113.01;-2.99
1645549200000;GGRC11.SA;109.62;109.84;109.58;109.7;109.7;1134;112.72;-2.68;33.64;ESTAVEL;2022-02-22 17:00:00;fii;112.98;-2.9;112.98;-2.9
1645552800000;GGRC11.SA;109.8;109.84;108.6;108.81;108.81;3102;112.68;-3.43;25.56;SUBIR;2022-02-22 18:00:00;fii;112.93;-3.65;112.93;-3.65
1645556400000;GGRC11.SA;108.9;108.9;103.47;107.36;107.36;14082;112.62;-4.67;17.98;SUBIR;2022-02-22 19:00:00;fii;112.86;-4.88;112.86;-4.88
1645621200000;GGRC11.SA;106.72;107.76;106.5;106.5;106.5;0;112.56;-5.39;15.11;SUBIR;2022-02-23 13:00:00;fii;112.79;-5.58;112.79;-5.58
1645624800000;GGRC11.SA;106.65;106.75;106.01;106.24;106.24;1841;112.5;-5.56;14.37;SUBIR;2022-02-23 14:00:00;fii;112.72;-5.75;112.72;-5.75
1645628400000;GGRC11.SA;106.27;106.89;106.01;106.18;106.18;2241;112.43;-5.56;14.2;SUBIR;2022-02-23 15:00:00;fii;112.64;-5.74;112.64;-5.74
1645632000000;GGRC11.SA;106.18;106.4;106.18;106.28;106.28;1305;112.37;-5.42;16.02;SUBIR;2022-02-23 16:00:00;fii;112.57;-5.59;112.57;-5.59
1645635600000;GGRC11.SA;106.28;106.32;106.21;106.28;106.28;1364;112.31;-5.37;16.02;SUBIR;2022-02-23 17:00:00;fii;112.5;-5.53;112.5;-5.53
1645639200000;GGRC11.SA;106.28;107.0;105.75;106.2;106.2;4089;112.25;-5.39;15.71;SUBIR;2022-02-23 18:00:00;fii;112.43;-5.54;112.43;-5.54
1645642800000;GGRC11.SA;106.11;106.25;105.8;106.19;106.19;1625;112.19;-5.35;15.67;SUBIR;2022-02-23 19:00:00;fii;112.36;-5.49;112.36;-5.49
1645707600000;GGRC11.SA;105.0;105.97;104.0;105.0;105.0;0;112.11;-6.35;11.76;SUBIR;2022-02-24 13:00:00;fii;112.27;-6.48;112.27;-6.48
1645711200000;GGRC11.SA;104.97;105.85;104.82;105.03;105.03;2171;112.04;-6.26;12.35;SUBIR;2022-02-24 14:00:00;fii;112.19;-6.38;112.19;-6.38
1645714800000;GGRC11.SA;105.15;105.66;105.03;105.2;105.2;1280;111.97;-6.05;15.81;SUBIR;2022-02-24 15:00:00;fii;112.11;-6.17;112.11;-6.17
1645718400000;GGRC11.SA;105.2;105.3;105.1;105.1;105.1;2025;111.9;-6.08;15.42;SUBIR;2022-02-24 16:00:00;fii;112.04;-6.19;112.04;-6.19
1645722000000;GGRC11.SA;105.08;105.08;104.0;104.81;104.81;2806;111.83;-6.28;14.33;SUBIR;2022-02-24 17:00:00;fii;111.95;-6.38;111.95;-6.38
1645725600000;GGRC11.SA;104.35;104.77;104.21;104.4;104.4;1300;111.76;-6.58;12.94;SUBIR;2022-02-24 18:00:00;fii;111.87;-6.68;111.87;-6.68
1645729200000;GGRC11.SA;104.54;104.8;104.0;104.54;104.54;2039;111.68;-6.4;15.95;SUBIR;2022-02-24 19:00:00;fii;111.79;-6.48;111.79;-6.48
1645794000000;GGRC11.SA;105.0;105.7;104.03;104.99;104.99;0;111.62;-5.94;24.92;SUBIR;2022-02-25 13:00:00;fii;111.71;-6.02;111.71;-6.02
1645797600000;GGRC11.SA;104.99;105.0;104.64;104.9;104.9;1840;111.55;-5.96;24.36;SUBIR;2022-02-25 14:00:00;fii;111.64;-6.03;111.64;-6.03
1645801200000;GGRC11.SA;104.89;104.9;104.62;104.79;104.79;1087;111.48;-6.0;23.66;SUBIR;2022-02-25 15:00:00;fii;111.56;-6.07;111.56;-6.07
1645804800000;GGRC11.SA;104.79;104.9;104.72;104.9;104.9;1116;111.41;-5.85;25.95;SUBIR;2022-02-25 16:00:00;fii;111.48;-5.91;111.48;-5.91
1645808400000;GGRC11.SA;104.9;104.9;104.53;104.64;104.64;1427;111.35;-6.02;24.11;SUBIR;2022-02-25 17:00:00;fii;111.41;-6.08;111.41;-6.08
1645812000000;GGRC11.SA;104.64;104.64;104.4;104.4;104.4;2521;111.28;-6.18;22.52;SUBIR;2022-02-25 18:00:00;fii;111.33;-6.22;111.33;-6.22
