open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645542000000;GOAU3.SA;9.99;10.05;9.97;9.99;9.99;11800;10.39;-3.82;33.58;ESTAVEL;2022-02-22 15:00:00;stocks;10.37;-3.64;10.37;-3.64
1645545600000;GOAU3.SA;9.98;10.0;9.94;9.96;9.96;36700;10.38;-4.07;32.02;ESTAVEL;2022-02-22 16:00:00;stocks;10.36;-3.89;10.36;-3.89
1645549200000;GOAU3.SA;9.96;9.98;9.9;9.93;9.93;14900;10.38;-4.31;30.5;ESTAVEL;2022-02-22 17:00:00;stocks;10.36;-4.13;10.36;-4.13
1645552800000;GOAU3.SA;9.95;9.96;9.79;9.87;9.87;27900;10.37;-4.84;27.67;SUBIR;2022-02-22 18:00:00;stocks;10.35;-4.66;10.35;-4.66
1645556400000;GOAU3.SA;9.86;9.94;9.8;9.94;9.94;10800;10.37;-4.13;35.22;ESTAVEL;2022-02-22 19:00:00;stocks;10.35;-3.94;10.35;-3.94
1645621200000;GOAU3.SA;10.14;10.14;9.86;9.92;9.92;0;10.36;-4.28;34.13;ESTAVEL;2022-02-23 13:00:00;stocks;10.34;-4.09;10.34;-4.09
1645624800000;GOAU3.SA;9.91;9.91;9.7;9.73;9.73;32300;10.36;-6.06;25.89;SUBIR;2022-02-23 14:00:00;stocks;10.34;-5.86;10.34;-5.86
1645628400000;GOAU3.SA;9.74;9.74;9.63;9.66;9.66;42100;10.35;-6.67;23.62;SUBIR;2022-02-23 15:00:00;stocks;10.33;-6.47;10.33;-6.47
1645632000000;GOAU3.SA;9.66;9.67;9.58;9.61;9.61;65500;10.34;-7.08;22.13;SUBIR;2022-02-23 16:00:00;stocks;10.32;-6.88;10.32;-6.88
1645635600000;GOAU3.SA;9.61;9.66;9.6;9.65;9.65;28700;10.34;-6.63;26.14;SUBIR;2022-02-23 17:00:00;stocks;10.31;-6.42;10.31;-6.42
1645639200000;GOAU3.SA;9.66;9.69;9.64;9.64;9.64;13400;10.33;-6.67;25.79;SUBIR;2022-02-23 18:00:00;stocks;10.3;-6.45;10.3;-6.45
1645642800000;GOAU3.SA;9.64;9.64;9.57;9.57;9.57;29600;10.32;-7.28;23.38;SUBIR;2022-02-23 19:00:00;stocks;10.3;-7.06;10.3;-7.06
1645707600000;GOAU3.SA;9.56;9.59;9.06;9.4;9.4;0;10.31;-8.84;18.79;SUBIR;2022-02-24 13:00:00;stocks;10.29;-8.62;10.29;-8.62
1645711200000;GOAU3.SA;9.39;9.43;9.34;9.41;9.41;23800;10.3;-8.66;19.78;SUBIR;2022-02-24 14:00:00;stocks;10.28;-8.43;10.28;-8.43
1645714800000;GOAU3.SA;9.38;9.42;9.33;9.39;9.39;8700;10.29;-8.78;19.27;SUBIR;2022-02-24 15:00:00;stocks;10.27;-8.54;10.27;-8.54
1645718400000;GOAU3.SA;9.35;9.42;9.33;9.33;9.33;11400;10.28;-9.27;17.79;SUBIR;2022-02-24 16:00:00;stocks;10.26;-9.03;10.26;-9.03
1645722000000;GOAU3.SA;9.34;9.38;9.23;9.29;9.29;30000;10.27;-9.57;16.86;SUBIR;2022-02-24 17:00:00;stocks;10.24;-9.32;10.24;-9.32
1645725600000;GOAU3.SA;9.27;9.32;9.21;9.29;9.29;6000;10.26;-9.49;16.86;SUBIR;2022-02-24 18:00:00;stocks;10.23;-9.23;10.23;-9.23
1645729200000;GOAU3.SA;9.33;9.43;9.3;9.4;9.4;11300;10.25;-8.34;28.75;SUBIR;2022-02-24 19:00:00;stocks;10.22;-8.07;10.22;-8.07
1645794000000;GOAU3.SA;9.36;9.47;9.25;9.29;9.29;0;10.25;-9.32;24.91;SUBIR;2022-02-25 13:00:00;stocks;10.21;-9.05;10.21;-9.05
