open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1685635200000;GSHP3.SA;14.36;14.36;14.0;14.0;14.0;600;21.61;-35.21;;ESTAVEL;2023-06-01 16:00:00;stocks;;;;
1685710800000;GSHP3.SA;14.04;14.04;14.02;14.02;14.02;0;21.52;-34.86;;ESTAVEL;2023-06-02 13:00:00;stocks;;;;
1685973600000;GSHP3.SA;14.7;14.99;14.7;14.98;14.98;200;21.45;-30.15;;ESTAVEL;2023-06-05 14:00:00;stocks;;;;
1686056400000;GSHP3.SA;14.97;14.97;14.97;14.97;14.97;0;21.37;-29.96;;ESTAVEL;2023-06-06 13:00:00;stocks;;;;
1686074400000;GSHP3.SA;14.98;14.98;14.98;14.98;14.98;0;21.3;-29.67;;ESTAVEL;2023-06-06 18:00:00;stocks;;;;
1686078000000;GSHP3.SA;15.8;15.88;15.8;15.88;15.88;200;21.24;-25.23;;ESTAVEL;2023-06-06 19:00:00;stocks;;;;
1686330000000;GSHP3.SA;15.84;15.84;15.84;15.84;15.84;100;21.18;-25.2;;ESTAVEL;2023-06-09 17:00:00;stocks;;;;
1686837600000;GSHP3.SA;14.94;16.63;14.46;15.2;15.2;0;21.11;-27.99;;ESTAVEL;2023-06-15 14:00:00;stocks;;;;
1687280400000;GSHP3.SA;15.98;15.98;15.98;15.98;15.98;0;21.05;-24.08;;ESTAVEL;2023-06-20 17:00:00;stocks;;;;
1687370400000;GSHP3.SA;15.99;15.99;15.99;15.99;15.99;100;20.99;-23.83;;ESTAVEL;2023-06-21 18:00:00;stocks;;;;
1687374000000;GSHP3.SA;16.0;16.1;16.0;16.1;16.1;200;20.94;-23.1;;ESTAVEL;2023-06-21 19:00:00;stocks;;;;
1687449600000;GSHP3.SA;16.48;16.48;16.48;16.48;16.48;0;20.89;-21.1;;ESTAVEL;2023-06-22 16:00:00;stocks;;;;
1687532400000;GSHP3.SA;16.56;16.79;16.56;16.79;16.79;400;20.84;-19.43;;ESTAVEL;2023-06-23 15:00:00;stocks;;;;
1691074800000;GSHP3.SA;15.1;15.1;15.1;15.1;15.1;0;20.77;-27.32;;ESTAVEL;2023-08-03 15:00:00;stocks;;;;
1692021600000;GSHP3.SA;15.05;15.05;15.05;15.05;15.05;100;20.71;-27.33;58.88;ESTAVEL;2023-08-14 14:00:00;stocks;;;;
1693411200000;GSHP3.SA;14.11;14.11;14.11;14.11;14.11;0;20.64;-31.62;50.27;ESTAVEL;2023-08-30 16:00:00;stocks;;;;
1693573200000;GSHP3.SA;14.0;14.0;14.0;14.0;14.0;0;20.56;-31.91;49.36;ESTAVEL;2023-09-01 13:00:00;stocks;;;;
1693591200000;GSHP3.SA;14.0;14.0;14.0;14.0;14.0;400;20.49;-31.67;49.36;ESTAVEL;2023-09-01 18:00:00;stocks;;;;
1693922400000;GSHP3.SA;14.0;14.0;14.0;14.0;14.0;0;20.41;-31.42;49.36;ESTAVEL;2023-09-05 14:00:00;stocks;;;;
1695150000000;GSHP3.SA;13.89;13.89;13.89;13.89;13.89;400;20.34;-31.72;48.27;ESTAVEL;2023-09-19 19:00:00;stocks;;;;
1695312000000;GSHP3.SA;13.8;13.8;13.8;13.8;13.8;100;20.27;-31.91;47.35;ESTAVEL;2023-09-21 16:00:00;stocks;;;;
1696266000000;GSHP3.SA;13.2;13.2;13.2;13.2;13.2;0;20.19;-34.62;41.64;ESTAVEL;2023-10-02 17:00:00;stocks;;;;
1696269600000;GSHP3.SA;13.2;13.2;13.2;13.2;13.2;100;20.11;-34.37;41.64;ESTAVEL;2023-10-02 18:00:00;stocks;;;;
1696510800000;GSHP3.SA;14.5;14.5;14.5;14.5;14.5;0;20.05;-27.68;55.21;ESTAVEL;2023-10-05 13:00:00;stocks;;;;
1698159600000;GSHP3.SA;14.5;14.5;14.5;14.5;14.5;100;19.99;-27.45;55.21;ESTAVEL;2023-10-24 15:00:00;stocks;;;;
1699038000000;GSHP3.SA;14.3;14.3;14.3;14.3;14.3;0;19.92;-28.23;53.01;ESTAVEL;2023-11-03 19:00:00;stocks;;;;
1699365600000;GSHP3.SA;16.49;16.49;16.49;16.49;16.49;0;19.89;-17.08;68.03;ESTAVEL;2023-11-07 14:00:00;stocks;;;;
1699369200000;GSHP3.SA;16.5;16.5;16.5;16.5;16.5;100;19.85;-16.87;68.08;ESTAVEL;2023-11-07 15:00:00;stocks;;;;
1699372800000;GSHP3.SA;16.5;16.5;16.5;16.5;16.5;100;19.81;-16.71;68.08;ESTAVEL;2023-11-07 16:00:00;stocks;;;;
1699376400000;GSHP3.SA;15.5;15.5;15.5;15.5;15.5;100;19.76;-21.57;57.6;ESTAVEL;2023-11-07 17:00:00;stocks;;;;
