open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1646762400000;HAGA3.SA;11.33;11.42;11.26;11.33;11.33;1100;9.04;25.3;54.98;ESTAVEL;2022-03-08 18:00:00;stocks;9.25;22.53;9.25;22.53
1646766000000;HAGA3.SA;11.49;11.49;11.47;11.47;11.47;3600;9.07;26.51;55.99;ESTAVEL;2022-03-08 19:00:00;stocks;9.27;23.7;9.27;23.7
1646830800000;HAGA3.SA;10.33;11.56;10.33;11.11;11.11;0;9.09;22.26;52.72;ESTAVEL;2022-03-09 13:00:00;stocks;9.29;19.55;9.29;19.55
1646834400000;HAGA3.SA;10.91;11.0;10.52;10.52;10.52;5600;9.1;15.58;47.8;ESTAVEL;2022-03-09 14:00:00;stocks;9.31;13.03;9.31;13.03
1646838000000;HAGA3.SA;10.85;11.35;10.6;11.02;11.02;0;9.12;20.82;51.9;ESTAVEL;2022-03-09 15:00:00;stocks;9.33;18.15;9.33;18.15
1646841600000;HAGA3.SA;11.11;11.5;10.8;11.5;11.5;133900;9.15;25.75;55.51;ESTAVEL;2022-03-09 16:00:00;stocks;9.35;22.97;9.35;22.97
1646845200000;HAGA3.SA;11.07;11.09;10.7;10.98;10.98;2200;9.16;19.82;51.04;ESTAVEL;2022-03-09 17:00:00;stocks;9.37;17.18;9.37;17.18
1646848800000;HAGA3.SA;11.0;11.0;10.98;10.98;10.98;300;9.18;19.58;51.04;ESTAVEL;2022-03-09 18:00:00;stocks;9.39;16.95;9.39;16.95
1646852400000;HAGA3.SA;10.98;10.98;10.98;10.98;10.98;800;9.2;19.34;51.04;ESTAVEL;2022-03-09 19:00:00;stocks;9.41;16.72;9.41;16.72
1646917200000;HAGA3.SA;10.37;11.29;10.37;10.7;10.7;0;9.22;16.11;48.42;ESTAVEL;2022-03-10 13:00:00;stocks;9.42;13.57;9.42;13.57
1646920800000;HAGA3.SA;11.25;11.25;10.81;10.81;10.81;200;9.23;17.1;49.51;ESTAVEL;2022-03-10 14:00:00;stocks;9.44;14.55;9.44;14.55
1646924400000;HAGA3.SA;11.22;11.22;11.22;11.22;11.22;100;9.25;21.27;53.49;ESTAVEL;2022-03-10 15:00:00;stocks;9.46;18.64;9.46;18.64
1646928000000;HAGA3.SA;10.94;10.94;10.81;10.81;10.81;600;9.27;16.64;49.31;ESTAVEL;2022-03-10 16:00:00;stocks;9.47;14.12;9.47;14.12
1646931600000;HAGA3.SA;11.08;11.08;11.08;11.08;11.08;100;9.29;19.32;51.97;ESTAVEL;2022-03-10 17:00:00;stocks;9.49;16.74;9.49;16.74
1646935200000;HAGA3.SA;11.0;11.0;10.9;11.0;11.0;2500;9.3;18.24;51.11;ESTAVEL;2022-03-10 18:00:00;stocks;9.51;15.69;9.51;15.69
1646938800000;HAGA3.SA;10.99;10.99;10.99;10.99;10.99;100;9.32;17.91;51.0;ESTAVEL;2022-03-10 19:00:00;stocks;9.52;15.38;9.52;15.38
1647003600000;HAGA3.SA;10.6;10.9;10.6;10.61;10.61;36100;9.33;13.68;46.77;ESTAVEL;2022-03-11 13:00:00;stocks;9.54;11.25;9.54;11.25
1647007200000;HAGA3.SA;10.61;10.61;10.15;10.29;10.29;17200;9.34;10.13;43.49;ESTAVEL;2022-03-11 14:00:00;stocks;9.55;7.8;9.55;7.8
1647010800000;HAGA3.SA;10.29;10.29;10.15;10.2;10.2;3000;9.35;9.07;42.59;ESTAVEL;2022-03-11 15:00:00;stocks;9.55;6.78;9.55;6.78
1647014400000;HAGA3.SA;10.08;10.5;10.08;10.49;10.49;5200;9.36;12.03;46.45;ESTAVEL;2022-03-11 16:00:00;stocks;9.56;9.69;9.56;9.69
