open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;HBSA3.SA;3.09;3.18;3.09;3.16;3.16;1515200;2.95;7.11;64.19;ESTAVEL;2022-02-22 14:00:00;stocks;2.93;7.89;2.93;7.89
1645542000000;HBSA3.SA;3.16;3.16;3.09;3.1;3.1;766100;2.95;5.02;58.28;ESTAVEL;2022-02-22 15:00:00;stocks;2.93;5.77;2.93;5.77
1645545600000;HBSA3.SA;3.1;3.12;3.06;3.07;3.07;267200;2.95;3.96;55.52;ESTAVEL;2022-02-22 16:00:00;stocks;2.93;4.69;2.93;4.69
1645549200000;HBSA3.SA;3.07;3.1;3.05;3.08;3.08;348800;2.95;4.25;56.27;ESTAVEL;2022-02-22 17:00:00;stocks;2.93;4.97;2.93;4.97
1645552800000;HBSA3.SA;3.08;3.09;3.06;3.09;3.09;412100;2.96;4.54;57.04;ESTAVEL;2022-02-22 18:00:00;stocks;2.94;5.25;2.94;5.25
1645556400000;HBSA3.SA;3.09;3.15;3.08;3.11;3.11;747600;2.96;5.16;58.61;ESTAVEL;2022-02-22 19:00:00;stocks;2.94;5.86;2.94;5.86
1645621200000;HBSA3.SA;3.08;3.14;3.08;3.12;3.12;0;2.96;5.44;59.41;ESTAVEL;2022-02-23 13:00:00;stocks;2.94;6.12;2.94;6.12
1645624800000;HBSA3.SA;3.13;3.14;3.02;3.03;3.03;406500;2.96;2.38;50.03;ESTAVEL;2022-02-23 14:00:00;stocks;2.94;3.03;2.94;3.03
1645628400000;HBSA3.SA;3.03;3.04;2.99;3.03;3.03;253000;2.96;2.35;50.03;ESTAVEL;2022-02-23 15:00:00;stocks;2.94;2.99;2.94;2.99
1645632000000;HBSA3.SA;3.04;3.08;3.02;3.07;3.07;313200;2.96;3.66;53.79;ESTAVEL;2022-02-23 16:00:00;stocks;2.94;4.3;2.94;4.3
1645635600000;HBSA3.SA;3.08;3.11;3.05;3.11;3.11;725400;2.96;4.96;57.26;ESTAVEL;2022-02-23 17:00:00;stocks;2.95;5.59;2.95;5.59
1645639200000;HBSA3.SA;3.11;3.12;3.07;3.08;3.08;225600;2.96;3.91;53.99;ESTAVEL;2022-02-23 18:00:00;stocks;2.95;4.52;2.95;4.52
1645642800000;HBSA3.SA;3.09;3.09;3.02;3.04;3.04;316700;2.96;2.53;49.9;ESTAVEL;2022-02-23 19:00:00;stocks;2.95;3.12;2.95;3.12
1645707600000;HBSA3.SA;2.96;2.96;2.8;2.86;2.86;0;2.96;-3.5;36.5;ESTAVEL;2022-02-24 13:00:00;stocks;2.95;-2.95;2.95;-2.95
1645711200000;HBSA3.SA;2.87;2.91;2.85;2.91;2.91;349000;2.96;-1.8;41.22;ESTAVEL;2022-02-24 14:00:00;stocks;2.95;-1.24;2.95;-1.24
1645714800000;HBSA3.SA;2.91;2.95;2.89;2.93;2.93;278600;2.96;-1.11;43.04;ESTAVEL;2022-02-24 15:00:00;stocks;2.95;-0.55;2.95;-0.55
1645718400000;HBSA3.SA;2.93;2.96;2.91;2.94;2.94;272300;2.96;-0.77;43.98;ESTAVEL;2022-02-24 16:00:00;stocks;2.95;-0.21;2.95;-0.21
1645722000000;HBSA3.SA;2.94;2.95;2.88;2.89;2.89;320800;2.96;-2.43;40.4;ESTAVEL;2022-02-24 17:00:00;stocks;2.95;-1.89;2.95;-1.89
1645725600000;HBSA3.SA;2.89;2.95;2.87;2.93;2.93;347500;2.96;-1.07;44.31;ESTAVEL;2022-02-24 18:00:00;stocks;2.95;-0.52;2.95;-0.52
1645729200000;HBSA3.SA;2.93;3.04;2.92;3.0;3.0;430100;2.96;1.28;50.42;ESTAVEL;2022-02-24 19:00:00;stocks;2.95;1.83;2.95;1.83
1645794000000;HBSA3.SA;2.97;3.03;2.97;3.0;3.0;0;2.96;1.27;50.42;ESTAVEL;2022-02-25 13:00:00;stocks;2.95;1.81;2.95;1.81
