open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1659117600000;HCHG11.SA;81.5;81.5;81.5;81.5;81.5;154;81.55;-0.06;52.49;ESTAVEL;2022-07-29 18:00:00;fii;81.21;0.36;81.21;0.36
1659121200000;HCHG11.SA;81.5;81.89;81.5;81.89;81.89;364;81.55;0.41;59.84;ESTAVEL;2022-07-29 19:00:00;fii;81.22;0.83;81.22;0.83
1659369600000;HCHG11.SA;81.5;81.5;81.5;81.5;81.5;0;81.55;-0.06;51.29;ESTAVEL;2022-08-01 16:00:00;fii;81.22;0.35;81.22;0.35
1659376800000;HCHG11.SA;81.02;81.02;81.02;81.02;81.02;1;81.55;-0.65;43.12;ESTAVEL;2022-08-01 18:00:00;fii;81.22;-0.24;81.22;-0.24
1659380400000;HCHG11.SA;81.49;81.89;81.02;81.5;81.5;153;81.55;-0.06;51.45;ESTAVEL;2022-08-01 19:00:00;fii;81.22;0.34;81.22;0.34
1659445200000;HCHG11.SA;81.5;81.5;81.5;81.5;81.5;0;81.55;-0.06;51.45;ESTAVEL;2022-08-02 13:00:00;fii;81.22;0.34;81.22;0.34
1659448800000;HCHG11.SA;81.5;81.5;81.5;81.5;81.5;118;81.55;-0.06;51.45;ESTAVEL;2022-08-02 14:00:00;fii;81.23;0.34;81.23;0.34
1659452400000;HCHG11.SA;81.45;81.45;81.45;81.45;81.45;1;81.54;-0.12;50.49;ESTAVEL;2022-08-02 15:00:00;fii;81.23;0.27;81.23;0.27
1659459600000;HCHG11.SA;81.45;81.49;81.45;81.49;81.49;29;81.54;-0.07;51.27;ESTAVEL;2022-08-02 17:00:00;fii;81.23;0.32;81.23;0.32
1659463200000;HCHG11.SA;81.49;81.5;81.49;81.5;81.5;154;81.54;-0.05;51.48;ESTAVEL;2022-08-02 18:00:00;fii;81.24;0.33;81.24;0.33
1659466800000;HCHG11.SA;81.5;81.5;81.5;81.5;81.5;269;81.54;-0.05;51.48;ESTAVEL;2022-08-02 19:00:00;fii;81.24;0.32;81.24;0.32
1659542400000;HCHG11.SA;81.49;81.49;81.49;81.49;81.49;0;81.54;-0.06;51.23;ESTAVEL;2022-08-03 16:00:00;fii;81.24;0.31;81.24;0.31
1659628800000;HCHG11.SA;81.25;81.25;79.0;81.25;81.25;248;81.54;-0.35;45.46;ESTAVEL;2022-08-04 16:00:00;fii;81.24;0.01;81.24;0.01
1659632400000;HCHG11.SA;80.01;81.25;79.51;79.51;79.51;1053;81.52;-2.46;24.21;SUBIR;2022-08-04 17:00:00;fii;81.22;-2.11;81.22;-2.11
1659708000000;HCHG11.SA;81.24;81.25;80.0;80.0;80.0;11;81.5;-1.84;33.62;ESTAVEL;2022-08-05 14:00:00;fii;81.21;-1.49;81.21;-1.49
1659715200000;HCHG11.SA;81.24;81.24;81.24;81.24;81.24;6;81.5;-0.32;50.4;ESTAVEL;2022-08-05 16:00:00;fii;81.21;0.04;81.21;0.04
