open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1647885600000;HCRI11.SA;272.84;272.84;270.0;270.0;270.0;14;307.73;-12.26;46.43;ESTAVEL;2022-03-21 18:00:00;fii;302.27;-10.68;302.27;-10.68
1647889200000;HCRI11.SA;270.91;270.91;270.91;270.91;270.91;1;307.36;-11.86;47.45;ESTAVEL;2022-03-21 19:00:00;fii;301.91;-10.27;301.91;-10.27
1647954000000;HCRI11.SA;261.1;262.01;261.1;262.01;262.01;0;306.9;-14.63;39.53;ESTAVEL;2022-03-22 13:00:00;fii;301.45;-13.08;301.45;-13.08
1647957600000;HCRI11.SA;270.99;270.99;250.02;262.0;262.0;96;306.44;-14.5;39.52;ESTAVEL;2022-03-22 14:00:00;fii;301.0;-12.96;301.0;-12.96
1647961200000;HCRI11.SA;261.99;262.0;258.01;258.01;258.01;8;305.95;-15.67;36.36;ESTAVEL;2022-03-22 15:00:00;fii;300.51;-14.14;300.51;-14.14
1647964800000;HCRI11.SA;258.02;258.02;253.02;253.02;253.02;25;305.42;-17.16;32.83;ESTAVEL;2022-03-22 16:00:00;fii;299.97;-15.65;299.97;-15.65
1647968400000;HCRI11.SA;258.0;258.01;258.0;258.01;258.01;92;304.94;-15.39;39.19;ESTAVEL;2022-03-22 17:00:00;fii;299.49;-13.85;299.49;-13.85
1647972000000;HCRI11.SA;258.04;258.04;254.0;254.0;254.0;23;304.42;-16.56;36.22;ESTAVEL;2022-03-22 18:00:00;fii;298.97;-15.04;298.97;-15.04
1647975600000;HCRI11.SA;255.0;256.0;255.0;256.0;256.0;8;303.93;-15.77;38.72;ESTAVEL;2022-03-22 19:00:00;fii;298.48;-14.23;298.48;-14.23
1648040400000;HCRI11.SA;260.01;260.01;254.18;254.18;254.18;0;303.43;-16.23;37.29;ESTAVEL;2022-03-23 13:00:00;fii;297.98;-14.7;297.98;-14.7
1648044000000;HCRI11.SA;256.01;256.01;256.0;256.0;256.0;14;302.95;-15.5;39.68;ESTAVEL;2022-03-23 14:00:00;fii;297.5;-13.95;297.5;-13.95
1648051200000;HCRI11.SA;256.15;261.97;256.13;256.14;256.14;9;302.47;-15.32;39.87;ESTAVEL;2022-03-23 16:00:00;fii;297.03;-13.77;297.03;-13.77
