open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1655830800000;HETA4.SA;5.92;5.92;5.85;5.85;5.85;500;6.95;-15.79;47.84;ESTAVEL;2022-06-21 17:00:00;stocks;6.74;-13.24;6.74;-13.24
1655834400000;HETA4.SA;5.92;5.92;5.92;5.92;5.92;100;6.94;-14.65;48.47;ESTAVEL;2022-06-21 18:00:00;stocks;6.73;-12.08;6.73;-12.08
1655838000000;HETA4.SA;5.72;5.72;5.67;5.67;5.67;800;6.92;-18.11;46.32;ESTAVEL;2022-06-21 19:00:00;stocks;6.72;-15.64;6.72;-15.64
1655902800000;HETA4.SA;5.74;5.74;5.74;5.74;5.74;0;6.91;-16.95;47.03;ESTAVEL;2022-06-22 13:00:00;stocks;6.71;-14.45;6.71;-14.45
1655913600000;HETA4.SA;5.74;5.74;5.74;5.74;5.74;100;6.9;-16.81;47.03;ESTAVEL;2022-06-22 16:00:00;stocks;6.7;-14.31;6.7;-14.31
1655920800000;HETA4.SA;5.74;5.74;5.74;5.74;5.74;200;6.89;-16.67;47.03;ESTAVEL;2022-06-22 18:00:00;stocks;6.69;-14.17;6.69;-14.17
1655924400000;HETA4.SA;5.74;5.74;5.74;5.74;5.74;300;6.88;-16.53;47.03;ESTAVEL;2022-06-22 19:00:00;stocks;6.68;-14.03;6.68;-14.03
1655992800000;HETA4.SA;5.74;5.74;5.46;5.46;5.46;0;6.86;-20.43;43.91;ESTAVEL;2022-06-23 14:00:00;stocks;6.66;-18.06;6.66;-18.06
1656075600000;HETA4.SA;6.16;6.16;6.16;6.16;6.16;0;6.85;-10.14;52.41;ESTAVEL;2022-06-24 13:00:00;stocks;6.66;-7.47;6.66;-7.47
1656079200000;HETA4.SA;5.99;5.99;5.55;5.55;5.55;400;6.84;-18.88;45.88;ESTAVEL;2022-06-24 14:00:00;stocks;6.64;-16.48;6.64;-16.48
1656082800000;HETA4.SA;5.55;5.55;5.55;5.55;5.55;100;6.83;-18.72;45.88;ESTAVEL;2022-06-24 15:00:00;stocks;6.63;-16.32;6.63;-16.32
1656525600000;HETA4.SA;5.79;5.85;5.79;5.85;5.85;0;6.82;-14.21;49.47;ESTAVEL;2022-06-29 18:00:00;stocks;6.62;-11.68;6.62;-11.68
1656680400000;HETA4.SA;6.0;6.5;6.0;6.5;6.5;1000;6.82;-4.63;56.24;ESTAVEL;2022-07-01 13:00:00;stocks;6.62;-1.84;6.62;-1.84
1656684000000;HETA4.SA;5.99;5.99;5.99;5.99;5.99;100;6.81;-12.0;50.52;ESTAVEL;2022-07-01 14:00:00;stocks;6.61;-9.45;6.61;-9.45
1656694800000;HETA4.SA;5.35;5.35;5.35;5.35;5.35;100;6.79;-21.24;44.42;ESTAVEL;2022-07-01 17:00:00;stocks;6.6;-18.95;6.6;-18.95
1656939600000;HETA4.SA;5.5;5.5;5.5;5.5;5.5;0;6.78;-18.87;46.06;ESTAVEL;2022-07-04 13:00:00;stocks;6.59;-16.52;6.59;-16.52
1657029600000;HETA4.SA;5.89;5.94;5.89;5.94;5.94;100;6.77;-12.27;50.67;ESTAVEL;2022-07-05 14:00:00;stocks;6.58;-9.74;6.58;-9.74
1657033200000;HETA4.SA;5.84;5.84;5.84;5.84;5.84;100;6.76;-13.63;49.64;ESTAVEL;2022-07-05 15:00:00;stocks;6.57;-11.15;6.57;-11.15
1657198800000;HETA4.SA;5.81;5.81;5.81;5.81;5.81;0;6.75;-13.95;49.31;ESTAVEL;2022-07-07 13:00:00;stocks;6.56;-11.49;6.56;-11.49
1657206000000;HETA4.SA;5.69;5.69;5.45;5.69;5.69;300;6.74;-15.59;47.95;ESTAVEL;2022-07-07 15:00:00;stocks;6.55;-13.19;6.55;-13.19
1657220400000;HETA4.SA;5.4;5.4;5.21;5.21;5.21;1400;6.73;-22.54;42.86;ESTAVEL;2022-07-07 19:00:00;stocks;6.54;-20.33;6.54;-20.33
1657285200000;HETA4.SA;5.21;5.23;5.21;5.21;5.21;0;6.71;-22.36;42.86;ESTAVEL;2022-07-08 13:00:00;stocks;6.52;-20.15;6.52;-20.15
1657288800000;HETA4.SA;5.22;5.22;5.21;5.21;5.21;200;6.7;-22.18;42.86;ESTAVEL;2022-07-08 14:00:00;stocks;6.51;-19.97;6.51;-19.97
1657292400000;HETA4.SA;5.24;5.3;5.24;5.3;5.3;700;6.68;-20.67;44.25;ESTAVEL;2022-07-08 15:00:00;stocks;6.5;-18.41;6.5;-18.41
1657296000000;HETA4.SA;5.37;5.37;5.3;5.3;5.3;500;6.67;-20.51;44.25;ESTAVEL;2022-07-08 16:00:00;stocks;6.48;-18.25;6.48;-18.25
1657544400000;HETA4.SA;5.16;5.23;5.16;5.23;5.23;300;6.65;-21.38;43.3;ESTAVEL;2022-07-11 13:00:00;stocks;6.47;-19.15;6.47;-19.15
1657630800000;HETA4.SA;5.25;5.25;5.25;5.25;5.25;0;6.64;-20.92;43.67;ESTAVEL;2022-07-12 13:00:00;stocks;6.46;-18.67;6.46;-18.67
1657717200000;HETA4.SA;5.25;5.25;5.25;5.25;5.25;0;6.62;-20.75;43.67;ESTAVEL;2022-07-13 13:00:00;stocks;6.44;-18.51;6.44;-18.51
1657897200000;HETA4.SA;5.1;5.1;5.1;5.1;5.1;0;6.61;-22.83;41.32;ESTAVEL;2022-07-15 15:00:00;stocks;6.43;-20.65;6.43;-20.65
1658149200000;HETA4.SA;5.36;5.36;5.36;5.36;5.36;0;6.6;-18.74;46.68;ESTAVEL;2022-07-18 13:00:00;stocks;6.42;-16.45;6.42;-16.45
1658160000000;HETA4.SA;5.3;5.3;5.3;5.3;5.3;100;6.58;-19.49;45.64;ESTAVEL;2022-07-18 16:00:00;stocks;6.4;-17.23;6.4;-17.23
1658163600000;HETA4.SA;5.3;5.3;5.3;5.3;5.3;100;6.57;-19.34;45.64;ESTAVEL;2022-07-18 17:00:00;stocks;6.39;-17.07;6.39;-17.07
1658242800000;HETA4.SA;5.3;5.3;5.3;5.3;5.3;0;6.56;-19.18;45.64;ESTAVEL;2022-07-19 15:00:00;stocks;6.38;-16.91;6.38;-16.91
1658322000000;HETA4.SA;5.38;5.38;5.38;5.38;5.38;0;6.55;-17.81;47.58;ESTAVEL;2022-07-20 13:00:00;stocks;6.37;-15.51;6.37;-15.51
1658325600000;HETA4.SA;5.38;5.38;5.38;5.38;5.38;100;6.53;-17.66;47.58;ESTAVEL;2022-07-20 14:00:00;stocks;6.36;-15.37;6.36;-15.37
1658340000000;HETA4.SA;5.09;5.09;5.03;5.03;5.03;1000;6.52;-22.84;40.29;ESTAVEL;2022-07-20 18:00:00;stocks;6.34;-20.69;6.34;-20.69
1658754000000;HETA4.SA;5.25;5.25;5.25;5.25;5.25;0;6.51;-19.31;45.9;ESTAVEL;2022-07-25 13:00:00;stocks;6.33;-17.07;6.33;-17.07
1658772000000;HETA4.SA;5.25;5.34;5.25;5.34;5.34;300;6.49;-17.77;48.05;ESTAVEL;2022-07-25 18:00:00;stocks;6.32;-15.5;6.32;-15.5
1658775600000;HETA4.SA;5.34;5.34;5.34;5.34;5.34;100;6.48;-17.63;48.05;ESTAVEL;2022-07-25 19:00:00;stocks;6.31;-15.36;6.31;-15.36
1658840400000;HETA4.SA;5.15;5.15;5.15;5.15;5.15;0;6.47;-20.39;43.79;ESTAVEL;2022-07-26 13:00:00;stocks;6.3;-18.2;6.3;-18.2
1658847600000;HETA4.SA;5.21;5.21;5.21;5.21;5.21;100;6.46;-19.31;45.44;ESTAVEL;2022-07-26 15:00:00;stocks;6.28;-17.09;6.28;-17.09
1659110400000;HETA4.SA;5.34;5.34;5.34;5.34;5.34;0;6.45;-17.15;48.92;ESTAVEL;2022-07-29 16:00:00;stocks;6.27;-14.89;6.27;-14.89
1659538800000;HETA4.SA;5.32;5.32;5.32;5.32;5.32;0;6.43;-17.31;48.41;ESTAVEL;2022-08-03 15:00:00;stocks;6.26;-15.06;6.26;-15.06
