open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;HGFF11.SA;71.01;72.0;70.56;71.98;71.98;2932;73.54;-2.12;60.21;ESTAVEL;2022-02-22 14:00:00;fii;73.52;-2.09;73.52;-2.09
1645542000000;HGFF11.SA;71.98;71.99;70.56;70.91;70.91;1561;73.51;-3.54;40.08;ESTAVEL;2022-02-22 15:00:00;fii;73.49;-3.5;73.49;-3.5
1645545600000;HGFF11.SA;71.1;71.1;71.02;71.03;71.03;25;73.49;-3.34;42.4;ESTAVEL;2022-02-22 16:00:00;fii;73.46;-3.3;73.46;-3.3
1645549200000;HGFF11.SA;71.03;71.08;71.03;71.06;71.06;85;73.46;-3.27;43.0;ESTAVEL;2022-02-22 17:00:00;fii;73.43;-3.23;73.43;-3.23
1645552800000;HGFF11.SA;71.06;71.32;71.06;71.06;71.06;327;73.44;-3.24;43.0;ESTAVEL;2022-02-22 18:00:00;fii;73.4;-3.19;73.4;-3.19
1645556400000;HGFF11.SA;71.07;71.07;70.56;70.78;70.78;321;73.41;-3.58;38.67;ESTAVEL;2022-02-22 19:00:00;fii;73.37;-3.53;73.37;-3.53
1645621200000;HGFF11.SA;71.0;71.0;70.55;70.8;70.8;0;73.39;-3.52;39.14;ESTAVEL;2022-02-23 13:00:00;fii;73.34;-3.47;73.34;-3.47
1645624800000;HGFF11.SA;70.8;70.9;70.65;70.7;70.7;245;73.36;-3.62;37.58;ESTAVEL;2022-02-23 14:00:00;fii;73.31;-3.56;73.31;-3.56
1645628400000;HGFF11.SA;70.7;70.8;70.67;70.8;70.8;337;73.33;-3.45;40.15;ESTAVEL;2022-02-23 15:00:00;fii;73.28;-3.39;73.28;-3.39
1645632000000;HGFF11.SA;70.8;70.8;70.59;70.8;70.8;334;73.31;-3.42;40.15;ESTAVEL;2022-02-23 16:00:00;fii;73.26;-3.35;73.26;-3.35
1645635600000;HGFF11.SA;70.79;70.8;70.6;70.77;70.77;244;73.28;-3.43;39.58;ESTAVEL;2022-02-23 17:00:00;fii;73.23;-3.36;73.23;-3.36
1645639200000;HGFF11.SA;70.77;70.81;70.6;70.81;70.81;123;73.26;-3.34;40.78;ESTAVEL;2022-02-23 18:00:00;fii;73.2;-3.27;73.2;-3.27
1645642800000;HGFF11.SA;70.81;70.81;70.55;70.8;70.8;547;73.23;-3.32;40.56;ESTAVEL;2022-02-23 19:00:00;fii;73.17;-3.24;73.17;-3.24
1645707600000;HGFF11.SA;70.7;71.75;70.55;70.72;70.72;0;73.21;-3.4;38.79;ESTAVEL;2022-02-24 13:00:00;fii;73.15;-3.32;73.15;-3.32
1645711200000;HGFF11.SA;70.56;70.72;70.55;70.72;70.72;278;73.18;-3.36;38.79;ESTAVEL;2022-02-24 14:00:00;fii;73.12;-3.28;73.12;-3.28
1645714800000;HGFF11.SA;70.72;70.72;70.7;70.72;70.72;88;73.16;-3.33;38.79;ESTAVEL;2022-02-24 15:00:00;fii;73.09;-3.24;73.09;-3.24
1645718400000;HGFF11.SA;70.72;70.72;70.55;70.55;70.55;292;73.13;-3.53;34.76;ESTAVEL;2022-02-24 16:00:00;fii;73.06;-3.44;73.06;-3.44
1645722000000;HGFF11.SA;70.57;70.67;70.55;70.55;70.55;763;73.1;-3.49;34.76;ESTAVEL;2022-02-24 17:00:00;fii;73.03;-3.4;73.03;-3.4
1645725600000;HGFF11.SA;70.55;70.9;70.55;70.56;70.56;2406;73.08;-3.44;35.21;ESTAVEL;2022-02-24 18:00:00;fii;73.01;-3.35;73.01;-3.35
1645729200000;HGFF11.SA;70.87;71.35;70.87;71.32;71.32;496;73.06;-2.38;58.9;ESTAVEL;2022-02-24 19:00:00;fii;72.99;-2.29;72.99;-2.29
1645794000000;HGFF11.SA;69.94;71.69;69.94;70.38;70.38;0;73.03;-3.63;39.61;ESTAVEL;2022-02-25 13:00:00;fii;72.96;-3.53;72.96;-3.53
