open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1653933600000;HOOT4.SA;2.36;2.36;2.36;2.36;2.36;100;2.45;-3.78;49.27;ESTAVEL;2022-05-30 18:00:00;stocks;2.41;-2.06;2.41;-2.06
1653937200000;HOOT4.SA;2.38;2.39;2.37;2.37;2.37;500;2.45;-3.34;50.1;ESTAVEL;2022-05-30 19:00:00;stocks;2.41;-1.63;2.41;-1.63
1654016400000;HOOT4.SA;2.36;2.36;2.36;2.36;2.36;300;2.45;-3.71;49.24;ESTAVEL;2022-05-31 17:00:00;stocks;2.41;-2.02;2.41;-2.02
1654020000000;HOOT4.SA;2.36;2.36;2.36;2.36;2.36;400;2.45;-3.67;49.24;ESTAVEL;2022-05-31 18:00:00;stocks;2.41;-2.0;2.41;-2.0
1654023600000;HOOT4.SA;2.36;2.37;2.36;2.37;2.37;1600;2.45;-3.23;50.23;ESTAVEL;2022-05-31 19:00:00;stocks;2.41;-1.56;2.41;-1.56
1654099200000;HOOT4.SA;2.31;2.31;2.28;2.28;2.28;500;2.45;-6.84;42.2;ESTAVEL;2022-06-01 16:00:00;stocks;2.41;-5.25;2.41;-5.25
1654106400000;HOOT4.SA;2.24;2.26;2.16;2.23;2.23;10100;2.45;-8.8;38.51;ESTAVEL;2022-06-01 18:00:00;stocks;2.4;-7.25;2.4;-7.25
1654110000000;HOOT4.SA;2.25;2.28;2.15;2.15;2.15;16400;2.44;-11.97;33.48;ESTAVEL;2022-06-01 19:00:00;stocks;2.4;-10.47;2.4;-10.47
1654174800000;HOOT4.SA;2.2;2.35;2.2;2.3;2.3;0;2.44;-5.77;47.38;ESTAVEL;2022-06-02 13:00:00;stocks;2.4;-4.17;2.4;-4.17
1654178400000;HOOT4.SA;2.32;2.32;2.27;2.27;2.27;800;2.44;-6.93;45.34;ESTAVEL;2022-06-02 14:00:00;stocks;2.4;-5.36;2.4;-5.36
1654185600000;HOOT4.SA;2.27;2.27;2.27;2.27;2.27;100;2.44;-6.87;45.34;ESTAVEL;2022-06-02 16:00:00;stocks;2.4;-5.31;2.4;-5.31
1654189200000;HOOT4.SA;2.27;2.27;2.27;2.27;2.27;1400;2.44;-6.8;45.34;ESTAVEL;2022-06-02 17:00:00;stocks;2.4;-5.25;2.4;-5.25
1654192800000;HOOT4.SA;2.27;2.34;2.27;2.28;2.28;5400;2.43;-6.33;46.3;ESTAVEL;2022-06-02 18:00:00;stocks;2.39;-4.78;2.39;-4.78
1654196400000;HOOT4.SA;2.28;2.38;2.26;2.38;2.38;9900;2.43;-2.2;54.86;ESTAVEL;2022-06-02 19:00:00;stocks;2.39;-0.6;2.39;-0.6
1654264800000;HOOT4.SA;2.37;2.37;2.33;2.33;2.33;300;2.43;-4.21;50.52;ESTAVEL;2022-06-03 14:00:00;stocks;2.39;-2.66;2.39;-2.66
1654268400000;HOOT4.SA;2.26;2.3;2.24;2.24;2.24;700;2.43;-7.84;43.81;ESTAVEL;2022-06-03 15:00:00;stocks;2.39;-6.35;2.39;-6.35
1654272000000;HOOT4.SA;2.24;2.35;2.23;2.35;2.35;4200;2.43;-3.28;52.17;ESTAVEL;2022-06-03 16:00:00;stocks;2.39;-1.73;2.39;-1.73
1654275600000;HOOT4.SA;2.21;2.21;2.21;2.21;2.21;2000;2.43;-8.96;43.33;ESTAVEL;2022-06-03 17:00:00;stocks;2.39;-7.51;2.39;-7.51
1654282800000;HOOT4.SA;2.34;2.35;2.34;2.35;2.35;500;2.43;-3.16;52.08;ESTAVEL;2022-06-03 19:00:00;stocks;2.39;-1.63;2.39;-1.63
1654531200000;HOOT4.SA;2.27;2.3;2.27;2.29;2.29;300;2.43;-5.58;48.62;ESTAVEL;2022-06-06 16:00:00;stocks;2.39;-4.1;2.39;-4.1
1654534800000;HOOT4.SA;2.28;2.28;2.28;2.28;2.28;200;2.42;-5.94;48.04;ESTAVEL;2022-06-06 17:00:00;stocks;2.39;-4.47;2.39;-4.47
1654542000000;HOOT4.SA;2.27;2.27;2.26;2.26;2.26;200;2.42;-6.7;46.85;ESTAVEL;2022-06-06 19:00:00;stocks;2.39;-5.25;2.39;-5.25
1654614000000;HOOT4.SA;2.25;2.28;2.25;2.28;2.28;0;2.42;-5.82;48.23;ESTAVEL;2022-06-07 15:00:00;stocks;2.38;-4.36;2.38;-4.36
1654621200000;HOOT4.SA;2.25;2.25;2.25;2.25;2.25;200;2.42;-6.99;46.29;ESTAVEL;2022-06-07 17:00:00;stocks;2.38;-5.56;2.38;-5.56
