open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1684328400000;HSRE11.SA;102.5;102.5;98.0;98.0;98.0;52;101.74;-3.68;23.92;SUBIR;2023-05-17 13:00:00;fii;102.01;-3.93;102.01;-3.93
1684332000000;HSRE11.SA;102.7;102.7;102.7;102.7;102.7;2;101.75;0.93;51.77;ESTAVEL;2023-05-17 14:00:00;fii;102.02;0.67;102.02;0.67
1684339200000;HSRE11.SA;102.7;102.7;102.7;102.7;102.7;5;101.76;0.93;51.77;ESTAVEL;2023-05-17 16:00:00;fii;102.03;0.66;102.03;0.66
1684760400000;HSRE11.SA;102.7;102.7;102.7;102.7;102.7;0;101.77;0.92;51.77;ESTAVEL;2023-05-22 13:00:00;fii;102.03;0.65;102.03;0.65
1684767600000;HSRE11.SA;102.7;102.7;102.7;102.7;102.7;1;101.78;0.91;51.77;ESTAVEL;2023-05-22 15:00:00;fii;102.04;0.65;102.04;0.65
1685026800000;HSRE11.SA;102.7;102.7;102.7;102.7;102.7;0;101.79;0.9;51.77;ESTAVEL;2023-05-25 15:00:00;fii;102.05;0.64;102.05;0.64
1685106000000;HSRE11.SA;102.7;102.7;102.7;102.7;102.7;0;101.8;0.89;51.77;ESTAVEL;2023-05-26 13:00:00;fii;102.06;0.63;102.06;0.63
1685109600000;HSRE11.SA;102.7;102.7;102.7;102.7;102.7;2;101.81;0.88;51.77;ESTAVEL;2023-05-26 14:00:00;fii;102.06;0.62;102.06;0.62
1685970000000;HSRE11.SA;102.06;102.06;102.06;102.06;102.06;0;101.81;0.25;47.77;ESTAVEL;2023-06-05 13:00:00;fii;102.06;-0.0;102.06;-0.0
1685977200000;HSRE11.SA;102.06;102.06;102.06;102.06;102.06;9;101.81;0.25;47.77;ESTAVEL;2023-06-05 15:00:00;fii;102.06;-0.0;102.06;-0.0
1685980800000;HSRE11.SA;102.06;102.7;102.06;102.06;102.06;1;101.81;0.24;47.77;ESTAVEL;2023-06-05 16:00:00;fii;102.06;-0.0;102.06;-0.0
1686060000000;HSRE11.SA;103.0;103.0;103.0;103.0;103.0;9;101.82;1.15;54.25;ESTAVEL;2023-06-06 14:00:00;fii;102.07;0.91;102.07;0.91
1686153600000;HSRE11.SA;103.0;103.0;103.0;103.0;103.0;10;101.84;1.14;54.25;ESTAVEL;2023-06-07 16:00:00;fii;102.08;0.9;102.08;0.9
1686319200000;HSRE11.SA;100.62;100.62;100.3;100.3;100.3;112;101.82;-1.49;38.38;ESTAVEL;2023-06-09 14:00:00;fii;102.06;-1.73;102.06;-1.73
1686330000000;HSRE11.SA;100.3;103.0;100.3;103.0;103.0;192;101.83;1.15;53.14;ESTAVEL;2023-06-09 17:00:00;fii;102.08;0.91;102.08;0.91
1686574800000;HSRE11.SA;103.0;103.0;103.0;103.0;103.0;0;101.84;1.13;53.14;ESTAVEL;2023-06-12 13:00:00;fii;102.09;0.9;102.09;0.9
1686661200000;HSRE11.SA;100.32;100.32;100.23;100.23;100.23;28;101.83;-1.57;41.35;ESTAVEL;2023-06-13 13:00:00;fii;102.06;-1.8;102.06;-1.8
1686747600000;HSRE11.SA;103.0;103.0;103.0;103.0;103.0;0;101.84;1.14;52.66;ESTAVEL;2023-06-14 13:00:00;fii;102.08;0.91;102.08;0.91
1686765600000;HSRE11.SA;103.0;103.0;103.0;103.0;103.0;53;101.85;1.13;52.66;ESTAVEL;2023-06-14 18:00:00;fii;102.09;0.9;102.09;0.9
1686769200000;HSRE11.SA;103.0;103.0;103.0;103.0;103.0;62;101.86;1.12;52.66;ESTAVEL;2023-06-14 19:00:00;fii;102.1;0.89;102.1;0.89
1686834000000;HSRE11.SA;102.99;102.99;102.99;102.99;102.99;0;101.88;1.09;52.62;ESTAVEL;2023-06-15 13:00:00;fii;102.11;0.87;102.11;0.87
1686852000000;HSRE11.SA;100.0;100.0;100.0;100.0;100.0;4;101.86;-1.82;41.12;ESTAVEL;2023-06-15 18:00:00;fii;102.08;-2.04;102.08;-2.04
1686855600000;HSRE11.SA;103.0;103.0;103.0;103.0;103.0;0;101.87;1.11;52.37;ESTAVEL;2023-06-15 19:00:00;fii;102.09;0.89;102.09;0.89
1686920400000;HSRE11.SA;103.0;103.0;103.0;103.0;103.0;0;101.88;1.1;52.37;ESTAVEL;2023-06-16 13:00:00;fii;102.1;0.88;102.1;0.88
1686934800000;HSRE11.SA;103.0;103.0;103.0;103.0;103.0;4;101.89;1.09;52.37;ESTAVEL;2023-06-16 17:00:00;fii;102.11;0.87;102.11;0.87
1686942000000;HSRE11.SA;103.0;103.0;103.0;103.0;103.0;13;101.9;1.08;52.37;ESTAVEL;2023-06-16 19:00:00;fii;102.12;0.86;102.12;0.86
1687179600000;HSRE11.SA;99.96;99.96;99.43;99.43;99.43;0;101.88;-2.4;40.1;ESTAVEL;2023-06-19 13:00:00;fii;102.09;-2.61;102.09;-2.61
1687190400000;HSRE11.SA;102.99;102.99;102.99;102.99;102.99;3;101.89;1.08;52.14;ESTAVEL;2023-06-19 16:00:00;fii;102.1;0.87;102.1;0.87
1687197600000;HSRE11.SA;102.97;102.97;102.97;102.97;102.97;805;101.9;1.05;52.08;ESTAVEL;2023-06-19 18:00:00;fii;102.11;0.84;102.11;0.84
1687446000000;HSRE11.SA;103.0;103.0;103.0;103.0;103.0;0;101.91;1.07;52.17;ESTAVEL;2023-06-22 15:00:00;fii;102.12;0.86;102.12;0.86
1687795200000;HSRE11.SA;104.24;104.24;104.24;104.24;104.24;0;101.93;2.26;56.0;ESTAVEL;2023-06-26 16:00:00;fii;102.15;2.05;102.15;2.05
1687870800000;HSRE11.SA;104.24;104.24;104.24;104.24;104.24;20;101.96;2.24;56.0;ESTAVEL;2023-06-27 13:00:00;fii;102.17;2.03;102.17;2.03
1687878000000;HSRE11.SA;104.23;104.23;104.23;104.23;104.23;1;101.98;2.21;55.96;ESTAVEL;2023-06-27 15:00:00;fii;102.19;2.0;102.19;2.0
1687885200000;HSRE11.SA;101.28;104.23;101.28;104.23;104.23;3;102.0;2.18;55.96;ESTAVEL;2023-06-27 17:00:00;fii;102.21;1.97;102.21;1.97
1687978800000;HSRE11.SA;104.22;104.22;104.22;104.22;104.22;0;102.02;2.15;55.91;ESTAVEL;2023-06-28 19:00:00;fii;102.24;1.94;102.24;1.94
1688058000000;HSRE11.SA;104.24;104.24;104.24;104.24;104.24;443999;102.05;2.15;56.0;ESTAVEL;2023-06-29 17:00:00;fii;102.26;1.94;102.26;1.94
1688061600000;HSRE11.SA;104.24;104.24;104.24;104.24;104.24;10;102.07;2.13;56.0;ESTAVEL;2023-06-29 18:00:00;fii;102.28;1.92;102.28;1.92
1688482800000;HSRE11.SA;103.6;103.6;103.6;103.6;103.6;0;102.08;1.48;52.37;ESTAVEL;2023-07-04 15:00:00;fii;102.29;1.28;102.29;1.28
1688490000000;HSRE11.SA;103.6;103.6;103.6;103.6;103.6;2;102.1;1.47;52.37;ESTAVEL;2023-07-04 17:00:00;fii;102.31;1.26;102.31;1.26
1688497200000;HSRE11.SA;103.6;104.24;103.4;104.24;104.24;29000;102.12;2.07;55.7;ESTAVEL;2023-07-04 19:00:00;fii;102.33;1.87;102.33;1.87
1688997600000;HSRE11.SA;103.4;103.4;103.4;103.4;103.4;0;102.13;1.24;50.69;ESTAVEL;2023-07-10 14:00:00;fii;102.34;1.03;102.34;1.03
1689001200000;HSRE11.SA;102.57;102.57;102.57;102.57;102.57;1;102.14;0.42;46.26;ESTAVEL;2023-07-10 15:00:00;fii;102.34;0.22;102.34;0.22
1689008400000;HSRE11.SA;102.57;102.57;102.57;102.57;102.57;3;102.14;0.42;46.26;ESTAVEL;2023-07-10 17:00:00;fii;102.35;0.22;102.35;0.22
1689098400000;HSRE11.SA;102.57;102.57;102.57;102.57;102.57;0;102.15;0.41;46.26;ESTAVEL;2023-07-11 18:00:00;fii;102.35;0.22;102.35;0.22
1689170400000;HSRE11.SA;102.56;102.56;102.56;102.56;102.56;2;102.15;0.4;46.2;ESTAVEL;2023-07-12 14:00:00;fii;102.35;0.2;102.35;0.2
1689174000000;HSRE11.SA;102.56;102.56;102.56;102.56;102.56;11;102.16;0.4;46.2;ESTAVEL;2023-07-12 15:00:00;fii;102.35;0.2;102.35;0.2
1689181200000;HSRE11.SA;102.56;102.56;102.56;102.56;102.56;0;102.16;0.39;46.2;ESTAVEL;2023-07-12 17:00:00;fii;102.36;0.2;102.36;0.2
1689188400000;HSRE11.SA;102.56;102.56;102.56;102.56;102.56;26;102.16;0.39;46.2;ESTAVEL;2023-07-12 19:00:00;fii;102.36;0.2;102.36;0.2
1689256800000;HSRE11.SA;102.56;102.56;102.56;102.56;102.56;0;102.17;0.38;46.2;ESTAVEL;2023-07-13 14:00:00;fii;102.36;0.2;102.36;0.2
1689271200000;HSRE11.SA;102.56;102.56;102.56;102.56;102.56;1;102.17;0.38;46.2;ESTAVEL;2023-07-13 18:00:00;fii;102.36;0.19;102.36;0.19
1689357600000;HSRE11.SA;102.56;102.56;102.56;102.56;102.56;0;102.18;0.38;46.2;ESTAVEL;2023-07-14 18:00:00;fii;102.36;0.19;102.36;0.19
1689685200000;HSRE11.SA;102.56;102.56;102.56;102.56;102.56;0;102.18;0.37;46.2;ESTAVEL;2023-07-18 13:00:00;fii;102.37;0.19;102.37;0.19
1689692400000;HSRE11.SA;102.56;102.56;102.56;102.56;102.56;11;102.18;0.37;46.2;ESTAVEL;2023-07-18 15:00:00;fii;102.37;0.19;102.37;0.19
1689699600000;HSRE11.SA;102.56;102.56;102.56;102.56;102.56;0;102.19;0.36;46.2;ESTAVEL;2023-07-18 17:00:00;fii;102.37;0.19;102.37;0.19
1689706800000;HSRE11.SA;102.56;102.56;102.56;102.56;102.56;13;102.19;0.36;46.2;ESTAVEL;2023-07-18 19:00:00;fii;102.37;0.18;102.37;0.18
1689786000000;HSRE11.SA;102.56;102.56;102.56;102.56;102.56;0;102.19;0.36;46.2;ESTAVEL;2023-07-19 17:00:00;fii;102.37;0.18;102.37;0.18
1689876000000;HSRE11.SA;100.0;102.56;100.0;102.56;102.56;41;102.2;0.35;46.2;ESTAVEL;2023-07-20 18:00:00;fii;102.38;0.18;102.38;0.18
1690207200000;HSRE11.SA;101.33;102.56;101.33;102.56;102.56;0;102.2;0.35;46.2;ESTAVEL;2023-07-24 14:00:00;fii;102.38;0.18;102.38;0.18
1690225200000;HSRE11.SA;102.56;102.56;102.56;102.56;102.56;1;102.21;0.35;46.2;ESTAVEL;2023-07-24 19:00:00;fii;102.38;0.18;102.38;0.18
1690290000000;HSRE11.SA;102.56;102.56;102.56;102.56;102.56;0;102.21;0.34;46.2;ESTAVEL;2023-07-25 13:00:00;fii;102.38;0.17;102.38;0.17
1690293600000;HSRE11.SA;102.5;102.56;102.5;102.56;102.56;3;102.21;0.34;46.2;ESTAVEL;2023-07-25 14:00:00;fii;102.38;0.17;102.38;0.17
1690311600000;HSRE11.SA;102.56;102.56;102.56;102.56;102.56;1;102.22;0.34;46.2;ESTAVEL;2023-07-25 19:00:00;fii;102.39;0.17;102.39;0.17
1690394400000;HSRE11.SA;102.56;102.56;102.56;102.56;102.56;0;102.22;0.33;46.2;ESTAVEL;2023-07-26 18:00:00;fii;102.39;0.17;102.39;0.17
1690466400000;HSRE11.SA;102.56;102.56;102.56;102.56;102.56;3;102.22;0.33;46.2;ESTAVEL;2023-07-27 14:00:00;fii;102.39;0.17;102.39;0.17
1690484400000;HSRE11.SA;102.56;102.56;102.56;102.56;102.56;1;102.23;0.33;46.2;ESTAVEL;2023-07-27 19:00:00;fii;102.39;0.16;102.39;0.16
1690567200000;HSRE11.SA;102.56;102.56;102.56;102.56;102.56;92919;102.23;0.32;46.2;ESTAVEL;2023-07-28 18:00:00;fii;102.39;0.16;102.39;0.16
1690808400000;HSRE11.SA;104.0;104.0;104.0;104.0;104.0;0;102.25;1.71;72.62;CAIR;2023-07-31 13:00:00;fii;102.41;1.55;102.41;1.55
1690812000000;HSRE11.SA;104.0;104.0;104.0;104.0;104.0;5;102.26;1.7;72.62;CAIR;2023-07-31 14:00:00;fii;102.43;1.53;102.43;1.53
1690912800000;HSRE11.SA;103.4;104.0;103.4;103.4;103.4;0;102.28;1.1;58.69;ESTAVEL;2023-08-01 18:00:00;fii;102.44;0.94;102.44;0.94
1691067600000;HSRE11.SA;103.0;103.0;103.0;103.0;103.0;4;102.28;0.7;51.59;ESTAVEL;2023-08-03 13:00:00;fii;102.44;0.54;102.44;0.54
1691074800000;HSRE11.SA;103.0;103.0;103.0;103.0;103.0;1;102.29;0.69;51.59;ESTAVEL;2023-08-03 15:00:00;fii;102.45;0.54;102.45;0.54
1691078400000;HSRE11.SA;103.0;103.0;103.0;103.0;103.0;15;102.3;0.69;51.59;ESTAVEL;2023-08-03 16:00:00;fii;102.46;0.53;102.46;0.53
1691082000000;HSRE11.SA;97.02;97.02;97.02;97.02;97.02;5;102.24;-5.11;15.83;SUBIR;2023-08-03 17:00:00;fii;102.4;-5.25;102.4;-5.25
1691085600000;HSRE11.SA;109.99;109.99;103.4;103.4;103.4;6;102.26;1.12;53.15;ESTAVEL;2023-08-03 18:00:00;fii;102.41;0.97;102.41;0.97
1691503200000;HSRE11.SA;103.4;103.4;103.4;103.4;103.4;0;102.27;1.11;53.15;ESTAVEL;2023-08-08 14:00:00;fii;102.42;0.96;102.42;0.96
1691517600000;HSRE11.SA;103.4;103.4;103.4;103.4;103.4;0;102.28;1.1;53.15;ESTAVEL;2023-08-08 18:00:00;fii;102.43;0.95;102.43;0.95
1691600400000;HSRE11.SA;102.27;103.4;102.27;103.4;103.4;3;102.29;1.08;53.15;ESTAVEL;2023-08-09 17:00:00;fii;102.44;0.94;102.44;0.94
1691672400000;HSRE11.SA;103.4;103.4;103.4;103.4;103.4;0;102.3;1.07;53.15;ESTAVEL;2023-08-10 13:00:00;fii;102.45;0.93;102.45;0.93
1691676000000;HSRE11.SA;103.4;103.78;103.4;103.78;103.78;9;102.32;1.43;54.87;ESTAVEL;2023-08-10 14:00:00;fii;102.46;1.28;102.46;1.28
1691679600000;HSRE11.SA;104.99;104.99;104.99;104.99;104.99;1;102.34;2.59;59.93;ESTAVEL;2023-08-10 15:00:00;fii;102.49;2.44;102.49;2.44
1691690400000;HSRE11.SA;103.73;103.73;103.73;103.73;103.73;2;102.36;1.34;53.24;ESTAVEL;2023-08-10 18:00:00;fii;102.5;1.2;102.5;1.2
1691776800000;HSRE11.SA;102.27;102.27;102.27;102.27;102.27;0;102.36;-0.08;46.72;ESTAVEL;2023-08-11 18:00:00;fii;102.5;-0.23;102.5;-0.23
1691780400000;HSRE11.SA;102.0;103.73;102.0;103.73;103.73;15520;102.37;1.33;52.93;ESTAVEL;2023-08-11 19:00:00;fii;102.51;1.19;102.51;1.19
1692032400000;HSRE11.SA;103.73;103.73;103.73;103.73;103.73;1;102.38;1.31;52.93;ESTAVEL;2023-08-14 17:00:00;fii;102.53;1.17;102.53;1.17
1692198000000;HSRE11.SA;103.73;103.73;103.73;103.73;103.73;0;102.4;1.3;52.93;ESTAVEL;2023-08-16 15:00:00;fii;102.54;1.16;102.54;1.16
1692201600000;HSRE11.SA;103.01;103.01;103.01;103.01;103.01;6;102.4;0.59;49.38;ESTAVEL;2023-08-16 16:00:00;fii;102.55;0.45;102.55;0.45
1692205200000;HSRE11.SA;103.0;103.0;103.0;103.0;103.0;5;102.41;0.58;49.33;ESTAVEL;2023-08-16 17:00:00;fii;102.55;0.44;102.55;0.44
1692208800000;HSRE11.SA;103.0;103.0;103.0;103.0;103.0;10;102.42;0.57;49.33;ESTAVEL;2023-08-16 18:00:00;fii;102.55;0.43;102.55;0.43
1692367200000;HSRE11.SA;101.76;101.76;101.76;101.76;101.76;0;102.41;-0.63;43.13;ESTAVEL;2023-08-18 14:00:00;fii;102.55;-0.77;102.55;-0.77
1692370800000;HSRE11.SA;101.76;101.76;101.76;101.76;101.76;1;102.4;-0.63;43.13;ESTAVEL;2023-08-18 15:00:00;fii;102.54;-0.76;102.54;-0.76
1692385200000;HSRE11.SA;101.0;103.01;101.0;103.01;103.01;39;102.41;0.59;50.42;ESTAVEL;2023-08-18 19:00:00;fii;102.54;0.46;102.54;0.46
1692622800000;HSRE11.SA;103.81;103.81;103.81;103.81;103.81;0;102.42;1.35;54.44;ESTAVEL;2023-08-21 13:00:00;fii;102.56;1.22;102.56;1.22
1692630000000;HSRE11.SA;106.99;106.99;106.99;106.99;106.99;0;102.47;4.41;66.19;ESTAVEL;2023-08-21 15:00:00;fii;102.6;4.28;102.6;4.28
1692716400000;HSRE11.SA;96.05;96.05;96.05;96.05;96.05;4;102.4;-6.2;33.85;ESTAVEL;2023-08-22 15:00:00;fii;102.53;-6.32;102.53;-6.32
1692720000000;HSRE11.SA;102.01;105.3;102.01;105.3;105.3;3;102.43;2.8;54.22;ESTAVEL;2023-08-22 16:00:00;fii;102.56;2.67;102.56;2.67
1692730800000;HSRE11.SA;102.01;104.0;102.01;104.0;104.0;6;102.45;1.51;51.8;ESTAVEL;2023-08-22 19:00:00;fii;102.58;1.39;102.58;1.39
1692795600000;HSRE11.SA;103.97;103.98;103.97;103.98;103.98;2;102.46;1.48;51.77;ESTAVEL;2023-08-23 13:00:00;fii;102.59;1.35;102.59;1.35
1692799200000;HSRE11.SA;103.97;103.97;103.97;103.97;103.97;15108;102.48;1.45;51.75;ESTAVEL;2023-08-23 14:00:00;fii;102.61;1.33;102.61;1.33
1692802800000;HSRE11.SA;102.01;102.01;102.01;102.01;102.01;1;102.47;-0.45;47.75;ESTAVEL;2023-08-23 15:00:00;fii;102.6;-0.58;102.6;-0.58
1692810000000;HSRE11.SA;102.01;102.01;102.01;102.01;102.01;1;102.47;-0.45;47.75;ESTAVEL;2023-08-23 17:00:00;fii;102.59;-0.57;102.59;-0.57
1693245600000;HSRE11.SA;103.98;103.98;103.98;103.98;103.98;0;102.48;1.46;52.07;ESTAVEL;2023-08-28 18:00:00;fii;102.61;1.34;102.61;1.34
1693314000000;HSRE11.SA;103.98;103.98;103.98;103.98;103.98;0;102.5;1.44;52.07;ESTAVEL;2023-08-29 13:00:00;fii;102.62;1.32;102.62;1.32
1693317600000;HSRE11.SA;103.98;103.99;103.98;103.99;103.99;11;102.51;1.44;52.09;ESTAVEL;2023-08-29 14:00:00;fii;102.64;1.32;102.64;1.32
1693328400000;HSRE11.SA;103.99;104.0;102.0;104.0;104.0;135;102.53;1.43;52.11;ESTAVEL;2023-08-29 17:00:00;fii;102.65;1.31;102.65;1.31
1693335600000;HSRE11.SA;103.99;103.99;103.99;103.99;103.99;80000;102.54;1.41;52.08;ESTAVEL;2023-08-29 19:00:00;fii;102.67;1.29;102.67;1.29
1693400400000;HSRE11.SA;101.91;101.91;101.91;101.91;101.91;0;102.54;-0.61;46.25;ESTAVEL;2023-08-30 13:00:00;fii;102.66;-0.73;102.66;-0.73
1693404000000;HSRE11.SA;109.0;109.0;109.0;109.0;109.0;1;102.6;6.24;61.91;ESTAVEL;2023-08-30 14:00:00;fii;102.72;6.11;102.72;6.11
1693504800000;HSRE11.SA;103.99;109.0;103.99;103.99;103.99;0;102.62;1.34;50.67;ESTAVEL;2023-08-31 18:00:00;fii;102.74;1.22;102.74;1.22
1693573200000;HSRE11.SA;100.97;100.97;100.97;100.97;100.97;1;102.6;-1.59;45.33;ESTAVEL;2023-09-01 13:00:00;fii;102.72;-1.7;102.72;-1.7
1693576800000;HSRE11.SA;100.97;100.97;100.86;100.86;100.86;11;102.58;-1.68;45.15;ESTAVEL;2023-09-01 14:00:00;fii;102.7;-1.79;102.7;-1.79
1693580400000;HSRE11.SA;100.86;100.86;100.86;100.86;100.86;1;102.57;-1.66;45.15;ESTAVEL;2023-09-01 15:00:00;fii;102.68;-1.77;102.68;-1.77
1693591200000;HSRE11.SA;102.67;103.99;102.67;102.67;102.67;7;102.57;0.1;49.14;ESTAVEL;2023-09-01 18:00:00;fii;102.68;-0.01;102.68;-0.01
1693846800000;HSRE11.SA;102.67;102.67;102.67;102.67;102.67;25700;102.57;0.1;49.14;ESTAVEL;2023-09-04 17:00:00;fii;102.68;-0.01;102.68;-0.01
1693918800000;HSRE11.SA;102.67;102.67;102.67;102.67;102.67;1;102.57;0.1;49.14;ESTAVEL;2023-09-05 13:00:00;fii;102.68;-0.01;102.68;-0.01
1694178000000;HSRE11.SA;102.67;102.67;102.67;102.67;102.67;0;102.57;0.1;49.14;ESTAVEL;2023-09-08 13:00:00;fii;102.68;-0.01;102.68;-0.01
1694181600000;HSRE11.SA;102.66;102.66;102.66;102.66;102.66;1;102.57;0.09;49.12;ESTAVEL;2023-09-08 14:00:00;fii;102.68;-0.02;102.68;-0.02
1694185200000;HSRE11.SA;102.67;102.67;102.66;102.66;102.66;5;102.57;0.09;49.12;ESTAVEL;2023-09-08 15:00:00;fii;102.68;-0.02;102.68;-0.02
1694192400000;HSRE11.SA;102.67;102.67;102.67;102.67;102.67;2;102.57;0.1;49.15;ESTAVEL;2023-09-08 17:00:00;fii;102.68;-0.01;102.68;-0.01
1694440800000;HSRE11.SA;100.67;100.67;100.63;100.63;100.63;7;102.55;-1.88;43.2;ESTAVEL;2023-09-11 14:00:00;fii;102.66;-1.98;102.66;-1.98
