open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1646319600000;IBCR11.SA;96.97;96.98;96.96;96.98;96.98;1228;96.44;0.56;60.75;ESTAVEL;2022-03-03 15:00:00;fii;96.53;0.47;96.53;0.47
1646323200000;IBCR11.SA;96.98;96.98;96.9;96.98;96.98;1823;96.45;0.55;60.75;ESTAVEL;2022-03-03 16:00:00;fii;96.53;0.47;96.53;0.47
1646326800000;IBCR11.SA;96.98;96.98;96.9;96.97;96.97;741;96.45;0.54;60.06;ESTAVEL;2022-03-03 17:00:00;fii;96.54;0.45;96.54;0.45
1646330400000;IBCR11.SA;96.96;96.97;96.89;96.9;96.9;954;96.46;0.46;55.36;ESTAVEL;2022-03-03 18:00:00;fii;96.54;0.37;96.54;0.37
1646334000000;IBCR11.SA;96.9;96.93;96.89;96.9;96.9;1321;96.46;0.45;55.36;ESTAVEL;2022-03-03 19:00:00;fii;96.54;0.37;96.54;0.37
1646398800000;IBCR11.SA;96.9;96.9;96.79;96.8;96.8;0;96.47;0.35;49.0;ESTAVEL;2022-03-04 13:00:00;fii;96.55;0.26;96.55;0.26
1646402400000;IBCR11.SA;96.8;96.8;96.79;96.8;96.8;2161;96.47;0.34;49.0;ESTAVEL;2022-03-04 14:00:00;fii;96.55;0.26;96.55;0.26
1646406000000;IBCR11.SA;96.8;96.8;96.79;96.8;96.8;1081;96.47;0.34;49.0;ESTAVEL;2022-03-04 15:00:00;fii;96.55;0.26;96.55;0.26
1646409600000;IBCR11.SA;96.8;96.9;96.8;96.9;96.9;231;96.48;0.44;55.4;ESTAVEL;2022-03-04 16:00:00;fii;96.56;0.36;96.56;0.36
1646413200000;IBCR11.SA;96.9;96.93;96.9;96.93;96.93;525;96.48;0.46;57.14;ESTAVEL;2022-03-04 17:00:00;fii;96.56;0.38;96.56;0.38
1646416800000;IBCR11.SA;96.93;96.94;96.93;96.94;96.94;536;96.49;0.47;57.73;ESTAVEL;2022-03-04 18:00:00;fii;96.57;0.39;96.57;0.39
1646420400000;IBCR11.SA;96.94;96.94;96.86;96.94;96.94;758;96.49;0.47;57.73;ESTAVEL;2022-03-04 19:00:00;fii;96.57;0.38;96.57;0.38
1646658000000;IBCR11.SA;96.94;97.78;96.91;97.77;97.77;0;96.5;1.31;81.83;CAIR;2022-03-07 13:00:00;fii;96.58;1.23;96.58;1.23
1646661600000;IBCR11.SA;97.75;97.76;97.13;97.58;97.58;284;96.51;1.1;71.75;CAIR;2022-03-07 14:00:00;fii;96.59;1.02;96.59;1.02
1646665200000;IBCR11.SA;97.58;97.58;97.19;97.2;97.2;757;96.52;0.7;56.7;ESTAVEL;2022-03-07 15:00:00;fii;96.6;0.62;96.6;0.62
1646668800000;IBCR11.SA;97.2;97.2;97.17;97.2;97.2;298;96.53;0.7;56.7;ESTAVEL;2022-03-07 16:00:00;fii;96.61;0.61;96.61;0.61
1646672400000;IBCR11.SA;97.19;97.19;97.05;97.13;97.13;359;96.53;0.62;54.26;ESTAVEL;2022-03-07 17:00:00;fii;96.61;0.53;96.61;0.53
1646676000000;IBCR11.SA;97.13;97.13;96.93;96.95;96.95;1284;96.54;0.43;48.5;ESTAVEL;2022-03-07 18:00:00;fii;96.62;0.34;96.62;0.34
1646679600000;IBCR11.SA;96.95;96.95;96.92;96.95;96.95;679;96.54;0.42;48.5;ESTAVEL;2022-03-07 19:00:00;fii;96.62;0.34;96.62;0.34
1646744400000;IBCR11.SA;97.13;97.38;96.89;97.1;97.1;513;96.55;0.57;53.29;ESTAVEL;2022-03-08 13:00:00;fii;96.63;0.49;96.63;0.49
1646748000000;IBCR11.SA;97.11;97.19;97.1;97.19;97.19;612;96.56;0.66;55.94;ESTAVEL;2022-03-08 14:00:00;fii;96.63;0.58;96.63;0.58
