open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645542000000;INEP4.SA;7.35;7.35;7.15;7.3;7.3;76800;7.12;2.56;56.14;ESTAVEL;2022-02-22 15:00:00;stocks;7.12;2.48;7.12;2.48
1645545600000;INEP4.SA;7.25;7.35;7.2;7.2;7.2;51100;7.12;1.14;52.48;ESTAVEL;2022-02-22 16:00:00;stocks;7.12;1.06;7.12;1.06
1645549200000;INEP4.SA;7.25;7.3;7.15;7.15;7.15;89800;7.12;0.44;50.71;ESTAVEL;2022-02-22 17:00:00;stocks;7.12;0.35;7.12;0.35
1645552800000;INEP4.SA;7.15;7.3;7.1;7.1;7.1;103200;7.12;-0.26;48.92;ESTAVEL;2022-02-22 18:00:00;stocks;7.12;-0.34;7.12;-0.34
1645556400000;INEP4.SA;7.1;7.25;7.1;7.2;7.2;123600;7.12;1.13;52.52;ESTAVEL;2022-02-22 19:00:00;stocks;7.13;1.05;7.13;1.05
1645621200000;INEP4.SA;7.35;7.85;7.25;7.65;7.65;0;7.12;7.37;64.61;ESTAVEL;2022-02-23 13:00:00;stocks;7.13;7.27;7.13;7.27
1645624800000;INEP4.SA;7.65;7.85;7.6;7.65;7.65;346000;7.13;7.29;64.61;ESTAVEL;2022-02-23 14:00:00;stocks;7.14;7.18;7.14;7.18
1645628400000;INEP4.SA;7.6;7.7;7.5;7.65;7.65;99400;7.14;7.21;64.61;ESTAVEL;2022-02-23 15:00:00;stocks;7.14;7.1;7.14;7.1
1645632000000;INEP4.SA;7.6;7.65;7.5;7.6;7.6;56200;7.14;6.44;62.41;ESTAVEL;2022-02-23 16:00:00;stocks;7.15;6.32;7.15;6.32
1645635600000;INEP4.SA;7.55;7.65;7.55;7.6;7.6;59200;7.14;6.37;62.41;ESTAVEL;2022-02-23 17:00:00;stocks;7.15;6.24;7.15;6.24
1645639200000;INEP4.SA;7.65;8.05;7.65;7.9;7.9;289000;7.15;10.45;69.62;ESTAVEL;2022-02-23 18:00:00;stocks;7.16;10.31;7.16;10.31
1645642800000;INEP4.SA;7.9;7.9;7.6;7.65;7.65;228000;7.16;6.88;59.39;ESTAVEL;2022-02-23 19:00:00;stocks;7.17;6.73;7.17;6.73
1645707600000;INEP4.SA;7.0;7.15;6.9;7.05;7.05;0;7.16;-1.49;43.04;ESTAVEL;2022-02-24 13:00:00;stocks;7.17;-1.62;7.17;-1.62
1645711200000;INEP4.SA;7.05;7.1;6.95;6.95;6.95;167000;7.15;-2.86;41.02;ESTAVEL;2022-02-24 14:00:00;stocks;7.16;-2.98;7.16;-2.98
1645714800000;INEP4.SA;6.95;7.2;6.95;7.15;7.15;263400;7.15;-0.06;46.45;ESTAVEL;2022-02-24 15:00:00;stocks;7.16;-0.19;7.16;-0.19
1645718400000;INEP4.SA;7.1;7.2;7.1;7.15;7.15;182300;7.15;-0.06;46.45;ESTAVEL;2022-02-24 16:00:00;stocks;7.16;-0.19;7.16;-0.19
1645722000000;INEP4.SA;7.2;7.2;7.05;7.05;7.05;77200;7.15;-1.44;44.09;ESTAVEL;2022-02-24 17:00:00;stocks;7.16;-1.56;7.16;-1.56
1645725600000;INEP4.SA;7.05;7.1;7.05;7.05;7.05;127600;7.15;-1.43;44.09;ESTAVEL;2022-02-24 18:00:00;stocks;7.16;-1.55;7.16;-1.55
1645729200000;INEP4.SA;7.1;7.3;7.1;7.2;7.2;68800;7.15;0.66;48.62;ESTAVEL;2022-02-24 19:00:00;stocks;7.16;0.54;7.16;0.54
1645794000000;INEP4.SA;7.4;7.4;7.2;7.25;7.25;0;7.15;1.35;50.08;ESTAVEL;2022-02-25 13:00:00;stocks;7.16;1.23;7.16;1.23
1645797600000;INEP4.SA;7.25;7.25;7.2;7.25;7.25;52100;7.15;1.33;50.08;ESTAVEL;2022-02-25 14:00:00;stocks;7.16;1.21;7.16;1.21
1645801200000;INEP4.SA;7.15;7.3;7.15;7.25;7.25;32100;7.16;1.32;50.08;ESTAVEL;2022-02-25 15:00:00;stocks;7.16;1.2;7.16;1.2
1645804800000;INEP4.SA;7.2;7.2;7.1;7.2;7.2;41200;7.16;0.61;48.37;ESTAVEL;2022-02-25 16:00:00;stocks;7.16;0.49;7.16;0.49
1645808400000;INEP4.SA;7.2;7.2;7.1;7.1;7.1;23300;7.16;-0.77;45.06;ESTAVEL;2022-02-25 17:00:00;stocks;7.16;-0.89;7.16;-0.89
1645812000000;INEP4.SA;7.15;7.25;7.15;7.25;7.25;88300;7.16;1.31;50.53;ESTAVEL;2022-02-25 18:00:00;stocks;7.16;1.19;7.16;1.19
1645815600000;INEP4.SA;7.25;7.3;7.15;7.15;7.15;86800;7.16;-0.09;47.16;ESTAVEL;2022-02-25 19:00:00;stocks;7.16;-0.2;7.16;-0.2
1646236800000;INEP4.SA;7.2;7.2;6.95;7.0;7.0;188400;7.15;-2.16;42.57;ESTAVEL;2022-03-02 16:00:00;stocks;7.16;-2.27;7.16;-2.27
1646240400000;INEP4.SA;7.0;7.15;6.95;7.1;7.1;87700;7.15;-0.76;46.32;ESTAVEL;2022-03-02 17:00:00;stocks;7.16;-0.87;7.16;-0.87
1646244000000;INEP4.SA;7.2;7.2;7.1;7.1;7.1;31200;7.15;-0.75;46.32;ESTAVEL;2022-03-02 18:00:00;stocks;7.16;-0.86;7.16;-0.86
1646247600000;INEP4.SA;7.1;7.15;7.1;7.15;7.15;25500;7.15;-0.05;48.28;ESTAVEL;2022-03-02 19:00:00;stocks;7.16;-0.16;7.16;-0.16
1646312400000;INEP4.SA;7.15;7.25;7.05;7.1;7.1;0;7.15;-0.74;46.45;ESTAVEL;2022-03-03 13:00:00;stocks;7.16;-0.85;7.16;-0.85
1646316000000;INEP4.SA;7.1;7.15;7.1;7.15;7.15;20900;7.15;-0.04;48.55;ESTAVEL;2022-03-03 14:00:00;stocks;7.16;-0.15;7.16;-0.15
1646319600000;INEP4.SA;7.15;7.15;7.1;7.1;7.1;12900;7.15;-0.73;46.58;ESTAVEL;2022-03-03 15:00:00;stocks;7.16;-0.84;7.16;-0.84
1646323200000;INEP4.SA;7.1;7.1;7.1;7.1;7.1;29100;7.15;-0.73;46.58;ESTAVEL;2022-03-03 16:00:00;stocks;7.16;-0.83;7.16;-0.83
1646326800000;INEP4.SA;7.1;7.2;7.1;7.15;7.15;63400;7.15;-0.03;48.98;ESTAVEL;2022-03-03 17:00:00;stocks;7.16;-0.13;7.16;-0.13
1646330400000;INEP4.SA;7.1;7.15;7.1;7.15;7.15;26900;7.15;-0.03;48.98;ESTAVEL;2022-03-03 18:00:00;stocks;7.16;-0.13;7.16;-0.13
1646334000000;INEP4.SA;7.1;7.15;7.05;7.15;7.15;55700;7.15;-0.03;48.98;ESTAVEL;2022-03-03 19:00:00;stocks;7.16;-0.12;7.16;-0.12
1646398800000;INEP4.SA;7.0;7.1;7.0;7.1;7.1;0;7.15;-0.72;46.38;ESTAVEL;2022-03-04 13:00:00;stocks;7.16;-0.81;7.16;-0.81
1646402400000;INEP4.SA;7.05;7.1;7.05;7.1;7.1;12200;7.15;-0.71;46.38;ESTAVEL;2022-03-04 14:00:00;stocks;7.16;-0.8;7.16;-0.8
1646406000000;INEP4.SA;7.0;7.1;6.95;6.95;6.95;76400;7.15;-2.78;39.17;ESTAVEL;2022-03-04 15:00:00;stocks;7.16;-2.87;7.16;-2.87
1646409600000;INEP4.SA;6.95;7.0;6.9;7.0;7.0;16200;7.15;-2.06;42.38;ESTAVEL;2022-03-04 16:00:00;stocks;7.15;-2.15;7.15;-2.15
1646413200000;INEP4.SA;7.0;7.05;6.9;7.0;7.0;52400;7.15;-2.04;42.38;ESTAVEL;2022-03-04 17:00:00;stocks;7.15;-2.12;7.15;-2.12
1646416800000;INEP4.SA;7.0;7.05;6.95;7.0;7.0;15500;7.14;-2.02;42.38;ESTAVEL;2022-03-04 18:00:00;stocks;7.15;-2.1;7.15;-2.1
