open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1647608400000;IRIM11.SA;110.17;110.39;110.17;110.39;110.39;0;111.32;-0.84;50.43;ESTAVEL;2022-03-18 13:00:00;fii;111.11;-0.65;111.11;-0.65
1647612000000;IRIM11.SA;110.39;110.45;110.37;110.44;110.44;264;111.31;-0.78;51.04;ESTAVEL;2022-03-18 14:00:00;fii;111.1;-0.59;111.1;-0.59
1647615600000;IRIM11.SA;110.43;110.45;110.37;110.45;110.45;202;111.3;-0.77;51.17;ESTAVEL;2022-03-18 15:00:00;fii;111.09;-0.58;111.09;-0.58
1647619200000;IRIM11.SA;110.44;110.44;110.4;110.4;110.4;48;111.29;-0.8;50.45;ESTAVEL;2022-03-18 16:00:00;fii;111.08;-0.62;111.08;-0.62
1647622800000;IRIM11.SA;110.37;110.45;110.37;110.45;110.45;159;111.29;-0.75;51.19;ESTAVEL;2022-03-18 17:00:00;fii;111.08;-0.57;111.08;-0.57
1647626400000;IRIM11.SA;110.45;113.49;110.44;112.8;112.8;698;111.3;1.35;72.23;CAIR;2022-03-18 18:00:00;fii;111.1;1.53;111.1;1.53
1647630000000;IRIM11.SA;112.75;112.75;110.65;111.98;111.98;20;111.31;0.6;62.16;ESTAVEL;2022-03-18 19:00:00;fii;111.11;0.79;111.11;0.79
1647867600000;IRIM11.SA;111.0;111.79;111.0;111.79;111.79;0;111.31;0.43;60.07;ESTAVEL;2022-03-21 13:00:00;fii;111.12;0.61;111.12;0.61
1647871200000;IRIM11.SA;111.74;111.77;111.74;111.77;111.77;149;111.32;0.41;59.84;ESTAVEL;2022-03-21 14:00:00;fii;111.12;0.58;111.12;0.58
1647874800000;IRIM11.SA;111.77;111.79;111.2;111.2;111.2;86;111.32;-0.1;53.6;ESTAVEL;2022-03-21 15:00:00;fii;111.12;0.07;111.12;0.07
1647878400000;IRIM11.SA;111.2;111.49;111.19;111.49;111.49;214;111.32;0.15;56.11;ESTAVEL;2022-03-21 16:00:00;fii;111.13;0.33;111.13;0.33
1647882000000;IRIM11.SA;111.3;111.48;111.3;111.48;111.48;59;111.32;0.14;56.0;ESTAVEL;2022-03-21 17:00:00;fii;111.13;0.31;111.13;0.31
1647885600000;IRIM11.SA;111.48;111.48;111.03;111.03;111.03;24;111.32;-0.26;51.04;ESTAVEL;2022-03-21 18:00:00;fii;111.13;-0.09;111.13;-0.09
1647889200000;IRIM11.SA;111.08;111.39;111.0;111.0;111.0;1021;111.31;-0.28;50.72;ESTAVEL;2022-03-21 19:00:00;fii;111.13;-0.12;111.13;-0.12
1647954000000;IRIM11.SA;111.3;111.3;111.3;111.3;111.3;0;111.31;-0.01;53.85;ESTAVEL;2022-03-22 13:00:00;fii;111.13;0.15;111.13;0.15
1647957600000;IRIM11.SA;111.31;111.48;111.31;111.48;111.48;52;111.32;0.15;55.68;ESTAVEL;2022-03-22 14:00:00;fii;111.13;0.31;111.13;0.31
1647961200000;IRIM11.SA;111.48;111.5;111.36;111.5;111.5;958;111.32;0.16;55.89;ESTAVEL;2022-03-22 15:00:00;fii;111.14;0.32;111.14;0.32
1647964800000;IRIM11.SA;111.5;112.0;111.36;112.0;112.0;169;111.32;0.61;60.85;ESTAVEL;2022-03-22 16:00:00;fii;111.15;0.77;111.15;0.77
1647968400000;IRIM11.SA;111.37;111.37;111.0;111.0;111.0;432;111.32;-0.29;48.98;ESTAVEL;2022-03-22 17:00:00;fii;111.15;-0.13;111.15;-0.13
