open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1655485200000;ITIT11.SA;71.8;71.8;71.8;71.8;71.8;33;71.09;0.99;47.37;ESTAVEL;2022-06-17 17:00:00;fii;71.25;0.78;71.25;0.78
1655488800000;ITIT11.SA;71.8;71.8;71.8;71.8;71.8;5;71.1;0.98;47.37;ESTAVEL;2022-06-17 18:00:00;fii;71.25;0.77;71.25;0.77
1655492400000;ITIT11.SA;71.8;71.8;71.8;71.8;71.8;14;71.11;0.97;47.37;ESTAVEL;2022-06-17 19:00:00;fii;71.26;0.76;71.26;0.76
1655730000000;ITIT11.SA;71.8;71.8;71.79;71.79;71.79;0;71.11;0.95;47.2;ESTAVEL;2022-06-20 13:00:00;fii;71.27;0.74;71.27;0.74
1655733600000;ITIT11.SA;71.62;71.79;71.62;71.79;71.79;14;71.12;0.94;47.2;ESTAVEL;2022-06-20 14:00:00;fii;71.27;0.73;71.27;0.73
1655737200000;ITIT11.SA;71.79;71.79;71.79;71.79;71.79;7;71.13;0.93;47.2;ESTAVEL;2022-06-20 15:00:00;fii;71.28;0.72;71.28;0.72
1655744400000;ITIT11.SA;71.78;71.79;71.78;71.78;71.78;217;71.13;0.91;46.99;ESTAVEL;2022-06-20 17:00:00;fii;71.28;0.7;71.28;0.7
1655748000000;ITIT11.SA;71.78;71.78;71.78;71.78;71.78;17;71.14;0.9;46.99;ESTAVEL;2022-06-20 18:00:00;fii;71.29;0.69;71.29;0.69
1655751600000;ITIT11.SA;71.62;71.8;71.6;71.8;71.8;280;71.15;0.92;47.54;ESTAVEL;2022-06-20 19:00:00;fii;71.3;0.71;71.3;0.71
1655816400000;ITIT11.SA;72.5;72.5;71.5;71.5;71.5;0;71.15;0.49;40.7;ESTAVEL;2022-06-21 13:00:00;fii;71.3;0.28;71.3;0.28
1655820000000;ITIT11.SA;71.48;71.52;71.25;71.35;71.35;697;71.15;0.28;37.78;ESTAVEL;2022-06-21 14:00:00;fii;71.3;0.07;71.3;0.07
1655823600000;ITIT11.SA;71.35;71.99;71.28;71.99;71.99;0;71.16;1.16;53.22;ESTAVEL;2022-06-21 15:00:00;fii;71.31;0.96;71.31;0.96
1655827200000;ITIT11.SA;71.26;72.12;71.26;72.12;72.12;430;71.17;1.33;55.63;ESTAVEL;2022-06-21 16:00:00;fii;71.32;1.13;71.32;1.13
1655830800000;ITIT11.SA;72.2;72.5;71.36;71.36;71.36;235;71.17;0.26;42.01;ESTAVEL;2022-06-21 17:00:00;fii;71.32;0.06;71.32;0.06
1655834400000;ITIT11.SA;71.36;72.24;71.36;72.24;72.24;26;71.18;1.48;55.58;ESTAVEL;2022-06-21 18:00:00;fii;71.33;1.28;71.33;1.28
1655838000000;ITIT11.SA;71.35;71.35;71.27;71.27;71.27;119;71.18;0.12;43.5;ESTAVEL;2022-06-21 19:00:00;fii;71.33;-0.08;71.33;-0.08
1655902800000;ITIT11.SA;72.48;72.48;71.75;71.75;71.75;0;71.19;0.79;49.36;ESTAVEL;2022-06-22 13:00:00;fii;71.33;0.59;71.33;0.59
1655906400000;ITIT11.SA;72.24;72.24;72.24;72.24;72.24;8;71.2;1.46;54.55;ESTAVEL;2022-06-22 14:00:00;fii;71.34;1.26;71.34;1.26
1655910000000;ITIT11.SA;71.76;72.24;71.76;72.24;72.24;27;71.21;1.44;54.55;ESTAVEL;2022-06-22 15:00:00;fii;71.35;1.25;71.35;1.25
1655913600000;ITIT11.SA;72.24;72.24;72.24;72.24;72.24;6;71.22;1.43;54.55;ESTAVEL;2022-06-22 16:00:00;fii;71.36;1.23;71.36;1.23
1655917200000;ITIT11.SA;72.24;72.24;71.26;72.24;72.24;1165;71.23;1.41;54.55;ESTAVEL;2022-06-22 17:00:00;fii;71.37;1.22;71.37;1.22
1655920800000;ITIT11.SA;72.22;72.22;72.22;72.22;72.22;5;71.24;1.37;54.24;ESTAVEL;2022-06-22 18:00:00;fii;71.38;1.18;71.38;1.18
1655924400000;ITIT11.SA;72.22;72.23;72.22;72.23;72.23;15;71.25;1.37;54.38;ESTAVEL;2022-06-22 19:00:00;fii;71.39;1.18;71.39;1.18
1655989200000;ITIT11.SA;72.0;72.0;72.0;72.0;72.0;0;71.26;1.04;50.62;ESTAVEL;2022-06-23 13:00:00;fii;71.4;0.85;71.4;0.85
1655992800000;ITIT11.SA;71.51;71.51;71.2;71.5;71.5;974;71.26;0.33;43.56;ESTAVEL;2022-06-23 14:00:00;fii;71.4;0.14;71.4;0.14
1656000000000;ITIT11.SA;71.5;71.99;71.5;71.99;71.99;151;71.27;1.01;50.8;ESTAVEL;2022-06-23 16:00:00;fii;71.4;0.82;71.4;0.82
1656007200000;ITIT11.SA;71.5;71.74;71.5;71.74;71.74;4;71.27;0.65;47.45;ESTAVEL;2022-06-23 18:00:00;fii;71.41;0.47;71.41;0.47
1656010800000;ITIT11.SA;71.51;72.19;71.5;72.19;72.19;77;71.28;1.27;53.4;ESTAVEL;2022-06-23 19:00:00;fii;71.42;1.08;71.42;1.08
1656075600000;ITIT11.SA;72.2;72.2;71.5;71.6;71.6;0;71.29;0.44;46.04;ESTAVEL;2022-06-24 13:00:00;fii;71.42;0.25;71.42;0.25
1656079200000;ITIT11.SA;71.6;71.6;71.5;71.5;71.5;118;71.29;0.3;44.91;ESTAVEL;2022-06-24 14:00:00;fii;71.42;0.11;71.42;0.11
1656082800000;ITIT11.SA;71.52;71.52;71.5;71.5;71.5;2;71.29;0.29;44.91;ESTAVEL;2022-06-24 15:00:00;fii;71.42;0.11;71.42;0.11
1656086400000;ITIT11.SA;71.5;71.5;71.4;71.5;71.5;31;71.29;0.29;44.91;ESTAVEL;2022-06-24 16:00:00;fii;71.42;0.11;71.42;0.11
1656090000000;ITIT11.SA;71.5;71.6;71.5;71.6;71.6;97;71.3;0.43;46.55;ESTAVEL;2022-06-24 17:00:00;fii;71.42;0.25;71.42;0.25
1656093600000;ITIT11.SA;71.59;71.6;71.59;71.6;71.6;305;71.3;0.42;46.55;ESTAVEL;2022-06-24 18:00:00;fii;71.42;0.25;71.42;0.25
1656097200000;ITIT11.SA;71.6;71.7;71.6;71.7;71.7;342;71.3;0.56;48.33;ESTAVEL;2022-06-24 19:00:00;fii;71.43;0.38;71.43;0.38
1656334800000;ITIT11.SA;72.5;72.5;71.95;71.95;71.95;0;71.31;0.9;52.59;ESTAVEL;2022-06-27 13:00:00;fii;71.43;0.72;71.43;0.72
1656338400000;ITIT11.SA;71.95;71.95;71.95;71.95;71.95;5;71.32;0.89;52.59;ESTAVEL;2022-06-27 14:00:00;fii;71.44;0.71;71.44;0.71
1656342000000;ITIT11.SA;72.19;72.19;72.19;72.19;72.19;7;71.33;1.21;56.57;ESTAVEL;2022-06-27 15:00:00;fii;71.45;1.04;71.45;1.04
1656345600000;ITIT11.SA;72.19;72.19;72.19;72.19;72.19;1;71.33;1.2;56.57;ESTAVEL;2022-06-27 16:00:00;fii;71.46;1.03;71.46;1.03
1656349200000;ITIT11.SA;72.0;73.1;72.0;72.01;72.01;814;71.34;0.94;52.72;ESTAVEL;2022-06-27 17:00:00;fii;71.46;0.77;71.46;0.77
1656352800000;ITIT11.SA;72.01;73.03;72.0;72.19;72.19;139;71.35;1.18;55.95;ESTAVEL;2022-06-27 18:00:00;fii;71.47;1.01;71.47;1.01
1656356400000;ITIT11.SA;72.01;72.18;72.01;72.18;72.18;12;71.36;1.15;55.72;ESTAVEL;2022-06-27 19:00:00;fii;71.48;0.98;71.48;0.98
