open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;ITUB4.SA;26.07;26.12;25.64;25.77;25.77;4102300;25.02;3.01;43.03;ESTAVEL;2022-02-22 14:00:00;stocks;25.42;1.37;25.42;1.37
1645542000000;ITUB4.SA;25.77;25.83;25.65;25.76;25.76;2112900;25.03;2.93;42.83;ESTAVEL;2022-02-22 15:00:00;stocks;25.43;1.31;25.43;1.31
1645545600000;ITUB4.SA;25.75;25.79;25.66;25.71;25.71;1273400;25.03;2.71;41.78;ESTAVEL;2022-02-22 16:00:00;stocks;25.43;1.1;25.43;1.1
1645549200000;ITUB4.SA;25.7;25.75;25.62;25.63;25.63;1986600;25.04;2.36;40.08;ESTAVEL;2022-02-22 17:00:00;stocks;25.43;0.78;25.43;0.78
1645552800000;ITUB4.SA;25.63;25.65;25.49;25.61;25.61;5537600;25.04;2.26;39.64;ESTAVEL;2022-02-22 18:00:00;stocks;25.43;0.69;25.43;0.69
1645556400000;ITUB4.SA;25.6;25.73;25.53;25.53;25.53;1656100;25.05;1.92;37.88;ESTAVEL;2022-02-22 19:00:00;stocks;25.43;0.37;25.43;0.37
1645621200000;ITUB4.SA;25.77;26.07;25.7;26.01;26.01;0;25.06;3.8;51.77;ESTAVEL;2022-02-23 13:00:00;stocks;25.44;2.23;25.44;2.23
1645624800000;ITUB4.SA;26.01;26.08;25.85;25.9;25.9;2710200;25.07;3.32;49.06;ESTAVEL;2022-02-23 14:00:00;stocks;25.45;1.78;25.45;1.78
1645628400000;ITUB4.SA;25.9;25.91;25.66;25.68;25.68;3277500;25.07;2.42;44.09;ESTAVEL;2022-02-23 15:00:00;stocks;25.45;0.91;25.45;0.91
1645632000000;ITUB4.SA;25.67;25.75;25.6;25.65;25.65;2121800;25.08;2.27;43.45;ESTAVEL;2022-02-23 16:00:00;stocks;25.45;0.78;25.45;0.78
1645635600000;ITUB4.SA;25.64;25.71;25.57;25.64;25.64;2434600;25.09;2.21;43.22;ESTAVEL;2022-02-23 17:00:00;stocks;25.45;0.73;25.45;0.73
1645639200000;ITUB4.SA;25.63;25.66;25.55;25.57;25.57;2280800;25.09;1.91;41.58;ESTAVEL;2022-02-23 18:00:00;stocks;25.46;0.45;25.46;0.45
1645642800000;ITUB4.SA;25.56;25.6;25.44;25.45;25.45;2402900;25.09;1.42;38.86;ESTAVEL;2022-02-23 19:00:00;stocks;25.46;-0.02;25.46;-0.02
1645707600000;ITUB4.SA;24.75;24.9;24.58;24.71;24.71;0;25.09;-1.51;27.08;SUBIR;2022-02-24 13:00:00;stocks;25.45;-2.89;25.45;-2.89
1645711200000;ITUB4.SA;24.71;24.84;24.53;24.75;24.75;4057900;25.09;-1.34;28.35;SUBIR;2022-02-24 14:00:00;stocks;25.44;-2.71;25.44;-2.71
1645714800000;ITUB4.SA;24.75;24.92;24.6;24.64;24.64;4029600;25.08;-1.76;26.96;SUBIR;2022-02-24 15:00:00;stocks;25.43;-3.11;25.43;-3.11
1645718400000;ITUB4.SA;24.65;24.77;24.55;24.59;24.59;2835400;25.08;-1.94;26.34;SUBIR;2022-02-24 16:00:00;stocks;25.42;-3.27;25.42;-3.27
1645722000000;ITUB4.SA;24.6;24.61;24.34;24.41;24.41;2886900;25.07;-2.63;24.15;SUBIR;2022-02-24 17:00:00;stocks;25.41;-3.93;25.41;-3.93
1645725600000;ITUB4.SA;24.42;24.61;24.34;24.54;24.54;3819700;25.06;-2.09;28.75;SUBIR;2022-02-24 18:00:00;stocks;25.4;-3.38;25.4;-3.38
1645729200000;ITUB4.SA;24.53;24.98;24.45;24.95;24.95;8359700;25.06;-0.45;40.92;ESTAVEL;2022-02-24 19:00:00;stocks;25.39;-1.75;25.39;-1.75
1645794000000;ITUB4.SA;24.87;25.09;24.81;25.06;25.06;0;25.06;-0.01;43.69;ESTAVEL;2022-02-25 13:00:00;stocks;25.39;-1.3;25.39;-1.3
1645797600000;ITUB4.SA;25.05;25.22;24.82;25.21;25.21;3410600;25.07;0.58;47.33;ESTAVEL;2022-02-25 14:00:00;stocks;25.39;-0.7;25.39;-0.7
1645801200000;ITUB4.SA;25.21;25.36;25.02;25.34;25.34;4325100;25.07;1.09;50.32;ESTAVEL;2022-02-25 15:00:00;stocks;25.39;-0.19;25.39;-0.19
1645804800000;ITUB4.SA;25.35;25.5;25.3;25.48;25.48;3672600;25.07;1.63;53.4;ESTAVEL;2022-02-25 16:00:00;stocks;25.39;0.36;25.39;0.36
1645808400000;ITUB4.SA;25.49;25.49;25.35;25.4;25.4;3549200;25.08;1.29;51.44;ESTAVEL;2022-02-25 17:00:00;stocks;25.39;0.04;25.39;0.04
1645812000000;ITUB4.SA;25.4;25.43;25.25;25.29;25.29;3032300;25.08;0.85;48.79;ESTAVEL;2022-02-25 18:00:00;stocks;25.39;-0.39;25.39;-0.39
1645815600000;ITUB4.SA;25.28;25.3;25.17;25.21;25.21;3053900;25.08;0.52;46.9;ESTAVEL;2022-02-25 19:00:00;stocks;25.39;-0.69;25.39;-0.69
1646236800000;ITUB4.SA;25.17;25.41;24.94;25.08;25.08;8984900;25.08;0.0;43.92;ESTAVEL;2022-03-02 16:00:00;stocks;25.38;-1.19;25.38;-1.19
1646240400000;ITUB4.SA;25.07;25.31;25.02;25.25;25.25;3718100;25.08;0.68;48.52;ESTAVEL;2022-03-02 17:00:00;stocks;25.38;-0.52;25.38;-0.52
1646244000000;ITUB4.SA;25.24;25.33;25.19;25.21;25.21;4499400;25.08;0.51;47.54;ESTAVEL;2022-03-02 18:00:00;stocks;25.38;-0.67;25.38;-0.67
1646247600000;ITUB4.SA;25.21;25.47;25.12;25.47;25.47;1917800;25.09;1.53;54.09;ESTAVEL;2022-03-02 19:00:00;stocks;25.38;0.35;25.38;0.35
1646312400000;ITUB4.SA;25.04;25.69;24.88;25.67;25.67;0;25.09;2.3;58.39;ESTAVEL;2022-03-03 13:00:00;stocks;25.38;1.13;25.38;1.13
1646316000000;ITUB4.SA;25.68;25.85;25.38;25.39;25.39;9730600;25.09;1.18;51.16;ESTAVEL;2022-03-03 14:00:00;stocks;25.38;0.03;25.38;0.03
1646319600000;ITUB4.SA;25.38;25.43;25.11;25.2;25.2;5211000;25.1;0.42;46.91;ESTAVEL;2022-03-03 15:00:00;stocks;25.38;-0.72;25.38;-0.72
1646323200000;ITUB4.SA;25.2;25.33;25.16;25.21;25.21;2976100;25.1;0.45;47.16;ESTAVEL;2022-03-03 16:00:00;stocks;25.38;-0.67;25.38;-0.67
1646326800000;ITUB4.SA;25.21;25.37;25.11;25.19;25.19;3715100;25.1;0.37;46.69;ESTAVEL;2022-03-03 17:00:00;stocks;25.38;-0.74;25.38;-0.74
1646330400000;ITUB4.SA;25.18;25.24;25.16;25.18;25.18;2946700;25.1;0.32;46.44;ESTAVEL;2022-03-03 18:00:00;stocks;25.38;-0.77;25.38;-0.77
1646334000000;ITUB4.SA;25.19;25.26;25.07;25.12;25.12;2900200;25.1;0.08;44.89;ESTAVEL;2022-03-03 19:00:00;stocks;25.37;-1.0;25.37;-1.0
1646398800000;ITUB4.SA;25.07;25.13;24.63;24.73;24.73;0;25.1;-1.46;36.38;ESTAVEL;2022-03-04 13:00:00;stocks;25.37;-2.51;25.37;-2.51
1646402400000;ITUB4.SA;24.73;24.77;24.32;24.45;24.45;4707800;25.09;-2.55;31.74;ESTAVEL;2022-03-04 14:00:00;stocks;25.36;-3.57;25.36;-3.57
1646406000000;ITUB4.SA;24.45;24.49;24.29;24.35;24.35;3640700;25.08;-2.92;30.25;ESTAVEL;2022-03-04 15:00:00;stocks;25.34;-3.92;25.34;-3.92
