open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1690830000000;JOPA3.SA;22.0;22.0;22.0;22.0;22.0;0;22.38;-1.71;;ESTAVEL;2023-07-31 19:00:00;stocks;;;;
1690898400000;JOPA3.SA;21.11;21.11;21.1;21.1;21.1;500;22.37;-5.66;;ESTAVEL;2023-08-01 14:00:00;stocks;;;;
1690902000000;JOPA3.SA;21.99;21.99;21.99;21.99;21.99;100;22.36;-1.67;;ESTAVEL;2023-08-01 15:00:00;stocks;;;;
1691172000000;JOPA3.SA;22.0;22.0;22.0;22.0;22.0;0;22.36;-1.6;;ESTAVEL;2023-08-04 18:00:00;stocks;;;;
1691690400000;JOPA3.SA;21.5;21.5;21.5;21.5;21.5;0;22.35;-3.8;;ESTAVEL;2023-08-10 18:00:00;stocks;;;;
1691766000000;JOPA3.SA;20.73;20.73;20.71;20.71;20.71;200;22.33;-7.25;;ESTAVEL;2023-08-11 15:00:00;stocks;;;;
1692021600000;JOPA3.SA;20.75;20.75;20.75;20.75;20.75;0;22.31;-7.0;;ESTAVEL;2023-08-14 14:00:00;stocks;;;;
1692039600000;JOPA3.SA;20.71;20.71;20.71;20.71;20.71;0;22.29;-7.1;;ESTAVEL;2023-08-14 19:00:00;stocks;;;;
1692104400000;JOPA3.SA;20.71;20.71;20.71;20.71;20.71;200;22.28;-7.03;;ESTAVEL;2023-08-15 13:00:00;stocks;;;;
1692111600000;JOPA3.SA;21.0;21.0;21.0;21.0;21.0;0;22.26;-5.67;;ESTAVEL;2023-08-15 15:00:00;stocks;;;;
1692115200000;JOPA3.SA;21.0;21.0;21.0;21.0;21.0;100;22.25;-5.6;;ESTAVEL;2023-08-15 16:00:00;stocks;;;;
1692118800000;JOPA3.SA;21.0;21.0;21.0;21.0;21.0;100;22.23;-5.54;;ESTAVEL;2023-08-15 17:00:00;stocks;;;;
1692126000000;JOPA3.SA;21.0;21.0;21.0;21.0;21.0;0;22.22;-5.49;;ESTAVEL;2023-08-15 19:00:00;stocks;;;;
1692190800000;JOPA3.SA;21.0;21.1;21.0;21.1;21.1;200;22.21;-4.98;;ESTAVEL;2023-08-16 13:00:00;stocks;;;;
1692194400000;JOPA3.SA;21.1;21.1;21.1;21.1;21.1;200;22.19;-4.93;37.36;ESTAVEL;2023-08-16 14:00:00;stocks;;;;
1692198000000;JOPA3.SA;21.0;21.0;21.0;21.0;21.0;200;22.18;-5.32;36.26;ESTAVEL;2023-08-16 15:00:00;stocks;;;;
1692201600000;JOPA3.SA;21.0;21.0;21.0;21.0;21.0;200;22.17;-5.26;36.26;ESTAVEL;2023-08-16 16:00:00;stocks;;;;
1692205200000;JOPA3.SA;21.0;21.0;21.0;21.0;21.0;200;22.15;-5.21;36.26;ESTAVEL;2023-08-16 17:00:00;stocks;;;;
1692208800000;JOPA3.SA;21.0;21.0;21.0;21.0;21.0;200;22.14;-5.15;36.26;ESTAVEL;2023-08-16 18:00:00;stocks;;;;
1692212400000;JOPA3.SA;21.0;21.0;21.0;21.0;21.0;200;22.13;-5.1;36.26;ESTAVEL;2023-08-16 19:00:00;stocks;;;;
1692277200000;JOPA3.SA;21.0;21.0;21.0;21.0;21.0;0;22.12;-5.04;36.26;ESTAVEL;2023-08-17 13:00:00;stocks;;;;
1692712800000;JOPA3.SA;21.0;21.0;21.0;21.0;21.0;500;22.1;-4.99;36.26;ESTAVEL;2023-08-22 14:00:00;stocks;;;;
1692802800000;JOPA3.SA;21.1;21.1;21.0;21.0;21.0;600;22.09;-4.94;36.26;ESTAVEL;2023-08-23 15:00:00;stocks;;;;
