open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;LEVE3.SA;27.98;28.1;27.62;28.0;28.0;31900;30.69;-8.76;20.05;SUBIR;2022-02-22 14:00:00;stocks;30.64;-8.61;30.64;-8.61
1645542000000;LEVE3.SA;27.97;28.05;27.91;27.93;27.93;11000;30.66;-8.91;19.37;SUBIR;2022-02-22 15:00:00;stocks;30.61;-8.75;30.61;-8.75
1645545600000;LEVE3.SA;27.96;28.0;27.92;27.97;27.97;10100;30.63;-8.7;21.02;SUBIR;2022-02-22 16:00:00;stocks;30.58;-8.53;30.58;-8.53
1645549200000;LEVE3.SA;28.0;28.01;27.65;27.79;27.79;20000;30.61;-9.2;19.12;SUBIR;2022-02-22 17:00:00;stocks;30.55;-9.02;30.55;-9.02
1645552800000;LEVE3.SA;27.82;27.91;27.75;27.77;27.77;25400;30.58;-9.18;18.92;SUBIR;2022-02-22 18:00:00;stocks;30.51;-8.99;30.51;-8.99
1645556400000;LEVE3.SA;27.77;28.1;27.75;28.07;28.07;20600;30.55;-8.12;30.86;ESTAVEL;2022-02-22 19:00:00;stocks;30.49;-7.92;30.49;-7.92
1645621200000;LEVE3.SA;27.99;28.32;27.95;28.09;28.09;0;30.53;-7.98;31.59;ESTAVEL;2022-02-23 13:00:00;stocks;30.46;-7.78;30.46;-7.78
1645624800000;LEVE3.SA;28.06;28.06;27.78;27.91;27.91;12400;30.5;-8.49;28.68;SUBIR;2022-02-23 14:00:00;stocks;30.43;-8.28;30.43;-8.28
1645628400000;LEVE3.SA;27.96;28.1;27.61;27.78;27.78;44800;30.47;-8.84;26.76;SUBIR;2022-02-23 15:00:00;stocks;30.4;-8.62;30.4;-8.62
1645632000000;LEVE3.SA;27.8;28.28;27.72;28.23;28.23;24100;30.45;-7.29;41.37;ESTAVEL;2022-02-23 16:00:00;stocks;30.37;-7.06;30.37;-7.06
1645635600000;LEVE3.SA;28.23;28.33;28.13;28.13;28.13;16100;30.43;-7.55;39.49;ESTAVEL;2022-02-23 17:00:00;stocks;30.35;-7.31;30.35;-7.31
1645639200000;LEVE3.SA;28.17;28.5;28.0;28.36;28.36;24400;30.41;-6.73;45.62;ESTAVEL;2022-02-23 18:00:00;stocks;30.33;-6.48;30.33;-6.48
1645642800000;LEVE3.SA;28.47;28.5;28.09;28.36;28.36;39500;30.38;-6.66;45.62;ESTAVEL;2022-02-23 19:00:00;stocks;30.3;-6.42;30.3;-6.42
1645707600000;LEVE3.SA;27.58;27.58;26.47;27.14;27.14;0;30.35;-10.58;28.1;SUBIR;2022-02-24 13:00:00;stocks;30.27;-10.34;30.27;-10.34
1645711200000;LEVE3.SA;27.15;27.32;26.81;27.11;27.11;16800;30.32;-10.58;27.81;SUBIR;2022-02-24 14:00:00;stocks;30.23;-10.33;30.23;-10.33
1645714800000;LEVE3.SA;27.12;27.53;27.1;27.48;27.48;11100;30.29;-9.28;36.33;ESTAVEL;2022-02-24 15:00:00;stocks;30.2;-9.01;30.2;-9.01
1645718400000;LEVE3.SA;27.48;27.7;26.79;27.12;27.12;113500;30.26;-10.37;32.33;ESTAVEL;2022-02-24 16:00:00;stocks;30.17;-10.1;30.17;-10.1
1645722000000;LEVE3.SA;27.1;27.11;26.7;26.72;26.72;12900;30.22;-11.59;28.57;SUBIR;2022-02-24 17:00:00;stocks;30.13;-11.31;30.13;-11.31
1645725600000;LEVE3.SA;26.72;27.04;26.66;27.03;27.03;12900;30.19;-10.47;34.89;ESTAVEL;2022-02-24 18:00:00;stocks;30.09;-10.18;30.09;-10.18
