open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1649253600000;LPSB3.SA;4.49;4.54;4.44;4.52;4.52;225900;3.85;17.26;63.81;ESTAVEL;2022-04-06 14:00:00;stocks;3.95;14.48;3.95;14.48
1649257200000;LPSB3.SA;4.53;4.57;4.51;4.56;4.56;75400;3.86;18.08;66.83;ESTAVEL;2022-04-06 15:00:00;stocks;3.96;15.29;3.96;15.29
1649260800000;LPSB3.SA;4.57;4.59;4.55;4.56;4.56;51100;3.87;17.86;66.83;ESTAVEL;2022-04-06 16:00:00;stocks;3.96;15.08;3.96;15.08
1649264400000;LPSB3.SA;4.56;4.6;4.54;4.57;4.57;126900;3.88;17.9;67.61;ESTAVEL;2022-04-06 17:00:00;stocks;3.97;15.13;3.97;15.13
1649268000000;LPSB3.SA;4.59;4.63;4.5;4.61;4.61;402500;3.88;18.71;70.6;CAIR;2022-04-06 18:00:00;stocks;3.98;15.93;3.98;15.93
1649271600000;LPSB3.SA;4.61;4.66;4.6;4.6;4.6;150800;3.89;18.23;68.89;ESTAVEL;2022-04-06 19:00:00;stocks;3.98;15.47;3.98;15.47
1649336400000;LPSB3.SA;4.55;4.6;4.4;4.42;4.42;0;3.9;13.45;46.86;ESTAVEL;2022-04-07 13:00:00;stocks;3.99;10.81;3.99;10.81
1649340000000;LPSB3.SA;4.42;4.55;4.41;4.53;4.53;225300;3.9;16.08;56.1;ESTAVEL;2022-04-07 14:00:00;stocks;3.99;13.4;3.99;13.4
1649343600000;LPSB3.SA;4.52;4.57;4.52;4.54;4.54;45800;3.91;16.14;56.83;ESTAVEL;2022-04-07 15:00:00;stocks;4.0;13.47;4.0;13.47
1649347200000;LPSB3.SA;4.55;4.58;4.53;4.58;4.58;33700;3.92;16.96;59.74;ESTAVEL;2022-04-07 16:00:00;stocks;4.01;14.28;4.01;14.28
1649350800000;LPSB3.SA;4.57;4.61;4.56;4.61;4.61;61800;3.92;17.52;61.81;ESTAVEL;2022-04-07 17:00:00;stocks;4.01;14.84;4.01;14.84
1649354400000;LPSB3.SA;4.61;4.66;4.57;4.65;4.65;99300;3.93;18.31;64.44;ESTAVEL;2022-04-07 18:00:00;stocks;4.02;15.62;4.02;15.62
1649358000000;LPSB3.SA;4.65;4.68;4.63;4.65;4.65;143800;3.94;18.1;64.44;ESTAVEL;2022-04-07 19:00:00;stocks;4.03;15.42;4.03;15.42
1649422800000;LPSB3.SA;4.6;4.72;4.6;4.63;4.63;0;3.94;17.38;61.97;ESTAVEL;2022-04-08 13:00:00;stocks;4.04;14.73;4.04;14.73
1649426400000;LPSB3.SA;4.64;4.75;4.64;4.74;4.74;159300;3.95;19.92;69.01;ESTAVEL;2022-04-08 14:00:00;stocks;4.04;17.23;4.04;17.23
1649430000000;LPSB3.SA;4.74;4.75;4.64;4.65;4.65;100900;3.96;17.44;59.33;ESTAVEL;2022-04-08 15:00:00;stocks;4.05;14.81;4.05;14.81
1649433600000;LPSB3.SA;4.65;4.71;4.65;4.7;4.7;58100;3.97;18.48;62.48;ESTAVEL;2022-04-08 16:00:00;stocks;4.06;15.83;4.06;15.83
1649437200000;LPSB3.SA;4.7;4.75;4.7;4.73;4.73;105600;3.97;19.0;64.27;ESTAVEL;2022-04-08 17:00:00;stocks;4.07;16.35;4.07;16.35
1649440800000;LPSB3.SA;4.73;4.76;4.71;4.74;4.74;129800;3.98;19.02;64.87;ESTAVEL;2022-04-08 18:00:00;stocks;4.07;16.38;4.07;16.38
1649444400000;LPSB3.SA;4.73;4.73;4.67;4.68;4.68;120200;3.99;17.31;58.51;ESTAVEL;2022-04-08 19:00:00;stocks;4.08;14.72;4.08;14.72
1649682000000;LPSB3.SA;4.62;4.74;4.56;4.73;4.73;0;4.0;18.34;61.86;ESTAVEL;2022-04-11 13:00:00;stocks;4.09;15.74;4.09;15.74
1649685600000;LPSB3.SA;4.73;4.74;4.63;4.64;4.64;107800;4.0;15.9;53.48;ESTAVEL;2022-04-11 14:00:00;stocks;4.09;13.36;4.09;13.36
