open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;LVBI11.SA;100.07;100.1;99.65;99.75;99.75;4487;101.15;-1.38;27.67;SUBIR;2022-02-22 14:00:00;fii;101.28;-1.51;101.28;-1.51
1645542000000;LVBI11.SA;99.75;99.78;99.2;99.36;99.36;2658;101.13;-1.75;24.92;SUBIR;2022-02-22 15:00:00;fii;101.25;-1.87;101.25;-1.87
1645545600000;LVBI11.SA;99.29;99.43;99.19;99.29;99.29;1005;101.11;-1.8;24.44;SUBIR;2022-02-22 16:00:00;fii;101.23;-1.92;101.23;-1.92
1645549200000;LVBI11.SA;99.21;99.52;99.16;99.43;99.43;2161;101.09;-1.65;27.4;SUBIR;2022-02-22 17:00:00;fii;101.21;-1.76;101.21;-1.76
1645552800000;LVBI11.SA;99.35;99.66;99.25;99.4;99.4;2448;101.08;-1.66;27.15;SUBIR;2022-02-22 18:00:00;fii;101.19;-1.77;101.19;-1.77
1645556400000;LVBI11.SA;99.4;99.5;99.15;99.16;99.16;2288;101.06;-1.88;25.21;SUBIR;2022-02-22 19:00:00;fii;101.17;-1.98;101.17;-1.98
1645621200000;LVBI11.SA;99.08;99.78;99.08;99.49;99.49;0;101.04;-1.54;32.38;ESTAVEL;2022-02-23 13:00:00;fii;101.15;-1.64;101.15;-1.64
1645624800000;LVBI11.SA;99.3;99.52;99.08;99.12;99.12;1930;101.02;-1.88;29.02;SUBIR;2022-02-23 14:00:00;fii;101.13;-1.98;101.13;-1.98
1645628400000;LVBI11.SA;99.25;99.76;99.06;99.74;99.74;3000;101.01;-1.26;40.21;ESTAVEL;2022-02-23 15:00:00;fii;101.11;-1.35;101.11;-1.35
1645632000000;LVBI11.SA;99.74;100.06;99.3;99.59;99.59;2115;100.99;-1.39;38.62;ESTAVEL;2022-02-23 16:00:00;fii;101.09;-1.49;101.09;-1.49
1645635600000;LVBI11.SA;99.58;99.64;99.07;99.15;99.15;2156;100.98;-1.81;34.34;ESTAVEL;2022-02-23 17:00:00;fii;101.07;-1.9;101.07;-1.9
