open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645556400000;MAXR11.SA;79.99;80.0;79.99;80.0;80.0;133;82.79;-3.37;33.21;ESTAVEL;2022-02-22 19:00:00;fii;82.76;-3.33;82.76;-3.33
1645621200000;MAXR11.SA;79.99;79.99;79.84;79.86;79.86;0;82.76;-3.5;31.26;ESTAVEL;2022-02-23 13:00:00;fii;82.73;-3.46;82.73;-3.46
1645624800000;MAXR11.SA;79.86;79.98;79.85;79.85;79.85;54;82.73;-3.48;31.11;ESTAVEL;2022-02-23 14:00:00;fii;82.69;-3.44;82.69;-3.44
1645628400000;MAXR11.SA;79.85;79.99;79.85;79.99;79.99;66;82.7;-3.28;35.5;ESTAVEL;2022-02-23 15:00:00;fii;82.66;-3.23;82.66;-3.23
1645632000000;MAXR11.SA;79.85;79.9;79.85;79.9;79.9;13;82.67;-3.35;34.0;ESTAVEL;2022-02-23 16:00:00;fii;82.63;-3.3;82.63;-3.3
1645635600000;MAXR11.SA;79.91;79.95;79.91;79.91;79.91;105;82.64;-3.31;34.34;ESTAVEL;2022-02-23 17:00:00;fii;82.6;-3.26;82.6;-3.26
1645639200000;MAXR11.SA;79.91;79.91;79.9;79.9;79.9;5;82.62;-3.29;34.15;ESTAVEL;2022-02-23 18:00:00;fii;82.57;-3.23;82.57;-3.23
1645642800000;MAXR11.SA;79.94;80.0;79.9;79.9;79.9;1259;82.59;-3.25;34.15;ESTAVEL;2022-02-23 19:00:00;fii;82.54;-3.2;82.54;-3.2
1645707600000;MAXR11.SA;79.8;79.89;79.53;79.53;79.53;0;82.56;-3.67;27.74;SUBIR;2022-02-24 13:00:00;fii;82.5;-3.6;82.5;-3.6
1645711200000;MAXR11.SA;79.61;79.88;79.53;79.88;79.88;148;82.53;-3.21;39.34;ESTAVEL;2022-02-24 14:00:00;fii;82.47;-3.15;82.47;-3.15
1645714800000;MAXR11.SA;79.87;79.87;79.65;79.65;79.65;107;82.5;-3.46;35.33;ESTAVEL;2022-02-24 15:00:00;fii;82.44;-3.39;82.44;-3.39
1645718400000;MAXR11.SA;79.68;79.84;79.4;79.84;79.84;101;82.47;-3.19;40.71;ESTAVEL;2022-02-24 16:00:00;fii;82.41;-3.12;82.41;-3.12
1645722000000;MAXR11.SA;79.84;79.84;79.84;79.84;79.84;81;82.45;-3.16;40.71;ESTAVEL;2022-02-24 17:00:00;fii;82.38;-3.09;82.38;-3.09
1645725600000;MAXR11.SA;79.84;79.84;79.07;79.07;79.07;109;82.41;-4.06;29.26;SUBIR;2022-02-24 18:00:00;fii;82.35;-3.98;82.35;-3.98
1645729200000;MAXR11.SA;79.82;79.82;79.57;79.57;79.57;16;82.38;-3.42;40.89;ESTAVEL;2022-02-24 19:00:00;fii;82.31;-3.33;82.31;-3.33
1645794000000;MAXR11.SA;79.82;79.99;79.82;79.85;79.85;0;82.36;-3.05;46.22;ESTAVEL;2022-02-25 13:00:00;fii;82.29;-2.96;82.29;-2.96
1645797600000;MAXR11.SA;79.85;80.0;79.51;79.59;79.59;210;82.33;-3.33;42.39;ESTAVEL;2022-02-25 14:00:00;fii;82.26;-3.24;82.26;-3.24
1645801200000;MAXR11.SA;79.59;79.99;79.55;79.8;79.8;133;82.3;-3.04;46.26;ESTAVEL;2022-02-25 15:00:00;fii;82.23;-2.95;82.23;-2.95
1645804800000;MAXR11.SA;79.99;80.0;79.96;80.0;80.0;117;82.28;-2.77;49.72;ESTAVEL;2022-02-25 16:00:00;fii;82.2;-2.68;82.2;-2.68
1645808400000;MAXR11.SA;80.0;80.0;80.0;80.0;80.0;102;82.26;-2.75;49.72;ESTAVEL;2022-02-25 17:00:00;fii;82.18;-2.65;82.18;-2.65
1645812000000;MAXR11.SA;80.0;80.0;80.0;80.0;80.0;43;82.24;-2.72;49.72;ESTAVEL;2022-02-25 18:00:00;fii;82.15;-2.62;82.15;-2.62
1645815600000;MAXR11.SA;80.0;80.0;80.0;80.0;80.0;21;82.21;-2.69;49.72;ESTAVEL;2022-02-25 19:00:00;fii;82.13;-2.59;82.13;-2.59
1646236800000;MAXR11.SA;79.99;80.0;79.91;80.0;80.0;636;82.19;-2.67;49.72;ESTAVEL;2022-03-02 16:00:00;fii;82.11;-2.57;82.11;-2.57
1646240400000;MAXR11.SA;80.0;83.0;80.0;80.49;80.49;1649;82.17;-2.05;59.07;ESTAVEL;2022-03-02 17:00:00;fii;82.09;-1.95;82.09;-1.95
1646244000000;MAXR11.SA;82.11;82.8;80.59;81.06;81.06;188;82.16;-1.34;66.81;ESTAVEL;2022-03-02 18:00:00;fii;82.08;-1.24;82.08;-1.24
1646312400000;MAXR11.SA;82.77;83.44;80.15;82.01;82.01;0;82.16;-0.18;75.22;ESTAVEL;2022-03-03 13:00:00;fii;82.08;-0.08;82.08;-0.08
1646316000000;MAXR11.SA;81.8;82.0;80.63;80.63;80.63;8;82.15;-1.84;53.87;ESTAVEL;2022-03-03 14:00:00;fii;82.06;-1.74;82.06;-1.74
1646319600000;MAXR11.SA;81.29;81.3;81.29;81.3;81.3;67;82.14;-1.02;59.83;ESTAVEL;2022-03-03 15:00:00;fii;82.05;-0.92;82.05;-0.92
1646323200000;MAXR11.SA;81.29;81.29;81.0;81.0;81.0;0;82.13;-1.37;56.32;ESTAVEL;2022-03-03 16:00:00;fii;82.04;-1.27;82.04;-1.27
1646326800000;MAXR11.SA;81.29;81.29;81.29;81.29;81.29;19;82.12;-1.01;58.83;ESTAVEL;2022-03-03 17:00:00;fii;82.03;-0.9;82.03;-0.9
1646330400000;MAXR11.SA;81.27;81.27;81.27;81.27;81.27;28;82.11;-1.02;58.58;ESTAVEL;2022-03-03 18:00:00;fii;82.02;-0.92;82.02;-0.92
1646334000000;MAXR11.SA;81.06;81.29;80.66;80.66;80.66;77;82.09;-1.75;51.4;ESTAVEL;2022-03-03 19:00:00;fii;82.01;-1.64;82.01;-1.64
1646398800000;MAXR11.SA;80.76;81.0;80.76;80.8;80.8;0;82.08;-1.56;52.83;ESTAVEL;2022-03-04 13:00:00;fii;82.0;-1.46;82.0;-1.46
