open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;MEAL3.SA;2.66;2.7;2.66;2.67;2.67;185600;2.59;3.08;44.53;ESTAVEL;2022-02-22 14:00:00;stocks;2.62;2.0;2.62;2.0
1645542000000;MEAL3.SA;2.67;2.68;2.66;2.67;2.67;74000;2.59;3.05;44.53;ESTAVEL;2022-02-22 15:00:00;stocks;2.62;1.98;2.62;1.98
1645545600000;MEAL3.SA;2.66;2.67;2.63;2.63;2.63;79500;2.59;1.49;36.72;ESTAVEL;2022-02-22 16:00:00;stocks;2.62;0.45;2.62;0.45
1645549200000;MEAL3.SA;2.64;2.64;2.62;2.62;2.62;64900;2.59;1.09;35.07;ESTAVEL;2022-02-22 17:00:00;stocks;2.62;0.06;2.62;0.06
1645552800000;MEAL3.SA;2.63;2.64;2.6;2.6;2.6;269300;2.59;0.32;31.96;ESTAVEL;2022-02-22 18:00:00;stocks;2.62;-0.69;2.62;-0.69
1645556400000;MEAL3.SA;2.6;2.63;2.6;2.62;2.62;172500;2.59;1.08;37.88;ESTAVEL;2022-02-22 19:00:00;stocks;2.62;0.07;2.62;0.07
1645621200000;MEAL3.SA;2.63;2.69;2.63;2.66;2.66;0;2.59;2.59;47.69;ESTAVEL;2022-02-23 13:00:00;stocks;2.62;1.58;2.62;1.58
1645624800000;MEAL3.SA;2.66;2.66;2.62;2.63;2.63;191600;2.59;1.42;42.3;ESTAVEL;2022-02-23 14:00:00;stocks;2.62;0.43;2.62;0.43
1645628400000;MEAL3.SA;2.62;2.63;2.61;2.62;2.62;329800;2.59;1.02;40.65;ESTAVEL;2022-02-23 15:00:00;stocks;2.62;0.05;2.62;0.05
1645632000000;MEAL3.SA;2.63;2.63;2.61;2.63;2.63;30400;2.59;1.39;43.04;ESTAVEL;2022-02-23 16:00:00;stocks;2.62;0.43;2.62;0.43
1645635600000;MEAL3.SA;2.62;2.64;2.62;2.63;2.63;64400;2.59;1.38;43.04;ESTAVEL;2022-02-23 17:00:00;stocks;2.62;0.42;2.62;0.42
1645639200000;MEAL3.SA;2.64;2.64;2.62;2.62;2.62;71600;2.59;0.98;41.12;ESTAVEL;2022-02-23 18:00:00;stocks;2.62;0.04;2.62;0.04
1645642800000;MEAL3.SA;2.63;2.63;2.61;2.61;2.61;152500;2.59;0.59;39.23;ESTAVEL;2022-02-23 19:00:00;stocks;2.62;-0.34;2.62;-0.34
