open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;MFII11.SA;106.48;106.59;106.48;106.5;106.5;122;107.42;-0.85;49.0;ESTAVEL;2022-02-22 14:00:00;fii;107.47;-0.9;107.47;-0.9
1645542000000;MFII11.SA;106.5;106.5;106.03;106.46;106.46;492;107.41;-0.88;48.14;ESTAVEL;2022-02-22 15:00:00;fii;107.46;-0.93;107.46;-0.93
1645545600000;MFII11.SA;106.45;106.45;106.31;106.42;106.42;151;107.4;-0.91;47.24;ESTAVEL;2022-02-22 16:00:00;fii;107.45;-0.96;107.45;-0.96
1645549200000;MFII11.SA;106.42;106.5;106.39;106.4;106.4;323;107.39;-0.92;46.77;ESTAVEL;2022-02-22 17:00:00;fii;107.44;-0.96;107.44;-0.96
1645552800000;MFII11.SA;106.4;106.58;106.15;106.53;106.53;263;107.38;-0.79;50.23;ESTAVEL;2022-02-22 18:00:00;fii;107.43;-0.83;107.43;-0.83
1645556400000;MFII11.SA;106.54;106.54;106.15;106.15;106.15;225;107.37;-1.13;41.7;ESTAVEL;2022-02-22 19:00:00;fii;107.41;-1.17;107.41;-1.17
1645621200000;MFII11.SA;106.0;106.59;105.68;106.51;106.51;0;107.36;-0.79;50.31;ESTAVEL;2022-02-23 13:00:00;fii;107.4;-0.83;107.4;-0.83
1645624800000;MFII11.SA;106.59;106.59;105.82;105.82;105.82;440;107.34;-1.42;38.55;ESTAVEL;2022-02-23 14:00:00;fii;107.38;-1.46;107.38;-1.46
1645628400000;MFII11.SA;105.8;106.08;105.79;105.88;105.88;181;107.33;-1.35;39.87;ESTAVEL;2022-02-23 15:00:00;fii;107.37;-1.38;107.37;-1.38
1645632000000;MFII11.SA;105.88;106.08;105.88;105.91;105.91;234;107.31;-1.31;40.56;ESTAVEL;2022-02-23 16:00:00;fii;107.35;-1.34;107.35;-1.34
1645635600000;MFII11.SA;105.92;106.16;105.91;106.04;106.04;469;107.3;-1.17;43.56;ESTAVEL;2022-02-23 17:00:00;fii;107.33;-1.21;107.33;-1.21
1645639200000;MFII11.SA;106.01;106.09;105.91;106.0;106.0;343;107.29;-1.2;42.84;ESTAVEL;2022-02-23 18:00:00;fii;107.32;-1.23;107.32;-1.23
1645642800000;MFII11.SA;106.0;106.15;106.0;106.05;106.05;764;107.27;-1.14;44.08;ESTAVEL;2022-02-23 19:00:00;fii;107.31;-1.17;107.31;-1.17
1645707600000;MFII11.SA;106.05;106.05;104.81;104.82;104.82;0;107.25;-2.26;28.0;SUBIR;2022-02-24 13:00:00;fii;107.28;-2.29;107.28;-2.29
1645711200000;MFII11.SA;104.85;105.2;104.84;105.18;105.18;796;107.23;-1.91;35.42;ESTAVEL;2022-02-24 14:00:00;fii;107.25;-1.93;107.25;-1.93
1645714800000;MFII11.SA;105.17;105.2;105.01;105.04;105.04;367;107.21;-2.02;33.96;ESTAVEL;2022-02-24 15:00:00;fii;107.23;-2.04;107.23;-2.04
1645718400000;MFII11.SA;105.15;105.2;105.01;105.1;105.1;291;107.18;-1.95;35.2;ESTAVEL;2022-02-24 16:00:00;fii;107.2;-1.96;107.2;-1.96
1645722000000;MFII11.SA;105.1;105.1;105.02;105.09;105.09;159;107.16;-1.94;35.08;ESTAVEL;2022-02-24 17:00:00;fii;107.18;-1.95;107.18;-1.95
1645725600000;MFII11.SA;105.09;105.1;105.01;105.1;105.1;674;107.14;-1.91;35.31;ESTAVEL;2022-02-24 18:00:00;fii;107.16;-1.92;107.16;-1.92
1645729200000;MFII11.SA;105.1;105.2;105.09;105.15;105.15;139;107.12;-1.84;36.54;ESTAVEL;2022-02-24 19:00:00;fii;107.14;-1.85;107.14;-1.85
1645794000000;MFII11.SA;105.13;106.65;105.13;106.6;106.6;0;107.12;-0.48;60.18;ESTAVEL;2022-02-25 13:00:00;fii;107.13;-0.49;107.13;-0.49
1645797600000;MFII11.SA;106.65;106.7;106.02;106.02;106.02;406;107.11;-1.01;51.86;ESTAVEL;2022-02-25 14:00:00;fii;107.12;-1.02;107.12;-1.02
1645801200000;MFII11.SA;106.02;106.3;106.0;106.25;106.25;254;107.1;-0.79;54.54;ESTAVEL;2022-02-25 15:00:00;fii;107.11;-0.8;107.11;-0.8
1645804800000;MFII11.SA;106.25;106.25;106.2;106.25;106.25;285;107.09;-0.78;54.54;ESTAVEL;2022-02-25 16:00:00;fii;107.1;-0.79;107.1;-0.79
1645808400000;MFII11.SA;106.25;106.5;105.99;106.31;106.31;604;107.08;-0.72;55.3;ESTAVEL;2022-02-25 17:00:00;fii;107.09;-0.73;107.09;-0.73
1645812000000;MFII11.SA;106.3;106.3;106.0;106.28;106.28;376;107.07;-0.74;54.81;ESTAVEL;2022-02-25 18:00:00;fii;107.08;-0.75;107.08;-0.75
1645815600000;MFII11.SA;106.3;106.35;106.15;106.29;106.29;402;107.07;-0.72;54.95;ESTAVEL;2022-02-25 19:00:00;fii;107.07;-0.73;107.07;-0.73
1646236800000;MFII11.SA;106.0;106.13;105.49;105.85;105.85;924;107.05;-1.12;47.78;ESTAVEL;2022-03-02 16:00:00;fii;107.06;-1.13;107.06;-1.13
1646240400000;MFII11.SA;105.84;105.85;104.82;104.82;104.82;1562;107.03;-2.07;35.95;ESTAVEL;2022-03-02 17:00:00;fii;107.03;-2.07;107.03;-2.07
1646244000000;MFII11.SA;105.28;105.62;104.82;105.09;105.09;415;107.01;-1.79;40.13;ESTAVEL;2022-03-02 18:00:00;fii;107.01;-1.8;107.01;-1.8
1646247600000;MFII11.SA;105.09;106.32;104.9;106.32;106.32;730;107.0;-0.64;54.66;ESTAVEL;2022-03-02 19:00:00;fii;107.0;-0.64;107.0;-0.64
1646312400000;MFII11.SA;105.0;105.4;105.0;105.27;105.27;0;106.99;-1.6;44.69;ESTAVEL;2022-03-03 13:00:00;fii;106.98;-1.6;106.98;-1.6
1646316000000;MFII11.SA;105.37;105.79;105.37;105.6;105.6;265;106.97;-1.28;47.91;ESTAVEL;2022-03-03 14:00:00;fii;106.97;-1.28;106.97;-1.28
1646319600000;MFII11.SA;105.6;105.65;105.39;105.42;105.42;287;106.96;-1.44;46.33;ESTAVEL;2022-03-03 15:00:00;fii;106.95;-1.43;106.95;-1.43
1646323200000;MFII11.SA;105.42;105.63;105.22;105.5;105.5;178;106.94;-1.35;47.16;ESTAVEL;2022-03-03 16:00:00;fii;106.94;-1.34;106.94;-1.34
1646326800000;MFII11.SA;105.5;105.5;105.21;105.21;105.21;282;106.92;-1.6;44.46;ESTAVEL;2022-03-03 17:00:00;fii;106.92;-1.6;106.92;-1.6
1646330400000;MFII11.SA;105.21;105.3;105.08;105.08;105.08;311;106.91;-1.71;43.26;ESTAVEL;2022-03-03 18:00:00;fii;106.9;-1.7;106.9;-1.7
1646334000000;MFII11.SA;105.08;105.32;105.06;105.32;105.32;319;106.89;-1.47;46.14;ESTAVEL;2022-03-03 19:00:00;fii;106.88;-1.46;106.88;-1.46
1646398800000;MFII11.SA;105.0;105.43;105.0;105.2;105.2;0;106.87;-1.57;44.92;ESTAVEL;2022-03-04 13:00:00;fii;106.86;-1.55;106.86;-1.55
1646402400000;MFII11.SA;105.1;105.49;105.1;105.49;105.49;264;106.86;-1.28;48.48;ESTAVEL;2022-03-04 14:00:00;fii;106.85;-1.27;106.85;-1.27
1646406000000;MFII11.SA;105.43;105.49;105.39;105.4;105.4;185;106.84;-1.35;47.46;ESTAVEL;2022-03-04 15:00:00;fii;106.83;-1.34;106.83;-1.34
1646409600000;MFII11.SA;105.39;105.4;105.01;105.1;105.1;256;106.83;-1.62;44.1;ESTAVEL;2022-03-04 16:00:00;fii;106.81;-1.6;106.81;-1.6
1646413200000;MFII11.SA;105.29;105.3;105.0;105.24;105.24;257;106.81;-1.47;46.02;ESTAVEL;2022-03-04 17:00:00;fii;106.79;-1.46;106.79;-1.46
1646416800000;MFII11.SA;105.24;105.3;105.24;105.26;105.26;117;106.8;-1.44;46.3;ESTAVEL;2022-03-04 18:00:00;fii;106.78;-1.42;106.78;-1.42
1646420400000;MFII11.SA;105.26;105.31;105.01;105.01;105.01;1056;106.78;-1.66;43.25;ESTAVEL;2022-03-04 19:00:00;fii;106.76;-1.64;106.76;-1.64
1646658000000;MFII11.SA;104.82;105.7;104.82;105.25;105.25;0;106.76;-1.42;46.87;ESTAVEL;2022-03-07 13:00:00;fii;106.74;-1.4;106.74;-1.4
1646661600000;MFII11.SA;105.15;105.24;104.81;105.14;105.14;1142;106.75;-1.5;45.44;ESTAVEL;2022-03-07 14:00:00;fii;106.72;-1.48;106.72;-1.48
1646665200000;MFII11.SA;105.12;105.14;104.81;104.82;104.82;504;106.73;-1.79;41.47;ESTAVEL;2022-03-07 15:00:00;fii;106.7;-1.77;106.7;-1.77
1646668800000;MFII11.SA;104.97;104.97;104.5;104.6;104.6;928;106.7;-1.97;38.95;ESTAVEL;2022-03-07 16:00:00;fii;106.68;-1.95;106.68;-1.95
1646672400000;MFII11.SA;104.67;104.88;104.5;104.5;104.5;458;106.68;-2.05;37.82;ESTAVEL;2022-03-07 17:00:00;fii;106.66;-2.02;106.66;-2.02
1646676000000;MFII11.SA;104.5;104.62;104.02;104.23;104.23;805;106.66;-2.28;34.89;ESTAVEL;2022-03-07 18:00:00;fii;106.63;-2.25;106.63;-2.25
1646679600000;MFII11.SA;104.29;104.5;104.19;104.36;104.36;249;106.63;-2.13;37.41;ESTAVEL;2022-03-07 19:00:00;fii;106.61;-2.11;106.61;-2.11
1646744400000;MFII11.SA;104.25;104.93;104.25;104.48;104.48;142;106.61;-2.0;39.72;ESTAVEL;2022-03-08 13:00:00;fii;106.58;-1.97;106.58;-1.97
1646748000000;MFII11.SA;104.5;104.62;104.0;104.35;104.35;723;106.59;-2.1;38.08;ESTAVEL;2022-03-08 14:00:00;fii;106.56;-2.07;106.56;-2.07
1646751600000;MFII11.SA;104.4;104.6;104.3;104.5;104.5;320;106.57;-1.94;41.11;ESTAVEL;2022-03-08 15:00:00;fii;106.54;-1.91;106.54;-1.91
1646755200000;MFII11.SA;104.55;104.65;104.15;104.15;104.15;0;106.54;-2.25;36.61;ESTAVEL;2022-03-08 16:00:00;fii;106.51;-2.22;106.51;-2.22
1646758800000;MFII11.SA;104.55;104.75;104.4;104.75;104.75;2334;106.53;-1.67;47.26;ESTAVEL;2022-03-08 17:00:00;fii;106.49;-1.64;106.49;-1.64
1646762400000;MFII11.SA;104.99;105.0;104.53;104.53;104.53;119;106.51;-1.86;44.32;ESTAVEL;2022-03-08 18:00:00;fii;106.47;-1.82;106.47;-1.82
1646766000000;MFII11.SA;104.74;104.75;104.46;104.73;104.73;104;106.49;-1.65;47.52;ESTAVEL;2022-03-08 19:00:00;fii;106.45;-1.62;106.45;-1.62
1646830800000;MFII11.SA;104.03;104.9;104.01;104.02;104.02;0;106.46;-2.3;38.96;ESTAVEL;2022-03-09 13:00:00;fii;106.43;-2.26;106.43;-2.26
1646834400000;MFII11.SA;104.75;104.85;104.03;104.85;104.85;401;106.45;-1.5;50.24;ESTAVEL;2022-03-09 14:00:00;fii;106.41;-1.47;106.41;-1.47
1646838000000;MFII11.SA;104.63;104.85;104.12;104.28;104.28;0;106.43;-2.02;44.2;ESTAVEL;2022-03-09 15:00:00;fii;106.39;-1.98;106.39;-1.98
1646841600000;MFII11.SA;104.28;104.49;104.1;104.39;104.39;1793;106.41;-1.89;45.56;ESTAVEL;2022-03-09 16:00:00;fii;106.36;-1.86;106.36;-1.86
1646845200000;MFII11.SA;104.38;104.83;104.13;104.83;104.83;561;106.39;-1.47;50.73;ESTAVEL;2022-03-09 17:00:00;fii;106.35;-1.43;106.35;-1.43
1646848800000;MFII11.SA;104.6;104.79;104.3;104.4;104.4;313;106.37;-1.85;46.12;ESTAVEL;2022-03-09 18:00:00;fii;106.33;-1.81;106.33;-1.81
1646852400000;MFII11.SA;104.5;104.5;104.05;104.35;104.35;564;106.35;-1.88;45.6;ESTAVEL;2022-03-09 19:00:00;fii;106.31;-1.84;106.31;-1.84
1646917200000;MFII11.SA;104.35;105.75;104.35;105.0;105.0;0;106.34;-1.26;53.01;ESTAVEL;2022-03-10 13:00:00;fii;106.29;-1.22;106.29;-1.22
1646920800000;MFII11.SA;105.2;105.2;104.0;104.59;104.59;1471;106.32;-1.63;48.52;ESTAVEL;2022-03-10 14:00:00;fii;106.27;-1.58;106.27;-1.58
1646924400000;MFII11.SA;104.49;104.49;104.0;104.44;104.44;325;106.3;-1.75;46.95;ESTAVEL;2022-03-10 15:00:00;fii;106.25;-1.71;106.25;-1.71
1646928000000;MFII11.SA;104.42;104.44;104.05;104.16;104.16;135;106.28;-1.99;44.09;ESTAVEL;2022-03-10 16:00:00;fii;106.23;-1.95;106.23;-1.95
1646931600000;MFII11.SA;104.44;104.44;104.19;104.2;104.2;357;106.26;-1.94;44.61;ESTAVEL;2022-03-10 17:00:00;fii;106.21;-1.89;106.21;-1.89
1646935200000;MFII11.SA;104.18;104.41;103.99;104.41;104.41;605;106.24;-1.72;47.38;ESTAVEL;2022-03-10 18:00:00;fii;106.19;-1.68;106.19;-1.68
1646938800000;MFII11.SA;104.42;104.49;104.2;104.36;104.36;533;106.22;-1.75;46.78;ESTAVEL;2022-03-10 19:00:00;fii;106.17;-1.71;106.17;-1.71
1647003600000;MFII11.SA;104.01;104.58;104.01;104.1;104.1;0;106.2;-1.98;43.69;ESTAVEL;2022-03-11 13:00:00;fii;106.15;-1.93;106.15;-1.93
1647007200000;MFII11.SA;104.07;104.15;103.76;104.14;104.14;374;106.18;-1.92;44.3;ESTAVEL;2022-03-11 14:00:00;fii;106.13;-1.87;106.13;-1.87
1647010800000;MFII11.SA;104.25;104.25;103.9;104.09;104.09;191;106.16;-1.95;43.66;ESTAVEL;2022-03-11 15:00:00;fii;106.11;-1.9;106.11;-1.9
1647014400000;MFII11.SA;104.09;104.33;103.26;103.72;103.72;1166;106.13;-2.27;39.18;ESTAVEL;2022-03-11 16:00:00;fii;106.08;-2.23;106.08;-2.23
1647018000000;MFII11.SA;103.87;103.87;103.64;103.75;103.75;136;106.11;-2.22;39.72;ESTAVEL;2022-03-11 17:00:00;fii;106.06;-2.17;106.06;-2.17
1647021600000;MFII11.SA;103.65;103.75;103.59;103.6;103.6;297;106.08;-2.34;37.9;ESTAVEL;2022-03-11 18:00:00;fii;106.03;-2.29;106.03;-2.29
1647025200000;MFII11.SA;103.6;103.94;103.59;103.93;103.93;330;106.06;-2.01;43.97;ESTAVEL;2022-03-11 19:00:00;fii;106.01;-1.96;106.01;-1.96
1647262800000;MFII11.SA;103.91;104.0;103.79;104.0;104.0;0;106.04;-1.92;45.19;ESTAVEL;2022-03-14 13:00:00;fii;105.99;-1.87;105.99;-1.87
1647266400000;MFII11.SA;104.0;104.1;103.8;103.8;103.8;578;106.02;-2.09;42.35;ESTAVEL;2022-03-14 14:00:00;fii;105.96;-2.04;105.96;-2.04
1647270000000;MFII11.SA;103.91;103.91;103.5;103.8;103.8;525;106.0;-2.07;42.35;ESTAVEL;2022-03-14 15:00:00;fii;105.94;-2.02;105.94;-2.02
1647273600000;MFII11.SA;103.8;103.85;103.5;103.84;103.84;454;105.97;-2.01;43.18;ESTAVEL;2022-03-14 16:00:00;fii;105.92;-1.96;105.92;-1.96
1647277200000;MFII11.SA;103.83;103.84;103.51;103.84;103.84;204;105.95;-1.99;43.18;ESTAVEL;2022-03-14 17:00:00;fii;105.9;-1.94;105.9;-1.94
1647280800000;MFII11.SA;103.79;103.84;103.72;103.84;103.84;146;105.93;-1.97;43.18;ESTAVEL;2022-03-14 18:00:00;fii;105.88;-1.92;105.88;-1.92
1647284400000;MFII11.SA;103.84;103.84;103.72;103.75;103.75;81;105.91;-2.04;41.5;ESTAVEL;2022-03-14 19:00:00;fii;105.85;-1.99;105.85;-1.99
1647349200000;MFII11.SA;103.8;104.0;103.7;104.0;104.0;0;105.89;-1.79;47.59;ESTAVEL;2022-03-15 13:00:00;fii;105.83;-1.73;105.83;-1.73
1647352800000;MFII11.SA;104.0;104.55;103.91;104.05;104.05;773;105.87;-1.72;48.74;ESTAVEL;2022-03-15 14:00:00;fii;105.81;-1.67;105.81;-1.67
1647356400000;MFII11.SA;104.15;104.15;103.89;104.0;104.0;711;105.85;-1.75;47.61;ESTAVEL;2022-03-15 15:00:00;fii;105.8;-1.7;105.8;-1.7
1647360000000;MFII11.SA;104.17;104.17;103.15;103.97;103.97;1015;105.83;-1.76;46.91;ESTAVEL;2022-03-15 16:00:00;fii;105.78;-1.71;105.78;-1.71
1647363600000;MFII11.SA;103.9;103.95;103.69;103.9;103.9;287;105.82;-1.81;45.24;ESTAVEL;2022-03-15 17:00:00;fii;105.76;-1.76;105.76;-1.76
1647367200000;MFII11.SA;103.89;104.0;103.89;104.0;104.0;451;105.8;-1.7;48.09;ESTAVEL;2022-03-15 18:00:00;fii;105.74;-1.64;105.74;-1.64
