open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1648234800000;MORC11.SA;101.2;101.2;100.99;100.99;100.99;47;100.05;0.94;50.85;ESTAVEL;2022-03-25 19:00:00;fii;100.13;0.86;100.13;0.86
1648472400000;MORC11.SA;100.99;101.9;100.99;101.9;101.9;0;100.07;1.83;58.55;ESTAVEL;2022-03-28 13:00:00;fii;100.15;1.74;100.15;1.74
1648476000000;MORC11.SA;101.9;101.98;101.8;101.8;101.8;2341;100.09;1.71;57.49;ESTAVEL;2022-03-28 14:00:00;fii;100.17;1.62;100.17;1.62
1648479600000;MORC11.SA;101.8;101.95;101.0;101.95;101.95;3375;100.11;1.84;58.7;ESTAVEL;2022-03-28 15:00:00;fii;100.19;1.75;100.19;1.75
1648483200000;MORC11.SA;101.95;101.95;101.7;101.7;101.7;1037;100.12;1.58;55.84;ESTAVEL;2022-03-28 16:00:00;fii;100.21;1.49;100.21;1.49
1648486800000;MORC11.SA;101.95;101.95;101.85;101.85;101.85;70;100.14;1.71;57.19;ESTAVEL;2022-03-28 17:00:00;fii;100.23;1.62;100.23;1.62
1648490400000;MORC11.SA;101.88;101.88;101.0;101.0;101.0;772;100.15;0.85;48.2;ESTAVEL;2022-03-28 18:00:00;fii;100.24;0.76;100.24;0.76
1648494000000;MORC11.SA;101.0;101.98;101.0;101.98;101.98;375;100.17;1.81;56.66;ESTAVEL;2022-03-28 19:00:00;fii;100.26;1.72;100.26;1.72
1648558800000;MORC11.SA;101.79;103.02;101.0;102.3;102.3;0;100.19;2.11;59.01;ESTAVEL;2022-03-29 13:00:00;fii;100.28;2.01;100.28;2.01
1648562400000;MORC11.SA;102.3;102.3;102.29;102.3;102.3;173;100.21;2.09;59.01;ESTAVEL;2022-03-29 14:00:00;fii;100.3;1.99;100.3;1.99
1648566000000;MORC11.SA;102.3;102.3;102.22;102.25;102.25;0;100.23;2.02;58.44;ESTAVEL;2022-03-29 15:00:00;fii;100.33;1.92;100.33;1.92
1648569600000;MORC11.SA;102.25;102.39;101.5;101.88;101.88;271;100.25;1.63;54.23;ESTAVEL;2022-03-29 16:00:00;fii;100.34;1.53;100.34;1.53
1648573200000;MORC11.SA;101.88;101.88;101.6;101.6;101.6;52;100.26;1.34;51.22;ESTAVEL;2022-03-29 17:00:00;fii;100.36;1.24;100.36;1.24
1648576800000;MORC11.SA;101.6;101.87;101.3;101.85;101.85;269;100.28;1.57;53.69;ESTAVEL;2022-03-29 18:00:00;fii;100.37;1.47;100.37;1.47
1648580400000;MORC11.SA;101.85;102.98;101.8;101.98;101.98;2253;100.29;1.68;54.96;ESTAVEL;2022-03-29 19:00:00;fii;100.39;1.58;100.39;1.58
1648645200000;MORC11.SA;102.7;103.5;102.5;102.6;102.6;1176;100.32;2.28;60.55;ESTAVEL;2022-03-30 13:00:00;fii;100.42;2.17;100.42;2.17
1648648800000;MORC11.SA;102.6;104.36;102.5;104.0;104.0;2333;100.35;3.63;69.69;ESTAVEL;2022-03-30 14:00:00;fii;100.46;3.53;100.46;3.53
1648652400000;MORC11.SA;104.0;104.0;102.7;103.0;103.0;1335;100.38;2.61;59.15;ESTAVEL;2022-03-30 15:00:00;fii;100.49;2.5;100.49;2.5
1648656000000;MORC11.SA;102.99;104.3;102.7;102.75;102.75;3950;100.4;2.34;56.83;ESTAVEL;2022-03-30 16:00:00;fii;100.51;2.23;100.51;2.23
1648659600000;MORC11.SA;102.75;102.75;102.75;102.75;102.75;582;100.43;2.31;56.83;ESTAVEL;2022-03-30 17:00:00;fii;100.54;2.2;100.54;2.2
1648663200000;MORC11.SA;102.75;102.75;102.7;102.7;102.7;581;100.45;2.24;56.32;ESTAVEL;2022-03-30 18:00:00;fii;100.56;2.13;100.56;2.13
1648666800000;MORC11.SA;102.69;103.0;102.25;102.99;102.99;1256;100.48;2.5;58.65;ESTAVEL;2022-03-30 19:00:00;fii;100.59;2.39;100.59;2.39
1648731600000;MORC11.SA;103.48;104.49;102.7;103.1;103.1;0;100.5;2.58;59.53;ESTAVEL;2022-03-31 13:00:00;fii;100.62;2.47;100.62;2.47
1648735200000;MORC11.SA;103.1;103.1;102.7;103.0;103.0;604;100.53;2.46;58.31;ESTAVEL;2022-03-31 14:00:00;fii;100.64;2.34;100.64;2.34
1648738800000;MORC11.SA;103.0;103.0;103.0;103.0;103.0;699;100.55;2.43;58.31;ESTAVEL;2022-03-31 15:00:00;fii;100.67;2.32;100.67;2.32
1648742400000;MORC11.SA;103.0;103.0;102.7;103.0;103.0;548;100.58;2.41;58.31;ESTAVEL;2022-03-31 16:00:00;fii;100.69;2.29;100.69;2.29
1648746000000;MORC11.SA;103.0;103.0;102.6;102.98;102.98;587;100.6;2.36;58.02;ESTAVEL;2022-03-31 17:00:00;fii;100.72;2.24;100.72;2.24
1648749600000;MORC11.SA;102.9;102.9;102.89;102.89;102.89;242;100.63;2.25;56.62;ESTAVEL;2022-03-31 18:00:00;fii;100.74;2.13;100.74;2.13
1648753200000;MORC11.SA;102.89;102.99;102.8;102.99;102.99;661;100.65;2.33;57.83;ESTAVEL;2022-03-31 19:00:00;fii;100.77;2.2;100.77;2.2
1648818000000;MORC11.SA;103.99;104.4;103.0;103.45;103.45;0;100.68;2.75;62.95;ESTAVEL;2022-04-01 13:00:00;fii;100.8;2.63;100.8;2.63
1648821600000;MORC11.SA;103.45;103.5;103.05;103.3;103.3;366;100.7;2.58;60.38;ESTAVEL;2022-04-01 14:00:00;fii;100.83;2.45;100.83;2.45
1648825200000;MORC11.SA;103.3;103.4;103.3;103.3;103.3;232;100.73;2.55;60.38;ESTAVEL;2022-04-01 15:00:00;fii;100.85;2.43;100.85;2.43
1648828800000;MORC11.SA;103.3;103.3;103.0;103.3;103.3;320;100.76;2.52;60.38;ESTAVEL;2022-04-01 16:00:00;fii;100.88;2.4;100.88;2.4
1648832400000;MORC11.SA;103.04;103.3;103.0;103.28;103.28;222;100.78;2.48;59.97;ESTAVEL;2022-04-01 17:00:00;fii;100.91;2.35;100.91;2.35
1648836000000;MORC11.SA;103.26;103.26;102.99;103.0;103.0;420;100.8;2.18;54.42;ESTAVEL;2022-04-01 18:00:00;fii;100.93;2.05;100.93;2.05
1648839600000;MORC11.SA;103.0;103.25;102.83;102.99;102.99;137;100.83;2.15;54.23;ESTAVEL;2022-04-01 19:00:00;fii;100.95;2.02;100.95;2.02
1649077200000;MORC11.SA;103.28;103.5;102.8;102.8;102.8;0;100.85;1.94;50.56;ESTAVEL;2022-04-04 13:00:00;fii;100.97;1.81;100.97;1.81
1649080800000;MORC11.SA;102.9;102.9;102.8;102.9;102.9;1183;100.87;2.02;52.39;ESTAVEL;2022-04-04 14:00:00;fii;100.99;1.89;100.99;1.89
1649084400000;MORC11.SA;102.9;102.9;102.7;102.9;102.9;859;100.89;1.99;52.39;ESTAVEL;2022-04-04 15:00:00;fii;101.02;1.87;101.02;1.87
1649088000000;MORC11.SA;102.9;102.9;102.89;102.89;102.89;179;100.91;1.96;52.16;ESTAVEL;2022-04-04 16:00:00;fii;101.04;1.84;101.04;1.84
1649091600000;MORC11.SA;102.89;102.9;102.7;102.7;102.7;422;100.93;1.76;47.98;ESTAVEL;2022-04-04 17:00:00;fii;101.05;1.63;101.05;1.63
