open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;NINJ3.SA;3.66;3.71;3.6;3.7;3.7;56000;4.32;-14.37;43.61;ESTAVEL;2022-02-22 14:00:00;stocks;4.21;-12.05;4.21;-12.05
1645542000000;NINJ3.SA;3.69;3.74;3.68;3.69;3.69;38900;4.31;-14.47;42.44;ESTAVEL;2022-02-22 15:00:00;stocks;4.2;-12.16;4.2;-12.16
1645545600000;NINJ3.SA;3.7;3.71;3.65;3.65;3.65;20300;4.31;-15.27;38.03;ESTAVEL;2022-02-22 16:00:00;stocks;4.19;-12.98;4.19;-12.98
1645549200000;NINJ3.SA;3.66;3.71;3.65;3.69;3.69;19800;4.3;-14.21;44.26;ESTAVEL;2022-02-22 17:00:00;stocks;4.19;-11.91;4.19;-11.91
1645552800000;NINJ3.SA;3.7;3.72;3.64;3.64;3.64;35200;4.29;-15.24;38.98;ESTAVEL;2022-02-22 18:00:00;stocks;4.18;-12.97;4.18;-12.97
1645556400000;NINJ3.SA;3.65;3.71;3.63;3.69;3.69;38500;4.29;-13.96;45.93;ESTAVEL;2022-02-22 19:00:00;stocks;4.18;-11.65;4.18;-11.65
1645621200000;NINJ3.SA;3.73;3.74;3.67;3.67;3.67;0;4.28;-14.3;43.78;ESTAVEL;2022-02-23 13:00:00;stocks;4.17;-12.01;4.17;-12.01
1645624800000;NINJ3.SA;3.66;3.68;3.59;3.61;3.61;70700;4.28;-15.56;38.04;ESTAVEL;2022-02-23 14:00:00;stocks;4.16;-13.32;4.16;-13.32
1645628400000;NINJ3.SA;3.6;3.61;3.52;3.53;3.53;43700;4.27;-17.29;32.01;ESTAVEL;2022-02-23 15:00:00;stocks;4.16;-15.09;4.16;-15.09
1645632000000;NINJ3.SA;3.52;3.57;3.51;3.56;3.56;209300;4.26;-16.45;36.1;ESTAVEL;2022-02-23 16:00:00;stocks;4.15;-14.23;4.15;-14.23
1645635600000;NINJ3.SA;3.55;3.64;3.54;3.63;3.63;339100;4.25;-14.68;44.49;ESTAVEL;2022-02-23 17:00:00;stocks;4.14;-12.42;4.14;-12.42
1645639200000;NINJ3.SA;3.63;3.63;3.58;3.62;3.62;16500;4.25;-14.78;43.61;ESTAVEL;2022-02-23 18:00:00;stocks;4.14;-12.53;4.14;-12.53
1645642800000;NINJ3.SA;3.62;3.62;3.55;3.58;3.58;14700;4.24;-15.59;40.18;ESTAVEL;2022-02-23 19:00:00;stocks;4.13;-13.37;4.13;-13.37
1645707600000;NINJ3.SA;3.41;3.48;3.38;3.4;3.4;0;4.23;-19.67;29.1;SUBIR;2022-02-24 13:00:00;stocks;4.12;-17.56;4.12;-17.56
1645711200000;NINJ3.SA;3.41;3.53;3.41;3.51;3.51;38600;4.23;-16.93;39.99;ESTAVEL;2022-02-24 14:00:00;stocks;4.12;-14.75;4.12;-14.75
1645714800000;NINJ3.SA;3.5;3.62;3.47;3.62;3.62;58100;4.22;-14.2;48.51;ESTAVEL;2022-02-24 15:00:00;stocks;4.11;-11.96;4.11;-11.96
1645718400000;NINJ3.SA;3.61;3.63;3.58;3.59;3.59;56300;4.21;-14.78;46.57;ESTAVEL;2022-02-24 16:00:00;stocks;4.11;-12.56;4.11;-12.56
1645722000000;NINJ3.SA;3.58;3.6;3.54;3.57;3.57;96400;4.21;-15.13;45.27;ESTAVEL;2022-02-24 17:00:00;stocks;4.1;-12.92;4.1;-12.92
1645725600000;NINJ3.SA;3.58;3.59;3.55;3.57;3.57;53100;4.2;-15.0;45.27;ESTAVEL;2022-02-24 18:00:00;stocks;4.09;-12.8;4.09;-12.8
1645729200000;NINJ3.SA;3.56;3.72;3.55;3.69;3.69;51600;4.19;-12.03;54.18;ESTAVEL;2022-02-24 19:00:00;stocks;4.09;-9.76;4.09;-9.76
1645794000000;NINJ3.SA;3.59;3.67;3.55;3.56;3.56;0;4.19;-15.0;45.53;ESTAVEL;2022-02-25 13:00:00;stocks;4.08;-12.82;4.08;-12.82
1645797600000;NINJ3.SA;3.57;3.57;3.47;3.48;3.48;52300;4.18;-16.77;41.18;ESTAVEL;2022-02-25 14:00:00;stocks;4.08;-14.64;4.08;-14.64
1645801200000;NINJ3.SA;3.48;3.48;3.43;3.45;3.45;53500;4.17;-17.34;39.64;ESTAVEL;2022-02-25 15:00:00;stocks;4.07;-15.23;4.07;-15.23
1645804800000;NINJ3.SA;3.44;3.45;3.41;3.44;3.44;32500;4.17;-17.44;39.12;ESTAVEL;2022-02-25 16:00:00;stocks;4.06;-15.33;4.06;-15.33
1645808400000;NINJ3.SA;3.43;3.55;3.43;3.51;3.51;39100;4.16;-15.62;44.62;ESTAVEL;2022-02-25 17:00:00;stocks;4.06;-13.47;4.06;-13.47
1645812000000;NINJ3.SA;3.52;3.53;3.49;3.52;3.52;25100;4.15;-15.25;45.38;ESTAVEL;2022-02-25 18:00:00;stocks;4.05;-13.1;4.05;-13.1
1645815600000;NINJ3.SA;3.51;3.52;3.5;3.51;3.51;8400;4.15;-15.36;44.72;ESTAVEL;2022-02-25 19:00:00;stocks;4.04;-13.22;4.04;-13.22
1646236800000;NINJ3.SA;3.53;3.54;3.43;3.48;3.48;72500;4.14;-15.94;42.71;ESTAVEL;2022-03-02 16:00:00;stocks;4.04;-13.82;4.04;-13.82
1646240400000;NINJ3.SA;3.47;3.54;3.47;3.47;3.47;39700;4.13;-16.05;42.04;ESTAVEL;2022-03-02 17:00:00;stocks;4.03;-13.94;4.03;-13.94
1646244000000;NINJ3.SA;3.47;3.63;3.47;3.61;3.61;94000;4.13;-12.55;53.22;ESTAVEL;2022-03-02 18:00:00;stocks;4.03;-10.36;4.03;-10.36
1646312400000;NINJ3.SA;3.53;3.76;3.53;3.7;3.7;0;4.12;-10.28;58.73;ESTAVEL;2022-03-03 13:00:00;stocks;4.02;-8.04;4.02;-8.04
1646316000000;NINJ3.SA;3.71;3.72;3.65;3.67;3.67;58400;4.12;-10.9;56.35;ESTAVEL;2022-03-03 14:00:00;stocks;4.02;-8.7;4.02;-8.7
1646319600000;NINJ3.SA;3.68;3.71;3.62;3.62;3.62;58900;4.11;-12.01;52.52;ESTAVEL;2022-03-03 15:00:00;stocks;4.02;-9.85;4.02;-9.85
1646323200000;NINJ3.SA;3.62;3.68;3.61;3.66;3.66;45200;4.11;-10.94;55.15;ESTAVEL;2022-03-03 16:00:00;stocks;4.01;-8.76;4.01;-8.76
1646326800000;NINJ3.SA;3.66;3.68;3.61;3.61;3.61;22900;4.1;-12.05;51.33;ESTAVEL;2022-03-03 17:00:00;stocks;4.01;-9.91;4.01;-9.91
1646330400000;NINJ3.SA;3.6;3.62;3.56;3.58;3.58;27100;4.1;-12.67;49.13;ESTAVEL;2022-03-03 18:00:00;stocks;4.0;-10.55;4.0;-10.55
1646334000000;NINJ3.SA;3.59;3.64;3.56;3.58;3.58;24500;4.09;-12.55;49.13;ESTAVEL;2022-03-03 19:00:00;stocks;4.0;-10.45;4.0;-10.45
1646398800000;NINJ3.SA;3.64;3.7;3.5;3.51;3.51;0;4.09;-14.14;44.03;ESTAVEL;2022-03-04 13:00:00;stocks;3.99;-12.08;3.99;-12.08
1646402400000;NINJ3.SA;3.5;3.54;3.48;3.54;3.54;55700;4.08;-13.29;46.59;ESTAVEL;2022-03-04 14:00:00;stocks;3.99;-11.22;3.99;-11.22
1646406000000;NINJ3.SA;3.55;3.57;3.52;3.54;3.54;18400;4.08;-13.17;46.59;ESTAVEL;2022-03-04 15:00:00;stocks;3.98;-11.11;3.98;-11.11
1646409600000;NINJ3.SA;3.54;3.6;3.54;3.6;3.6;23400;4.07;-11.6;51.71;ESTAVEL;2022-03-04 16:00:00;stocks;3.98;-9.51;3.98;-9.51
1646413200000;NINJ3.SA;3.58;3.62;3.56;3.57;3.57;28000;4.07;-12.23;49.17;ESTAVEL;2022-03-04 17:00:00;stocks;3.97;-10.16;3.97;-10.16
1646416800000;NINJ3.SA;3.58;3.64;3.58;3.59;3.59;21000;4.06;-11.63;50.9;ESTAVEL;2022-03-04 18:00:00;stocks;3.97;-9.56;3.97;-9.56
1646420400000;NINJ3.SA;3.58;3.6;3.55;3.55;3.55;17700;4.06;-12.5;47.42;ESTAVEL;2022-03-04 19:00:00;stocks;3.97;-10.47;3.97;-10.47
1646658000000;NINJ3.SA;3.51;3.6;3.51;3.54;3.54;0;4.05;-12.64;46.57;ESTAVEL;2022-03-07 13:00:00;stocks;3.96;-10.62;3.96;-10.62
1646661600000;NINJ3.SA;3.54;3.57;3.51;3.56;3.56;45100;4.05;-12.04;48.57;ESTAVEL;2022-03-07 14:00:00;stocks;3.96;-10.01;3.96;-10.01
1646665200000;NINJ3.SA;3.56;3.59;3.45;3.46;3.46;31300;4.04;-14.38;40.42;ESTAVEL;2022-03-07 15:00:00;stocks;3.95;-12.42;3.95;-12.42
1646668800000;NINJ3.SA;3.46;3.47;3.42;3.44;3.44;38400;4.04;-14.75;39.01;ESTAVEL;2022-03-07 16:00:00;stocks;3.95;-12.8;3.95;-12.8
1646672400000;NINJ3.SA;3.44;3.5;3.44;3.45;3.45;27300;4.03;-14.38;40.13;ESTAVEL;2022-03-07 17:00:00;stocks;3.94;-12.43;3.94;-12.43
1646676000000;NINJ3.SA;3.44;3.48;3.44;3.47;3.47;100800;4.02;-13.76;42.42;ESTAVEL;2022-03-07 18:00:00;stocks;3.93;-11.81;3.93;-11.81
1646679600000;NINJ3.SA;3.46;3.46;3.39;3.4;3.4;15100;4.02;-15.37;37.08;ESTAVEL;2022-03-07 19:00:00;stocks;3.93;-13.46;3.93;-13.46
1646744400000;NINJ3.SA;3.45;3.48;3.36;3.36;3.36;69400;4.01;-16.23;34.41;ESTAVEL;2022-03-08 13:00:00;stocks;3.92;-14.34;3.92;-14.34
1646748000000;NINJ3.SA;3.37;3.48;3.35;3.48;3.48;78700;4.01;-13.12;46.78;ESTAVEL;2022-03-08 14:00:00;stocks;3.92;-11.18;3.92;-11.18
1646751600000;NINJ3.SA;3.47;3.5;3.43;3.48;3.48;45400;4.0;-13.0;46.78;ESTAVEL;2022-03-08 15:00:00;stocks;3.91;-11.07;3.91;-11.07
1646755200000;NINJ3.SA;3.47;3.52;3.42;3.42;3.42;33900;3.99;-14.38;42.17;ESTAVEL;2022-03-08 16:00:00;stocks;3.91;-12.48;3.91;-12.48
1646758800000;NINJ3.SA;3.42;3.69;3.42;3.61;3.61;95300;3.99;-9.53;56.71;ESTAVEL;2022-03-08 17:00:00;stocks;3.9;-7.54;3.9;-7.54
1646762400000;NINJ3.SA;3.62;3.7;3.58;3.59;3.59;177700;3.99;-9.94;55.14;ESTAVEL;2022-03-08 18:00:00;stocks;3.9;-7.98;3.9;-7.98
1646766000000;NINJ3.SA;3.6;3.67;3.57;3.65;3.65;57500;3.98;-8.36;58.83;ESTAVEL;2022-03-08 19:00:00;stocks;3.9;-6.37;3.9;-6.37
1646830800000;NINJ3.SA;3.69;3.73;3.64;3.66;3.66;0;3.98;-8.03;59.43;ESTAVEL;2022-03-09 13:00:00;stocks;3.9;-6.06;3.9;-6.06
1646834400000;NINJ3.SA;3.67;3.79;3.64;3.72;3.72;94900;3.98;-6.47;62.91;ESTAVEL;2022-03-09 14:00:00;stocks;3.89;-4.47;3.89;-4.47
1646838000000;NINJ3.SA;3.73;3.81;3.69;3.8;3.8;97500;3.98;-4.41;66.98;ESTAVEL;2022-03-09 15:00:00;stocks;3.89;-2.39;3.89;-2.39
