open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1663678800000;PABY11.SA;8.11;8.11;8.11;8.11;8.11;20;8.83;-8.13;45.71;ESTAVEL;2022-09-20 13:00:00;fii;8.91;-8.97;8.91;-8.97
1663682400000;PABY11.SA;8.13;8.13;8.12;8.12;8.12;24;8.82;-7.94;45.92;ESTAVEL;2022-09-20 14:00:00;fii;8.9;-8.76;8.9;-8.76
1663689600000;PABY11.SA;8.57;8.57;8.57;8.57;8.57;60;8.82;-2.81;54.64;ESTAVEL;2022-09-20 16:00:00;fii;8.9;-3.66;8.9;-3.66
1663693200000;PABY11.SA;8.25;8.25;8.25;8.25;8.25;43;8.81;-6.38;48.63;ESTAVEL;2022-09-20 17:00:00;fii;8.89;-7.18;8.89;-7.18
1663776000000;PABY11.SA;8.3;8.3;8.3;8.3;8.3;0;8.81;-5.76;49.57;ESTAVEL;2022-09-21 16:00:00;fii;8.88;-6.55;8.88;-6.55
1663779600000;PABY11.SA;8.39;8.39;8.39;8.39;8.39;2;8.8;-4.69;51.28;ESTAVEL;2022-09-21 17:00:00;fii;8.88;-5.48;8.88;-5.48
1663783200000;PABY11.SA;8.39;8.39;8.39;8.39;8.39;6;8.8;-4.64;51.28;ESTAVEL;2022-09-21 18:00:00;fii;8.87;-5.42;8.87;-5.42
1663786800000;PABY11.SA;8.39;8.39;8.39;8.39;8.39;47;8.79;-4.6;51.28;ESTAVEL;2022-09-21 19:00:00;fii;8.87;-5.36;8.87;-5.36
1663855200000;PABY11.SA;8.41;8.41;8.41;8.41;8.41;0;8.79;-4.33;51.74;ESTAVEL;2022-09-22 14:00:00;fii;8.86;-5.08;8.86;-5.08
1663866000000;PABY11.SA;8.4;8.4;8.4;8.4;8.4;1;8.79;-4.4;51.48;ESTAVEL;2022-09-22 17:00:00;fii;8.85;-5.14;8.85;-5.14
1663873200000;PABY11.SA;8.39;8.39;8.39;8.39;8.39;5;8.78;-4.47;51.2;ESTAVEL;2022-09-22 19:00:00;fii;8.85;-5.19;8.85;-5.19
1663938000000;PABY11.SA;8.25;8.26;8.25;8.25;8.25;87;8.78;-6.01;47.37;ESTAVEL;2022-09-23 13:00:00;fii;8.84;-6.7;8.84;-6.7
1663945200000;PABY11.SA;8.12;8.12;8.12;8.12;8.12;2;8.77;-7.42;44.07;ESTAVEL;2022-09-23 15:00:00;fii;8.83;-8.09;8.83;-8.09
1663948800000;PABY11.SA;8.25;8.25;8.22;8.22;8.22;77;8.77;-6.22;47.12;ESTAVEL;2022-09-23 16:00:00;fii;8.83;-6.88;8.83;-6.88
1663952400000;PABY11.SA;8.22;8.22;8.22;8.22;8.22;2;8.76;-6.16;47.12;ESTAVEL;2022-09-23 17:00:00;fii;8.82;-6.81;8.82;-6.81
1663956000000;PABY11.SA;8.12;8.13;8.12;8.13;8.13;4;8.75;-7.12;44.59;ESTAVEL;2022-09-23 18:00:00;fii;8.81;-7.75;8.81;-7.75
1664197200000;PABY11.SA;8.14;8.14;8.12;8.12;8.12;0;8.75;-7.17;44.3;ESTAVEL;2022-09-26 13:00:00;fii;8.81;-7.78;8.81;-7.78
1664211600000;PABY11.SA;7.73;7.73;7.73;7.73;7.73;102;8.74;-11.52;34.91;ESTAVEL;2022-09-26 17:00:00;fii;8.79;-12.09;8.79;-12.09
1664218800000;PABY11.SA;8.12;8.46;8.12;8.46;8.46;3;8.73;-3.13;54.39;ESTAVEL;2022-09-26 19:00:00;fii;8.79;-3.75;8.79;-3.75
1664290800000;PABY11.SA;8.29;8.29;8.29;8.29;8.29;0;8.73;-5.03;50.6;ESTAVEL;2022-09-27 15:00:00;fii;8.78;-5.62;8.78;-5.62
