open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;PETR3.SA;37.26;37.46;36.43;36.52;36.52;4034200;35.25;3.59;52.77;ESTAVEL;2022-02-22 14:00:00;stocks;35.82;1.96;35.82;1.96
1645542000000;PETR3.SA;36.51;36.51;36.01;36.06;36.06;3088300;35.26;2.26;45.86;ESTAVEL;2022-02-22 15:00:00;stocks;35.82;0.67;35.82;0.67
1645545600000;PETR3.SA;36.06;36.36;36.06;36.16;36.16;1237300;35.27;2.52;47.47;ESTAVEL;2022-02-22 16:00:00;stocks;35.83;0.93;35.83;0.93
1645549200000;PETR3.SA;36.14;36.21;35.83;35.93;35.93;2653300;35.28;1.85;44.22;ESTAVEL;2022-02-22 17:00:00;stocks;35.83;0.29;35.83;0.29
1645552800000;PETR3.SA;35.92;36.21;35.8;35.94;35.94;2930300;35.28;1.86;44.39;ESTAVEL;2022-02-22 18:00:00;stocks;35.83;0.31;35.83;0.31
1645556400000;PETR3.SA;35.94;36.31;35.86;36.26;36.26;2070000;35.29;2.74;49.92;ESTAVEL;2022-02-22 19:00:00;stocks;35.83;1.19;35.83;1.19
1645621200000;PETR3.SA;36.47;36.7;36.24;36.49;36.49;0;35.31;3.35;53.5;ESTAVEL;2022-02-23 13:00:00;stocks;35.84;1.81;35.84;1.81
1645624800000;PETR3.SA;36.48;36.78;36.16;36.44;36.44;4312300;35.32;3.18;52.62;ESTAVEL;2022-02-23 14:00:00;stocks;35.85;1.65;35.85;1.65
1645628400000;PETR3.SA;36.44;36.8;36.3;36.31;36.31;2033500;35.33;2.78;50.3;ESTAVEL;2022-02-23 15:00:00;stocks;35.85;1.28;35.85;1.28
1645632000000;PETR3.SA;36.3;36.48;36.23;36.33;36.33;2220700;35.34;2.81;50.66;ESTAVEL;2022-02-23 16:00:00;stocks;35.86;1.32;35.86;1.32
1645635600000;PETR3.SA;36.32;36.56;36.29;36.43;36.43;2113800;35.35;3.06;52.51;ESTAVEL;2022-02-23 17:00:00;stocks;35.86;1.58;35.86;1.58
1645639200000;PETR3.SA;36.44;36.5;36.25;36.45;36.45;2092700;35.36;3.08;52.89;ESTAVEL;2022-02-23 18:00:00;stocks;35.87;1.61;35.87;1.61
1645642800000;PETR3.SA;36.45;36.49;36.04;36.18;36.18;1917500;35.37;2.3;47.37;ESTAVEL;2022-02-23 19:00:00;stocks;35.87;0.85;35.87;0.85
1645707600000;PETR3.SA;37.0;37.65;35.95;37.23;37.23;0;35.39;5.21;63.38;ESTAVEL;2022-02-24 13:00:00;stocks;35.89;3.73;35.89;3.73
1645711200000;PETR3.SA;37.24;37.55;36.37;36.44;36.44;5000800;35.4;2.94;50.85;ESTAVEL;2022-02-24 14:00:00;stocks;35.9;1.52;35.9;1.52
1645714800000;PETR3.SA;36.41;36.51;35.92;35.94;35.94;2459200;35.4;1.52;44.81;ESTAVEL;2022-02-24 15:00:00;stocks;35.9;0.12;35.9;0.12
1645718400000;PETR3.SA;35.94;36.5;35.91;36.05;36.05;1317600;35.41;1.81;46.32;ESTAVEL;2022-02-24 16:00:00;stocks;35.9;0.42;35.9;0.42
1645722000000;PETR3.SA;36.06;36.06;35.35;35.43;35.43;1984300;35.41;0.06;39.72;ESTAVEL;2022-02-24 17:00:00;stocks;35.89;-1.29;35.89;-1.29
1645725600000;PETR3.SA;35.43;35.58;34.94;35.39;35.39;2038100;35.41;-0.06;39.33;ESTAVEL;2022-02-24 18:00:00;stocks;35.89;-1.39;35.89;-1.39
1645729200000;PETR3.SA;35.39;35.61;35.02;35.54;35.54;1976900;35.41;0.36;41.64;ESTAVEL;2022-02-24 19:00:00;stocks;35.88;-0.96;35.88;-0.96
1645794000000;PETR3.SA;35.6;36.0;35.39;35.68;35.68;0;35.41;0.75;43.79;ESTAVEL;2022-02-25 13:00:00;stocks;35.88;-0.56;35.88;-0.56
1645797600000;PETR3.SA;35.68;35.88;35.21;35.59;35.59;2311800;35.42;0.49;42.7;ESTAVEL;2022-02-25 14:00:00;stocks;35.88;-0.8;35.88;-0.8
1645801200000;PETR3.SA;35.6;36.14;35.31;36.13;36.13;1746800;35.42;2.0;50.64;ESTAVEL;2022-02-25 15:00:00;stocks;35.88;0.69;35.88;0.69
1645804800000;PETR3.SA;36.12;36.28;35.83;36.11;36.11;1147000;35.43;1.92;50.36;ESTAVEL;2022-02-25 16:00:00;stocks;35.88;0.63;35.88;0.63
1645808400000;PETR3.SA;36.11;36.11;35.85;35.97;35.97;2198800;35.44;1.51;48.36;ESTAVEL;2022-02-25 17:00:00;stocks;35.88;0.24;35.88;0.24
1645812000000;PETR3.SA;35.96;36.47;35.94;36.32;36.32;2034800;35.44;2.47;53.35;ESTAVEL;2022-02-25 18:00:00;stocks;35.89;1.2;35.89;1.2
1645815600000;PETR3.SA;36.33;36.37;36.15;36.23;36.23;1969500;35.45;2.19;51.96;ESTAVEL;2022-02-25 19:00:00;stocks;35.89;0.94;35.89;0.94
1646236800000;PETR3.SA;37.97;38.08;37.51;37.57;37.57;4102800;35.47;5.91;66.13;ESTAVEL;2022-03-02 16:00:00;stocks;35.91;4.62;35.91;4.62
1646240400000;PETR3.SA;37.57;37.61;37.22;37.34;37.34;2512800;35.49;5.21;62.71;ESTAVEL;2022-03-02 17:00:00;stocks;35.93;3.93;35.93;3.93
1646244000000;PETR3.SA;37.34;37.42;37.15;37.42;37.42;2988900;35.51;5.37;63.42;ESTAVEL;2022-03-02 18:00:00;stocks;35.94;4.11;35.94;4.11
1646312400000;PETR3.SA;37.59;37.6;36.72;36.81;36.81;0;35.52;3.62;54.86;ESTAVEL;2022-03-03 13:00:00;stocks;35.95;2.38;35.95;2.38
1646316000000;PETR3.SA;36.82;37.46;36.71;37.27;37.27;2940300;35.54;4.86;59.32;ESTAVEL;2022-03-03 14:00:00;stocks;35.97;3.62;35.97;3.62
1646319600000;PETR3.SA;37.28;37.89;37.19;37.48;37.48;2457300;35.56;5.39;61.2;ESTAVEL;2022-03-03 15:00:00;stocks;35.98;4.16;35.98;4.16
1646323200000;PETR3.SA;37.49;37.56;37.27;37.34;37.34;876000;35.58;4.95;59.23;ESTAVEL;2022-03-03 16:00:00;stocks;36.0;3.72;36.0;3.72
1646326800000;PETR3.SA;37.34;37.44;37.15;37.24;37.24;825400;35.6;4.62;57.8;ESTAVEL;2022-03-03 17:00:00;stocks;36.01;3.41;36.01;3.41
1646330400000;PETR3.SA;37.24;37.38;37.15;37.17;37.17;797300;35.61;4.37;56.77;ESTAVEL;2022-03-03 18:00:00;stocks;36.03;3.18;36.03;3.18
1646334000000;PETR3.SA;37.18;37.37;37.15;37.17;37.17;991800;35.63;4.33;56.77;ESTAVEL;2022-03-03 19:00:00;stocks;36.04;3.14;36.04;3.14
1646398800000;PETR3.SA;37.15;37.22;36.83;37.17;37.17;0;35.64;4.28;56.77;ESTAVEL;2022-03-04 13:00:00;stocks;36.05;3.1;36.05;3.1
1646402400000;PETR3.SA;37.17;37.6;36.61;36.99;36.99;4277500;35.66;3.74;53.69;ESTAVEL;2022-03-04 14:00:00;stocks;36.06;2.58;36.06;2.58
1646406000000;PETR3.SA;37.0;37.04;36.4;36.53;36.53;2476500;35.67;2.42;46.7;ESTAVEL;2022-03-04 15:00:00;stocks;36.07;1.29;36.07;1.29
1646409600000;PETR3.SA;36.54;36.65;36.36;36.39;36.39;1138100;35.67;2.01;44.8;ESTAVEL;2022-03-04 16:00:00;stocks;36.07;0.89;36.07;0.89
1646413200000;PETR3.SA;36.39;36.6;36.29;36.56;36.56;1970500;35.68;2.46;47.6;ESTAVEL;2022-03-04 17:00:00;stocks;36.08;1.34;36.08;1.34
1646416800000;PETR3.SA;36.56;36.68;36.51;36.64;36.64;1244800;35.69;2.66;48.91;ESTAVEL;2022-03-04 18:00:00;stocks;36.08;1.55;36.08;1.55
1646420400000;PETR3.SA;36.63;36.89;36.59;36.65;36.65;2128700;35.7;2.66;49.08;ESTAVEL;2022-03-04 19:00:00;stocks;36.09;1.56;36.09;1.56
1646658000000;PETR3.SA;37.4;37.5;36.36;36.61;36.61;0;35.71;2.52;48.38;ESTAVEL;2022-03-07 13:00:00;stocks;36.09;1.43;36.09;1.43
1646661600000;PETR3.SA;36.61;36.63;35.63;35.97;35.97;4244000;35.71;0.72;38.83;ESTAVEL;2022-03-07 14:00:00;stocks;36.09;-0.34;36.09;-0.34
1646665200000;PETR3.SA;35.97;36.25;35.75;35.76;35.76;1943600;35.71;0.13;36.29;ESTAVEL;2022-03-07 15:00:00;stocks;36.09;-0.91;36.09;-0.91
1646668800000;PETR3.SA;35.76;35.9;35.18;35.29;35.29;2441400;35.71;-1.17;31.36;ESTAVEL;2022-03-07 16:00:00;stocks;36.08;-2.19;36.08;-2.19
1646672400000;PETR3.SA;35.29;35.38;34.78;34.84;34.84;2871200;35.7;-2.41;27.51;SUBIR;2022-03-07 17:00:00;stocks;36.07;-3.4;36.07;-3.4
1646676000000;PETR3.SA;34.84;35.17;34.83;34.98;34.98;4150600;35.69;-2.0;30.37;ESTAVEL;2022-03-07 18:00:00;stocks;36.05;-2.98;36.05;-2.98
1646679600000;PETR3.SA;34.98;35.13;34.5;34.5;34.5;3946600;35.68;-3.31;26.5;SUBIR;2022-03-07 19:00:00;stocks;36.04;-4.27;36.04;-4.27
