open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;PETZ3.SA;18.04;18.3;17.89;18.19;18.19;1045100;17.41;4.48;50.2;ESTAVEL;2022-02-22 14:00:00;stocks;17.55;3.66;17.55;3.66
1645542000000;PETZ3.SA;18.19;18.32;17.97;17.97;17.97;580100;17.42;3.19;46.23;ESTAVEL;2022-02-22 15:00:00;stocks;17.55;2.38;17.55;2.38
1645545600000;PETZ3.SA;17.98;18.2;17.9;18.05;18.05;558900;17.42;3.61;47.84;ESTAVEL;2022-02-22 16:00:00;stocks;17.56;2.8;17.56;2.8
1645549200000;PETZ3.SA;18.05;18.25;18.0;18.15;18.15;411600;17.43;4.14;49.87;ESTAVEL;2022-02-22 17:00:00;stocks;17.56;3.33;17.56;3.33
1645552800000;PETZ3.SA;18.15;18.24;18.07;18.19;18.19;967300;17.44;4.32;50.7;ESTAVEL;2022-02-22 18:00:00;stocks;17.57;3.52;17.57;3.52
1645556400000;PETZ3.SA;18.18;18.35;18.13;18.33;18.33;812300;17.45;5.07;53.58;ESTAVEL;2022-02-22 19:00:00;stocks;17.58;4.26;17.58;4.26
1645621200000;PETZ3.SA;18.28;18.6;18.28;18.41;18.41;0;17.46;5.47;55.2;ESTAVEL;2022-02-23 13:00:00;stocks;17.59;4.66;17.59;4.66
1645624800000;PETZ3.SA;18.41;18.42;17.88;17.9;17.9;469900;17.46;2.52;44.56;ESTAVEL;2022-02-23 14:00:00;stocks;17.59;1.74;17.59;1.74
1645628400000;PETZ3.SA;17.9;18.28;17.85;18.18;18.18;590000;17.47;4.08;50.23;ESTAVEL;2022-02-23 15:00:00;stocks;17.6;3.29;17.6;3.29
1645632000000;PETZ3.SA;18.17;18.38;18.1;18.3;18.3;308900;17.48;4.72;52.47;ESTAVEL;2022-02-23 16:00:00;stocks;17.61;3.93;17.61;3.93
